time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-03-09T21:12:42.615Z,56.0904,-149.0845,9.7,3.5,ml,,,,1.03,aacse,aacse01934t4d5x,2021-05-21T16:03:29.334Z,"258 km SE of Chiniak, Alaska",earthquake,,3.0,,,reviewed,aacse,aacse
2019-02-23T10:10:13.246Z,55.8766,-160.7119,157.0,3.5,ml,,,,1.48,aacse,aacse0192hh18wc,2021-05-21T15:55:41.051Z,"33 km ESE of Nelson Lagoon, Alaska",earthquake,,1.2,,,reviewed,aacse,aacse
2019-02-21T11:26:19.012Z,55.9952,-160.5591,164.5,3.6,ml,,,,0.99,aacse,aacse0192e6nff1,2021-05-21T15:55:35.628Z,"40 km E of Nelson Lagoon, Alaska",earthquake,,1.3,,,reviewed,aacse,aacse
2019-02-19T23:45:30.126Z,56.1175,-162.0703,215.0,4.1,ml,,,,1.44,aacse,aacse0192b2u15g,2021-05-21T15:56:01.155Z,"55 km WNW of Nelson Lagoon, Alaska",earthquake,,0.9,,,reviewed,aacse,aacse
2019-02-18T14:28:44.827Z,53.3826,-162.8153,35.7,3.5,ml,,,,1.48,aacse,aacse019299u66a,2021-05-21T15:56:02.413Z,"168 km SSE of False Pass, Alaska",earthquake,,1.2,,,reviewed,aacse,aacse
2019-02-12T15:24:47.045Z,55.8154,-161.1445,167.7,3.5,ml,,,,0.81,aacse,aacse0191zd6o4g,2021-05-21T15:55:59.790Z,"20 km S of Nelson Lagoon, Alaska",earthquake,,1.3,,,reviewed,aacse,aacse
2018-11-09T07:05:17.688Z,54.8302,-158.9639,33.5,3.7,ml,,,,1.29,aacse,aacse018edrers1,2021-02-22T17:14:47.989Z,"113 km ESE of Sand Point, Alaska",earthquake,,0.5,,,reviewed,aacse,aacse
2018-10-21T23:44:00.012Z,55.8396,-161.4828,165.5,3.5,ml,,,,1.49,aacse,aacse018dilyflt,2021-02-22T17:15:27.968Z,"24 km SW of Nelson Lagoon, Alaska",earthquake,,0.8,,,reviewed,aacse,aacse
2018-10-12T14:10:25.625Z,56.1983,-161.5511,202.3,3.7,ml,,,,1.03,aacse,aacse018d3kk6ci,2021-02-22T17:16:15.844Z,"30 km NW of Nelson Lagoon, Alaska",earthquake,,0.6,,,reviewed,aacse,aacse
2018-10-03T14:58:59.847Z,55.6795,-161.8666,167.9,3.9,ml,,,,1.04,aacse,aacse018cop0eww,2021-02-22T17:17:19.472Z,"54 km SW of Nelson Lagoon, Alaska",earthquake,,1.0,,,reviewed,aacse,aacse
2019-08-04T22:31:15.958Z,55.7122,-161.7622,172.2,3.5,ml,,,,0.85,aacse,aacse0199xld6ej,2021-10-04T20:47:57.625Z,"47 km SW of Nelson Lagoon, Alaska",earthquake,,1.3,,,reviewed,aacse,aacse
2019-07-17T12:32:38.531Z,55.8962,-161.0696,166.4,3.5,ml,,,,1.16,aacse,aacse01993nqux9,2021-09-03T21:27:54.205Z,"14 km SE of Nelson Lagoon, Alaska",earthquake,,1.2,,,reviewed,aacse,aacse
2019-06-30T18:40:49.173Z,56.8424,-157.5566,117.8,3.8,ml,,,,1.37,aacse,aacse0198bn8aph,2021-07-12T17:46:46.145Z,"66 km E of Port Heiden, Alaska",earthquake,,1.7,,,reviewed,aacse,aacse
2019-06-30T17:00:22.047Z,57.4593,-154.7548,76.4,4.9,ml,,,,0.86,aacse,aacse0198bme8d8,2021-07-12T17:46:46.360Z,"21 km SW of Karluk, Alaska",earthquake,,0.6,,,reviewed,aacse,aacse
2019-06-30T16:45:39.247Z,54.3842,-157.7086,2.1,3.7,ml,,,,0.93,aacse,aacse0198bm2hb8,2021-07-12T17:46:46.645Z,"193 km SSE of Perryville, Alaska",earthquake,,0.3,,,reviewed,aacse,aacse
2019-06-28T09:17:23.753Z,55.0135,-163.5324,140.9,3.6,ml,,,,1.14,aacse,aacse019886npuf,2021-07-12T17:46:49.689Z,"19 km NNW of False Pass, Alaska",earthquake,,1.5,,,reviewed,aacse,aacse
2019-06-28T08:15:59.462Z,55.8245,-161.0084,148.7,3.6,ml,,,,1.13,aacse,aacse0198861xka,2021-07-12T17:46:49.916Z,"23 km SSE of Nelson Lagoon, Alaska",earthquake,,1.2,,,reviewed,aacse,aacse
2019-05-31T21:43:17.218Z,53.0234,-161.5252,47.8,4.2,ml,,,,1.27,aacse,aacse0196y2wre1,2021-06-25T16:34:57.150Z,"232 km SSE of King Cove, Alaska",earthquake,,1.9,,,reviewed,aacse,aacse
2019-05-25T13:33:49.831Z,55.692,-161.3207,149.0,3.9,ml,,,,1.25,aacse,aacse0196o0v4xz,2021-06-25T16:35:05.384Z,Alaska Peninsula,earthquake,,1.2,,,reviewed,aacse,aacse
2019-05-25T12:05:27.301Z,55.3522,-162.182,154.1,3.7,ml,,,,1.5,aacse,aacse0196o03nju,2021-06-25T16:35:05.633Z,"33 km NNE of King Cove, Alaska",earthquake,,1.1,,,reviewed,aacse,aacse
2019-05-23T12:53:30.855Z,55.9026,-160.6668,154.6,3.8,ml,,,,1.4,aacse,aacse0196kpb97h,2021-06-25T16:35:07.324Z,"35 km ESE of Nelson Lagoon, Alaska",earthquake,,0.8,,,reviewed,aacse,aacse
2019-05-08T03:16:48.188Z,55.904,-160.7023,160.7,3.9,ml,,,,1.15,aacse,aacse0195vqo976,2021-06-25T16:36:08.523Z,"33 km ESE of Nelson Lagoon, Alaska",earthquake,,1.4,,,reviewed,aacse,aacse
2019-04-30T08:05:06.960Z,55.2985,-161.8612,125.1,3.5,ml,,,,1.55,aacse,aacse0195ila77s,2021-06-25T16:19:05.872Z,"39 km NE of King Cove, Alaska",earthquake,,1.4,,,reviewed,aacse,aacse
2019-04-29T02:25:31.357Z,55.5092,-161.7008,125.6,3.6,ml,,,,1.18,aacse,aacse0195gualan,2021-06-25T16:19:07.325Z,"62 km SSW of Nelson Lagoon, Alaska",earthquake,,2.0,,,reviewed,aacse,aacse
2019-04-18T05:10:49.336Z,55.7592,-149.8826,3.3,3.5,ml,,,,0.9,aacse,aacse0194yp2wbp,2021-06-25T16:19:40.708Z,"253 km SE of Chiniak, Alaska",earthquake,,1.5,,,reviewed,aacse,aacse
2019-04-14T19:11:47.554Z,55.6705,-161.7463,161.9,3.5,ml,,,,0.85,aacse,aacse0194sb9seb,2021-06-25T16:19:47.450Z,"49 km SW of Nelson Lagoon, Alaska",earthquake,,0.9,,,reviewed,aacse,aacse
2019-04-12T10:38:56.644Z,55.8594,-161.7024,170.1,4.1,ml,,,,1.02,aacse,aacse0194ov0000,2021-06-25T16:19:50.300Z,"34 km WSW of Nelson Lagoon, Alaska",earthquake,,1.3,,,reviewed,aacse,aacse
2019-03-29T12:47:30.522Z,56.1022,-161.8796,211.0,3.5,ml,,,,0.98,aacse,aacse01941qpvq4,2021-05-21T16:00:52.495Z,"43 km WNW of Nelson Lagoon, Alaska",earthquake,,1.6,,,reviewed,aacse,aacse
2019-03-23T09:24:03.150Z,55.4308,-161.7121,124.2,3.6,ml,,,,1.37,aacse,aacse0193rrkid7,2021-05-21T16:01:16.089Z,"56 km NE of King Cove, Alaska",earthquake,,1.0,,,reviewed,aacse,aacse
