time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1985-03-06T22:38:24.010Z,61.997,-150.449,9.7,4.1,ml,,,,,us,usp0002cht,2014-11-07T00:36:17.297Z,"35 km NW of Willow, Alaska",earthquake,,,,,reviewed,ags,pmr
1985-03-05T11:41:43.690Z,58.385,-153.288,61.9,4.1,mb,,,,,us,usp0002cfp,2014-11-07T00:36:16.893Z,"42 km NNW of Aleneva, Alaska",earthquake,,,,1.0,reviewed,ags,us
1985-02-26T00:06:39.510Z,62.438,-153.244,14.0,4.0,ml,,,,,us,usp0002c84,2014-11-07T00:36:11.991Z,"86 km SE of Nikolai, Alaska",earthquake,,,,,reviewed,ags,pmr
1985-02-17T14:53:41.450Z,61.624,-149.775,39.4,3.8,ml,,,,,us,usp0002bze,2014-11-07T00:36:10.939Z,"2 km ESE of Houston, Alaska",earthquake,,,,,reviewed,ags,pmr
1985-02-13T15:59:54.340Z,61.856,-150.329,8.7,3.9,ml,,,,,us,usp0002bvh,2014-11-07T00:36:10.460Z,"19 km NW of Willow, Alaska",earthquake,,,,,reviewed,ags,pmr
1985-01-09T19:28:21.250Z,60.289,-140.744,14.7,5.7,mb,,,,,us,usp0002awg,2022-04-27T22:56:51.161Z,"100 km NW of Yakutat, Alaska",earthquake,,,,69.0,reviewed,ags,us
1986-03-09T07:55:32.300Z,60.592,-137.805,1.7,3.6,ml,,,,,us,usp0002rp9,2014-11-07T00:38:02.038Z,"24 km SW of Haines Junction, Canada",earthquake,,,,,reviewed,ags,pmr
1986-03-08T17:33:14.570Z,61.038,-146.566,9.2,4.0,ml,,,,,us,usp0002rnq,2014-11-07T00:38:01.966Z,"15 km SW of Valdez, Alaska",earthquake,,,,,reviewed,ags,pmr
1986-01-26T23:11:54.100Z,61.869,-148.738,38.4,4.1,mb,,,,,us,usp0002qf2,2014-11-07T00:37:48.827Z,"10 km N of Sutton-Alpine, Alaska",earthquake,,,,1.0,reviewed,ags,us
1986-01-16T14:36:36.110Z,61.489,-146.537,27.8,4.0,ml,,,,,us,usp0002q46,2014-11-07T00:37:47.712Z,"41 km NNW of Valdez, Alaska",earthquake,,,,,reviewed,ags,pmr
1986-01-08T22:34:06.500Z,59.746,-152.828,76.3,4.3,mb,,,,,us,usp0002pwe,2014-11-07T00:37:46.030Z,"56 km W of Anchor Point, Alaska",earthquake,,,,1.0,reviewed,ags,us
1985-12-30T05:14:08.680Z,62.107,-154.316,12.0,3.5,ml,,,,,us,usp0002pkb,2014-11-07T00:37:41.391Z,"101 km S of Nikolai, Alaska",earthquake,,,,,reviewed,ags,pmr
1985-12-25T18:37:56.980Z,59.784,-152.319,94.3,4.5,mb,,,,,us,usp0002pdq,2014-11-07T00:37:40.145Z,"27 km W of Anchor Point, Alaska",earthquake,,,,4.0,reviewed,ags,us
1985-12-17T04:10:59.980Z,61.604,-148.178,24.6,3.5,ml,,,,,us,usp0002nzr,2014-11-07T00:37:38.092Z,"26 km SE of Chickaloon, Alaska",earthquake,,,,,reviewed,ags,pmr
1985-12-08T16:24:14.490Z,60.671,-143.212,13.2,3.6,ml,,,,,us,usp0002npa,2014-11-07T00:37:36.806Z,"86 km S of McCarthy, Alaska",earthquake,,,,,reviewed,ags,pmr
