time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2003-01-01T17:47:29.000Z,-20.043,133.774,10.0,4.1,mb,21.0,,,,us,usp000bmwh,2014-11-07T01:17:30.557Z,"61 km SW of Tennant Creek, Australia",earthquake,,,,7.0,reviewed,aust,us
2004-03-05T00:11:29.000Z,-32.472,127.034,0.0,4.4,ml,22.0,139.3,,,us,usp000cp41,2014-11-07T01:21:38.417Z,Western Australia,earthquake,,,,,reviewed,aust,aust
2004-03-05T00:08:11.000Z,-32.504,127.019,0.0,3.5,ml,4.0,179.4,,,us,usp000cp40,2014-11-07T01:21:38.416Z,Western Australia,earthquake,,,,,reviewed,aust,aust
2004-02-28T11:32:09.000Z,-34.996,147.675,12.0,3.9,ml,10.0,67.0,,,us,usp000cnmk,2014-11-07T01:21:31.992Z,"16 km SSE of Junee, Australia",earthquake,,,,,reviewed,aust,aust
2004-02-23T17:23:30.000Z,-20.832,125.571,5.0,3.8,ml,16.0,95.8,,,us,usp000cmw7,2014-11-07T01:21:25.055Z,"213 km SSE of St George Ranges, Australia",earthquake,,,,,reviewed,aust,aust
2004-02-21T23:55:34.000Z,-26.416,151.38,0.0,3.7,ml,7.0,191.4,,,us,usp000cmsd,2014-11-07T01:21:23.982Z,"47 km WNW of Kingaroy, Australia",earthquake,,,,,reviewed,aust,aust
2004-02-21T22:03:55.000Z,-40.602,155.602,30.0,3.5,ml,6.0,315.2,,,us,usp000cms9,2014-11-07T01:21:23.970Z,southeast of Australia,earthquake,,,,,reviewed,aust,aust
2004-02-11T09:30:39.000Z,-22.68,129.823,13.0,4.9,mwc,37.0,41.2,,,us,usp000ckz6,2016-11-10T00:25:55.994Z,"Northern Territory, Australia",earthquake,,,,,reviewed,aust,hrv
2004-02-11T09:17:58.000Z,-22.738,129.871,13.0,4.6,mb,33.0,43.1,,,us,usp000ckz2,2022-05-02T17:02:37.207Z,"299 km NNW of Yulara, Australia",earthquake,,,,8.0,reviewed,aust,us
2004-01-31T05:42:11.000Z,-37.327,155.583,0.0,4.3,mb,10.0,150.0,,,us,usp000ck2r,2014-11-07T01:21:10.802Z,east of Australia,earthquake,,,,1.0,reviewed,aust,us
2004-01-23T15:31:47.000Z,-31.672,123.549,15.0,4.1,mb,18.0,140.8,,,us,usp000cjh0,2014-11-07T01:21:07.085Z,"185 km ESE of Kambalda East, Australia",earthquake,,,,5.0,reviewed,aust,us
2004-01-17T16:08:42.000Z,-18.783,122.396,10.0,4.0,mb,16.0,94.2,,,us,usp000cj3s,2014-11-07T01:21:05.564Z,"68 km S of Roebuck, Australia",earthquake,,,,3.0,reviewed,aust,us
2004-01-16T15:05:56.000Z,-25.072,151.275,0.0,4.4,ml,10.0,220.8,,,us,usp000cj0x,2014-11-07T01:21:05.177Z,"27 km SE of Monto, Australia",earthquake,,,,,reviewed,aust,aust
2003-12-29T13:31:06.000Z,-35.413,144.531,11.0,3.6,ml,9.0,76.8,,,us,usp000cgfk,2014-11-07T01:20:51.291Z,"40 km WNW of Deniliquin, Australia",earthquake,,,,,reviewed,aust,aust
2003-12-11T10:19:19.000Z,-34.5,150.4,0.0,4.6,mb,11.0,157.9,,,us,usp000cf0t,2020-09-18T19:44:05.540Z,"0 km WNW of Burradoo, Australia",earthquake,,,,1.0,reviewed,aust,us
2003-12-05T22:26:23.000Z,-18.225,126.745,0.0,4.6,mb,22.0,68.2,,,us,usp000cem3,2014-11-07T01:20:41.805Z,"97 km W of Halls Creek, Australia",earthquake,,,,7.0,reviewed,aust,us
2003-12-05T17:45:38.000Z,-27.776,140.632,7.0,3.7,ml,18.0,49.8,,,us,usp000cekc,2014-11-07T01:20:41.565Z,South Australia,earthquake,,,,,reviewed,aust,aust
2003-12-04T01:55:45.000Z,-27.858,140.65,0.0,3.6,ml,12.0,106.6,,,us,usp000cef1,2014-11-07T01:20:40.746Z,South Australia,earthquake,,,,,reviewed,aust,aust
