time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1998-06-21T19:23:38.900Z,54.07,1.01,24.9,3.5,ml,,,,,us,usp0008q8n,2014-11-07T01:05:26.074Z,"74 km E of Flamborough, United Kingdom",earthquake,,,,,reviewed,bgs,ldg
1998-05-03T02:12:46.900Z,56.06,-6.04,15.1,3.5,ml,,,,,us,usp0008mbs,2014-11-07T01:05:09.380Z,"Scotland, United Kingdom",earthquake,,,,,reviewed,bgs,bgs
2000-09-23T04:23:45.790Z,52.28,-1.61,13.1,4.0,ml,55.0,,,,us,usp000a0pm,2014-11-07T01:11:06.913Z,"1 km WSW of Warwick, United Kingdom",earthquake,,,,,reviewed,bgs,str
2002-02-12T19:13:16.400Z,51.7,-3.255,8.3,3.5,ml,32.0,,,,us,usp000aybb,2014-11-07T01:14:54.547Z,"1 km SSE of Deri, United Kingdom",earthquake,,,,,reviewed,bgs,ldg
2001-10-28T16:25:25.100Z,52.846,-0.856,11.6,4.2,mb,152.0,,,,us,usp000artg,2014-11-07T01:14:04.421Z,"5 km E of Long Clawson, United Kingdom",earthquake,,,,1.0,reviewed,bgs,us
2001-05-31T23:42:57.300Z,50.995,-4.684,28.7,4.0,ml,59.0,,,,us,usp000afuv,2014-11-07T01:12:52.628Z,"20 km NNW of Flexbury, United Kingdom",earthquake,,,,,reviewed,bgs,ldg
2002-10-24T08:24:54.700Z,53.485,-2.179,3.7,3.8,ml,23.0,,,,us,usp000bf7c,2014-11-07T01:16:48.575Z,"2 km WNW of Droylsden, United Kingdom",earthquake,,,,,reviewed,bgs,ldg
2002-10-22T12:28:08.400Z,53.473,-2.146,4.2,3.5,ml,24.0,,,,us,usp000bf0s,2014-11-07T01:16:47.625Z,"0 km S of Droylsden, United Kingdom",earthquake,,,,,reviewed,bgs,ldg
2002-10-21T11:42:34.900Z,53.478,-2.219,5.0,4.3,ml,46.0,,,,us,usp000beyx,2014-11-07T01:16:47.416Z,"1 km ESE of Manchester, United Kingdom",earthquake,,,,,reviewed,bgs,ldg
2002-10-21T07:45:15.800Z,53.475,-2.0,5.0,3.7,ml,19.0,,,,us,usp000beyp,2014-11-07T01:16:47.399Z,"0 km N of Longdendale, United Kingdom",earthquake,,,,,reviewed,bgs,ldg
2002-09-22T23:53:14.600Z,52.52,-2.15,9.4,4.8,mb,268.0,,,,us,usp000bcxg,2020-09-18T19:03:39.229Z,"2 km ESE of Wombourn, United Kingdom",earthquake,,,,13.0,reviewed,bgs,us
2004-01-29T20:23:35.100Z,51.089,-2.98,6.5,3.7,ml,40.0,128.1,,,us,usp000cjyu,2014-11-07T01:21:10.269Z,"2 km E of North Petherton, United Kingdom",earthquake,,,,,reviewed,bgs,ldg
2004-01-29T10:56:53.000Z,51.089,-2.98,6.5,3.6,ml,34.0,128.1,,,us,usp000cjxy,2014-11-07T01:21:10.190Z,"2 km E of North Petherton, United Kingdom",earthquake,,,,,reviewed,bgs,ldg
2005-02-14T18:44:00.800Z,53.265,-3.853,4.9,3.8,ml,51.0,94.7,,,us,usp000dg4z,2014-11-07T01:24:59.654Z,"2 km SW of Conwy, United Kingdom",earthquake,,,,,reviewed,bgs,ldg
2005-08-24T14:32:15.500Z,49.891,-4.222,11.9,3.6,ml,27.0,282.5,,,us,usp000dxyp,2014-11-07T01:26:52.051Z,"48 km SSW of Newton Ferrers, United Kingdom",earthquake,,,,,reviewed,bgs,ldg
2006-12-30T09:15:43.000Z,53.666,0.998,11.0,3.6,ml,34.0,195.7,,,us,usp000f1ag,2014-11-07T01:31:13.175Z,"58 km E of Easington, United Kingdom",earthquake,,,,,reviewed,bgs,ldg
2006-12-26T10:40:04.400Z,55.085,-3.634,7.7,3.6,ml,87.0,50.4,,,us,usp000f10w,2014-11-07T01:31:11.643Z,"2 km NW of Dumfries, United Kingdom",earthquake,,,,,reviewed,bgs,bgs
2008-02-27T00:56:47.800Z,53.403,-0.332,18.4,4.8,mb,361.0,19.2,,,us,usp000g02w,2022-07-13T21:19:10.218Z,"1 km NNE of Market Rasen, United Kingdom",earthquake,,,,55.0,reviewed,bgs,us
2009-03-03T14:35:55.900Z,51.116,1.178,3.5,3.5,ml,17.0,93.5,,,us,usp000guke,2022-07-15T05:08:40.865Z,"1 km ENE of Hawkinge, United Kingdom",earthquake,,,,,reviewed,bgs,csem
2008-10-26T18:06:26.000Z,52.212,-2.512,9.3,3.9,ml,96.0,53.7,,,us,usp000gm35,2014-11-07T01:37:32.689Z,"2 km N of Bromyard, United Kingdom",earthquake,,,,,reviewed,bgs,ldg
2008-10-10T04:28:39.300Z,56.829,-5.557,12.5,3.5,ml,42.0,116.1,,,us,usp000gjuf,2014-11-07T01:37:26.726Z,"27 km W of Fort William, United Kingdom",earthquake,,,,,reviewed,bgs,bgs
2009-04-28T10:22:09.510Z,54.167,-3.017,8.8,3.7,ml,70.0,91.2,,,us,usp000gwn8,2014-11-07T01:38:50.565Z,"3 km WSW of Flookburgh, United Kingdom",earthquake,,,,,reviewed,bgs,bgs
2009-03-03T14:35:55.900Z,51.116,1.178,3.5,3.5,ml,17.0,93.5,,,us,usp000guke,2022-07-15T05:08:40.865Z,"1 km ENE of Hawkinge, United Kingdom",earthquake,,,,,reviewed,bgs,csem
2011-01-23T06:02:49.300Z,56.822,-5.784,16.2,3.5,ml,13.0,150.7,,,us,usp000hthp,2014-11-07T01:43:28.776Z,"28 km NE of Tobermory, United Kingdom",earthquake,,,,,reviewed,bgs,bgs
2011-01-03T21:03:09.400Z,54.169,-1.652,6.0,3.6,ml,23.0,88.0,,,us,usp000hsj4,2022-07-19T01:54:07.957Z,"5 km S of Masham, United Kingdom",earthquake,,,,,reviewed,bgs,bgs
2010-12-21T22:59:12.700Z,54.39,-3.146,12.6,3.5,ml,31.0,62.5,,,us,usp000hrck,2014-11-07T01:43:11.102Z,"12 km WSW of Ambleside, United Kingdom",earthquake,,,,,reviewed,bgs,bgs
2011-07-14T06:59:10.900Z,50.122,-0.743,10.0,3.9,ml,85.0,47.7,,,us,usp000j4v4,2014-11-07T01:45:21.736Z,"62 km SSE of Ventnor, United Kingdom",earthquake,,,,,reviewed,bgs,bgs
2012-06-06T07:58:13.900Z,54.151,-10.904,3.0,4.0,ml,46.0,123.1,,,us,usp000jmdw,2015-03-24T02:41:11.623Z,"60 km W of Belmullet, Ireland",earthquake,,,,,reviewed,bgs,bgs
2014-02-20T13:21:30.000Z,51.363,-4.164,3.0,4.1,ml,,,,0.87,us,usc000muba,2014-05-07T00:03:04.000Z,"17 km NNW of Ilfracombe, United Kingdom",earthquake,,1.9,,,reviewed,bgs,bgs
2013-05-29T03:16:28.900Z,52.883,-4.719,10.0,3.8,ml,74.0,135.2,,,us,usb000h7yc,2022-07-25T03:33:09.674Z,"14 km WSW of Nefyn, United Kingdom",earthquake,,,,,reviewed,bgs,bgs
2015-01-28T22:25:53.700Z,52.727,-0.717,3.0,3.8,ml,,,,0.83,us,usc000tjwv,2022-07-27T17:30:31.688Z,"2 km WSW of Market Overton, United Kingdom",earthquake,2.1,6.6,,,reviewed,bgs,bgs
2014-07-11T11:54:32.200Z,49.151,-2.419,12.4,3.9,mb,,,,1.48,us,usb000rrzr,2022-07-26T19:30:54.853Z,"23 km W of Saint Helier, Jersey",earthquake,,4.8,0.297,3.0,reviewed,bgs,us
2014-04-18T06:50:51.500Z,52.722,-0.732,2.0,3.5,ml,,,,1.55,us,usb000ppvz,2014-07-04T01:33:34.000Z,"3 km WSW of Market Overton, United Kingdom",earthquake,,6.2,,,reviewed,bgs,bgs
2015-08-06T15:03:59.300Z,53.176,2.168,4.0,4.2,mb,,,,1.28,us,us100034gi,2015-11-06T18:06:28.040Z,"59 km ENE of Mundesley, United Kingdom",earthquake,7.1,4.9,0.121,19.0,reviewed,bgs,us
2015-05-22T01:52:17.900Z,51.304,1.438,12.0,3.7,mwr,,,,1.84,us,us10002bap,2022-08-07T08:02:15.680Z,"3 km SSE of Ramsgate, United Kingdom",earthquake,6.1,4.7,0.062,25.0,reviewed,bgs,us
