time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1982-12-28T19:06:24.000Z,38.03,-118.35,18.0,4.7,mb,,,,,us,usp0001rub,2018-06-04T20:43:45.000Z,"25 km NNE of Benton, California",earthquake,,,,19.0,reviewed,brk,us
1982-11-27T10:05:50.100Z,40.265,-126.942,5.0,3.8,ml,,,,,us,usp0001r4x,2014-11-07T00:32:14.467Z,"229 km W of Ferndale, California",earthquake,,,,,reviewed,brk,brk
1982-10-14T16:11:31.600Z,37.46,-118.837,5.0,3.9,ml,,,,,us,usp0001q83,2016-02-02T19:38:10.040Z,"15 km SW of Aspen Springs, California",earthquake,,,,,reviewed,brk,brk
1982-10-04T02:23:59.000Z,37.862,-118.088,5.0,4.0,ml,,,,,us,usp0001q0k,2016-02-02T22:13:52.050Z,"21 km N of Dyer, Nevada",earthquake,,,,,reviewed,brk,pas
1982-10-02T09:33:05.900Z,37.872,-118.285,5.0,4.0,ml,,,,,us,usp0001pzp,2016-02-02T18:15:26.700Z,"17 km ENE of Benton, California",earthquake,,,,,reviewed,brk,pas
1982-09-24T07:40:24.300Z,37.852,-118.123,5.0,5.0,mb,,,,,us,usp0001psv,2022-04-28T00:26:52.573Z,"21 km NNW of Dyer, Nevada",earthquake,,,,16.0,reviewed,brk,us
1982-08-30T09:52:23.200Z,38.173,-118.438,5.0,3.6,ml,,,,,us,usp0001pb2,2016-02-03T00:46:41.430Z,"37 km SW of Mina, Nevada",earthquake,,,,,reviewed,brk,pas
1982-08-29T21:08:04.000Z,38.165,-118.432,5.0,4.0,ml,,,,,us,usp0001pan,2016-02-02T19:30:40.020Z,"37 km SW of Mina, Nevada",earthquake,,,,,reviewed,brk,brk
1982-04-15T21:52:08.600Z,38.035,-118.502,20.0,4.5,mb,,,,,us,usp0001krd,2018-06-04T20:43:45.000Z,"24 km N of Benton, California",earthquake,,,,5.0,reviewed,brk,us
1984-02-20T01:24:34.300Z,40.592,-126.447,5.0,3.6,ml,,,,,us,usp0002242,2016-12-01T22:34:40.844Z,"184 km W of Ferndale, California",earthquake,,,,,reviewed,brk,brk
1984-02-17T12:16:46.600Z,38.848,-119.673,20.0,3.6,ml,,,,,us,usp000221u,2014-11-07T00:34:30.864Z,California-Nevada border region,earthquake,,,,,reviewed,brk,brk
