time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2002-12-30T15:41:35.360Z,45.679,26.565,153.5,4.5,md,26.0,,,,us,usp000bmr5,2014-11-07T01:17:26.859Z,"10 km WSW of Nereju Mic, Romania",earthquake,,,,,reviewed,buc,buc
2004-01-08T12:38:29.610Z,45.839,26.716,103.0,3.5,md,5.0,139.0,,,us,usp000cher,2014-11-07T01:21:00.253Z,"1 km WNW of Nistore?ti, Romania",earthquake,,,,,reviewed,buc,buc
2003-11-25T23:21:39.630Z,45.392,26.448,130.5,3.7,md,6.0,101.0,,,us,usp000cdw8,2014-11-07T01:20:33.538Z,"2 km WNW of Bozioru, Romania",earthquake,,,,,reviewed,buc,buc
2003-11-20T12:59:30.310Z,45.749,26.69,140.0,3.9,md,8.0,127.7,,,us,usp000cdg8,2014-11-07T01:20:31.796Z,"4 km NNW of Nereju, Romania",earthquake,,,,,reviewed,buc,buc
2003-09-16T09:25:15.760Z,45.666,26.654,86.8,4.0,md,16.0,123.5,,,us,usp000c7pw,2014-11-07T01:19:49.949Z,"5 km SW of Nereju Mic, Romania",earthquake,,,,,reviewed,buc,buc
2003-03-26T06:08:54.410Z,45.485,26.457,135.5,4.1,md,6.0,115.2,,,us,usp000bthd,2014-11-07T01:18:08.564Z,"3 km E of Gura Teghii, Romania",earthquake,,,,,reviewed,buc,buc
2005-03-06T22:32:49.080Z,45.62,26.502,146.1,4.0,mb,51.0,37.0,,,us,usp000dhpv,2014-11-07T01:25:12.033Z,"16 km NNW of Lop?tari, Romania",earthquake,,,,3.0,reviewed,buc,us
2005-02-25T13:05:38.030Z,42.994,26.644,7.8,3.8,ml,4.0,308.2,,,us,usp000dgxs,2014-11-07T01:25:03.536Z,Bulgaria,earthquake,,,,,reviewed,buc,buc
2005-02-14T23:37:01.920Z,45.398,22.435,20.9,4.2,ml,21.0,98.9,,,us,usp000dg5g,2014-11-07T01:24:59.716Z,"7 km ENE of Borlova, Romania",earthquake,,,,,reviewed,buc,buc
2005-02-13T05:19:42.750Z,47.701,26.683,4.7,4.1,ml,7.0,224.5,,,us,usp000dg11,2014-11-07T01:24:59.179Z,"2 km N of Or??eni-Deal, Romania",earthquake,,,,,reviewed,buc,buc
2005-02-12T00:01:25.760Z,44.41,26.877,0.0,3.6,ml,8.0,183.7,,,us,usp000dfyg,2014-11-07T01:24:58.816Z,"1 km SSW of R?zvani, Romania",earthquake,,,,,reviewed,buc,buc
2005-02-01T19:26:00.280Z,45.441,25.389,0.0,3.5,ml,9.0,93.1,,,us,usp000dfc9,2014-11-07T01:24:53.699Z,"5 km SSE of ?imon, Romania",earthquake,,,,,reviewed,buc,buc
2005-01-18T17:15:30.270Z,45.139,28.875,0.1,3.8,ml,6.0,312.4,,,us,usp000ddq5,2014-11-07T01:24:41.499Z,"1 km W of Malcoci, Romania",earthquake,,,,,reviewed,buc,buc
2004-11-24T18:36:55.840Z,45.158,28.789,3.5,3.8,ml,9.0,179.6,,,us,usp000d947,2014-11-07T01:24:04.776Z,"2 km SSW of Tulcea, Romania",earthquake,,,,,reviewed,buc,buc
2004-11-23T18:33:27.070Z,45.684,26.751,115.4,3.7,mb,28.0,88.1,,,us,usp000d921,2014-11-07T01:24:04.547Z,"4 km SE of Nereju, Romania",earthquake,,,,2.0,reviewed,buc,us
2004-11-16T16:34:03.110Z,45.147,28.889,1.0,3.7,ml,5.0,254.6,,,us,usp000d8km,2014-11-07T01:24:01.565Z,"0 km N of Malcoci, Romania",earthquake,,,,,reviewed,buc,buc
2004-09-12T04:26:09.070Z,45.465,26.373,139.0,3.9,md,8.0,116.6,,,us,usp000d449,2014-11-07T01:23:28.219Z,"2 km WNW of Furtune?ti, Romania",earthquake,,,,,reviewed,buc,buc
2004-04-22T16:08:47.750Z,45.458,26.407,123.8,3.8,md,4.0,112.8,,,us,usp000ct4z,2014-11-07T01:22:04.348Z,"0 km ESE of Furtune?ti, Romania",earthquake,,,,,reviewed,buc,buc
2004-04-21T01:03:22.570Z,45.656,26.548,151.7,3.6,md,4.0,141.9,,,us,usp000ct0p,2014-11-07T01:22:03.769Z,"12 km WSW of Nereju Mic, Romania",earthquake,,,,,reviewed,buc,buc
2004-04-02T03:21:05.080Z,45.669,26.657,133.2,3.9,md,5.0,123.4,,,us,usp000crg1,2014-11-07T01:21:52.158Z,"5 km SW of Nereju Mic, Romania",earthquake,,,,,reviewed,buc,buc
2004-03-31T23:06:01.600Z,45.485,26.549,114.0,3.6,md,4.0,110.5,,,us,usp000crd3,2014-11-07T01:21:49.126Z,"2 km W of Lop?tari, Romania",earthquake,,,,,reviewed,buc,buc
2006-02-18T11:36:58.020Z,45.595,26.538,143.5,3.8,md,8.0,83.8,,,us,usp000ea9v,2014-11-07T01:28:19.899Z,"12 km NNW of Lop?tari, Romania",earthquake,,,,,reviewed,buc,irsa
2006-02-16T02:49:40.270Z,45.699,26.686,122.7,4.6,mb,76.0,41.1,,,us,usp000ea4s,2014-11-07T01:28:18.758Z,"1 km SW of Nereju Mic, Romania",earthquake,,,,22.0,reviewed,buc,us
2006-02-06T10:47:06.480Z,44.73,28.077,30.0,3.6,md,12.0,133.2,,,us,usp000e9mh,2014-11-07T01:28:16.922Z,"4 km S of Gârliciu, Romania",earthquake,,,,,reviewed,buc,irsa
2006-01-30T20:12:50.260Z,46.091,27.631,10.0,4.1,md,69.0,74.6,,,us,usp000e95j,2014-11-07T01:28:10.764Z,"2 km WSW of B?l??e?ti, Romania",earthquake,,,,,reviewed,buc,irsa
2005-12-18T15:09:48.820Z,45.374,26.095,59.7,3.8,md,57.0,44.9,,,us,usp000e6cq,2014-11-07T01:27:54.790Z,"4 km ENE of Slon, Romania",earthquake,,,,,reviewed,buc,sof
2005-12-03T07:49:51.310Z,45.855,27.271,30.0,4.7,md,25.0,69.6,,,us,usp000e5du,2014-11-07T01:27:49.643Z,"2 km SW of Cosme?tii-Vale, Romania",earthquake,,,,,reviewed,buc,irsa
2005-11-15T16:41:32.710Z,45.826,27.199,29.6,4.1,mb,51.0,48.5,,,us,usp000e486,2014-11-07T01:27:39.658Z,"1 km ENE of Ige?ti, Romania",earthquake,,,,4.0,reviewed,buc,us
2005-10-26T22:51:22.810Z,45.641,26.555,143.2,4.1,mb,103.0,43.5,,,us,usp000e2ws,2014-11-07T01:27:29.401Z,"13 km WSW of Nereju Mic, Romania",earthquake,,,,23.0,reviewed,buc,us
2005-10-21T01:17:38.910Z,45.53,26.477,117.2,4.8,md,32.0,58.9,,,us,usp000e2cn,2014-11-07T01:27:27.298Z,"7 km NE of Gura Teghii, Romania",earthquake,,,,,reviewed,buc,irsa
2005-10-13T14:03:17.790Z,45.714,26.447,110.0,4.0,md,15.0,91.9,,,us,usp000e1r0,2014-11-07T01:27:23.074Z,"15 km ESE of Comand?u, Romania",earthquake,,,,,reviewed,buc,irsa
2005-09-29T02:59:56.950Z,45.659,26.521,132.9,3.9,md,8.0,136.5,,,us,usp000e0g0,2014-11-07T01:27:11.197Z,"14 km WSW of Nereju Mic, Romania",earthquake,,,,,reviewed,buc,irsa
2005-09-17T06:08:44.120Z,45.593,26.456,139.4,4.3,md,39.0,37.2,,,us,usp000dzkj,2014-11-07T01:27:05.100Z,"12 km NNE of Gura Teghii, Romania",earthquake,,,,,reviewed,buc,irsa
2005-09-10T04:56:55.390Z,45.259,27.206,22.0,4.0,ml,26.0,85.4,,,us,usp000dz5e,2014-11-07T01:27:02.857Z,"0 km SSE of Ghergheasa, Romania",earthquake,,,,,reviewed,buc,buc
2005-09-08T16:35:50.980Z,45.528,26.356,139.3,4.2,mb,121.0,21.4,,,us,usp000dz0q,2014-11-07T01:27:02.179Z,"6 km NW of Gura Teghii, Romania",earthquake,,,,34.0,reviewed,buc,us
2005-08-25T17:53:55.800Z,44.785,27.012,10.0,4.0,ml,23.0,92.5,,,us,usp000dy1j,2014-11-07T01:26:52.364Z,"2 km N of Colelia, Romania",earthquake,,,,,reviewed,buc,buc
2005-08-23T22:54:01.750Z,45.58,26.486,130.0,3.6,m,15.0,72.2,,,us,usp000dxx8,2014-11-07T01:26:51.790Z,"12 km NNE of Gura Teghii, Romania",earthquake,,,,,reviewed,buc,buc
2005-08-21T02:48:36.980Z,45.516,27.857,4.5,3.6,ml,17.0,106.2,,,us,usp000dxrx,2014-11-07T01:26:51.075Z,"3 km ENE of Schela, Romania",earthquake,,,,,reviewed,buc,buc
2005-08-19T18:34:41.980Z,44.94,25.273,10.1,3.9,ml,13.0,103.7,,,us,usp000dxp0,2014-11-07T01:26:50.332Z,"3 km WSW of Dr?g?e?ti Ungureni, Romania",earthquake,,,,,reviewed,buc,buc
2005-08-19T07:12:26.310Z,45.6,26.692,107.5,4.1,m,10.0,102.8,,,us,usp000dxn3,2014-11-07T01:26:50.207Z,"2 km NW of Jitia, Romania",earthquake,,,,,reviewed,buc,buc
2005-08-17T13:35:24.950Z,45.584,26.432,152.0,4.0,m,16.0,80.4,,,us,usp000dxhr,2014-11-07T01:26:49.906Z,"11 km N of Gura Teghii, Romania",earthquake,,,,,reviewed,buc,buc
2005-08-15T15:20:26.510Z,45.525,27.547,5.8,3.8,ml,8.0,169.2,,,us,usp000dxd0,2014-11-07T01:26:49.248Z,"1 km SSW of N?moloasa, Romania",earthquake,,,,,reviewed,buc,buc
2005-08-02T09:33:30.390Z,45.473,26.376,135.6,4.0,m,15.0,53.9,,,us,usp000dwgh,2014-11-07T01:26:42.179Z,"2 km NW of Furtune?ti, Romania",earthquake,,,,,reviewed,buc,buc
2005-05-17T22:48:14.580Z,45.381,26.293,148.3,3.9,m,14.0,69.9,,,us,usp000dr2e,2014-11-07T01:25:55.404Z,"2 km SW of P?ltineni, Romania",earthquake,,,,,reviewed,buc,buc
2005-05-14T01:53:20.660Z,45.684,26.437,148.9,5.2,mwc,628.0,11.6,,,us,usp000dqrj,2022-07-14T16:11:54.355Z,"16 km SE of Comand?u, Romania",earthquake,,,,,reviewed,buc,hrv
2005-05-13T00:36:05.390Z,45.798,26.708,80.0,3.8,m,11.0,110.0,,,us,usp000dqnm,2014-11-07T01:25:52.746Z,"1 km NNW of Paltin, Romania",earthquake,,,,,reviewed,buc,buc
2005-05-09T06:53:54.750Z,45.463,26.334,135.8,4.1,m,18.0,56.9,,,us,usp000dq8y,2014-11-07T01:25:50.536Z,"1 km NNW of Bâsca Rozilei, Romania",earthquake,,,,,reviewed,buc,buc
2005-04-22T12:34:21.250Z,45.41,26.344,114.8,3.7,m,10.0,118.1,,,us,usp000dp05,2014-11-07T01:25:39.619Z,"2 km NE of P?ltineni, Romania",earthquake,,,,,reviewed,buc,buc
2005-04-18T12:29:21.560Z,45.183,28.938,5.7,3.5,ml,4.0,295.2,,,us,usp000dnpb,2014-11-07T01:25:37.824Z,"4 km NNE of Nuf?ru, Romania",earthquake,,,,,reviewed,buc,buc
2005-04-07T15:49:24.790Z,46.384,27.897,0.0,3.7,ml,8.0,167.2,,,us,usp000dmh0,2014-11-07T01:25:30.424Z,"1 km E of Vii?oara, Romania",earthquake,,,,,reviewed,buc,buc
2005-04-04T18:59:07.010Z,45.385,26.48,115.5,4.2,m,17.0,53.2,,,us,usp000dm8f,2014-11-07T01:25:29.284Z,"0 km NW of Bozioru, Romania",earthquake,,,,,reviewed,buc,buc
