time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1986-10-24T04:54:47.700Z,46.303,-112.043,3.4,3.5,ml,,,,,us,usp0002z9n,2014-11-07T00:39:11.396Z,"8 km WNW of Elkhorn, Montana",earthquake,,,,,reviewed,but,us
1986-10-18T18:55:38.700Z,46.292,-112.023,5.0,3.5,ml,,,,,us,usp0002z21,2014-11-07T00:39:09.770Z,"6 km WNW of Elkhorn, Montana",earthquake,,,,,reviewed,but,us
1987-08-20T05:39:14.200Z,45.54,-111.664,5.4,3.5,ml,,,,,us,usp00037nj,2014-11-07T00:40:49.241Z,"20 km SSE of Harrison, Montana",earthquake,,,,,reviewed,but,but
1987-07-22T06:18:52.000Z,45.566,-111.691,7.3,3.5,ml,,,,,us,usp00036ut,2014-11-07T00:40:41.733Z,"16 km SSE of Harrison, Montana",earthquake,,,,,reviewed,but,but
1987-07-22T05:23:06.800Z,45.552,-111.68,3.8,4.0,mb,,,,,us,usp00036up,2014-11-07T00:40:41.726Z,"18 km SSE of Harrison, Montana",earthquake,,,,3.0,reviewed,but,us
1987-07-21T20:35:39.800Z,45.555,-111.685,4.7,3.6,ml,,,,,us,usp00036u3,2014-11-07T00:40:41.677Z,"18 km SSE of Harrison, Montana",earthquake,,,,,reviewed,but,but
1987-05-27T12:05:06.000Z,45.582,-111.705,6.1,3.6,ml,,,,,us,usp000359w,2014-11-07T00:40:26.906Z,"14 km SSE of Harrison, Montana",earthquake,,,,,reviewed,but,us
1989-01-30T11:47:30.900Z,45.928,-111.568,0.3,3.8,md,,,,,us,usp0003rcm,2014-11-07T00:43:30.199Z,"4 km NNW of Three Forks, Montana",earthquake,,,,,reviewed,but,but
1990-02-02T07:49:08.600Z,44.39,-112.737,0.2,3.9,ml,,,,,us,usp00044zn,2014-11-07T00:45:38.664Z,"29 km SSW of Lima, Montana",earthquake,,,,,reviewed,but,but
1990-01-02T22:09:18.400Z,46.227,-111.397,0.5,3.7,ml,,,,,us,usp00043va,2014-11-07T00:45:27.835Z,"6 km NNE of Toston, Montana",earthquake,,,,,reviewed,but,but
1989-09-17T08:47:16.900Z,47.34,-113.87,19.0,3.6,ml,,,,,us,usp0003zpq,2014-11-07T00:44:52.873Z,"17 km E of Saint Ignatius, Montana",earthquake,,,,,reviewed,but,but
1989-08-25T20:06:37.900Z,45.91,-111.29,9.6,3.6,ml,,,,,us,usp0003ywp,2014-11-07T00:44:44.954Z,"6 km NNE of Manhattan, Montana",earthquake,,,,,reviewed,but,but
1989-08-07T13:30:50.800Z,45.898,-111.288,0.3,4.0,mb,,,,,us,usp0003y6k,2014-11-07T00:44:40.894Z,"5 km NE of Manhattan, Montana",earthquake,,,,4.0,reviewed,but,us
1989-06-16T22:25:22.800Z,45.705,-111.368,1.3,3.6,ml,,,,,us,usp0003wbb,2014-11-07T00:44:23.020Z,"6 km SSW of Amsterdam, Montana",earthquake,,,,,reviewed,but,but
1992-02-17T01:32:30.500Z,44.77,-112.353,10.1,4.0,ml,,,,,us,usp000535e,2014-11-07T00:50:06.351Z,"24 km NE of Lima, Montana",earthquake,,,,,reviewed,but,gs$
1993-07-02T20:07:10.100Z,45.937,-111.332,5.1,3.5,ml,,,,,us,usp0005vhd,2014-11-07T00:53:23.879Z,"8 km N of Manhattan, Montana",earthquake,,,,,reviewed,but,but
1993-03-17T14:21:10.600Z,45.55,-111.681,6.2,3.6,ml,,,,,us,usp0005pp7,2014-11-07T00:52:36.129Z,"18 km SSE of Harrison, Montana",earthquake,,,,,reviewed,but,but
1996-03-10T12:16:24.000Z,44.773,-112.712,8.4,4.0,ml,,,,,us,usp0007ek0,2014-11-07T01:00:05.414Z,"17 km NNW of Lima, Montana",earthquake,,,,,reviewed,but,but
1996-02-26T03:27:10.500Z,44.785,-112.685,7.5,3.6,ml,,,,,us,usp0007dy8,2014-11-07T00:59:58.735Z,"18 km NNW of Lima, Montana",earthquake,,,,,reviewed,but,but
1996-02-17T18:29:36.770Z,44.77,-112.705,8.6,3.8,ml,,,,,us,usp0007d6j,2014-11-07T00:59:54.785Z,"17 km NNW of Lima, Montana",earthquake,,,,,reviewed,but,but
1996-01-17T17:31:00.900Z,44.782,-112.711,8.2,3.7,ml,,,,,us,usp0007b92,2014-11-07T00:59:41.378Z,"18 km NNW of Lima, Montana",earthquake,,,,,reviewed,but,but
1995-09-24T21:55:08.600Z,45.517,-111.892,4.6,3.9,ml,,,,,us,usp00073xr,2014-11-07T00:58:46.787Z,"15 km S of Pony, Montana",earthquake,,,,,reviewed,but,gs$
1995-09-24T17:02:22.940Z,45.518,-111.891,4.1,3.7,ml,,,,,us,usp00073x2,2014-11-07T00:58:46.719Z,"15 km S of Pony, Montana",earthquake,,,,,reviewed,but,but
1995-05-02T20:47:07.900Z,48.133,-114.493,9.0,3.8,mb,,,,,us,usp0006wr5,2014-11-07T00:57:51.385Z,"3 km WNW of Kila, Montana",earthquake,,,,1.0,reviewed,but,us
1995-05-02T19:31:02.200Z,48.142,-114.479,9.0,4.1,mb,,,,,us,usp0006wr1,2014-11-07T00:57:51.352Z,"2 km NW of Kila, Montana",earthquake,,,,1.0,reviewed,but,us
1997-02-02T20:14:40.900Z,47.818,-114.22,5.0,3.6,md,,,,,us,usp0007wpa,2014-11-07T01:02:05.045Z,"1 km NNE of Lindisfarne, Montana",earthquake,,,,,reviewed,but,but
