time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2002-09-27T16:26:43.400Z,10.73,-62.34,43.6,4.5,md,10.0,,,,us,usp000bd8d,2014-11-07T01:16:35.185Z,"17 km NNW of Güiria, Venezuela",earthquake,,,,,reviewed,car,car
2002-09-22T08:10:16.100Z,10.65,-62.59,85.0,3.7,md,9.0,,,,us,usp000bcvc,2014-11-07T01:16:33.754Z,"32 km WNW of Güiria, Venezuela",earthquake,,,,,reviewed,car,car
2003-10-02T06:00:46.600Z,10.52,-63.43,0.1,4.0,mb,20.0,120.7,,,us,usp000c9b0,2014-11-07T01:20:07.003Z,"25 km SW of Carúpano, Venezuela",earthquake,,,,8.0,reviewed,car,us
2004-12-25T09:08:36.400Z,10.4,-72.57,9.4,4.4,mb,50.0,60.2,,,us,usp000dbdf,2014-11-07T01:24:21.489Z,"29 km WNW of La Villa del Rosario, Venezuela",earthquake,,,,7.0,reviewed,car,us
2004-12-11T04:45:22.200Z,10.99,-62.31,95.3,4.5,mb,43.0,101.4,,,us,usp000daf4,2014-11-07T01:24:15.755Z,"45 km N of Güiria, Venezuela",earthquake,,,,8.0,reviewed,car,us
2004-09-13T02:59:38.000Z,9.19,-70.09,1.4,4.7,mb,94.0,51.3,,,us,usp000d466,2014-11-07T01:23:28.701Z,"41 km WNW of Guanare, Venezuela",earthquake,,,,34.0,reviewed,car,us
2006-03-02T00:48:07.400Z,10.423,-72.154,161.7,4.2,mw,41.0,41.3,,,us,usp000eb4z,2014-11-07T01:28:26.003Z,"20 km ENE of La Villa del Rosario, Venezuela",earthquake,,,,,reviewed,car,car
2006-02-09T19:53:28.800Z,10.377,-62.702,16.4,4.2,mw,37.0,83.8,,,us,usp000e9ut,2014-11-07T01:28:17.697Z,"49 km WSW of Güiria, Venezuela",earthquake,,,,,reviewed,car,car
2006-02-03T00:49:02.100Z,10.585,-63.724,1.5,4.2,mw,23.0,49.5,,,us,usp000e9br,2014-11-07T01:28:14.763Z,"44 km SSE of Porlamar, Venezuela",earthquake,,,,,reviewed,car,car
2006-01-23T23:46:12.600Z,9.085,-70.044,0.1,4.8,mw,57.0,44.8,,,us,usp000e8rw,2014-11-07T01:28:09.032Z,"33 km W of Guanare, Venezuela",earthquake,,,,,reviewed,car,car
