time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2004-12-05T01:52:37.200Z,48.115,8.077,10.0,4.8,mwc,315.0,12.0,,,us,usp000da1z,2022-07-14T19:21:39.715Z,"6 km S of Elzach, Germany",earthquake,,,,,reviewed,csem,hrv
2004-09-21T15:48:04.800Z,42.3,2.46,2.0,4.5,mb,244.0,56.1,,,us,usp000d4t5,2014-11-07T01:23:32.243Z,"7 km E of Camprodon, Spain",earthquake,,,,8.0,reviewed,csem,us
2006-02-22T15:28:15.400Z,39.133,24.315,5.0,3.9,md,48.0,39.8,,,us,usp000eakx,2014-11-07T01:28:20.972Z,"33 km NW of Skýros, Greece",earthquake,,,,,reviewed,csem,ath
2006-02-20T17:20:09.000Z,41.708,25.544,10.0,4.6,mb,140.0,38.6,,,us,usp000eaez,2020-09-18T20:52:56.109Z,"16 km ENE of Kardzhali, Bulgaria",earthquake,,,,7.0,reviewed,csem,us
2006-02-02T09:49:49.900Z,27.884,34.411,2.0,4.5,mb,109.0,74.1,,,us,usp000e9ae,2014-11-07T01:28:14.158Z,"8 km ESE of Sharm el-Sheikh, Egypt",earthquake,,,,19.0,reviewed,csem,us
2006-01-20T23:09:26.500Z,42.627,26.549,10.0,4.0,ml,42.0,68.0,,,us,usp000e8jc,2014-11-07T01:28:07.819Z,"11 km WNW of Straldzha, Bulgaria",earthquake,,,,,reviewed,csem,buc
2005-10-29T10:17:07.300Z,35.46,22.44,80.0,4.0,mb,136.0,113.2,,,us,usp000e32u,2014-11-07T01:27:30.216Z,"91 km SSW of Kýthira, Greece",earthquake,,,,24.0,reviewed,csem,us
2005-08-22T12:02:08.600Z,41.47,12.53,10.0,4.8,mwc,312.0,71.4,,,us,usp000dxud,2022-07-14T15:03:13.771Z,"6 km SW of Lavinio, Italy",earthquake,,,,,reviewed,csem,hrv
2005-08-02T21:35:21.300Z,34.12,21.99,25.0,4.3,ml,50.0,232.6,,,us,usp000dwhm,2014-11-07T01:26:42.732Z,"152 km N of Al Bay??’, Libya",earthquake,,,,,reviewed,csem,the
2005-06-06T07:41:28.700Z,39.22,41.08,10.0,5.6,mwc,290.0,60.2,,,us,usp000dsbj,2022-05-02T16:45:46.299Z,"10 km SE of Karl?ova, Turkey",earthquake,,,,,reviewed,csem,hrv
2005-04-26T18:22:08.900Z,39.05,26.0,10.0,3.5,md,19.0,126.7,,,us,usp000dpac,2014-11-07T01:25:41.491Z,"14 km SSE of Eresós, Greece",earthquake,,,,,reviewed,csem,ath
2005-04-18T06:42:50.700Z,45.93,-1.31,10.0,5.2,mb,116.0,54.1,,,us,usp000dnnm,2020-09-18T20:32:16.475Z,"1 km SSW of Saint-Pierre-d'Oléron, France",earthquake,,,,2.0,reviewed,csem,us
2006-05-25T08:04:02.600Z,39.537,48.079,30.0,3.9,mblg,26.0,62.7,,,us,usp000ehwz,2014-11-07T01:29:10.845Z,"18 km SE of P?rs?b?d, Iran",earthquake,,,,,reviewed,csem,teh
2006-05-10T07:29:54.900Z,43.021,22.796,2.0,4.1,ml,71.0,31.4,,,us,usp000egrq,2014-11-07T01:29:05.244Z,"15 km NW of Dragoman, Bulgaria",earthquake,,,,,reviewed,csem,the
2006-04-26T08:25:49.600Z,36.44,6.44,2.0,4.2,ml,42.0,92.1,,,us,usp000efhw,2014-11-07T01:28:55.185Z,"14 km WNW of Hamma Bouziane, Algeria",earthquake,,,,,reviewed,csem,csem
2006-04-23T16:46:15.200Z,37.577,20.892,10.0,4.1,ml,62.0,99.6,,,us,usp000efc1,2014-11-07T01:28:54.190Z,"16 km SSE of Lithakiá, Greece",earthquake,,,,,reviewed,csem,csem
2007-05-02T12:49:12.200Z,46.49,14.544,2.0,3.7,ml,126.0,21.9,,,us,usp000fb33,2014-11-07T01:32:22.946Z,"6 km SSE of Gallizien, Austria",earthquake,,,,,reviewed,csem,csem
2009-02-07T18:39:29.300Z,42.774,25.227,2.0,3.8,ml,5.0,207.7,,,us,usp000gthe,2014-11-07T01:38:20.889Z,"10 km NW of Shipka, Bulgaria",earthquake,,,,,reviewed,csem,csem
2009-02-03T22:09:11.400Z,44.359,18.06,2.0,4.0,ml,134.0,20.7,,,us,usp000gted,2014-11-07T01:38:19.907Z,"7 km SSE of Žep?e, Bosnia and Herzegovina",earthquake,,,,,reviewed,csem,csem
2008-11-22T22:27:55.100Z,49.914,18.455,2.0,4.1,ml,56.0,52.4,,,us,usp000gp81,2021-10-20T17:51:56.183Z,"2 km SW of Godów, Poland",earthquake,,,,,reviewed,csem,grf
2008-11-05T05:38:46.400Z,35.828,7.677,5.0,3.9,ml,35.0,94.4,,,us,usp000gmzv,2014-11-07T01:37:41.125Z,"19 km WSW of El Aouinet, Algeria",earthquake,,,,,reviewed,csem,sbs
