time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2011-11-02T20:48:22.000Z,38.781,43.342,5.0,4.2,mb,48.0,72.2,,,us,usp000ja8u,2014-11-07T01:46:16.737Z,"27 km S of Erci?, Turkey",earthquake,,,,11.0,reviewed,dda,us
2011-10-27T05:29:12.000Z,38.705,43.402,22.0,4.1,mb,21.0,120.1,,,us,usp000j9yy,2014-11-07T01:46:11.566Z,"23 km N of Van, Turkey",earthquake,,,,2.0,reviewed,dda,us
2011-10-25T20:22:30.000Z,38.919,43.527,4.3,4.0,mb,44.0,76.5,,,us,usp000j9wp,2014-11-07T01:46:11.222Z,"18 km SE of Erci?, Turkey",earthquake,,,,12.0,reviewed,dda,us
2011-10-25T16:56:16.000Z,38.79,43.471,8.1,4.3,mb,39.0,39.2,,,us,usp000j9wc,2014-11-07T01:46:11.119Z,eastern Turkey,earthquake,,,,6.0,reviewed,dda,us
2011-10-25T11:03:53.000Z,38.67,43.168,5.0,4.4,mb,23.0,68.8,,,us,usp000j9vy,2014-11-07T01:46:11.047Z,"27 km NW of Van, Turkey",earthquake,,,,7.0,reviewed,dda,us
2011-10-25T06:36:17.000Z,38.897,43.541,6.9,4.3,mb,43.0,39.5,,,us,usp000j9vs,2014-11-07T01:46:11.030Z,"21 km SE of Erci?, Turkey",earthquake,,,,10.0,reviewed,dda,us
2011-10-24T16:51:24.000Z,38.906,43.563,6.3,4.1,mb,40.0,76.6,,,us,usp000j9uu,2014-11-07T01:46:10.816Z,"22 km SE of Erci?, Turkey",earthquake,,,,9.0,reviewed,dda,us
2011-10-24T13:07:56.000Z,38.942,43.541,6.8,4.3,mb,48.0,76.5,,,us,usp000j9um,2014-11-07T01:46:10.792Z,"18 km ESE of Erci?, Turkey",earthquake,,,,16.0,reviewed,dda,us
2011-10-24T10:30:15.000Z,38.688,43.316,2.1,4.4,mb,64.0,38.9,,,us,usp000j9uf,2014-11-07T01:46:10.769Z,"22 km NNW of Van, Turkey",earthquake,,,,22.0,reviewed,dda,us
2011-10-24T07:02:27.000Z,38.62,43.342,7.3,4.2,mb,35.0,103.4,,,us,usp000j9u7,2014-11-07T01:46:10.727Z,"14 km NNW of Van, Turkey",earthquake,,,,7.0,reviewed,dda,us
2011-10-24T00:50:47.000Z,38.769,43.236,4.3,4.2,mb,50.0,38.9,,,us,usp000j9tr,2014-11-07T01:46:10.676Z,eastern Turkey,earthquake,,,,10.0,reviewed,dda,us
2011-10-23T21:20:49.000Z,38.828,43.668,12.0,4.1,ml,10.0,66.3,,,us,usp000j9tb,2014-11-07T01:46:10.480Z,"33 km NW of Özalp, Turkey",earthquake,,,,,reviewed,dda,dda
2011-10-23T19:54:24.000Z,38.739,43.481,5.0,4.0,ml,11.0,106.8,,,us,usp000j9t7,2014-11-07T01:46:10.347Z,"28 km NNE of Van, Turkey",earthquake,,,,,reviewed,dda,dda
2011-10-23T19:48:56.000Z,38.694,43.17,7.2,4.4,mb,56.0,58.0,,,us,usp000j9t6,2014-11-07T01:46:10.342Z,"28 km NW of Van, Turkey",earthquake,,,,12.0,reviewed,dda,us
2011-10-23T18:53:48.000Z,38.711,43.336,12.3,4.9,mb,116.0,34.6,,,us,usp000j9t2,2022-04-08T22:09:03.758Z,"24 km N of Van, Turkey",earthquake,,,,61.0,reviewed,dda,us
2011-10-23T14:52:49.000Z,38.713,43.181,5.0,4.0,mb,42.0,39.8,,,us,usp000j9sn,2014-11-07T01:46:10.243Z,"29 km NW of Van, Turkey",earthquake,,,,7.0,reviewed,dda,us
2011-10-23T13:47:49.000Z,38.781,43.403,8.3,4.0,mb,17.0,82.9,,,us,usp000j9sk,2014-11-07T01:46:10.238Z,"27 km S of Erci?, Turkey",earthquake,,,,1.0,reviewed,dda,us
2011-10-23T13:46:09.000Z,38.78,43.257,7.2,4.1,mb,23.0,58.6,,,us,usp000j9sj,2014-11-07T01:46:10.235Z,"28 km SSW of Erci?, Turkey",earthquake,,,,2.0,reviewed,dda,us
2011-10-23T12:30:14.000Z,38.748,43.181,5.8,4.0,mb,17.0,55.4,,,us,usp000j9sb,2014-11-07T01:46:10.204Z,"33 km NNW of Van, Turkey",earthquake,,,,1.0,reviewed,dda,us
2011-10-23T12:03:10.000Z,38.701,43.141,7.0,4.7,mb,74.0,25.9,,,us,usp000j9s6,2014-11-07T01:46:10.174Z,"31 km NW of Van, Turkey",earthquake,,,,26.0,reviewed,dda,us
2011-10-23T10:53:41.000Z,38.746,43.199,7.0,4.4,mb,33.0,119.3,,,us,usp000j9ru,2014-11-07T01:46:09.251Z,"32 km NNW of Van, Turkey",earthquake,,,,8.0,reviewed,dda,us
2011-10-23T10:52:05.000Z,38.764,43.252,7.1,4.8,mb,107.0,36.9,,,us,usp000j9rt,2022-04-08T22:10:39.413Z,"30 km SSW of Erci?, Turkey",earthquake,,,,46.0,reviewed,dda,us
2013-01-07T11:40:45.000Z,38.72,27.53,24.0,4.0,ml,18.0,105.8,,,us,usp000jy0y,2014-11-07T01:49:47.436Z,"3 km WSW of Saruhanl?, Turkey",earthquake,,,,,reviewed,dda,dda
