time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1999-10-31T02:23:04.800Z,-8.29,115.2,27.0,3.7,ml,,,,,us,usp0009gv5,2014-11-07T01:08:47.634Z,"13 km E of Munduk, Indonesia",earthquake,,,,,reviewed,dja,dja
2000-04-07T11:43:14.300Z,-7.14,105.4,33.0,4.2,ml,,,,,us,usp0009qyd,2014-11-07T01:09:52.183Z,"96 km SSW of Labuan, Indonesia",earthquake,,,,,reviewed,dja,dja
2002-03-06T03:37:11.500Z,-9.518,115.211,15.0,3.8,ml,4.0,,,,us,usp000azs1,2014-11-07T01:15:05.304Z,"79 km S of Nusa Dua, Indonesia",earthquake,,,,,reviewed,dja,dja
2003-03-09T12:26:59.400Z,-8.962,114.556,15.0,3.6,ml,4.0,278.7,,,us,usp000bs9e,2014-11-07T01:18:02.598Z,"63 km SSE of Muncar, Indonesia",earthquake,,,,,reviewed,dja,dja
2003-02-08T13:45:45.600Z,-9.322,114.032,58.2,4.7,md,7.0,,,,us,usp000bq8n,2014-11-07T01:17:46.327Z,"103 km S of Gambiran Satu, Indonesia",earthquake,,,,,reviewed,dja,dja
2003-01-02T02:27:29.400Z,-8.493,117.385,182.9,4.5,md,4.0,,,,us,usp000bmxb,2014-11-07T01:17:30.756Z,"3 km W of Sumbawa Besar, Indonesia",earthquake,,,,,reviewed,dja,dja
2002-07-13T15:28:09.800Z,-9.929,114.919,33.0,4.2,ml,4.0,,,,us,usp000b81j,2014-11-07T01:16:03.655Z,"128 km SSW of Jimbaran, Indonesia",earthquake,,,,,reviewed,dja,dja
2002-04-14T17:00:23.600Z,-8.84,114.977,33.0,4.0,ml,4.0,,,,us,usp000b2da,2014-11-07T01:15:25.288Z,"20 km WSW of Jimbaran, Indonesia",earthquake,,,,,reviewed,dja,dja
2002-03-27T08:42:02.500Z,-9.437,115.851,2.0,3.9,ml,4.0,,,,us,usp000b15k,2014-11-07T01:15:14.600Z,"82 km SSW of Lembar, Indonesia",earthquake,,,,,reviewed,dja,dja
2002-03-06T03:37:11.500Z,-9.518,115.211,15.0,3.8,ml,4.0,,,,us,usp000azs1,2014-11-07T01:15:05.304Z,"79 km S of Nusa Dua, Indonesia",earthquake,,,,,reviewed,dja,dja
2003-03-09T12:26:59.400Z,-8.962,114.556,15.0,3.6,ml,4.0,278.7,,,us,usp000bs9e,2014-11-07T01:18:02.598Z,"63 km SSE of Muncar, Indonesia",earthquake,,,,,reviewed,dja,dja
2005-02-06T21:41:47.000Z,-9.43,114.302,2.0,3.6,ml,4.0,290.4,,,us,usp000dfmw,2014-11-07T01:24:56.827Z,"110 km S of Muncar, Indonesia",earthquake,,,,,reviewed,dja,dja
2004-08-31T00:06:19.900Z,-8.588,115.639,33.0,4.1,ml,4.0,180.6,,,us,usp000d389,2014-11-07T01:23:18.015Z,"15 km S of Amlapura, Indonesia",earthquake,,,,,reviewed,dja,dja
2004-08-24T22:42:44.400Z,-9.346,113.957,2.0,3.9,ml,4.0,316.8,,,us,usp000d2tm,2014-11-07T01:23:15.664Z,"107 km S of Gambiran Satu, Indonesia",earthquake,,,,,reviewed,dja,dja
2004-07-27T17:15:18.400Z,-8.134,118.562,152.9,4.6,md,7.0,216.7,,,us,usp000d0yy,2014-11-07T01:22:59.472Z,"40 km NNW of Bima, Indonesia",earthquake,,,,,reviewed,dja,dja
2004-07-06T14:49:47.400Z,-8.433,113.063,146.7,4.1,mb,22.0,92.5,,,us,usp000czp3,2014-11-07T01:22:51.512Z,"37 km WSW of Kencong, Indonesia",earthquake,,,,4.0,reviewed,dja,us
2004-06-05T19:34:24.800Z,-9.502,114.04,2.0,3.6,ml,4.0,316.9,,,us,usp000cx6r,2014-11-07T01:22:33.246Z,"122 km SSW of Muncar, Indonesia",earthquake,,,,,reviewed,dja,dja
2004-05-23T13:12:28.300Z,-8.175,114.491,33.0,4.3,ml,4.0,264.8,,,us,usp000cvzr,2014-11-07T01:22:23.212Z,"16 km ENE of Banyuwangi, Indonesia",earthquake,,,,,reviewed,dja,dja
2004-05-22T17:24:33.200Z,-9.606,115.071,22.8,3.6,ml,4.0,305.1,,,us,usp000cvx1,2014-11-07T01:22:22.793Z,"90 km S of Jimbaran, Indonesia",earthquake,,,,,reviewed,dja,dja
2004-05-09T01:12:54.500Z,-9.735,115.236,33.0,3.6,ml,4.0,307.8,,,us,usp000cugx,2014-11-07T01:22:16.122Z,"103 km S of Nusa Dua, Indonesia",earthquake,,,,,reviewed,dja,dja
