time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1983-02-17T17:00:00.090Z,37.163,-116.063,0.0,4.0,mb,,,,,us,usp0001t4b,2016-02-02T18:50:56.300Z,"60 km SSW of Rachel, Nevada",nuclear explosion,,,,1.0,reviewed,doe,us
1983-02-11T16:00:00.100Z,37.051,-116.045,0.0,4.1,ml,,,,,us,usp0001syu,2016-04-02T10:09:15.341Z,"63 km NNW of Indian Springs, Nevada",nuclear explosion,,,,,reviewed,doe,brk
1982-12-10T15:20:00.090Z,37.03,-116.072,0.0,4.6,mb,,,,,us,usp0001rbz,2016-04-02T06:16:44.258Z,"62 km NW of Indian Springs, Nevada",nuclear explosion,,,,7.0,reviewed,doe,us
1982-11-12T19:17:00.100Z,37.024,-116.032,0.0,4.4,mb,,,,,us,usp0001qvc,2016-04-02T06:15:00.584Z,"59 km NNW of Indian Springs, Nevada",nuclear explosion,,,,2.0,reviewed,doe,us
1982-09-29T13:30:00.100Z,37.091,-116.045,0.0,4.1,ml,,,,,us,usp0001pwn,2016-04-02T06:15:06.620Z,"66 km ENE of Beatty, Nevada",nuclear explosion,,,,,reviewed,doe,brk
1982-09-23T17:00:00.080Z,37.175,-116.088,0.0,4.9,mb,,,,,us,usp0001psg,2016-04-02T03:02:01.611Z,"60 km SSW of Rachel, Nevada",nuclear explosion,,,,28.0,reviewed,doe,us
1982-09-23T16:00:00.090Z,37.212,-116.207,0.0,4.9,mb,,,,,us,usp0001pse,2016-04-01T20:31:42.578Z,"59 km NE of Beatty, Nevada",nuclear explosion,,,,33.0,reviewed,doe,us
1982-08-05T14:00:00.090Z,37.084,-116.007,0.0,5.7,mb,,,,,us,usp0001nv7,2016-02-02T21:07:54.080Z,"64 km NNW of Indian Springs, Nevada",nuclear explosion,,,,93.0,reviewed,doe,us
1982-07-29T20:05:00.080Z,37.102,-116.075,0.0,4.5,mb,,,,,us,usp0001nrc,2016-04-02T15:42:34.597Z,"64 km ENE of Beatty, Nevada",earthquake,,,,3.0,reviewed,doe,us
1982-06-24T14:15:00.090Z,37.236,-116.37,0.0,5.6,mb,,,,,us,usp0001n3x,2016-04-01T23:47:59.529Z,"50 km NE of Beatty, Nevada",nuclear explosion,,,,74.0,reviewed,doe,us
1982-06-16T14:00:00.850Z,37.114,-116.017,0.0,4.3,ml,,,,,us,usp0001myz,2016-02-03T02:52:55.400Z,"63 km SSW of Rachel, Nevada",nuclear explosion,,,,,reviewed,doe,brk
1982-05-07T18:17:00.110Z,37.069,-116.045,0.0,5.7,mb,,,,,us,usp0001m5d,2016-04-02T12:40:41.370Z,"64 km NNW of Indian Springs, Nevada",nuclear explosion,,,,76.0,reviewed,doe,us
1982-05-06T20:00:00.080Z,37.117,-116.127,0.0,4.3,mb,,,,,us,usp0001m4r,2016-04-01T23:48:02.408Z,"60 km ENE of Beatty, Nevada",earthquake,,,,1.0,reviewed,doe,us
1982-04-25T18:05:00.080Z,37.256,-116.422,0.0,5.4,mb,,,,,us,usp0001kxs,2016-04-02T15:50:18.458Z,"48 km NE of Beatty, Nevada",nuclear explosion,,,,77.0,reviewed,doe,us
