time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1990-06-14T23:28:48.920Z,31.57,-114.48,5.7,3.8,ml,,,,,us,usp0004ahb,2014-11-07T00:46:31.927Z,"13 km S of Golfo de Santa Clara, Mexico",earthquake,,,,,reviewed,ecx,ecx
1994-03-07T04:51:15.210Z,29.811,-116.512,1.2,3.6,md,,,,,us,usp00069c1,2014-11-07T00:55:07.277Z,"80 km WSW of El Rosario de Arriba, Mexico",earthquake,,,,,reviewed,ecx,ecx
1994-12-18T15:48:50.290Z,30.543,-114.077,36.6,3.6,md,,,,,us,usp0006q6c,2014-11-07T00:56:58.624Z,"90 km SE of San Felipe, Mexico",earthquake,,,,,reviewed,ecx,ecx
1994-12-13T18:42:59.730Z,30.593,-113.878,31.8,4.1,ml,,,,,us,usp0006q0t,2016-02-12T02:57:02.518Z,"86 km SSW of Puerto Peñasco, Mexico",earthquake,,,,,reviewed,ecx,gs$
1994-11-25T08:17:26.390Z,31.497,-114.421,15.9,3.5,md,,,,,us,usp0006p77,2014-11-07T00:56:50.523Z,"22 km SSE of Golfo de Santa Clara, Mexico",earthquake,,,,,reviewed,ecx,ecx
1994-10-03T11:30:11.980Z,32.012,-114.845,9.5,3.8,md,,,,,us,usp0006kbu,2014-11-07T00:56:26.101Z,"13 km E of Ejido Doctor Alberto Oviedo Mota (El Indiviso), Mexico",earthquake,,,,,reviewed,ecx,ecx
1994-09-12T08:30:34.930Z,30.981,-115.776,16.1,3.5,md,,,,,us,usp0006j93,2014-11-07T00:56:15.381Z,"31 km ENE of Camalú, Mexico",earthquake,,,,,reviewed,ecx,ecx
1994-09-04T16:43:22.350Z,30.195,-114.556,30.7,3.6,md,,,,,us,usp0006hyp,2014-11-07T00:56:13.577Z,"95 km SSE of San Felipe, Mexico",earthquake,,,,,reviewed,ecx,ecx
1994-08-08T21:17:08.370Z,30.511,-114.373,35.1,4.4,md,,,,,us,usp0006gqm,2014-11-07T00:56:01.408Z,"72 km SE of San Felipe, Mexico",earthquake,,,,,reviewed,ecx,ecx
1994-06-11T19:28:52.450Z,30.031,-114.506,1.1,4.2,md,,,,,us,usp0006e40,2016-02-13T06:21:48.351Z,"114 km SSE of San Felipe, Mexico",earthquake,,,,,reviewed,ecx,ecx
1994-04-04T17:39:02.970Z,30.646,-115.953,14.4,3.6,md,,,,,us,usp0006an3,2014-11-07T00:55:15.703Z,"2 km NNE of Ejido General Leandro Valle, Mexico",earthquake,,,,,reviewed,ecx,ecx
1994-03-07T04:51:15.210Z,29.811,-116.512,1.2,3.6,md,,,,,us,usp00069c1,2014-11-07T00:55:07.277Z,"80 km WSW of El Rosario de Arriba, Mexico",earthquake,,,,,reviewed,ecx,ecx
1995-10-26T04:04:37.030Z,30.593,-113.854,8.0,4.3,md,,,,,us,usp00075t4,2016-02-11T19:39:24.204Z,"85 km SSW of Puerto Peñasco, Mexico",earthquake,,,,,reviewed,ecx,ecx
1995-10-06T23:39:33.150Z,31.312,-115.341,28.5,3.7,md,,,,,us,usp00074q2,2016-02-12T21:01:24.537Z,"57 km WNW of San Felipe, Mexico",earthquake,,,,,reviewed,ecx,ecx
1995-05-16T18:29:52.740Z,30.08,-115.867,18.4,3.8,md,,,,,us,usp0006xfw,2014-11-07T00:57:56.246Z,"13 km W of El Rosario de Arriba, Mexico",earthquake,,,,,reviewed,ecx,ecx
1995-04-12T14:40:08.000Z,30.55,-114.3,14.0,3.8,md,,,,,us,usp0006vj9,2014-11-07T00:57:41.433Z,"73 km SE of San Felipe, Mexico",earthquake,,,,,reviewed,ecx,ecx
1995-04-06T08:59:26.520Z,31.316,-114.332,35.2,3.5,md,,,,,us,usp0006v8t,2014-11-07T00:57:39.988Z,"44 km SSE of Golfo de Santa Clara, Mexico",earthquake,,,,,reviewed,ecx,ecx
1995-03-26T17:19:31.920Z,31.303,-114.371,26.8,4.2,md,,,,,us,usp0006usj,2016-02-13T04:18:38.644Z,"44 km SSE of Golfo de Santa Clara, Mexico",earthquake,,,,,reviewed,ecx,ecx
1995-03-26T14:32:06.410Z,31.265,-114.351,35.2,4.2,ml,,,,,us,usp0006us9,2016-02-13T06:46:29.051Z,"48 km SSE of Golfo de Santa Clara, Mexico",earthquake,,,,,reviewed,ecx,gs$
