time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1999-02-19T11:57:55.190Z,14.999,-60.489,52.0,4.3,mb,,,,,us,usp000932c,2014-11-07T01:07:02.793Z,"58 km ENE of La Trinité, Martinique",earthquake,,,,7.0,reviewed,fdf,us
1999-02-16T17:14:59.880Z,14.841,-60.243,30.0,3.5,md,,,,,us,usp00092xh,2014-11-07T01:07:02.072Z,"71 km ENE of Le Vauclin, Martinique",earthquake,,,,,reviewed,fdf,trn
1999-01-13T06:17:53.830Z,15.19,-61.033,127.2,3.8,md,,,,,us,usp0009110,2014-11-07T01:06:48.721Z,"27 km ESE of La Plaine, Dominica",earthquake,,,,,reviewed,fdf,trn
1998-09-24T11:14:14.960Z,14.806,-60.458,42.6,3.8,m,,,,,us,usp0008vf3,2014-11-07T01:06:05.812Z,"50 km NE of Le Vauclin, Martinique",earthquake,,,,,reviewed,fdf,fdf
1998-08-22T06:40:56.010Z,16.271,-61.164,21.4,3.6,ml,,,,,us,usp0008tp7,2014-11-07T01:05:52.114Z,"10 km WSW of Beauséjour, Guadeloupe",earthquake,,,,,reviewed,fdf,fdf
1998-06-25T21:50:41.380Z,17.547,-61.619,0.6,3.8,m,,,,,us,usp0008qga,2014-11-07T01:05:27.098Z,"24 km ESE of Codrington, Antigua and Barbuda",earthquake,,,,,reviewed,fdf,fdf
1998-06-25T21:16:32.690Z,17.767,-61.573,26.0,3.8,m,,,,,us,usp0008qg6,2014-11-07T01:05:27.088Z,"31 km ENE of Codrington, Antigua and Barbuda",earthquake,,,,,reviewed,fdf,fdf
1998-05-24T22:48:34.270Z,17.275,-62.451,128.1,4.1,m,,,,,us,usp0008npc,2014-11-07T01:05:15.738Z,"16 km ENE of Newcastle, Saint Kitts and Nevis",earthquake,,,,,reviewed,fdf,fdf
1998-05-21T23:49:43.770Z,16.983,-61.685,51.5,3.5,m,,,,,us,usp0008nh0,2014-11-07T01:05:14.882Z,"11 km ESE of Falmouth, Antigua and Barbuda",earthquake,,,,,reviewed,fdf,fdf
1999-12-18T07:04:46.600Z,15.526,-60.473,30.0,3.6,md,,,,,us,usp0009jz5,2014-11-07T01:09:10.002Z,"84 km E of Castle Bruce, Dominica",earthquake,,,,,reviewed,fdf,trn
1999-09-25T00:24:40.100Z,16.944,-61.768,63.1,3.6,md,,,,,us,usp0009ezg,2014-11-07T01:08:31.689Z,"9 km S of Falmouth, Antigua and Barbuda",earthquake,,,,,reviewed,fdf,fdf
1999-09-18T04:58:47.130Z,15.306,-61.179,134.0,3.5,md,,,,,us,usp0009ek7,2014-11-07T01:08:29.926Z,"7 km ESE of La Plaine, Dominica",earthquake,,,,,reviewed,fdf,trn
1999-08-28T12:38:29.130Z,17.042,-61.378,18.0,3.5,md,,,,,us,usp0009drp,2014-11-07T01:08:20.951Z,"42 km E of Parham, Antigua and Barbuda",earthquake,,,,,reviewed,fdf,trn
1999-06-30T22:01:24.910Z,15.036,-60.394,35.1,3.6,md,,,,,us,usp0009aux,2014-11-07T01:07:58.250Z,"69 km ENE of La Trinité, Martinique",earthquake,,,,,reviewed,fdf,trn
1999-05-18T00:15:12.200Z,16.782,-61.95,111.6,3.8,md,,,,,us,usp000987a,2014-11-07T01:07:41.338Z,"27 km E of Brades, Montserrat",earthquake,,,,,reviewed,fdf,trn
2000-12-26T19:00:55.730Z,14.135,-60.948,14.0,3.5,md,11.0,,,,us,usp000a6s3,2014-11-07T01:11:46.515Z,"7 km N of Gros Islet, Saint Lucia",earthquake,,,,,reviewed,fdf,trn
