time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1986-01-01T19:39:17.000Z,-17.95,-174.51,33.0,5.4,mwc,,,,,gcmt,gcmtb010186b,2016-11-09T21:34:39.966Z,"95 km NW of Neiafu, Tonga",earthquake,,,,,automatic,gcmt,gcmt
1987-10-07T22:29:29.000Z,6.35,35.88,10.0,5.3,mwc,,,,,gcmt,gcmtb100787c,2016-11-09T23:40:13.606Z,"78 km SSE of M?zan Tefer?, Ethiopia",earthquake,,,,,automatic,gcmt,gcmt
1988-03-25T04:07:24.000Z,-31.58,-15.11,10.0,5.3,mwc,,,,,gcmt,gcmtb032588a,2016-11-09T22:09:31.964Z,southern Mid-Atlantic Ridge,earthquake,,,,,automatic,gcmt,gcmt
1990-03-13T00:42:30.000Z,-6.36,-107.48,10.0,5.4,mwc,,,,,gcmt,gcmtb031390c,2016-11-09T22:04:25.790Z,central East Pacific Rise,earthquake,,,,,automatic,gcmt,gcmt
1990-02-11T21:58:42.000Z,-30.11,-177.91,33.0,5.4,mwc,,,,,gcmt,gcmtb021190b,2016-11-09T21:51:25.602Z,"Kermadec Islands, New Zealand",earthquake,,,,,automatic,gcmt,gcmt
1990-01-25T06:29:40.000Z,-31.28,-178.0,197.0,5.4,mwc,,,,,gcmt,gcmtb012590a,2016-11-09T21:44:53.749Z,Kermadec Islands region,earthquake,,,,,automatic,gcmt,gcmt
1991-01-09T08:41:17.000Z,-9.75,146.6,33.0,5.2,mwc,,,,,gcmt,gcmtb010991a,2016-11-09T21:38:01.880Z,"67 km WSW of Port Moresby, Papua New Guinea",earthquake,,,,,automatic,gcmt,gcmt
1990-11-25T04:03:01.000Z,-23.45,-176.25,177.0,5.4,mwc,,,,,gcmt,gcmtb112590c,2016-11-10T00:03:06.220Z,"269 km SSW of ‘Ohonua, Tonga",earthquake,,,,,automatic,gcmt,gcmt
1990-06-22T07:43:54.000Z,-14.88,167.82,193.0,5.4,mwc,,,,,gcmt,gcmtb062290a,2016-11-09T22:49:13.509Z,"82 km ENE of Port-Olry, Vanuatu",earthquake,,,,,automatic,gcmt,gcmt
1990-03-13T00:42:30.000Z,-6.36,-107.48,10.0,5.4,mwc,,,,,gcmt,gcmtb031390c,2016-11-09T22:04:25.790Z,central East Pacific Rise,earthquake,,,,,automatic,gcmt,gcmt
1993-02-28T13:29:24.000Z,-48.26,-115.36,10.0,5.3,mwc,,,,,gcmt,gcmtb022893c,2016-11-09T21:58:59.890Z,southern East Pacific Rise,earthquake,,,,,automatic,gcmt,gcmt
1992-10-23T04:28:00.000Z,-29.57,-178.17,33.0,5.4,mwc,,,,,gcmt,gcmtb102392c,2016-11-09T23:47:31.564Z,"Kermadec Islands, New Zealand",earthquake,,,,,automatic,gcmt,gcmt
1994-12-23T15:39:59.000Z,-12.21,166.8,33.0,5.3,mwc,,,,,gcmt,gcmtb122394b,2016-11-10T00:16:40.844Z,Santa Cruz Islands,earthquake,,,,,automatic,gcmt,gcmt
1994-09-13T03:09:26.000Z,-12.91,167.61,33.0,5.2,mwc,,,,,gcmt,gcmtb091394a,2016-11-09T23:28:44.024Z,"107 km N of Sola, Vanuatu",earthquake,,,,,automatic,gcmt,gcmt
1994-05-25T22:10:35.000Z,6.55,60.97,10.0,5.3,mwc,,,,,gcmt,gcmtb052594l,2016-11-09T22:36:39.935Z,Carlsberg Ridge,earthquake,,,,,automatic,gcmt,gcmt
2003-07-12T23:01:38.000Z,54.65,-134.47,20.0,5.9,mwc,,,,,gcmt,gcmtc071203e,2016-11-10T00:40:09.203Z,"122 km WSW of Hydaburg, Alaska",earthquake,,,,,automatic,gcmt,gcmt
2007-02-21T17:09:12.000Z,-24.25,-115.75,10.0,4.8,mwc,,,,,gcmt,gcmtc200702211709a,2016-11-10T01:35:58.155Z,southern East Pacific Rise,earthquake,,,,,automatic,gcmt,gcmt
2007-02-07T09:41:04.000Z,-56.25,-123.25,10.0,4.8,mwc,,,,,gcmt,gcmtc200702070941a,2016-11-10T01:35:11.952Z,southern East Pacific Rise,earthquake,,,,,automatic,gcmt,gcmt
2007-02-06T14:32:08.000Z,-56.25,-123.75,10.0,5.0,mwc,,,,,gcmt,gcmtc200702061432a,2016-11-10T01:35:11.326Z,southern East Pacific Rise,earthquake,,,,,automatic,gcmt,gcmt
2007-01-29T04:12:08.000Z,-41.75,-91.75,10.0,5.1,mwc,,,,,gcmt,gcmtc200701290412a,2016-11-10T01:34:45.557Z,southeast of Easter Island,earthquake,,,,,automatic,gcmt,gcmt
2007-01-22T21:40:16.000Z,-17.75,176.25,10.0,4.9,mwc,,,,,gcmt,gcmtc200701222140a,2016-11-10T01:34:16.163Z,"123 km W of Nadi, Fiji",earthquake,,,,,automatic,gcmt,gcmt
2007-01-19T00:03:28.000Z,23.75,123.25,10.0,4.8,mwc,,,,,gcmt,gcmtc200701190003a,2016-11-10T01:33:56.388Z,"83 km SSE of Yonakuni, Japan",earthquake,,,,,automatic,gcmt,gcmt
2007-01-18T18:20:40.000Z,23.75,123.75,10.0,4.9,mwc,,,,,gcmt,gcmtc200701181820a,2016-11-10T01:33:54.570Z,"77 km SSW of Ishigaki, Japan",earthquake,,,,,automatic,gcmt,gcmt
2007-01-15T01:43:28.000Z,-41.75,-86.75,10.0,4.9,mwc,,,,,gcmt,gcmtc200701150143a,2016-11-10T01:33:35.222Z,West Chile Rise,earthquake,,,,,automatic,gcmt,gcmt
2007-01-06T05:39:52.000Z,-60.0,150.0,10.0,5.0,mwc,,,,,gcmt,gcmtc200701060539a,2016-11-10T01:33:05.879Z,west of Macquarie Island,earthquake,,,,,automatic,gcmt,gcmt
2006-12-30T17:39:20.000Z,-49.75,-115.75,10.0,5.2,mwc,,,,,gcmt,gcmtc200612301739a,2016-11-10T01:32:50.642Z,southern East Pacific Rise,earthquake,,,,,automatic,gcmt,gcmt
2006-12-24T21:37:36.000Z,-28.75,-112.75,10.0,5.0,mwc,,,,,gcmt,gcmtc200612242137a,2016-11-10T01:32:42.070Z,Easter Island region,earthquake,,,,,automatic,gcmt,gcmt
2006-12-01T01:31:36.000Z,-29.75,-112.25,10.0,5.1,mwc,,,,,gcmt,gcmtc200612010131a,2016-11-10T01:31:58.203Z,Easter Island region,earthquake,,,,,automatic,gcmt,gcmt
2006-11-09T14:24:24.000Z,-35.0,-15.0,10.0,5.0,mwc,,,,,gcmt,gcmtc200611091424a,2016-11-10T01:30:43.039Z,Tristan da Cunha region,earthquake,,,,,automatic,gcmt,gcmt
2006-10-19T23:50:32.000Z,-35.0,-109.0,10.0,4.9,mwc,,,,,gcmt,gcmtc200610192350a,2016-11-10T01:29:56.011Z,southern East Pacific Rise,earthquake,,,,,automatic,gcmt,gcmt
2006-10-04T07:40:16.000Z,-35.25,-108.25,10.0,5.0,mwc,,,,,gcmt,gcmtc200610040740a,2016-11-10T01:29:11.948Z,southern East Pacific Rise,earthquake,,,,,automatic,gcmt,gcmt
2006-10-04T02:32:56.000Z,-35.5,-105.5,10.0,4.9,mwc,,,,,gcmt,gcmtc200610040232a,2016-11-10T01:29:10.271Z,southern East Pacific Rise,earthquake,,,,,automatic,gcmt,gcmt
2006-09-26T11:10:24.000Z,-6.5,-11.5,10.0,4.8,mwc,,,,,gcmt,gcmtc200609261110a,2016-11-10T01:28:40.387Z,Ascension Island region,earthquake,,,,,automatic,gcmt,gcmt
2006-09-15T06:37:04.000Z,-50.25,-115.75,10.0,5.2,mwc,,,,,gcmt,gcmtc200609150637a,2016-11-10T01:28:14.382Z,southern East Pacific Rise,earthquake,,,,,automatic,gcmt,gcmt
2006-09-08T00:47:12.000Z,-36.25,-104.25,10.0,5.2,mwc,,,,,gcmt,gcmtc200609080047a,2016-11-10T01:28:01.171Z,southeast of Easter Island,earthquake,,,,,automatic,gcmt,gcmt
2006-09-04T14:27:44.000Z,-35.0,-15.0,10.0,4.8,mwc,,,,,gcmt,gcmtc200609041427a,2016-11-10T01:27:54.613Z,Tristan da Cunha region,earthquake,,,,,automatic,gcmt,gcmt
2006-08-11T18:07:36.000Z,-19.5,-175.5,10.0,5.1,mwc,,,,,gcmt,gcmtc200608111807a,2016-11-10T01:26:47.534Z,"125 km WNW of Pangai, Tonga",earthquake,,,,,automatic,gcmt,gcmt
2006-07-27T07:12:56.000Z,-41.5,-90.5,10.0,5.1,mwc,,,,,gcmt,gcmtc200607270712a,2016-11-10T01:26:10.702Z,southeast of Easter Island,earthquake,,,,,automatic,gcmt,gcmt
2006-07-20T14:43:20.000Z,-17.75,-13.25,10.0,4.9,mwc,,,,,gcmt,gcmtc200607201443a,2016-11-10T01:25:56.621Z,southern Mid-Atlantic Ridge,earthquake,,,,,automatic,gcmt,gcmt
2006-07-03T19:49:36.000Z,-15.25,-174.25,10.0,4.9,mwc,,,,,gcmt,gcmtc200607031949a,2016-11-10T01:25:02.359Z,"91 km NNW of Hihifo, Tonga",earthquake,,,,,automatic,gcmt,gcmt
2006-07-03T18:45:36.000Z,-24.5,-115.5,10.0,4.9,mwc,,,,,gcmt,gcmtc200607031845a,2016-11-10T01:25:01.891Z,southern East Pacific Rise,earthquake,,,,,automatic,gcmt,gcmt
2006-06-12T00:43:12.000Z,-53.25,-117.75,10.0,5.1,mwc,,,,,gcmt,gcmtc200606120043a,2016-11-10T01:23:44.698Z,southern East Pacific Rise,earthquake,,,,,automatic,gcmt,gcmt
2006-06-11T18:36:56.000Z,-57.25,-141.25,10.0,5.0,mwc,,,,,gcmt,gcmtc200606111836a,2016-11-10T01:23:43.575Z,Pacific-Antarctic Ridge,earthquake,,,,,automatic,gcmt,gcmt
2006-06-05T18:02:32.000Z,0.75,-85.25,10.0,5.1,mwc,,,,,gcmt,gcmtc200606051802a,2016-11-10T01:23:31.209Z,off the coast of Ecuador,earthquake,,,,,automatic,gcmt,gcmt
