time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1998-02-09T14:41:40.640Z,43.398,8.241,17.4,3.5,ml,,,,,us,usp0008fr7,2014-11-07T01:04:31.557Z,"55 km SSE of San Lorenzo al Mare, Italy",earthquake,,,,,reviewed,gen,str
1998-02-03T23:38:39.160Z,43.703,8.499,15.5,3.6,ml,,,,,us,usp0008fd7,2014-11-07T01:04:28.625Z,"39 km SE of Marina di Andora, Italy",earthquake,,,,,reviewed,gen,str
1999-02-05T05:08:13.720Z,45.04,9.31,1.3,3.6,mb,,,,,us,usp000929r,2014-11-07T01:06:58.783Z,"0 km NNW of Montù Beccaria, Italy",earthquake,,,,1.0,reviewed,gen,us
1998-06-06T01:23:13.480Z,44.569,8.627,9.6,3.5,ml,,,,,us,usp0008pdj,2014-11-07T01:05:22.579Z,"3 km W of Rossiglione, Italy",earthquake,,,,,reviewed,gen,str
1998-05-07T17:16:43.620Z,46.087,7.386,0.9,3.7,ml,,,,,us,usp0008mmv,2014-11-07T01:05:11.196Z,"8 km WSW of Evolène, Switzerland",earthquake,,,,,reviewed,gen,grf
1998-04-11T11:05:01.320Z,44.668,7.182,13.2,4.1,ml,,,,,us,usp0008jvj,2014-11-07T01:04:58.436Z,"1 km SW of Oncino, Italy",earthquake,,,,,reviewed,gen,gen
1999-11-01T17:22:32.810Z,43.72,7.313,1.3,3.6,ml,,,,,us,usp0009gy9,2014-11-07T01:08:51.101Z,"1 km N of Villefranche-sur-Mer, France",earthquake,,,,,reviewed,gen,gen
1999-04-30T20:59:08.930Z,44.045,8.077,7.4,3.7,ml,,,,,us,usp000974e,2014-11-07T01:07:32.059Z,"1 km NW of Garlenda, Italy",earthquake,,,,,reviewed,gen,gen
2001-03-07T12:37:27.140Z,44.466,10.55,0.5,3.5,ml,67.0,,,,us,usp000ab2b,2014-11-07T01:12:19.319Z,"2 km ENE of Carpineti, Italy",earthquake,,,,,reviewed,gen,ldg
2001-02-25T18:34:42.190Z,43.455,7.466,8.7,4.6,mb,196.0,,,,us,usp000aac3,2014-11-07T01:12:11.916Z,"28 km SSE of Saint-Jean-Cap-Ferrat, France",earthquake,,,,21.0,reviewed,gen,us
2000-12-19T14:20:48.830Z,43.726,7.321,11.2,3.7,ml,83.0,,,,us,usp000a6bq,2014-11-07T01:11:44.883Z,"1 km SSE of La Trinité, France",earthquake,,,,,reviewed,gen,ldg
