time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1999-02-08T09:15:57.700Z,33.78,35.14,8.0,4.1,ml,,,,,us,usp00092fn,2014-11-07T01:07:00.436Z,"32 km NW of Sidon, Lebanon",earthquake,,,,,reviewed,gii,gii
1999-02-02T18:01:28.600Z,28.83,34.67,1.0,4.0,ml,,,,,us,usp0009256,2014-11-07T01:06:56.139Z,"24 km S of Nuwaybi‘a, Egypt",earthquake,,,,,reviewed,gii,gii
1998-11-19T12:09:33.000Z,29.7,34.63,16.0,4.5,ml,,,,,us,usp0008yen,2014-11-07T01:06:27.996Z,"34 km WNW of Eilat, Israel",earthquake,,,,,reviewed,gii,gii
1998-04-25T01:29:30.040Z,29.608,34.246,10.0,4.1,ml,,,,,us,usp0008kx2,2014-11-07T01:05:04.192Z,"68 km W of Eilat, Israel",earthquake,,,,,reviewed,gii,gii
1999-12-19T08:42:49.100Z,29.7,34.95,17.0,4.1,ml,,,,,us,usp0009k0c,2014-11-07T01:09:10.188Z,"15 km N of Eilat, Israel",earthquake,,,,,reviewed,gii,gii
1999-12-08T03:35:48.100Z,29.3,34.8,5.0,4.0,ml,,,,,us,usp0009jks,2014-11-07T01:09:08.082Z,"21 km SW of Tala Bay, Jordan",earthquake,,,,,reviewed,gii,gii
1999-08-07T20:19:43.100Z,28.9,34.88,14.0,3.7,ml,,,,,us,usp0009cs7,2014-11-07T01:08:15.097Z,"26 km SE of Nuwaybi‘a, Egypt",earthquake,,,,,reviewed,gii,gii
2001-02-07T03:39:00.400Z,29.26,35.01,9.0,4.0,ml,10.0,,,,us,usp000a975,2014-11-07T01:12:06.172Z,"16 km S of Tala Bay, Jordan",earthquake,,,,,reviewed,gii,gii
2001-04-29T12:41:54.600Z,33.91,35.93,5.0,4.0,mb,30.0,,,,us,usp000ae5s,2014-11-07T01:12:39.369Z,"7 km NNE of Zahlé, Lebanon",earthquake,,,,6.0,reviewed,gii,us
2003-10-23T14:39:02.000Z,33.88,34.7,25.0,3.8,ml,26.0,112.9,,,us,usp000cb34,2014-11-07T01:20:14.830Z,"71 km WNW of Sidon, Lebanon",earthquake,,,,,reviewed,gii,nic
2004-10-28T07:10:32.200Z,29.95,34.39,9.0,3.8,ml,17.0,193.2,,,us,usp000d780,2014-11-07T01:23:50.003Z,"69 km NW of Eilat, Israel",earthquake,,,,,reviewed,gii,gii
2004-08-08T12:42:30.000Z,32.47,35.26,10.0,4.0,ml,30.0,83.9,,,us,usp000d1rr,2014-11-07T01:23:10.259Z,"1 km SSE of Kafr D?n, Palestinian Territory",earthquake,,,,,reviewed,gii,gii
2004-08-05T17:39:15.200Z,26.96,34.26,10.0,4.0,ml,13.0,349.2,,,us,usp000d1jh,2014-11-07T01:23:09.308Z,"35 km E of Makadi Bay, Egypt",earthquake,,,,,reviewed,gii,gii
2004-04-21T08:39:10.900Z,26.87,33.81,10.0,4.1,ml,11.0,337.6,,,us,usp000ct1e,2014-11-07T01:22:03.865Z,"16 km SSW of Makadi Bay, Egypt",earthquake,,,,,reviewed,gii,gii
2004-03-15T23:49:56.000Z,31.37,35.54,12.0,4.3,ml,12.0,215.7,,,us,usp000cq1u,2014-11-07T01:21:43.092Z,"20 km WNW of Al Qa?r, Jordan",earthquake,,,,,reviewed,gii,gii
2007-02-09T22:14:08.900Z,31.11,35.46,15.0,4.5,mb,84.0,144.4,,,us,usp000f4k9,2014-11-07T01:31:36.068Z,"8 km N of Safi, Jordan",earthquake,,,,19.0,reviewed,gii,us
2006-09-17T08:22:50.000Z,32.02,35.47,1.0,4.0,ml,16.0,167.1,,,us,usp000et8j,2014-11-07T01:30:14.273Z,"2 km ESE of Al Fa??yil, Palestinian Territory",earthquake,,,,,reviewed,gii,gii
2006-09-09T04:58:08.000Z,32.02,35.49,1.0,4.5,mb,44.0,107.2,,,us,usp000esre,2014-11-07T01:30:11.124Z,"4 km E of Al Fa??yil, Palestinian Territory",earthquake,,,,21.0,reviewed,gii,us
2008-02-11T23:47:02.200Z,33.26,35.416,0.0,4.3,mb,98.0,46.1,,,us,usp000fyq2,2014-11-07T01:34:56.104Z,"14 km SSW of Nabatîyé et Tahta, Lebanon",earthquake,,,,21.0,reviewed,gii,us
2007-12-11T08:38:08.900Z,28.84,34.87,1.0,4.0,md,8.0,345.1,,,us,usp000fu8e,2014-11-07T01:34:23.690Z,"30 km SE of Nuwaybi‘a, Egypt",earthquake,,,,,reviewed,gii,gii
2007-12-02T07:38:14.100Z,31.669,35.544,10.0,4.0,ml,9.0,223.8,,,us,usp000ftqa,2014-11-07T01:34:20.050Z,"21 km SE of Mi?pé Yeri?o, Israel",earthquake,,,,,reviewed,gii,gii
2007-11-23T22:19:54.000Z,31.86,34.94,11.0,4.4,mb,13.0,216.0,,,us,usp000ft5u,2022-07-14T01:00:45.137Z,"2 km NE of Karmé Yosef, Israel",earthquake,,,,1.0,reviewed,gii,us
2007-11-20T09:18:44.900Z,31.683,35.557,10.0,4.6,mb,60.0,123.2,,,us,usp000fsyj,2022-07-14T01:07:32.417Z,"21 km SE of Mi?pé Yeri?o, Israel",earthquake,,,,20.0,reviewed,gii,us
2008-09-10T01:58:25.200Z,27.78,33.15,5.0,3.8,md,11.0,339.4,,,us,usp000ggrm,2014-11-07T01:37:10.253Z,"64 km S of Ras Gharib, Egypt",earthquake,,,,,reviewed,gii,gii
2008-06-13T05:28:52.700Z,33.32,35.45,1.0,4.0,md,18.0,104.7,,,us,usp000g9ee,2014-11-07T01:36:20.454Z,"7 km SSW of Nabatîyé et Tahta, Lebanon",earthquake,,,,,reviewed,gii,bhl
2008-06-12T15:41:01.000Z,33.31,35.45,0.0,4.2,mb,23.0,77.6,,,us,usp000g9bw,2014-11-07T01:36:20.210Z,"8 km SSW of Nabatîyé et Tahta, Lebanon",earthquake,,,,2.0,reviewed,gii,us
2008-06-12T12:58:12.800Z,33.26,35.46,1.0,4.0,md,24.0,69.2,,,us,usp000g9bh,2014-11-07T01:36:20.178Z,"11 km W of Metulla, Israel",earthquake,,,,,reviewed,gii,bhl
2008-05-29T07:16:13.000Z,27.29,34.34,10.0,4.1,md,9.0,348.1,,,us,usp000g819,2014-11-07T01:36:07.547Z,"52 km E of Hurghada, Egypt",earthquake,,,,,reviewed,gii,gii
2008-05-29T06:10:44.300Z,27.56,33.28,31.0,3.9,md,8.0,341.5,,,us,usp000g813,2014-11-07T01:36:07.524Z,"43 km WNW of El Gouna, Egypt",earthquake,,,,,reviewed,gii,gii
2008-05-23T18:25:55.100Z,33.29,35.45,1.0,3.6,md,23.0,107.9,,,us,usp000g7ka,2014-11-07T01:36:04.870Z,"10 km SSW of Nabatîyé et Tahta, Lebanon",earthquake,,,,,reviewed,gii,gii
2008-05-21T12:43:23.500Z,33.27,35.43,1.0,3.6,md,17.0,93.3,,,us,usp000g7df,2014-11-07T01:36:04.135Z,"13 km SSW of Nabatîyé et Tahta, Lebanon",earthquake,,,,,reviewed,gii,bhl
2008-05-19T09:08:15.400Z,33.27,35.43,1.0,3.9,md,20.0,109.9,,,us,usp000g77y,2014-11-07T01:36:03.264Z,"13 km SSW of Nabatîyé et Tahta, Lebanon",earthquake,,,,,reviewed,gii,bhl
