time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2001-02-23T22:19:41.000Z,46.1,7.1,10.0,3.9,ml,95.0,,,,us,usp000aa7j,2014-11-07T01:12:11.279Z,"2 km E of Martigny-Ville, Switzerland",earthquake,,,,,reviewed,grf,fur
2000-11-06T23:31:33.000Z,50.2,12.5,0.0,3.5,ml,33.0,,,,us,usp000a33y,2014-11-07T01:11:26.329Z,"4 km WNW of Habartov, Czechia",earthquake,,,,,reviewed,grf,ldg
2000-11-06T22:50:36.000Z,50.2,12.5,10.0,3.8,ml,42.0,,,,us,usp000a33q,2014-11-07T01:11:26.305Z,"4 km WNW of Habartov, Czechia",earthquake,,,,,reviewed,grf,ldg
2000-11-06T22:34:38.000Z,50.2,12.4,10.0,4.0,ml,50.0,,,,us,usp000a33m,2014-11-07T01:11:26.288Z,"4 km NE of Skalná, Czechia",earthquake,,,,,reviewed,grf,ldg
2000-11-06T22:07:20.000Z,50.2,12.5,10.0,4.2,ml,59.0,,,,us,usp000a333,2014-11-07T01:11:26.235Z,"4 km WNW of Habartov, Czechia",earthquake,,,,,reviewed,grf,vie
2000-11-06T21:10:19.000Z,50.2,12.5,10.0,3.6,ml,42.0,,,,us,usp000a32r,2014-11-07T01:11:26.188Z,"4 km WNW of Habartov, Czechia",earthquake,,,,,reviewed,grf,brg
2000-10-29T05:10:47.000Z,50.2,12.5,10.0,3.6,ml,36.0,,,,us,usp000a2mc,2014-11-07T01:11:19.629Z,"4 km WNW of Habartov, Czechia",earthquake,,,,,reviewed,grf,str
2000-10-23T21:22:02.000Z,50.2,12.5,10.0,3.8,ml,44.0,,,,us,usp000a29h,2014-11-07T01:11:18.460Z,"4 km WNW of Habartov, Czechia",earthquake,,,,,reviewed,grf,vie
2000-10-15T19:24:15.000Z,50.2,12.5,10.0,3.5,ml,29.0,,,,us,usp000a1uq,2014-11-07T01:11:16.705Z,"4 km WNW of Habartov, Czechia",earthquake,,,,,reviewed,grf,ldg
2000-10-15T16:36:48.000Z,50.2,12.5,10.0,3.5,ml,26.0,,,,us,usp000a1ty,2014-11-07T01:11:16.651Z,"4 km WNW of Habartov, Czechia",earthquake,,,,,reviewed,grf,str
2000-07-26T12:19:23.000Z,50.2,8.0,10.0,4.0,ml,75.0,,,,us,usp0009x73,2014-11-07T01:10:40.642Z,"6 km ESE of Holzhausen an der Haide, Germany",earthquake,,,,,reviewed,grf,ldg
2001-10-03T11:00:13.000Z,50.9,6.5,1.0,3.6,ml,58.0,,,,us,usp000aq69,2014-11-07T01:13:55.808Z,"2 km NE of Niederzier, Germany",earthquake,,,,,reviewed,grf,ldg
2001-07-21T16:35:59.000Z,54.0,12.5,10.0,3.5,ml,41.0,,,,us,usp000ajy2,2014-11-07T01:13:19.642Z,"3 km SE of Tessin, Germany",earthquake,,,,,reviewed,grf,grf
2006-03-13T08:28:37.500Z,48.49,17.74,10.0,3.6,ml,40.0,54.1,,,us,usp000ec29,2014-11-07T01:28:31.276Z,"5 km NNW of Leopoldov, Slovakia",earthquake,,,,,reviewed,grf,grf
2006-08-31T11:44:24.500Z,51.496,16.043,1.0,3.8,ml,58.0,68.4,,,us,usp000es5u,2014-11-07T01:30:03.664Z,"2 km WSW of Polkowice, Poland",earthquake,,,,,reviewed,grf,grf
2006-07-29T07:33:13.000Z,51.5,16.0,1.0,3.6,ml,40.0,67.6,,,us,usp000eptp,2014-11-07T01:29:48.393Z,"5 km W of Polkowice, Poland",earthquake,,,,,reviewed,grf,grf
2006-03-13T08:28:37.500Z,48.49,17.74,10.0,3.6,ml,40.0,54.1,,,us,usp000ec29,2014-11-07T01:28:31.276Z,"5 km NNW of Leopoldov, Slovakia",earthquake,,,,,reviewed,grf,grf
2008-03-05T19:41:25.700Z,45.669,15.929,10.0,3.5,ml,56.0,149.6,,,us,usp000g0t5,2014-11-07T01:35:11.592Z,"4 km SSE of Strmec, Croatia",earthquake,,,,,reviewed,grf,grf
2008-02-17T11:07:20.600Z,51.46,6.6,1.0,3.6,ml,52.0,152.0,,,us,usp000fz3q,2014-11-07T01:34:58.137Z,"2 km WNW of Moers, Germany",earthquake,,,,,reviewed,grf,ldg
2008-01-16T10:42:03.100Z,49.411,6.834,1.0,3.5,ml,30.0,86.7,,,us,usp000fwtx,2014-11-07T01:34:42.801Z,"2 km SSW of Schmelz, Germany",earthquake,,,,,reviewed,grf,ldg
2007-11-26T06:22:30.000Z,49.341,6.727,1.0,3.5,ml,53.0,88.5,,,us,usp000ftb8,2014-11-07T01:34:14.964Z,"1 km S of Dillingen, Germany",earthquake,,,,,reviewed,grf,ldg
2007-05-05T14:29:39.400Z,51.433,16.065,1.0,4.2,mb,116.0,23.6,,,us,usp000fba6,2014-11-07T01:32:24.576Z,"7 km S of Polkowice, Poland",earthquake,,,,9.0,reviewed,grf,us
2009-01-11T10:53:56.400Z,51.52,16.115,1.0,4.7,mb,68.0,47.0,,,us,usp000gsft,2020-09-21T15:58:01.278Z,"3 km ENE of Polkowice, Poland",earthquake,,,,18.0,reviewed,grf,us
2008-12-15T13:46:28.300Z,50.284,18.857,1.0,3.5,ml,27.0,65.4,,,us,usp000gqnh,2014-11-07T01:37:58.441Z,"2 km N of Ruda ?l?ska, Poland",earthquake,,,,,reviewed,grf,grf
2008-12-12T22:45:56.700Z,50.363,18.801,1.0,3.6,ml,49.0,43.4,,,us,usp000gqg4,2014-11-07T01:37:57.686Z,"3 km SE of Wieszowa, Poland",earthquake,,,,,reviewed,grf,grf
2008-10-28T08:30:11.000Z,50.212,12.455,10.0,4.2,ml,60.0,68.7,,,us,usp000gm6r,2014-11-07T01:37:33.046Z,"5 km SE of Luby, Czechia",earthquake,,,,,reviewed,grf,ldg
2008-10-21T02:14:02.300Z,50.218,12.452,10.0,3.5,ml,19.0,108.1,,,us,usp000gkq9,2014-11-07T01:37:30.912Z,"5 km SE of Luby, Czechia",earthquake,,,,,reviewed,grf,gfu
2008-10-14T19:00:32.500Z,50.193,12.441,6.8,4.1,ml,80.0,32.9,,,us,usp000gk8r,2014-11-07T01:37:29.215Z,"6 km ENE of Skalná, Czechia",earthquake,,,,,reviewed,grf,gfu
2008-10-12T07:44:55.800Z,50.197,12.465,10.0,4.2,ml,78.0,65.6,,,us,usp000gk21,2014-11-07T01:37:27.770Z,"6 km WNW of Habartov, Czechia",earthquake,,,,,reviewed,grf,ldg
2008-10-12T07:19:57.000Z,50.194,12.464,10.0,3.5,ml,29.0,95.7,,,us,usp000gk1z,2014-11-07T01:37:27.764Z,"6 km W of Habartov, Czechia",earthquake,,,,,reviewed,grf,ldg
2008-10-10T11:18:41.600Z,50.229,12.447,9.0,3.7,ml,36.0,162.8,,,us,usp000gjvc,2014-11-07T01:37:26.831Z,"3 km SE of Luby, Czechia",earthquake,,,,,reviewed,grf,ldg
2008-10-10T08:08:45.900Z,50.211,12.456,10.1,4.4,ml,59.0,52.1,,,us,usp000gjv2,2014-11-07T01:37:26.782Z,"5 km SE of Luby, Czechia",earthquake,,,,,reviewed,grf,ldg
2008-10-10T03:22:05.100Z,50.219,12.446,10.2,4.0,ml,57.0,65.7,,,us,usp000gju4,2014-11-07T01:37:26.696Z,"4 km SE of Luby, Czechia",earthquake,,,,,reviewed,grf,grf
2008-09-06T08:27:33.600Z,51.529,16.116,1.0,3.6,ml,51.0,98.7,,,us,usp000ggh7,2014-11-07T01:37:08.336Z,"4 km NE of Polkowice, Poland",earthquake,,,,,reviewed,grf,grf
2008-08-14T22:46:47.000Z,51.539,16.089,1.0,4.1,ml,55.0,30.4,,,us,usp000gepn,2014-11-07T01:36:54.055Z,"4 km NNE of Polkowice, Poland",earthquake,,,,,reviewed,grf,grf
2008-03-05T19:41:25.700Z,45.669,15.929,10.0,3.5,ml,56.0,149.6,,,us,usp000g0t5,2014-11-07T01:35:11.592Z,"4 km SSE of Strmec, Croatia",earthquake,,,,,reviewed,grf,grf
2010-04-03T01:36:43.800Z,51.491,16.122,1.0,4.6,mb,120.0,29.9,,,us,usp000ha9b,2022-07-16T09:38:12.347Z,"3 km ESE of Polkowice, Poland",earthquake,,,,20.0,reviewed,grf,us
2011-09-08T19:02:50.300Z,51.683,6.025,6.0,4.2,mb,101.0,65.4,,,us,usp000j7t2,2016-02-26T16:54:58.218Z,"3 km ENE of Heijen, Netherlands",earthquake,,,,3.0,reviewed,grf,us
