time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1989-01-20T19:22:56.090Z,7.152,-82.474,23.9,4.3,md,,,,,us,usp0003r1f,2014-11-07T00:43:28.055Z,"106 km SSE of Punta de Burica, Panama",earthquake,,,,,reviewed,hdc,hdc
1988-12-18T21:35:05.660Z,6.989,-82.937,33.0,4.1,md,,,,,us,usp0003py9,2014-11-07T00:43:17.819Z,"115 km S of Punta de Burica, Panama",earthquake,,,,,reviewed,hdc,hdc
1988-12-11T08:09:03.600Z,7.076,-83.023,7.8,4.1,md,,,,,us,usp0003prs,2014-11-07T00:43:16.893Z,"107 km S of Punta de Burica, Panama",earthquake,,,,,reviewed,hdc,hdc
1988-11-25T12:38:42.230Z,11.258,-85.591,156.6,4.3,md,,,,,us,usp0003p69,2014-11-07T00:43:09.124Z,"11 km NW of Cárdenas, Nicaragua",earthquake,,,,,reviewed,hdc,hdc
1988-11-16T21:40:42.670Z,11.424,-87.814,4.1,4.1,md,,,,,us,usp0003nx8,2014-11-07T00:43:06.581Z,"136 km SSW of Corinto, Nicaragua",earthquake,,,,,reviewed,hdc,hdc
1988-11-16T04:51:15.920Z,11.34,-85.732,10.0,4.4,md,,,,,us,usp0003nwn,2014-11-07T00:43:06.473Z,"14 km SE of Rivas, Nicaragua",earthquake,,,,,reviewed,hdc,hdc
1988-10-18T03:34:53.840Z,10.638,-87.249,0.2,4.2,md,,,,,us,usp0003mxk,2014-11-07T00:42:58.493Z,"150 km SSW of Masachapa, Nicaragua",earthquake,,,,,reviewed,hdc,hdc
1988-10-15T19:28:34.070Z,11.808,-87.025,55.5,4.2,md,,,,,us,usp0003muy,2014-11-07T00:42:58.114Z,"55 km W of Masachapa, Nicaragua",earthquake,,,,,reviewed,hdc,hdc
1988-09-19T16:19:52.190Z,11.912,-86.817,58.0,4.6,md,,,,,us,usp0003m3k,2014-11-07T00:42:49.832Z,near the coast of Nicaragua,earthquake,,,,,reviewed,hdc,hdc
1988-09-17T13:53:52.820Z,11.509,-86.244,139.1,4.6,md,,,,,us,usp0003m1t,2014-11-07T00:42:49.649Z,"25 km SSW of La Conquista, Nicaragua",earthquake,,,,,reviewed,hdc,hdc
1988-08-18T08:39:52.170Z,10.767,-84.891,179.9,4.1,md,,,,,us,usp0003k3z,2014-11-07T00:42:41.075Z,Costa Rica,earthquake,,,,,reviewed,hdc,hdc
1988-07-20T07:46:27.410Z,11.15,-85.629,162.4,4.1,md,,,,,us,usp0003j0z,2014-11-07T00:42:31.516Z,"8 km N of La Cruz, Costa Rica",earthquake,,,,,reviewed,hdc,hdc
1989-08-28T00:02:43.240Z,11.102,-85.687,158.9,4.2,md,,,,,us,usp0003yzm,2014-11-07T00:44:45.267Z,"6 km WNW of La Cruz, Costa Rica",earthquake,,,,,reviewed,hdc,hdc
