time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1983-03-08T16:41:03.380Z,19.1968333,-155.5928333,10.325,4.56,ml,49.0,207.0,,0.13,hv,hv19831308,2020-03-31T21:35:42.010Z,"12 km W of P?hala, Hawaii",earthquake,0.95,0.45,0.05,4.0,reviewed,hv,hv
1983-03-05T09:27:23.840Z,19.3566667,-155.0495,8.063,3.53,ml,46.0,111.0,,0.12,hv,hv19831287,2020-03-31T21:35:38.240Z,"15 km SE of Fern Forest, Hawaii",earthquake,0.59,0.41,0.04,2.0,reviewed,hv,hv
1983-02-25T04:49:46.070Z,19.4181667,-155.632,-1.638,3.6,ml,38.0,100.0,,0.13,hv,hv19831225,2020-03-31T18:15:45.650Z,"24 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.44,0.98,0.06,1.0,reviewed,hv,hv
1983-02-20T04:05:12.050Z,19.3283333,-155.1195,8.186,3.55,ml,45.0,104.0,,0.09,hv,hv19831200,2020-03-31T18:15:41.580Z,"15 km S of Fern Forest, Hawaii",earthquake,0.48,0.35,0.08,3.0,reviewed,hv,hv
1983-02-08T02:02:45.470Z,19.3535,-155.2383333,27.085,4.26,ml,46.0,59.0,,0.1,hv,hv19831103,2020-03-31T18:17:47.570Z,"9 km S of Volcano, Hawaii",earthquake,0.55,0.89,0.16,3.0,reviewed,hv,hv
1983-02-03T05:46:22.660Z,19.3285,-155.1061667,9.366,3.52,ml,43.0,119.0,,0.11,hv,hv19831063,2020-03-31T18:17:41.360Z,"15 km SSE of Fern Forest, Hawaii",earthquake,0.57,0.4,0.02,3.0,reviewed,hv,hv
1983-01-24T04:00:24.890Z,19.3525,-155.0271667,9.389,4.47,ml,46.0,159.0,,0.11,hv,hv19830939,2020-03-31T21:18:59.950Z,"16 km SE of Fern Forest, Hawaii",earthquake,0.68,0.37,0.07,3.0,reviewed,hv,hv
1983-01-23T20:46:46.620Z,19.3755,-155.0575,11.509,3.6,ml,44.0,98.0,,0.09,hv,hv19830930,2020-03-31T21:18:58.600Z,"12 km SE of Fern Forest, Hawaii",earthquake,0.44,0.28,0.05,4.0,reviewed,hv,hv
1983-01-16T17:33:53.640Z,19.3493333,-155.1201667,8.706,3.98,ml,46.0,82.0,,0.11,hv,hv19830818,2020-03-31T21:18:06.120Z,"12 km S of Fern Forest, Hawaii",earthquake,0.46,0.36,0.09,2.0,reviewed,hv,hv
1983-01-05T14:54:13.020Z,19.3076667,-155.2231667,9.08,3.85,ml,44.0,81.0,,0.13,hv,hv19830412,2020-03-31T21:18:16.060Z,"14 km S of Volcano, Hawaii",earthquake,0.51,0.42,0.04,5.0,reviewed,hv,hv
1983-01-03T21:55:04.000Z,19.3456667,-155.0613333,7.803,3.89,ml,46.0,90.0,,0.11,hv,hv19830288,2020-03-31T21:17:39.220Z,"15 km SSE of Fern Forest, Hawaii",earthquake,0.51,0.4,0.12,4.0,reviewed,hv,hv
1982-12-05T15:37:37.760Z,19.803,-156.1583333,36.238,3.84,ml,46.0,255.0,,0.11,hv,hv19824524,2020-03-31T17:24:32.540Z,"20 km WNW of Kalaoa, Hawaii",earthquake,1.23,1.72,0.18,2.0,reviewed,hv,hv
1982-11-30T00:50:38.050Z,19.3476667,-155.3316667,31.136,4.08,ml,49.0,55.0,,0.1,hv,hv19824463,2020-03-31T18:17:35.000Z,"14 km SW of Volcano, Hawaii",earthquake,0.54,0.95,0.29,4.0,reviewed,hv,hv
1982-11-28T02:01:25.550Z,19.2815,-155.5023333,8.315,3.83,ml,46.0,50.0,,0.14,hv,hv19824443,2020-03-31T18:17:31.800Z,"9 km NNW of P?hala, Hawaii",earthquake,0.42,0.56,0.1,4.0,reviewed,hv,hv
1982-11-25T19:10:37.260Z,19.3563333,-155.2935,34.104,3.54,ml,46.0,27.0,,0.1,hv,hv19824420,2020-03-31T18:20:00.830Z,"11 km SSW of Volcano, Hawaii",earthquake,0.58,0.99,0.18,2.0,reviewed,hv,hv
1982-11-13T02:18:58.250Z,19.4515,-155.4386667,13.057,4.21,ml,47.0,38.0,,0.12,hv,hv19824301,2020-03-31T18:19:41.920Z,"21 km W of Volcano, Hawaii",earthquake,0.36,0.27,0.23,4.0,reviewed,hv,hv
1982-10-15T04:30:26.540Z,19.432,-155.4281667,8.407,3.61,ml,46.0,37.0,,0.14,hv,hv19823962,2020-03-31T18:18:32.050Z,"20 km W of Volcano, Hawaii",earthquake,0.36,0.47,0.11,2.0,reviewed,hv,hv
1982-10-05T21:39:36.830Z,18.9025,-155.2563333,16.569,3.91,ml,42.0,248.0,,0.1,hv,hv19823805,2020-03-31T18:17:49.730Z,"38 km ESE of Naalehu, Hawaii",earthquake,1.78,13.71,0.38,2.0,reviewed,hv,hv
1982-09-22T01:35:27.820Z,19.3321667,-155.1113333,8.926,3.85,ml,44.0,108.0,,0.1,hv,hv19823248,2020-03-31T21:19:57.280Z,"14 km S of Fern Forest, Hawaii",earthquake,0.48,0.39,0.02,4.0,reviewed,hv,hv
1982-09-14T19:17:32.650Z,19.1776667,-155.6003333,8.545,3.63,ml,45.0,98.0,,0.2,hv,hv19823165,2020-03-31T21:19:44.450Z,"11 km N of Wai‘?hinu, Hawaii",earthquake,0.72,0.68,0.04,1.0,reviewed,hv,hv
1982-09-11T05:03:44.660Z,19.389,-155.4153333,9.33,3.58,ml,45.0,37.0,,0.13,hv,hv19823130,2020-03-31T21:19:38.550Z,"19 km WSW of Volcano, Hawaii",earthquake,0.32,0.4,0.07,2.0,reviewed,hv,hv
