time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2006-03-06T10:40:45.740Z,45.731,26.741,138.8,4.5,mb,183.0,19.4,,,us,usp000ebhq,2014-11-07T01:28:28.932Z,"2 km NE of Nereju, Romania",earthquake,,,,56.0,reviewed,irsa,us
2005-12-26T22:58:47.760Z,45.48,26.57,133.7,3.9,md,12.0,83.2,,,us,usp000e6zs,2014-11-07T01:27:57.335Z,"1 km WSW of Lop?tari, Romania",earthquake,,,,,reviewed,irsa,irsa
2005-12-13T12:14:42.620Z,45.766,26.783,144.9,4.8,mwc,275.0,35.4,,,us,usp000e62y,2022-07-14T13:09:52.195Z,"2 km NE of Spulber, Romania",earthquake,,,,,reviewed,irsa,hrv
2005-10-31T18:02:45.200Z,46.0,27.4,31.0,4.1,md,17.0,127.8,,,us,usp000e37w,2014-11-07T01:27:30.879Z,"4 km SE of Br?h??e?ti, Romania",earthquake,,,,,reviewed,irsa,irsa
2005-09-27T14:50:40.720Z,44.616,25.847,9.9,3.6,md,11.0,163.8,,,us,usp000e0ck,2014-11-07T01:27:10.763Z,"1 km SSE of Urziceanca, Romania",earthquake,,,,,reviewed,irsa,irsa
2005-09-10T16:42:33.010Z,45.221,27.241,1.0,3.6,md,9.0,130.8,,,us,usp000dz6q,2014-11-07T01:27:03.172Z,"5 km SW of Amara, Romania",earthquake,,,,,reviewed,irsa,irsa
2005-09-10T07:39:34.340Z,45.223,27.223,11.4,3.6,md,11.0,121.6,,,us,usp000dz5v,2014-11-07T01:27:02.902Z,"4 km E of Galbenu, Romania",earthquake,,,,,reviewed,irsa,irsa
2005-09-05T14:23:32.420Z,45.817,26.79,98.9,4.4,mb,181.0,13.3,,,us,usp000dytx,2014-11-07T01:27:00.720Z,"1 km SSE of N?ruja, Romania",earthquake,,,,23.0,reviewed,irsa,us
2006-11-09T11:46:05.310Z,45.578,26.544,123.1,3.6,md,10.0,153.2,,,us,usp000ewzv,2014-11-07T01:30:47.167Z,"10 km NNW of Lop?tari, Romania",earthquake,,,,,reviewed,irsa,irsa
2006-03-06T10:40:45.740Z,45.731,26.741,138.8,4.5,mb,183.0,19.4,,,us,usp000ebhq,2014-11-07T01:28:28.932Z,"2 km NE of Nereju, Romania",earthquake,,,,56.0,reviewed,irsa,us
2008-02-09T08:38:49.700Z,45.518,26.45,143.1,3.9,md,16.0,63.3,,,us,usp000fygu,2014-11-07T01:34:55.289Z,"4 km NE of Gura Teghii, Romania",earthquake,,,,,reviewed,irsa,irsa
2008-05-25T09:31:34.760Z,45.504,26.428,137.2,4.0,md,19.0,86.1,,,us,usp000g7r9,2014-11-07T01:36:06.163Z,"2 km NNE of Gura Teghii, Romania",earthquake,,,,,reviewed,irsa,irsa
