time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1982-08-05T20:42:07.300Z,-12.347,166.247,20.0,5.5,mw,,,,,iscgem,iscgem593206,2022-04-28T00:28:51.460Z,"186 km SSE of Lata, Solomon Islands",earthquake,,19.7,0.2,,reviewed,iscgem,iscgem
1982-06-19T06:21:58.540Z,13.332,-89.387,73.0,7.29,mw,,,,,iscgem,iscgem597450,2022-04-28T00:35:09.375Z,"18 km SSW of La Libertad, El Salvador",earthquake,,5.2,0.1,,reviewed,iscgem,iscgem
1982-03-24T02:12:06.240Z,38.878,75.654,15.0,5.15,mw,,,,,iscgem,iscgem602851,2022-04-28T00:42:14.605Z,"71 km SSW of Kashgar, China",earthquake,,21.8,0.2,,reviewed,iscgem,iscgem
1983-12-15T03:57:25.160Z,-29.155,-176.524,20.0,6.11,mw,,,,,iscgem,iscgem562899,2022-04-27T23:41:04.432Z,Kermadec Islands region,earthquake,,19.6,0.2,,reviewed,iscgem,iscgem
1983-12-15T03:52:50.520Z,-56.041,-27.629,120.0,5.84,mw,,,,,iscgem,iscgem562898,2022-04-27T23:40:53.573Z,South Sandwich Islands region,earthquake,,23.9,0.29,,reviewed,iscgem,iscgem
1983-09-25T18:55:28.830Z,17.384,73.979,17.0,5.11,mw,,,,,iscgem,iscgem569042,2022-04-27T23:51:35.685Z,"8 km E of P?tan, India",earthquake,,8.3,0.2,,reviewed,iscgem,iscgem
1983-04-03T03:13:38.030Z,8.576,-83.232,15.0,5.62,mw,,,,,iscgem,iscgem577797,2022-04-28T00:04:20.163Z,"13 km WSW of Golfito, Costa Rica",earthquake,,3.5,0.48,,reviewed,iscgem,iscgem
1984-09-27T12:01:59.060Z,-59.281,-150.589,10.0,5.83,mw,,,,,iscgem,iscgem545335,2022-04-27T22:59:52.050Z,Pacific-Antarctic Ridge,earthquake,,25.0,0.2,,reviewed,iscgem,iscgem
1986-01-31T14:37:24.800Z,-50.116,-7.214,10.0,5.44,mw,,,,,iscgem,iscgem507277,2022-04-27T22:27:59.917Z,southern Mid-Atlantic Ridge,earthquake,,25.0,0.27,,reviewed,iscgem,iscgem
1985-11-28T02:45:29.310Z,-13.955,166.162,15.0,5.63,mw,,,,,iscgem,iscgem511981,2022-04-27T22:32:24.899Z,"150 km W of Sola, Vanuatu",earthquake,,3.8,0.2,,reviewed,iscgem,iscgem
1986-07-14T17:03:10.600Z,-40.497,174.239,79.8,5.53,mw,,,,,iscgem,iscgem490737,2022-04-27T22:09:46.592Z,"80 km NW of Paraparaumu, New Zealand",earthquake,,27.0,0.49,,reviewed,iscgem,iscgem
1987-12-14T21:09:28.940Z,56.392,-56.448,10.0,5.03,mw,,,,,iscgem,iscgem450613,2022-04-27T21:26:10.710Z,Labrador Sea,earthquake,,25.0,0.3,,reviewed,iscgem,iscgem
1989-04-13T03:52:16.670Z,-52.919,140.099,15.0,5.89,mw,,,,,iscgem,iscgem407189,2022-04-28T17:26:57.444Z,west of Macquarie Island,earthquake,,25.0,0.2,,reviewed,iscgem,iscgem
1993-06-08T12:18:25.900Z,-29.015,-13.152,10.0,5.57,mw,,,,,iscgem,iscgem227038,2022-04-28T18:08:26.930Z,southern Mid-Atlantic Ridge,earthquake,,5.3,0.23,,reviewed,iscgem,iscgem
1997-03-08T08:57:28.860Z,11.843,43.495,10.0,4.97,mw,,,,,iscgem,iscgem1015153,2022-04-29T16:45:06.672Z,"26 km ESE of Obock, Djibouti",earthquake,,11.2,0.2,,reviewed,iscgem,iscgem
1997-03-08T08:57:28.860Z,11.843,43.495,10.0,4.97,mw,,,,,iscgem,iscgem1015153,2022-04-29T16:45:06.672Z,"26 km ESE of Obock, Djibouti",earthquake,,11.2,0.2,,reviewed,iscgem,iscgem
2000-12-21T13:05:00.270Z,-3.221,150.758,25.0,5.5,mw,,,,,iscgem,iscgem3265188,2022-04-29T19:47:58.523Z,"71 km S of Kavieng, Papua New Guinea",earthquake,,25.0,0.2,,reviewed,iscgem,iscgem
2004-12-26T07:51:17.710Z,7.808,93.428,25.0,5.95,mw,,,,,iscgem,iscgem7453859,2022-05-02T17:39:38.633Z,"297 km NW of Sabang, Indonesia",earthquake,,15.6,0.2,,reviewed,iscgem,iscgem
2004-09-05T14:57:32.270Z,33.202,137.101,15.0,6.51,mw,,,,,iscgem,iscgem7398408,2022-05-02T17:25:24.288Z,"119 km ESE of Shing?, Japan",earthquake,,7.6,0.61,,reviewed,iscgem,iscgem
2010-02-27T10:30:10.230Z,-37.878,-73.545,20.0,5.99,mw,,,,,iscgem,iscgem600697919,2022-05-02T22:39:45.521Z,"15 km WSW of Cañete, Chile",earthquake,,4.2,0.54,,reviewed,iscgem,iscgem
2009-12-24T00:23:31.770Z,42.126,135.008,395.0,5.67,mw,,,,,iscgem,iscgem17576175,2022-05-02T22:37:16.924Z,"125 km SE of Preobrazheniye, Russia",earthquake,,25.0,0.7,,reviewed,iscgem,iscgem
2011-01-01T09:59:36.920Z,-26.851,-63.217,592.9,5.78,mw,,,,,iscgem,iscgem16394566,2022-04-08T21:40:35.688Z,"19 km N of El Hoyo, Argentina",earthquake,,25.0,0.4,,reviewed,iscgem,iscgem
2011-09-03T16:20:53.220Z,-38.167,-73.651,20.0,5.81,mw,,,,,iscgem,iscgem17197881,2022-04-08T22:03:42.719Z,"46 km SSW of Cañete, Chile",earthquake,,4.2,0.1,,reviewed,iscgem,iscgem
2013-10-06T15:10:55.960Z,16.766,-100.059,20.6,5.08,mw,,,,,iscgem,iscgem607352357,2022-05-03T17:26:59.238Z,"17 km SSW of Colonia Luces en el Mar, Mexico",earthquake,,8.2,0.1,,reviewed,iscgem,iscgem
2015-04-25T06:22:23.350Z,27.813,85.448,18.0,5.26,mw,,,,,iscgem,iscgem607260025,2022-05-03T17:22:52.632Z,"12 km NNW of Nagarkot, Nepal",earthquake,,8.4,0.22,,reviewed,iscgem,iscgem
