time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1998-03-09T19:01:14.700Z,36.495,28.721,15.0,3.5,md,,,,,us,usp0008h80,2014-11-07T01:04:44.264Z,"24 km S of Sarigerme, Turkey",earthquake,,,,,reviewed,isk,isk
1998-03-05T01:22:49.300Z,39.555,27.219,5.0,3.5,md,,,,,us,usp0008gye,2014-11-07T01:04:41.711Z,"10 km E of Havran, Turkey",earthquake,,,,,reviewed,isk,isk
1998-02-28T14:59:57.000Z,38.804,25.948,10.0,3.7,md,,,,,us,usp0008gqw,2014-11-07T01:04:36.032Z,"36 km SSW of Polichnítos, Greece",earthquake,,,,,reviewed,isk,isk
1998-02-27T02:42:23.500Z,36.582,36.434,6.0,3.7,md,,,,,us,usp0008gnt,2014-11-07T01:04:35.744Z,"11 km NE of K?r?khan, Turkey",earthquake,,,,,reviewed,isk,isk
1998-02-01T09:49:17.500Z,38.884,27.111,10.0,3.5,md,,,,,us,usp0008f9v,2014-11-07T01:04:27.084Z,"3 km E of Yeni?akran, Turkey",earthquake,,,,,reviewed,isk,isk
1998-01-28T07:56:49.900Z,36.453,26.705,14.0,3.9,mb,,,,,us,usp0008f39,2014-11-07T01:04:23.528Z,"33 km ESE of Astypálaia, Greece",earthquake,,,,3.0,reviewed,isk,us
1998-01-25T12:11:37.000Z,40.158,32.079,8.0,3.6,md,,,,,us,usp0008ey8,2014-11-07T01:04:22.816Z,"13 km E of Beypazar?, Turkey",earthquake,,,,,reviewed,isk,isk
1998-01-25T00:55:03.600Z,38.129,38.952,10.0,3.8,md,,,,,us,usp0008exn,2014-11-07T01:04:22.745Z,"20 km NNW of Gerger, Turkey",earthquake,,,,,reviewed,isk,isk
1998-01-19T03:37:03.400Z,40.351,26.341,10.0,3.8,md,,,,,us,usp0008eme,2014-11-07T01:04:21.192Z,"18 km N of Eceabat, Turkey",earthquake,,,,,reviewed,isk,isk
1998-01-18T04:01:32.300Z,39.514,27.698,9.0,3.6,md,,,,,us,usp0008ejf,2014-11-07T01:04:21.025Z,"14 km NNE of Sava?tepe, Turkey",earthquake,,,,,reviewed,isk,isk
1998-01-10T14:02:49.200Z,36.788,31.182,10.0,3.5,md,,,,,us,usp0008e22,2014-11-07T01:04:19.016Z,"7 km SSE of Bo?azkent, Turkey",earthquake,,,,,reviewed,isk,isk
1998-01-08T06:14:16.800Z,38.701,25.512,10.0,3.5,md,,,,,us,usp0008dxk,2014-11-07T01:04:18.133Z,"18 km NNW of Psará, Greece",earthquake,,,,,reviewed,isk,isk
1999-03-13T21:17:37.500Z,38.439,39.239,10.0,4.0,md,,,,,us,usp00094f9,2014-11-07T01:07:13.591Z,"6 km W of Sivrice, Turkey",earthquake,,,,,reviewed,isk,isk
