time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-11-09T22:42:06.600Z,37.1223,-97.6172,4.27,3.6,mwr,,77.0,0.014,0.84,us,us10003w3p,2020-03-20T00:39:30.617Z,"10 km N of Caldwell, Kansas",earthquake,2.6,6.4,0.046,45.0,reviewed,ismp,us
2015-10-27T03:06:49.380Z,37.1217,-97.6213,4.02,3.6,ml,,76.0,0.015,0.33,us,us10003rqb,2022-08-01T14:00:54.216Z,"10 km N of Caldwell, Kansas",earthquake,4.7,6.8,0.175,25.0,reviewed,ismp,ismp
2016-10-24T13:25:55.020Z,37.1583,-97.8237,4.78,3.5,ml,,88.0,0.052,0.44,us,us20007gdi,2017-01-20T00:31:04.040Z,"5 km SSE of Freeport, Kansas",earthquake,1.7,4.7,0.221,17.0,reviewed,ismp,ismp
2017-08-09T21:15:30.940Z,37.127,-97.6132,6.08,3.7,mwr,,79.0,0.01,0.57,us,us2000a6lz,2020-03-20T01:51:59.054Z,"10 km N of Caldwell, Kansas",earthquake,2.9,6.0,0.054,33.0,reviewed,ismp,us
2017-07-11T17:22:25.610Z,37.2315,-97.972,5.16,3.5,ml,,120.0,0.005,0.29,us,us100098wc,2017-10-06T23:56:14.040Z,"7 km SE of Harper, Kansas",earthquake,1.0,1.2,0.196,20.0,reviewed,ismp,ismp
2017-06-22T12:44:51.170Z,37.2295,-97.9742,4.37,3.7,ml,,122.0,0.004,0.15,us,us20009p1d,2017-08-23T16:35:47.040Z,"7 km SE of Harper, Kansas",earthquake,1.8,2.9,0.201,17.0,reviewed,ismp,ismp
2017-06-10T06:26:10.890Z,37.2345,-97.9848,3.78,3.7,ml,,235.0,0.013,0.57,us,us20009lpj,2017-08-16T02:42:22.040Z,"6 km SSE of Harper, Kansas",earthquake,3.7,7.3,0.189,14.0,reviewed,ismp,ismp
2017-06-01T18:26:39.740Z,37.2347,-97.9817,4.59,3.6,ml,,234.0,0.012,0.31,us,us10008x7c,2017-08-15T02:26:50.040Z,"6 km SE of Harper, Kansas",earthquake,1.7,4.4,0.152,17.0,reviewed,ismp,ismp
2017-05-04T23:36:47.950Z,37.2278,-97.8698,4.28,3.7,ml,,78.0,0.022,0.2,us,us10008pi7,2017-07-29T03:16:22.040Z,"3 km NNW of Freeport, Kansas",earthquake,0.9,2.1,0.179,17.0,reviewed,ismp,ismp
2018-09-08T06:23:24.870Z,37.1983,-97.7742,6.46,3.7,mb,,117.0,0.046,0.2,us,us2000haw4,2018-11-09T21:53:50.040Z,"7 km E of Freeport, Kansas",earthquake,1.1,1.6,0.226,5.0,reviewed,ismp,us
2018-04-08T07:25:32.970Z,37.199,-97.7747,6.21,3.5,ml,,98.0,0.047,0.25,us,us2000dwcj,2020-03-20T02:11:30.517Z,"7 km E of Freeport, Kansas",earthquake,1.6,2.5,0.155,17.0,reviewed,ismp,ismp
