time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2006-03-13T04:06:09.350Z,36.057,141.766,59.0,5.1,mwc,107.0,118.9,,,us,usp000ec21,2016-11-10T01:18:44.984Z,"near the east coast of Honshu, Japan",earthquake,,,,,reviewed,jma,hrv
2006-03-13T03:41:21.470Z,36.235,140.1,55.6,4.2,mb,11.0,154.5,,,us,usp000ec1y,2014-11-07T01:28:31.168Z,"3 km S of Makabe, Japan",earthquake,,,,2.0,reviewed,jma,us
2006-03-13T03:00:38.090Z,36.048,141.765,58.0,4.6,mwr,50.0,127.0,,,us,usp000ec1x,2014-11-07T01:28:31.162Z,"91 km ENE of Hasaki, Japan",earthquake,,,,,reviewed,jma,nied
2006-03-02T11:37:36.810Z,24.828,125.395,49.6,4.0,m,13.0,116.3,,,us,usp000eb5w,2014-11-07T01:28:26.557Z,"9 km ENE of Hirara, Japan",earthquake,,,,,reviewed,jma,jma
2006-02-25T23:38:20.580Z,35.275,141.255,39.1,3.8,m,11.0,156.3,,,us,usp000eave,2014-11-07T01:28:21.931Z,"63 km SE of Hasaki, Japan",earthquake,,,,,reviewed,jma,jma
2006-02-25T01:03:09.830Z,29.571,130.17,23.4,3.9,mb,12.0,132.8,,,us,usp000eata,2014-11-07T01:28:21.744Z,"79 km SSW of Yudomari, Japan",earthquake,,,,1.0,reviewed,jma,us
2006-02-19T07:08:31.220Z,30.583,131.176,29.8,3.5,m,12.0,143.8,,,us,usp000eac2,2014-11-07T01:28:20.142Z,"23 km SE of Nishinoomote, Japan",earthquake,,,,,reviewed,jma,jma
2006-02-15T18:46:29.890Z,33.358,132.227,44.3,4.0,m,11.0,122.1,,,us,usp000ea3z,2014-11-07T01:28:18.635Z,"33 km WSW of ?zu, Japan",earthquake,,,,,reviewed,jma,jma
2006-02-10T09:59:42.770Z,37.69,142.312,29.3,4.1,mwr,19.0,156.1,,,us,usp000e9vv,2014-11-07T01:28:17.796Z,"118 km E of Namie, Japan",earthquake,,,,,reviewed,jma,nied
2006-02-09T12:12:37.390Z,33.426,140.537,63.1,3.7,m,5.0,218.2,,,us,usp000e9u9,2014-11-07T01:28:17.651Z,"183 km SSE of Tateyama, Japan",earthquake,,,,,reviewed,jma,jma
2006-02-05T00:45:12.550Z,35.748,140.993,34.6,4.2,mb,9.0,175.6,,,us,usp000e9gf,2014-11-07T01:28:16.378Z,"14 km E of Hasaki, Japan",earthquake,,,,4.0,reviewed,jma,us
2006-02-04T21:20:28.250Z,41.947,142.325,69.0,4.4,mb,17.0,153.6,,,us,usp000e9fy,2014-11-07T01:28:16.306Z,"43 km S of Shizunai-furukawach?, Japan",earthquake,,,,2.0,reviewed,jma,us
2006-02-03T06:59:52.460Z,36.217,141.69,59.8,4.0,mwr,11.0,156.3,,,us,usp000e9ct,2014-11-07T01:28:15.329Z,"94 km NE of Hasaki, Japan",earthquake,,,,,reviewed,jma,nied
2006-01-24T12:36:49.100Z,31.518,131.921,24.8,4.3,m,17.0,129.1,,,us,usp000e8ss,2014-11-07T01:28:09.258Z,"53 km E of Nichinan, Japan",earthquake,,,,,reviewed,jma,jma
2006-01-21T11:52:11.970Z,36.66,141.264,46.2,3.5,m,6.0,243.2,,,us,usp000e8kk,2014-11-07T01:28:08.080Z,"48 km ESE of Kitaibaraki, Japan",earthquake,,,,,reviewed,jma,jma
2006-01-17T10:19:00.640Z,40.834,144.599,50.0,3.9,m,12.0,136.6,,,us,usp000e8c2,2014-11-07T01:28:06.775Z,"238 km S of Kushiro, Japan",earthquake,,,,,reviewed,jma,jma
2006-01-15T22:53:57.350Z,36.545,140.91,49.1,4.0,mb,10.0,233.6,,,us,usp000e89x,2014-11-07T01:28:06.572Z,"24 km ESE of Hitachi, Japan",earthquake,,,,2.0,reviewed,jma,us
2006-01-15T22:14:55.150Z,27.307,140.254,469.0,4.4,m,8.0,207.1,,,us,usp000e89u,2014-11-07T01:28:06.568Z,"Bonin Islands, Japan region",earthquake,,,,,reviewed,jma,jma
2006-01-09T23:17:07.620Z,38.796,142.417,42.1,3.7,mwr,11.0,155.6,,,us,usp000e7y6,2014-11-07T01:28:05.355Z,"67 km ESE of ?funato, Japan",earthquake,,,,,reviewed,jma,nied
2006-01-07T23:09:45.670Z,30.278,142.554,52.0,4.3,m,13.0,136.8,,,us,usp000e7t4,2014-11-07T01:28:04.675Z,"Izu Islands, Japan region",earthquake,,,,,reviewed,jma,jma
2006-01-02T00:49:46.900Z,33.745,138.878,253.0,3.5,m,6.0,196.2,,,us,usp000e7cu,2014-11-07T01:28:01.646Z,"103 km S of Shimoda, Japan",earthquake,,,,,reviewed,jma,jma
2006-01-01T14:20:01.580Z,35.992,138.63,61.5,4.3,mb,9.0,208.6,,,us,usp000e7by,2014-11-07T01:28:01.296Z,"eastern Honshu, Japan",earthquake,,,,1.0,reviewed,jma,us
2006-01-01T13:56:54.450Z,35.913,136.756,9.5,4.1,mb,11.0,121.3,,,us,usp000e7bv,2014-11-07T01:28:01.280Z,"25 km ESE of Ono, Japan",earthquake,,,,2.0,reviewed,jma,us
2005-12-31T14:32:28.710Z,35.927,140.135,61.0,4.4,mb,18.0,154.7,,,us,usp000e79m,2014-11-07T01:27:58.529Z,"2 km NE of Fujishiro, Japan",earthquake,,,,5.0,reviewed,jma,us
2005-12-27T18:09:45.230Z,28.181,140.486,468.0,3.8,m,6.0,143.7,,,us,usp000e71q,2014-11-07T01:27:57.604Z,"Bonin Islands, Japan region",earthquake,,,,,reviewed,jma,jma
2005-12-26T21:29:00.840Z,37.068,142.006,46.0,3.7,m,7.0,229.0,,,us,usp000e6zn,2014-11-07T01:27:57.329Z,"99 km E of Iwaki, Japan",earthquake,,,,,reviewed,jma,jma
2005-12-24T02:01:55.020Z,35.231,136.84,43.0,4.7,mwr,63.0,113.1,,,us,usp000e6rd,2020-07-08T02:00:09.919Z,"5 km ESE of Inazawa, Japan",earthquake,,,,,reviewed,jma,nied
2005-12-24T01:15:42.590Z,38.179,138.85,23.4,4.3,mb,8.0,161.5,,,us,usp000e6r8,2014-11-07T01:27:56.173Z,"35 km NNW of Niigata, Japan",earthquake,,,,2.0,reviewed,jma,us
2005-12-19T03:05:09.160Z,32.387,141.823,100.0,3.5,m,5.0,158.5,,,us,usp000e6dq,2014-11-07T01:27:54.892Z,"Izu Islands, Japan region",earthquake,,,,,reviewed,jma,jma
2005-12-12T23:45:21.150Z,44.001,147.994,0.0,4.5,m,7.0,175.8,,,us,usp000e61x,2014-11-07T01:27:53.246Z,"104 km ENE of Shikotan, Russia",earthquake,,,,,reviewed,jma,jma
2005-12-10T10:02:52.540Z,31.005,138.292,474.0,3.9,m,9.0,134.1,,,us,usp000e5x4,2014-11-07T01:27:52.452Z,"Izu Islands, Japan region",earthquake,,,,,reviewed,jma,jma
2005-12-05T17:49:02.360Z,36.219,141.824,67.5,3.5,m,5.0,332.3,,,us,usp000e5km,2014-11-07T01:27:51.107Z,"104 km ENE of Hasaki, Japan",earthquake,,,,,reviewed,jma,jma
2005-11-22T21:54:17.630Z,38.35,140.059,10.1,3.6,mwr,8.0,153.4,,,us,usp000e4qv,2014-11-07T01:27:42.408Z,"18 km W of Sagae, Japan",earthquake,,,,,reviewed,jma,nied
2005-11-21T13:34:43.450Z,33.37,141.729,16.0,3.5,m,6.0,230.1,,,us,usp000e4nb,2014-11-07T01:27:41.948Z,"236 km SSE of Katsuura, Japan",earthquake,,,,,reviewed,jma,jma
2005-11-15T08:01:50.340Z,24.674,123.324,80.1,4.3,mb,10.0,102.2,,,us,usp000e474,2014-11-07T01:27:39.570Z,"40 km NE of Yonakuni, Japan",earthquake,,,,1.0,reviewed,jma,us
2005-11-14T15:56:49.360Z,42.034,142.584,63.3,3.7,m,7.0,217.1,,,us,usp000e45n,2014-11-07T01:27:39.354Z,"37 km SSE of Shizunai-furukawach?, Japan",earthquake,,,,,reviewed,jma,jma
2005-11-12T04:14:01.520Z,37.332,141.829,41.2,4.0,mwr,16.0,155.9,,,us,usp000e408,2014-11-07T01:27:38.727Z,"75 km ESE of Namie, Japan",earthquake,,,,,reviewed,jma,nied
2005-10-24T05:21:49.120Z,31.098,130.295,156.2,3.8,m,11.0,126.7,,,us,usp000e2q6,2014-11-07T01:27:28.379Z,"18 km S of Makurazaki, Japan",earthquake,,,,,reviewed,jma,jma
2005-10-17T17:58:12.490Z,38.569,142.896,16.9,4.1,m,7.0,156.3,,,us,usp000e225,2014-11-07T01:27:25.634Z,"116 km ESE of ?funato, Japan",earthquake,,,,,reviewed,jma,jma
