time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2004-12-28T14:45:18.770Z,-9.75,-78.9,33.0,4.5,mb,13.0,104.0,,,us,usp000dc28,2014-11-07T01:24:26.535Z,"65 km WSW of Puerto Casma, Peru",earthquake,,,,9.0,reviewed,lim,us
2004-10-19T05:15:05.730Z,-16.41,-72.23,21.0,4.7,mb,27.0,100.6,,,us,usp000d6nc,2014-11-07T01:23:47.061Z,"6 km SW of El Pedregal, Peru",earthquake,,,,8.0,reviewed,lim,us
2004-09-07T10:21:41.280Z,-16.81,-71.87,97.0,4.0,mb,5.0,134.2,,,us,usp000d3uh,2014-11-07T01:23:26.881Z,"28 km NNE of Mollendo, Peru",earthquake,,,,1.0,reviewed,lim,us
2005-08-16T19:35:51.180Z,-14.67,-72.72,13.0,3.5,ml,5.0,147.1,,,us,usp000dxg1,2014-11-07T01:26:49.704Z,"33 km SE of Mollebamba, Peru",earthquake,,,,,reviewed,lim,lim
2005-03-22T00:28:28.500Z,-14.65,-76.08,41.0,4.6,mb,23.0,102.8,,,us,usp000djrx,2014-11-07T01:25:17.625Z,"65 km SW of Santiago, Peru",earthquake,,,,6.0,reviewed,lim,us
2006-12-26T20:09:47.900Z,-16.71,-71.91,45.0,3.9,m,7.0,226.2,,,us,usp000f12j,2014-11-07T01:31:12.080Z,"24 km SSW of El Triunfo ( El Cruce), Peru",earthquake,,,,,reviewed,lim,lim
2006-12-21T22:37:49.100Z,-16.0,-73.15,36.0,4.1,ml,9.0,142.3,,,us,usp000f0rg,2014-11-07T01:31:10.482Z,"3 km NE of Urasqui, Peru",earthquake,,,,,reviewed,lim,lim
2006-11-22T23:58:45.500Z,-15.58,-73.53,21.0,3.9,ml,8.0,159.9,,,us,usp000eyka,2014-11-07T01:30:55.893Z,"9 km SSW of Cahuacho, Peru",earthquake,,,,,reviewed,lim,lim
2006-11-13T07:56:09.700Z,-13.76,-71.87,19.0,4.3,ml,9.0,117.1,,,us,usp000ex9d,2014-11-07T01:30:48.626Z,"9 km E of Paccaritambo, Peru",earthquake,,,,,reviewed,lim,lim
2006-09-27T08:35:02.400Z,-16.55,-71.98,27.0,4.1,ml,7.0,145.4,,,us,usp000etx0,2014-11-07T01:30:17.105Z,"12 km ESE of Santa Rita de Siguas, Peru",earthquake,,,,,reviewed,lim,lim
2006-08-28T03:20:20.800Z,-10.41,-75.43,31.0,4.7,mb,94.0,96.6,,,us,usp000erxv,2014-11-07T01:30:02.671Z,"18 km N of Oxapampa, Peru",earthquake,,,,52.0,reviewed,lim,us
2006-08-22T09:14:42.600Z,-14.1,-75.65,66.0,4.3,mb,6.0,175.4,,,us,usp000ergh,2014-11-07T01:30:00.586Z,"4 km E of Los Aquijes, Peru",earthquake,,,,2.0,reviewed,lim,us
2006-07-18T22:32:29.300Z,-16.54,-71.66,22.0,4.0,ml,7.0,130.9,,,us,usp000ep16,2014-11-07T01:29:42.893Z,"11 km SSW of Cerro Verde, Peru",earthquake,,,,,reviewed,lim,lim
2006-05-08T01:26:53.000Z,-11.5,-76.26,110.0,4.6,mb,54.0,77.1,,,us,usp000egj0,2014-11-07T01:29:04.264Z,"13 km SE of Marcapomacocha, Peru",earthquake,,,,23.0,reviewed,lim,us
2008-01-12T03:48:13.000Z,-7.0,-79.56,71.0,4.7,mb,55.0,69.4,,,us,usp000fwh9,2022-07-13T23:00:45.019Z,"9 km SSE of Saña, Peru",earthquake,,,,26.0,reviewed,lim,us
2007-11-08T08:25:10.800Z,-11.64,-74.48,10.0,3.8,ml,6.0,128.6,,,us,usp000fs68,2014-11-07T01:34:08.444Z,"35 km S of Mazamari, Peru",earthquake,,,,,reviewed,lim,lim
2007-11-04T11:08:27.100Z,-15.6,-74.12,64.0,4.1,m,5.0,177.7,,,us,usp000fryj,2014-11-07T01:34:06.965Z,"7 km NNW of Tocota, Peru",earthquake,,,,,reviewed,lim,lim
2007-10-13T01:34:59.600Z,-5.67,-80.05,76.0,4.4,mb,22.0,92.2,,,us,usp000fqe7,2014-11-07T01:33:55.258Z,"19 km WNW of Pueblo Nuevo, Peru",earthquake,,,,6.0,reviewed,lim,us
2009-03-05T23:59:03.000Z,-17.67,-71.99,34.0,4.3,ml,15.0,145.4,,,us,usp000gup2,2014-11-07T01:38:32.727Z,"58 km SSW of Punta de Bombón, Peru",earthquake,,,,,reviewed,lim,lim
2009-02-15T00:59:58.000Z,-13.44,-71.75,33.0,3.9,ml,7.0,109.1,,,us,usp000gtzc,2014-11-07T01:38:24.111Z,"10 km E of Pisac, Peru",earthquake,,,,,reviewed,lim,lim
2009-02-13T16:41:02.000Z,-12.33,-77.33,36.0,4.1,mb,4.0,150.5,,,us,usp000gtx8,2014-11-07T01:38:23.415Z,"38 km SW of Callao, Peru",earthquake,,,,2.0,reviewed,lim,us
2008-11-04T03:20:37.000Z,-9.69,-78.66,52.0,4.8,mb,44.0,94.8,,,us,usp000gmwu,2014-11-07T01:37:40.681Z,"39 km SW of Puerto Casma, Peru",earthquake,,,,16.0,reviewed,lim,us
2008-10-29T23:00:09.000Z,-13.71,-76.24,33.0,4.1,ml,7.0,170.4,,,us,usp000gmcj,2014-11-07T01:37:34.179Z,"3 km W of Pisco, Peru",earthquake,,,,,reviewed,lim,lim
2008-10-20T04:27:17.000Z,-13.15,-76.6,48.0,4.0,m,5.0,189.8,,,us,usp000gkmu,2014-11-07T01:37:30.643Z,"24 km WSW of San Vicente de Cañete, Peru",earthquake,,,,,reviewed,lim,lim
2008-10-07T00:51:21.000Z,-12.25,-76.94,78.0,4.2,mb,16.0,155.4,,,us,usp000gjkt,2014-11-07T01:37:24.764Z,"14 km SSE of Santiago de Surco, Peru",earthquake,,,,7.0,reviewed,lim,us
2008-07-06T23:16:02.000Z,-9.24,-79.46,55.0,4.3,mb,20.0,96.5,,,us,usp000gbgx,2014-11-07T01:36:35.208Z,"93 km WSW of Puerto Santa, Peru",earthquake,,,,2.0,reviewed,lim,us
2008-06-15T05:44:18.000Z,-14.58,-71.57,57.0,4.6,mb,16.0,117.8,,,us,usp000g9pz,2014-11-07T01:36:21.590Z,"19 km NW of Pichigua, Peru",earthquake,,,,4.0,reviewed,lim,us
2008-05-17T19:39:23.000Z,-13.42,-76.17,54.0,4.1,m,4.0,224.1,,,us,usp000g73k,2014-11-07T01:36:02.242Z,"4 km WSW of Chincha Alta, Peru",earthquake,,,,,reviewed,lim,lim
2008-03-24T05:06:59.000Z,-13.48,-76.58,58.0,3.7,mb,4.0,207.8,,,us,usp000g26x,2014-11-07T01:35:18.676Z,"47 km WNW of Pisco, Peru",earthquake,,,,1.0,reviewed,lim,us
