time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-02-08T19:00:46.000Z,44.3521,-114.0543,13.6,3.7,md,,61.0,0.265,1.54,us,usc000tn8a,2015-05-04T22:47:49.040Z,"22 km SE of Challis, Idaho",earthquake,4.1,6.8,,,reviewed,mb,mb
2015-01-26T04:50:56.500Z,44.3486,-114.0488,12.8,3.6,md,,61.0,0.27,1.37,us,usc000tj2g,2022-06-16T08:50:11.734Z,"22 km SE of Challis, Idaho",earthquake,4.7,7.6,,,reviewed,mb,mb
2015-01-15T20:11:31.300Z,44.4375,-114.118,12.6,3.5,md,,53.0,0.169,0.77,us,usc000tg7k,2022-08-07T07:26:52.467Z,"11 km SE of Challis, Idaho",earthquake,5.2,7.2,,,reviewed,mb,mb
2015-01-10T22:28:35.600Z,44.4513,-114.1256,13.0,3.6,ml,,53.0,0.155,1.14,us,usc000tel7,2022-08-07T07:21:13.141Z,southern Idaho,earthquake,4.8,7.3,,,reviewed,mb,mb
2015-01-10T01:30:43.100Z,44.4551,-114.1098,10.2,3.8,ml,,79.0,0.159,1.07,us,usc000teea,2022-08-07T07:18:42.533Z,"11 km ESE of Challis, Idaho",earthquake,4.3,7.1,,,reviewed,mb,mb
2015-01-04T10:47:54.900Z,44.464,-114.1671,11.5,3.8,ml,,53.0,0.567,1.36,us,usc000tbl0,2022-08-07T06:58:41.746Z,"6 km SE of Challis, Idaho",earthquake,4.7,7.8,,,reviewed,mb,mb
2015-01-04T07:34:12.300Z,44.4793,-114.1761,10.5,3.8,mwr,,53.0,0.577,1.38,us,usc000tbk8,2022-08-07T06:57:55.680Z,"5 km ESE of Challis, Idaho",earthquake,3.5,6.6,0.038,66.0,reviewed,mb,us
2015-01-04T06:35:23.600Z,44.445,-114.1493,10.9,3.6,mwr,,53.0,0.549,0.69,us,usc000tbk2,2022-08-07T06:57:05.744Z,"9 km SE of Challis, Idaho",earthquake,2.3,6.8,0.046,45.0,reviewed,mb,us
2015-01-04T01:25:13.700Z,44.4483,-114.1421,11.7,3.5,ml,,64.0,0.545,1.22,us,usc000thm7,2015-03-27T07:01:35.040Z,"9 km SE of Challis, Idaho",earthquake,4.9,7.2,,,reviewed,mb,mb
2014-12-24T04:10:37.400Z,44.4556,-114.1515,9.7,3.7,ml,,53.0,0.553,1.02,us,usc000t9mc,2022-08-07T06:29:27.335Z,"8 km SE of Challis, Idaho",earthquake,3.0,1.0,,,reviewed,mb,mb
