time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1998-02-24T10:12:34.100Z,36.86,-4.58,6.6,3.6,mblg,,,,,us,usp0008ggy,2014-11-07T01:04:35.103Z,"5 km NW of Almogía, Spain",earthquake,,,,,reviewed,mdd,mdd
1998-02-23T15:25:08.200Z,36.8,-5.81,0.9,3.5,mblg,,,,,us,usp0008gfv,2014-11-07T01:04:35.023Z,"5 km N of Arcos de la Frontera, Spain",earthquake,,,,,reviewed,mdd,mdd
1998-02-08T15:33:56.200Z,39.4,-2.53,6.8,3.9,ml,,,,,us,usp0008fpb,2014-11-07T01:04:31.324Z,"4 km ENE of El Provencio, Spain",earthquake,,,,,reviewed,mdd,ldg
1998-01-31T20:05:58.300Z,42.89,-0.23,0.0,3.6,ml,,,,,us,usp0008f8w,2014-11-07T01:04:24.867Z,"9 km W of Cauterets, France",earthquake,,,,,reviewed,mdd,str
1998-01-15T08:44:31.400Z,27.55,-17.7,2.4,3.8,mblg,,,,,us,usp0008ecq,2014-11-07T01:04:20.418Z,"35 km SE of Valverde, Spain",earthquake,,,,,reviewed,mdd,mdd
1999-01-03T11:15:47.600Z,38.93,-0.08,2.4,3.5,ml,,,,,us,usp00090jt,2014-11-07T01:06:46.036Z,"3 km ENE of Oliva, Spain",earthquake,,,,,reviewed,mdd,ldg
1998-11-06T09:34:55.200Z,38.21,0.11,4.2,3.6,ml,,,,,us,usp0008xq1,2014-11-07T01:06:24.250Z,"42 km SSE of Benidorm, Spain",earthquake,,,,,reviewed,mdd,ldg
1998-10-27T23:23:06.200Z,42.87,-1.97,15.6,4.6,mb,,,,,us,usp0008x5k,2020-07-08T00:45:08.895Z,"5 km WNW of Goñi, Spain",earthquake,,,,5.0,reviewed,mdd,us
1998-10-16T09:46:47.100Z,36.92,-2.65,0.7,3.8,mblg,,,,,us,usp0008wkp,2014-11-07T01:06:15.164Z,"6 km NW of Enix, Spain",earthquake,,,,,reviewed,mdd,mdd
1998-08-20T00:35:44.600Z,40.85,-7.21,11.1,3.8,ml,,,,,us,usp0008thv,2014-11-07T01:05:51.153Z,"13 km SSE of Mêda, Portugal",earthquake,,,,,reviewed,mdd,ldg
1998-08-18T11:10:20.000Z,40.87,-7.22,8.3,3.5,ml,,,,,us,usp0008tf6,2014-11-07T01:05:50.347Z,"11 km SSE of Mêda, Portugal",earthquake,,,,,reviewed,mdd,ldg
1998-08-01T00:22:18.700Z,28.37,-15.57,15.3,3.7,mblg,,,,,us,usp0008sju,2014-11-07T01:05:40.882Z,"25 km NNE of Gáldar, Spain",earthquake,,,,,reviewed,mdd,mdd
1998-07-25T00:15:17.100Z,40.49,-1.68,7.0,3.5,ml,,,,,us,usp0008s4j,2014-11-07T01:05:38.095Z,"7 km SSW of Orihuela del Tremedal, Spain",earthquake,,,,,reviewed,mdd,ldg
1998-07-08T15:27:48.600Z,27.97,-16.13,15.5,3.7,mblg,,,,,us,usp0008r61,2014-11-07T01:05:33.911Z,"34 km W of San Nicolás, Spain",earthquake,,,,,reviewed,mdd,mdd
1998-06-12T22:00:40.100Z,42.06,-8.05,0.0,3.7,ml,,,,,us,usp0008pts,2014-11-07T01:05:24.496Z,"6 km SW of Verea, Spain",earthquake,,,,,reviewed,mdd,ldg
1998-06-06T21:50:34.000Z,28.66,-14.56,9.6,4.3,mb,,,,,us,usp0008pfa,2014-11-07T01:05:22.813Z,"54 km W of El Cotillo, Spain",earthquake,,,,29.0,reviewed,mdd,us
1998-06-01T05:48:56.700Z,28.6,-14.49,0.0,3.6,mblg,,,,,us,usp0008p49,2014-11-07T01:05:19.830Z,"46 km NW of Pájara, Spain",earthquake,,,,,reviewed,mdd,mdd
1998-05-30T06:00:45.000Z,41.73,-7.23,0.0,4.0,mblg,,,,,us,usp0008nzc,2014-11-07T01:05:17.008Z,"15 km NNE of Valpaços, Portugal",earthquake,,,,,reviewed,mdd,mdd
1998-05-28T21:42:18.100Z,42.04,-8.08,9.2,4.1,ml,,,,,us,usp0008nwa,2014-11-07T01:05:16.660Z,"8 km W of Bande, Spain",earthquake,,,,,reviewed,mdd,ldg
1998-05-16T21:02:58.100Z,37.29,-2.0,0.0,3.5,mblg,,,,,us,usp0008n7r,2014-11-07T01:05:13.835Z,"6 km SSE of Zurgena, Spain",earthquake,,,,,reviewed,mdd,mdd
