time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1998-03-12T06:11:10.950Z,18.14,-66.7,60.0,3.5,md,,,,,us,usp0008hby,2014-11-07T01:04:45.350Z,"3 km SE of Adjuntas, Puerto Rico",earthquake,,,,,reviewed,mpr,mpr
1998-03-12T02:54:23.820Z,17.68,-68.76,62.0,3.5,md,,,,,us,usp0008hbq,2014-11-07T01:04:45.334Z,"78 km SSW of Boca de Yuma, Dominican Republic",earthquake,,,,,reviewed,mpr,mpr
1998-03-03T10:11:19.860Z,19.39,-63.99,80.0,3.7,md,,,,,us,usp0008gvy,2014-11-07T01:04:39.987Z,"144 km NE of Cruz Bay, U.S. Virgin Islands",earthquake,,,,,reviewed,mpr,mpr
1998-03-01T09:28:54.560Z,18.01,-68.26,61.0,3.6,md,,,,,us,usp0008gs0,2014-11-07T01:04:38.511Z,"54 km SE of Boca de Yuma, Dominican Republic",earthquake,,,,,reviewed,mpr,mpr
1998-02-28T18:17:59.340Z,19.58,-63.65,55.0,3.7,md,,,,,us,usp0008gr3,2014-11-07T01:04:36.165Z,"163 km NNW of The Valley, Anguilla",earthquake,,,,,reviewed,mpr,mpr
1998-02-28T18:14:39.850Z,19.38,-63.6,54.0,4.0,mb,,,,,us,usp0008gr2,2014-11-07T01:04:36.162Z,"140 km NNW of The Valley, Anguilla",earthquake,,,,2.0,reviewed,mpr,us
1998-02-13T18:26:34.360Z,18.05,-65.46,14.0,3.7,md,,,,,us,usp0008fy7,2014-11-07T01:04:32.778Z,"5 km SSE of Esperanza, Puerto Rico",earthquake,,,,,reviewed,mpr,mpr
1998-02-12T03:36:28.270Z,19.47,-68.37,104.0,3.9,md,,,,,us,usp0008fv1,2014-11-07T01:04:32.232Z,"89 km NE of Miches, Dominican Republic",earthquake,,,,,reviewed,mpr,mpr
1998-02-10T17:21:36.270Z,17.84,-68.49,93.0,3.9,md,,,,,us,usp0008fsu,2014-11-07T01:04:31.729Z,"60 km SSE of Boca de Yuma, Dominican Republic",earthquake,,,,,reviewed,mpr,mpr
1998-02-09T02:35:13.690Z,19.53,-68.28,80.0,3.8,md,,,,,us,usp0008fqe,2014-11-07T01:04:31.429Z,"100 km NE of Miches, Dominican Republic",earthquake,,,,,reviewed,mpr,mpr
1998-02-09T02:32:06.130Z,19.4,-68.32,80.0,3.7,md,,,,,us,usp0008fqd,2014-11-07T01:04:31.427Z,"89 km ENE of Miches, Dominican Republic",earthquake,,,,,reviewed,mpr,mpr
1998-02-08T21:09:03.300Z,18.93,-67.87,33.0,3.7,md,,,,,us,usp0008fpw,2014-11-07T01:04:31.377Z,"68 km NE of Punta Cana, Dominican Republic",earthquake,,,,,reviewed,mpr,mpr
1998-02-07T00:45:39.160Z,18.46,-64.74,26.0,3.5,md,,,,,us,usp0008fk9,2014-11-07T01:04:30.368Z,"15 km NNE of Cruz Bay, U.S. Virgin Islands",earthquake,,,,,reviewed,mpr,mpr
1998-02-04T23:00:58.870Z,18.3,-67.56,16.0,3.6,md,,,,,us,usp0008ff1,2014-11-07T01:04:29.407Z,"33 km W of Rincón, Puerto Rico",earthquake,,,,,reviewed,mpr,mpr
1998-01-23T11:46:48.380Z,18.16,-68.06,106.0,3.7,md,,,,,us,usp0008euz,2014-11-07T01:04:22.416Z,"59 km SE of Punta Cana, Dominican Republic",earthquake,,,,,reviewed,mpr,mpr
1998-01-22T22:17:40.140Z,18.82,-64.56,58.0,3.5,md,,,,,us,usp0008eu5,2014-11-07T01:04:22.270Z,"59 km NNE of Cruz Bay, U.S. Virgin Islands",earthquake,,,,,reviewed,mpr,mpr
1998-01-22T16:18:36.390Z,19.16,-64.72,55.0,3.7,md,,,,,us,usp0008etn,2014-11-07T01:04:22.231Z,"92 km N of Cruz Bay, U.S. Virgin Islands",earthquake,,,,,reviewed,mpr,mpr
