time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2003-03-04T17:51:01.230Z,34.745,34.219,25.0,3.5,ml,7.0,301.7,,,us,usp000bry6,2014-11-07T01:17:59.167Z,"32 km SE of Ayia Napa, Cyprus",earthquake,,,,,reviewed,nic,nic
2003-01-29T00:33:23.500Z,35.59,32.246,25.0,4.1,md,18.0,,,,us,usp000bpgd,2014-11-07T01:17:39.449Z,"60 km NW of Káto Pýrgos, Cyprus",earthquake,,,,,reviewed,nic,isk
2003-01-22T20:27:44.270Z,35.775,32.326,25.0,3.7,ml,7.0,,,,us,usp000bp0d,2014-11-07T01:17:37.308Z,"54 km S of Gazipa?a, Turkey",earthquake,,,,,reviewed,nic,nic
2003-01-15T05:07:11.370Z,35.502,33.952,25.0,3.5,ml,4.0,,,,us,usp000bnju,2014-11-07T01:17:35.427Z,"17 km WNW of Leonárisso, Cyprus",earthquake,,,,,reviewed,nic,nic
2002-11-16T09:25:40.200Z,34.67,34.28,25.0,3.6,ml,7.0,,,,us,usp000bht1,2014-11-07T01:17:08.468Z,"42 km SE of Ayia Napa, Cyprus",earthquake,,,,,reviewed,nic,nic
2002-11-06T01:52:25.700Z,34.69,33.3,15.0,3.5,ml,6.0,,,,us,usp000bgrf,2014-11-07T01:17:01.478Z,"12 km ESE of Pyrgos, Cyprus",earthquake,,,,,reviewed,nic,nic
2002-10-06T03:49:09.060Z,35.64,33.175,25.0,3.6,ml,6.0,,,,us,usp000bdwu,2014-11-07T01:16:42.611Z,"33 km N of Lápithos, Cyprus",earthquake,,,,,reviewed,nic,nic
2002-08-22T19:50:39.280Z,34.828,34.156,25.0,3.5,ml,5.0,,,,us,usp000baed,2014-11-07T01:16:18.917Z,"22 km SE of Ayia Napa, Cyprus",earthquake,,,,,reviewed,nic,nic
2002-07-15T18:10:50.750Z,34.788,33.167,20.0,3.5,ml,6.0,,,,us,usp000b865,2014-11-07T01:16:04.247Z,"4 km N of Parekklisha, Cyprus",earthquake,,,,,reviewed,nic,nic
2002-06-30T06:19:25.300Z,34.905,33.842,20.0,3.5,ml,6.0,,,,us,usp000b778,2014-11-07T01:15:55.252Z,"8 km S of Xylofágou, Cyprus",earthquake,,,,,reviewed,nic,nic
2002-06-20T03:54:08.680Z,34.591,33.258,10.0,3.6,ml,11.0,,,,us,usp000b6j1,2014-11-07T01:15:51.926Z,"18 km SSE of Pyrgos, Cyprus",earthquake,,,,,reviewed,nic,nic
