time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1983-01-19T02:30:41.600Z,35.28,-92.16,4.0,3.9,md,,,,,nm,nm601886,2016-04-14T15:41:20.401Z,"6 km NNW of Mount Vernon, Arkansas",earthquake,,,,,reviewed,nm,nm
1982-11-21T16:35:30.500Z,35.25,-92.08,4.0,3.5,md,,,,,nm,nm601856,2016-04-14T15:38:17.598Z,"4 km ENE of Mount Vernon, Arkansas",earthquake,,,,,reviewed,nm,nm
1982-09-25T23:17:06.900Z,35.27,-92.17,5.0,3.5,md,,,,,nm,nm601802,2016-04-14T15:34:26.672Z,"6 km NW of Mount Vernon, Arkansas",earthquake,,,,,reviewed,nm,nm
1982-07-05T04:13:51.600Z,35.22,-92.21,7.0,3.5,md,,,,,nm,nm601738,2016-04-14T15:33:34.278Z,"2 km NNW of Enola, Arkansas",earthquake,,,,,reviewed,nm,nm
1982-05-31T18:21:19.900Z,35.21,-92.23,5.0,3.5,md,,,,,nm,nm601703,2016-04-14T15:33:12.538Z,"2 km WNW of Enola, Arkansas",earthquake,,,,,reviewed,nm,nm
1982-04-21T21:17:55.400Z,35.18,-92.24,5.0,3.5,md,,,,,nm,nm601677,2016-04-14T15:30:12.765Z,"3 km ENE of Holland, Arkansas",earthquake,,,,,reviewed,nm,nm
1984-02-14T22:56:20.400Z,37.21,-89.0,2.0,3.6,md,,,,,nm,nm602188,2016-04-14T16:10:39.689Z,"5 km SSE of New Grand Chain, Illinois",earthquake,,,,,reviewed,nm,nm
1984-02-14T20:54:30.900Z,36.125,-83.737,9.8,3.6,mb_lg,,65.0,0.23382,0.2,se,se60350,2022-06-28T13:57:31.944Z,"4 km SW of Blaine, Tennessee",earthquake,,1.0,,,reviewed,nm,us
1983-05-15T05:16:21.600Z,38.77,-89.57,8.5,4.3,md,,,,,nm,nm601952,2021-10-18T20:25:09.218Z,"2 km ESE of Pierron, Illinois",earthquake,,,,,reviewed,nm,nm
1984-07-28T23:39:27.400Z,39.22,-87.07,10.0,4.0,md,,,,,nm,nm602368,2016-04-14T16:33:42.877Z,"6 km SE of Middlebury, Indiana",earthquake,,,,,reviewed,nm,nm
1984-06-29T07:58:29.300Z,37.7,-88.47,1.6,3.8,md,,,,,nm,nm602352,2018-06-04T20:43:45.000Z,"7 km SE of Harrisburg, Illinois",earthquake,,,,,reviewed,nm,nm
1985-12-05T22:59:41.110Z,35.896,-89.995,6.1,3.5,md,,,,,nm,nm602687,2016-04-14T16:59:41.449Z,"6 km NE of Dell, Arkansas",earthquake,,,,,reviewed,nm,nm
1986-08-26T16:41:24.800Z,38.32,-89.79,5.0,3.6,md,,,,,nm,nm602907,2016-04-14T17:21:17.821Z,"4 km NNE of Lenzburg, Illinois",earthquake,,,,,reviewed,nm,nm
1986-07-11T14:26:14.800Z,34.937,-84.987,13.0,3.8,mb_lg,,64.0,0.16188,0.2,se,se60525,2022-06-28T14:05:02.382Z,"4 km SW of Cohutta, Georgia",earthquake,,0.4,,,reviewed,nm,us
1987-11-27T18:58:29.300Z,36.852,-83.11,26.8,3.5,mb_lg,,71.0,0.51261,0.1,se,se60695,2022-06-28T14:13:52.126Z,"4 km E of Kenvir, Kentucky",earthquake,,1.9,,,reviewed,nm,se
1987-10-14T15:49:40.100Z,37.05,-88.78,2.0,3.8,md,,,,,nm,nm603244,2016-04-14T17:55:06.676Z,"5 km NW of Massac, Kentucky",earthquake,,,,,reviewed,nm,nm
1987-09-29T00:04:56.130Z,36.953,-89.159,11.2,4.3,md,,,,,nm,nm603237,2020-04-16T19:37:31.400Z,"6 km SSE of Cairo, Illinois",earthquake,,,,,reviewed,nm,nm
1987-06-13T21:17:13.500Z,36.576,-89.735,9.5,4.1,md,,,,,nm,nm603134,2016-04-14T17:50:45.098Z,"4 km SW of Catron, Missouri",earthquake,,,,,reviewed,nm,nm
1987-06-10T23:48:53.900Z,38.71,-87.95,4.6,5.2,md,,,,,nm,nm603116,2022-08-07T11:06:49.368Z,"2 km ESE of Claremont, Illinois",earthquake,,,,,reviewed,nm,nm
1987-03-27T07:29:30.500Z,35.565,-84.23,18.5,4.2,mb_lg,,42.0,0.09893,0.1,se,se60597,2022-06-28T13:42:40.142Z,"2 km SSE of Vonore, Tennessee",earthquake,,1.0,,,reviewed,nm,us
1990-01-27T14:05:51.670Z,38.184,-86.43,5.3,3.8,md,,,,,nm,nm603593,2022-06-28T14:28:09.248Z,"6 km N of Alton, Indiana",earthquake,,,,,reviewed,nm,nm
1990-01-24T18:20:26.200Z,38.14,-86.49,10.0,3.9,md,,,,,nm,nm603586,2022-06-28T14:28:07.709Z,"6 km WNW of Alton, Indiana",earthquake,,,,,reviewed,nm,nm
