time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2000-03-04T16:57:43.666Z,37.8368,-118.2159,1.3,3.5,ml,12.0,146.36,0.186,0.0931,nn,nn00003667,2018-04-24T22:23:49.091Z,"22 km NW of Dyer, Nevada",earthquake,,45.7,,,reviewed,nn,nn
2000-03-04T16:57:32.155Z,37.831,-118.2239,6.5,3.5,ml,10.0,143.61,0.178,0.0681,nn,nn00003754,2018-04-24T22:23:54.209Z,"22 km E of Benton, California",earthquake,,3.0,,,reviewed,nn,nn
2000-01-17T18:31:20.268Z,37.7967,-116.0055,0.0,3.5,ml,14.0,205.76,0.6,0.1113,nn,nn00001124,2018-04-24T22:22:16.698Z,"28 km NW of Rachel, Nevada",earthquake,,0.0,0.35,11.0,reviewed,nn,nn
2001-02-17T22:54:19.482Z,38.251,-118.2891,12.7,3.7,ml,45.0,56.13,0.17,0.1303,nn,nn00024383,2018-04-24T22:10:41.168Z,"22 km SW of Mina, Nevada",earthquake,,1.1,0.21,2.0,reviewed,nn,nn
2001-01-18T15:12:35.033Z,37.3657,-117.1757,0.0,4.1,ml,32.0,52.09,0.094,0.1556,nn,nn00401913,2018-04-24T22:09:44.396Z,"38 km S of Goldfield, Nevada",earthquake,,0.0,0.22,12.0,reviewed,nn,nn
2000-12-24T20:52:46.442Z,37.4426,-117.0871,5.4,3.5,ml,28.0,54.08,0.198,0.154,nn,nn00400801,2018-04-24T22:36:07.549Z,"32 km SSE of Goldfield, Nevada",earthquake,,1.7,0.21,8.0,reviewed,nn,nn
2000-12-24T18:19:00.226Z,37.4047,-117.1425,5.3,3.5,ml,22.0,108.55,0.139,0.0999,nn,nn00021691,2018-04-24T22:36:06.064Z,"34 km SSE of Goldfield, Nevada",earthquake,,2.0,,,reviewed,nn,nn
2000-12-23T07:06:35.821Z,40.2273,-119.5805,8.2,3.5,ml,25.0,94.98,0.339,0.1574,nn,nn00400791,2018-04-24T22:36:05.434Z,"30 km N of Sutcliffe, Nevada",earthquake,,1.6,0.63,6.0,reviewed,nn,nn
2000-11-19T12:54:50.011Z,40.4909,-119.5187,5.0,4.2,ml,16.0,78.54,0.595,0.1286,nn,nn00399831,2018-04-24T22:34:51.220Z,"17 km WSW of Empire, Nevada",earthquake,,2.0,0.02,2.0,reviewed,nn,nn
2000-10-14T04:53:29.021Z,37.3782,-117.1085,1.4,4.0,ml,46.0,37.79,0.144,0.133,nn,nn00017645,2018-04-24T22:33:32.162Z,"38 km SSE of Goldfield, Nevada",earthquake,,1.3,0.21,15.0,reviewed,nn,nn
