time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-10-10T10:24:53.800Z,35.6779,-97.0834,6.132,3.6,ml,,31.0,,0.4,us,us1000h9wp,2018-12-21T21:15:48.040Z,"2 km SW of Wellston, Oklahoma",earthquake,1.6,6.0,,,reviewed,ok,ok
2018-10-09T22:32:36.500Z,36.842,-97.6888,2.542,3.5,ml,,40.0,,0.31,us,us1000h9qg,2018-12-21T21:15:48.040Z,"5 km NE of Medford, Oklahoma",earthquake,1.1,4.1,,,reviewed,ok,ok
2018-09-09T01:48:38.500Z,36.489,-98.7253,7.712,3.5,ml,,49.0,,0.34,us,us2000hbb0,2018-11-09T21:54:49.040Z,"17 km SE of Waynoka, Oklahoma",earthquake,1.3,5.3,,,reviewed,ok,ok
2018-09-08T14:36:33.400Z,36.4603,-98.7576,7.664,3.5,mwr,,34.0,,0.89,us,us2000hb2a,2022-08-08T07:54:11.897Z,"17 km SE of Waynoka, Oklahoma",earthquake,3.0,6.1,,16.0,reviewed,ok,slm
2019-12-30T05:57:55.689Z,36.87433333,-97.91333333,7.35,3.73,ml,87.0,80.0,0.0,0.18,ok,ok2019znrk,2020-03-14T22:23:17.040Z,"1 km SE of Wakita, Oklahoma",earthquake,,0.5,0.22,31.0,reviewed,ok,ok
2019-12-15T16:09:05.679Z,35.799,-96.65466667,7.09,3.59,ml,50.0,58.0,0.0,0.14,ok,ok2019ynba,2020-03-04T21:27:05.040Z,"5 km N of Stroud, Oklahoma",earthquake,,0.3,0.19,23.0,reviewed,ok,ok
2019-12-02T12:12:11.259Z,35.53816667,-96.76133333,9.66,3.75,ml,66.0,82.0,0.0,0.1,ok,ok2019xozr,2020-02-19T18:58:30.040Z,"8 km NW of Prague, Oklahoma",earthquake,,0.6,0.2,27.0,reviewed,ok,ok
2019-11-22T21:54:49.700Z,36.29066667,-98.18766667,6.01,3.57,ml,39.0,50.0,0.0449911712,0.24,ok,ok2019wxlw,2020-02-14T22:02:13.040Z,"4 km N of Ames, Oklahoma",earthquake,,0.5,0.24,7.0,reviewed,ok,ok
2019-11-22T21:54:05.660Z,36.29416667,-98.19133333,6.15,3.58,ml,98.0,45.0,0.0,0.16,ok,ok2019wxlv,2020-02-14T22:02:13.040Z,"5 km N of Ames, Oklahoma",earthquake,,0.3,0.25,42.0,reviewed,ok,ok
2019-11-22T05:44:36.170Z,36.36933333,-97.70783333,8.84,3.6,mwr,71.0,35.0,0.0,0.18,ok,ok2019wwfw,2020-02-14T22:02:11.040Z,"1 km N of Fairmont, Oklahoma",earthquake,,2.5,,27.0,reviewed,ok,us
2019-10-22T21:03:58.750Z,36.9295,-98.02466667,6.5,3.67,ml,100.0,113.0,0.0,0.18,ok,ok2019ustp,2020-01-11T21:26:24.040Z,"7 km S of Manchester, Oklahoma",earthquake,,0.3,0.24,42.0,reviewed,ok,ok
2019-08-18T09:07:13.009Z,35.12733333,-95.353,5.9,3.71,mwr,56.0,131.0,0.0,0.28,ok,ok2019qdcg,2020-03-20T02:15:09.809Z,"1 km ENE of Quinton, Oklahoma",earthquake,,1.8,,40.0,reviewed,ok,us
2019-07-27T04:23:28.100Z,35.831,-98.09066667,7.37,3.52,ml,81.0,35.0,0.0,0.15,ok,ok2019oonv,2019-10-11T20:12:39.040Z,"14 km WSW of Kingfisher, Oklahoma",earthquake,,0.5,0.22,28.0,reviewed,ok,ok
2019-07-25T05:48:18.660Z,35.843,-98.076,6.45,3.91,ml,95.0,33.0,0.0,0.14,ok,ok2019okzq,2019-11-24T23:03:34.850Z,"13 km W of Kingfisher, Oklahoma",earthquake,,0.4,,41.0,reviewed,ok,ok
2021-03-05T08:26:35.100Z,36.29633333,-98.179,7.83,3.54,ml,101.0,26.0,0.0,0.19,ok,ok2021eltk,2021-05-21T19:46:42.040Z,"5 km N of Ames, Oklahoma",earthquake,,0.3,0.26,39.0,reviewed,ok,ok
2021-02-28T21:38:38.590Z,36.36316667,-98.15533333,7.22,3.68,ml,81.0,38.0,0.0,0.15,ok,ok2021edqa,2021-05-13T22:38:18.040Z,"3 km SE of Meno, Oklahoma",earthquake,,0.3,0.24,37.0,reviewed,ok,ok
2021-02-19T13:56:57.950Z,36.96366667,-98.09383333,7.0,4.2,mwr,98.0,96.0,0.0,0.15,ok,ok2021dmpg,2022-01-31T17:33:30.964Z,"6 km SW of Manchester, Oklahoma",earthquake,,0.3,,39.0,reviewed,ok,us
2021-02-05T17:48:45.719Z,36.289,-97.51583333,6.67,4.2,mwr,89.0,27.0,0.0,0.21,ok,ok2021cnhw,2021-04-22T21:50:27.040Z,"5 km WNW of Lucien, Oklahoma",earthquake,,0.4,,36.0,reviewed,ok,us
2021-02-05T16:17:37.100Z,36.28816667,-97.51966667,6.59,3.65,ml,64.0,52.0,0.1943618596,0.22,ok,ok2021cnew,2021-04-22T21:50:24.040Z,"6 km WNW of Lucien, Oklahoma",earthquake,,0.5,0.32,7.0,reviewed,ok,ok
2021-02-05T16:16:56.929Z,36.28483333,-97.5115,6.66,3.52,ml,101.0,27.0,0.0,0.16,ok,ok2021cnev,2021-04-22T21:50:24.040Z,"5 km WNW of Lucien, Oklahoma",earthquake,,0.3,0.23,38.0,reviewed,ok,ok
2020-08-31T15:18:24.660Z,36.36166667,-98.1515,6.69,3.5,ml,101.0,55.0,0.0,0.17,ok,ok2020rddo,2020-11-07T18:48:39.040Z,"3 km SE of Meno, Oklahoma",earthquake,,0.3,0.27,39.0,reviewed,ok,ok
2020-06-22T21:47:59.909Z,36.865,-97.4355,5.0,3.7,ml,100.0,99.0,0.0,0.26,ok,ok2020mfte,2020-08-30T00:01:05.040Z,"6 km N of Nardin, Oklahoma",earthquake,,0.7,0.23,40.0,reviewed,ok,ok
2020-06-21T03:15:41.689Z,36.35883333,-97.35883333,7.78,4.2,mwr,97.0,35.0,0.0,0.2,ok,ok2020mcmz,2020-08-30T00:00:58.040Z,"9 km NW of Perry, Oklahoma",earthquake,,0.5,,36.0,reviewed,ok,us
