time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1983-02-11T15:46:56.000Z,48.99,-68.3,18.0,3.6,mblg,,,,,us,usp0001syt,2014-11-07T00:32:40.528Z,"15 km SSE of Chute-aux-Outardes, Canada",earthquake,,,,,reviewed,ott,ott
1983-01-17T19:35:51.000Z,49.11,-66.98,18.0,4.5,mb,,,,,us,usp0001sb4,2014-11-07T00:32:30.637Z,"21 km W of Cap-Chat, Canada",earthquake,,,,2.0,reviewed,ott,us
1982-12-04T16:08:32.000Z,47.5,-70.2,18.0,4.0,mblg,,,,,us,usp0001r91,2014-11-07T00:32:18.391Z,"17 km SSW of La Malbaie, Canada",earthquake,,,,,reviewed,ott,ott
1982-10-26T15:31:32.600Z,47.0,-66.6,5.0,3.6,mblg,,,,,us,usp0001qhm,2014-11-07T00:32:04.888Z,"83 km W of Miramichi, Canada",earthquake,,,,,reviewed,ott,wes
1982-08-13T01:06:41.000Z,46.69,-78.46,18.0,3.7,mb,,,,,us,usp0001p0j,2014-11-07T00:31:46.164Z,"45 km NNE of Mattawa, Canada",earthquake,,,,2.0,reviewed,ott,us
1982-08-06T06:29:10.000Z,45.89,-75.46,18.0,3.7,mblg,,,,,us,usp0001nvm,2014-11-07T00:31:43.618Z,"31 km NNE of Val-des-Monts, Canada",earthquake,,,,,reviewed,ott,ott
1982-07-13T02:18:49.000Z,46.03,-74.55,17.0,3.9,mblg,,,,,us,usp0001nd9,2014-11-07T00:31:36.812Z,"17 km SE of La Conception, Canada",earthquake,,,,,reviewed,ott,ott
1982-06-16T11:43:30.000Z,46.97,-66.99,5.0,4.7,mb,,,,,us,usp0001myx,2014-11-07T00:31:28.336Z,"62 km E of Hamlin, Maine",earthquake,,,,20.0,reviewed,ott,us
1982-05-06T16:28:07.000Z,47.0,-66.6,5.0,3.9,mblg,,,,,us,usp0001m4m,2014-11-07T00:31:16.360Z,"83 km W of Miramichi, Canada",earthquake,,,,,reviewed,ott,us
1982-04-11T18:00:51.400Z,47.0,-66.6,5.0,4.0,mblg,,,,,us,usp0001kn7,2014-11-07T00:31:07.679Z,"83 km W of Miramichi, Canada",earthquake,,,,,reviewed,ott,us
1982-04-02T13:50:11.000Z,47.0,-66.6,5.0,4.1,mblg,,,,,us,usp0001kgr,2014-11-07T00:31:04.913Z,"83 km W of Miramichi, Canada",earthquake,,,,,reviewed,ott,us
1982-03-31T21:02:20.000Z,47.0,-66.6,5.0,5.0,mb,,,,,us,usp0001kfx,2014-11-07T00:31:03.009Z,"83 km W of Miramichi, Canada",earthquake,,,,31.0,reviewed,ott,us
1984-02-24T03:17:14.000Z,47.0,-66.6,5.0,3.7,mblg,,,,,us,usp0002275,2014-11-07T00:34:31.643Z,"83 km W of Miramichi, Canada",earthquake,,,,,reviewed,ott,ott
1984-02-11T11:26:41.000Z,50.23,-92.24,18.0,3.9,mb,,,,,us,usp00021wn,2014-11-07T00:34:30.039Z,"25 km NW of Sioux Lookout, Canada",earthquake,,,,2.0,reviewed,ott,us
1983-11-01T10:16:52.000Z,45.68,-73.9,18.0,3.5,mblg,,,,,us,usp0001zfs,2014-11-07T00:34:03.390Z,"2 km NW of Blainville, Canada",earthquake,,,,,reviewed,ott,ott
1983-10-11T04:10:55.000Z,45.21,-75.77,15.0,4.2,mb,,,,,us,usp0001yww,2014-11-07T00:33:58.310Z,"5 km ENE of Richmond, Canada",earthquake,,,,2.0,reviewed,ott,us
1983-06-11T13:47:58.000Z,47.0,-66.6,5.0,3.8,mblg,,,,,us,usp0001w0v,2014-11-07T00:33:18.969Z,"83 km W of Miramichi, Canada",earthquake,,,,,reviewed,ott,wes
1983-06-10T04:22:39.000Z,47.0,-66.6,5.0,3.6,mblg,,,,,us,usp0001w04,2014-11-07T00:33:18.806Z,"83 km W of Miramichi, Canada",earthquake,,,,,reviewed,ott,wes
1983-06-02T06:30:23.000Z,47.45,-70.22,10.0,3.5,mblg,,,,,us,usp0001vve,2014-11-07T00:33:16.303Z,"16 km WNW of La Pocatière, Canada",earthquake,,,,,reviewed,ott,wes
1983-05-26T22:29:31.000Z,59.15,-54.43,18.0,4.5,ml,,,,,us,usp0001vpp,2014-11-07T00:33:11.821Z,Labrador Sea,earthquake,,,,,reviewed,ott,ott
1983-05-16T02:01:57.000Z,47.7,-69.93,10.0,4.1,mblg,,,,,us,usp0001vda,2014-11-07T00:33:10.687Z,"16 km SSW of Saint-Siméon, Canada",earthquake,,,,,reviewed,ott,wes
1983-05-13T23:40:57.000Z,47.0,-66.6,5.0,4.1,mblg,,,,,us,usp0001vah,2014-11-07T00:33:10.272Z,"83 km W of Miramichi, Canada",earthquake,,,,,reviewed,ott,ott
1983-05-13T17:26:02.000Z,47.0,-66.6,5.0,3.7,mblg,,,,,us,usp0001vab,2014-11-07T00:33:10.239Z,"83 km W of Miramichi, Canada",earthquake,,,,,reviewed,ott,wes
1983-03-14T20:41:40.000Z,44.85,-57.0,18.0,4.0,ml,,,,,us,usp0001tnb,2014-11-07T00:32:49.311Z,"223 km SSW of Saint-Pierre, Saint Pierre and Miquelon",earthquake,,,,,reviewed,ott,ott
1984-11-30T05:54:22.000Z,46.98,-66.58,14.0,3.7,mblg,,,,,us,usp00029mu,2014-11-07T00:35:45.578Z,"82 km W of Miramichi, Canada",earthquake,,,,,reviewed,ott,ott
1984-09-23T08:56:31.000Z,46.0,-64.8,18.0,3.9,mblg,,,,,us,usp00027mp,2014-11-07T00:35:28.465Z,"10 km S of Moncton, Canada",earthquake,,,,,reviewed,ott,ott
1984-07-06T17:24:52.000Z,46.53,-81.17,1.0,4.4,mb,,,,,us,usp00025ha,2020-08-26T23:33:20.759Z,"5 km WSW of Azilda, Canada",earthquake,,,,1.0,reviewed,ott,us
1984-06-20T16:10:22.000Z,46.63,-80.78,1.0,3.5,mblg,,,,,us,usp000254w,2014-11-07T00:35:04.152Z,"13 km SE of Capreol, Canada",earthquake,,,,,reviewed,ott,ott
1984-06-14T02:39:50.100Z,64.64,-87.12,18.0,3.9,mblg,,,,,us,usp000250p,2014-11-07T00:35:02.140Z,"Nunavut, Canada",earthquake,,,,,reviewed,ott,ott
1986-03-06T08:34:51.000Z,47.0,-66.6,5.0,3.5,mblg,,,,,us,usp0002rk9,2014-11-07T00:38:01.418Z,"83 km W of Miramichi, Canada",earthquake,,,,,reviewed,ott,ott
1986-02-15T06:56:49.000Z,64.97,-89.75,18.0,3.7,mb,,,,,us,usp0002r0u,2014-11-07T00:37:55.222Z,"266 km NNE of Rankin Inlet, Canada",earthquake,,,,1.0,reviewed,ott,us
1986-02-11T12:31:11.000Z,64.73,-88.77,18.0,3.6,mb,,,,,us,usp0002qx5,2014-11-07T00:37:54.646Z,"269 km NE of Rankin Inlet, Canada",earthquake,,,,1.0,reviewed,ott,us
1986-01-11T13:30:28.000Z,47.7,-70.18,18.0,4.0,mblg,,,,,us,usp0002pz1,2014-11-07T00:37:46.931Z,"5 km NNW of La Malbaie, Canada",earthquake,,,,,reviewed,ott,ott
1985-10-05T05:34:14.000Z,47.0,-66.6,5.0,4.0,mblg,,,,,us,usp0002kg4,2014-11-07T00:37:17.609Z,"83 km W of Miramichi, Canada",earthquake,,,,,reviewed,ott,ott
1985-08-30T21:38:06.000Z,41.97,-54.19,18.0,4.1,ml,,,,,us,usp0002j9s,2014-11-07T00:37:03.989Z,North Atlantic Ocean,earthquake,,,,,reviewed,ott,ott
1987-02-26T04:02:05.600Z,72.89,-70.28,18.0,4.0,mb,,,,,us,usp00032sd,2014-11-07T00:39:53.957Z,"276 km NNW of Clyde River, Canada",earthquake,,,,2.0,reviewed,ott,us
1986-11-11T13:13:44.000Z,73.74,-86.1,18.0,4.3,mb,,,,,us,usp0002zwk,2014-11-07T00:39:20.537Z,"Baffin Island region, Nunavut, Canada",earthquake,,,,2.0,reviewed,ott,us
1986-10-17T14:47:59.000Z,47.0,-66.6,5.0,4.1,mblg,,,,,us,usp0002z0z,2014-11-07T00:39:09.627Z,"83 km W of Miramichi, Canada",earthquake,,,,,reviewed,ott,ott
1986-09-19T15:53:01.000Z,47.3,-70.32,22.0,4.2,mblg,,,,,us,usp0002y7n,2014-11-07T00:39:02.019Z,"10 km NNW of St-Jean-Port-Joli, Canada",earthquake,,,,,reviewed,ott,ott
1986-08-06T11:19:36.000Z,46.37,-75.22,18.0,3.5,mblg,,,,,us,usp0002wx7,2014-11-07T00:38:49.473Z,"25 km WNW of La Minerve, Canada",earthquake,,,,,reviewed,ott,ott
1986-05-24T14:31:48.000Z,66.84,-93.48,18.0,4.1,mb,,,,,us,usp0002ucn,2014-11-07T00:38:25.803Z,"223 km SSE of Gjoa Haven, Canada",earthquake,,,,1.0,reviewed,ott,us
1986-03-06T08:34:51.000Z,47.0,-66.6,5.0,3.5,mblg,,,,,us,usp0002rk9,2014-11-07T00:38:01.418Z,"83 km W of Miramichi, Canada",earthquake,,,,,reviewed,ott,ott
1988-03-10T14:42:55.200Z,46.341,-75.716,18.0,3.9,mblg,,,,,us,usp0003dtw,2014-11-07T00:41:47.531Z,"19 km ESE of Maniwaki, Canada",earthquake,,,,,reviewed,ott,ott
1988-02-26T22:00:24.200Z,77.31,-84.27,18.0,4.0,mblg,,,,,us,usp0003dcw,2014-11-07T00:41:41.393Z,"Ellesmere Island region, Nunavut, Canada",earthquake,,,,,reviewed,ott,ott
1988-01-28T08:38:28.000Z,48.0,-65.58,18.0,4.9,mblg,,,,,us,usp0003cgu,2020-08-28T21:50:16.624Z,"8 km SW of Bonaventure, Canada",earthquake,,,,,reviewed,ott,us
1988-01-12T00:42:40.000Z,72.93,-70.16,18.0,3.9,mb,,,,,us,usp0003bzr,2014-11-07T00:41:30.523Z,"279 km NNW of Clyde River, Canada",earthquake,,,,1.0,reviewed,ott,us
1987-12-22T07:37:07.000Z,63.856,-87.361,18.0,3.7,mblg,,,,,us,usp0003bfn,2014-11-07T00:41:24.723Z,"263 km ENE of Rankin Inlet, Canada",earthquake,,,,,reviewed,ott,ott
1987-05-30T11:29:18.300Z,46.54,-80.99,1.0,3.5,mblg,,,,,us,usp00035ct,2014-11-07T00:40:27.233Z,"5 km N of Greater Sudbury, Canada",earthquake,,,,,reviewed,ott,ott
1987-05-22T17:06:01.900Z,74.609,-75.577,18.0,4.3,ml,,,,,us,usp000356h,2014-11-07T00:40:25.857Z,Baffin Bay,earthquake,,,,,reviewed,ott,ott
1989-03-11T08:31:52.100Z,47.7,-69.9,18.0,4.4,mblg,,,,,us,usp0003suj,2014-11-07T00:43:48.577Z,"16 km S of Saint-Siméon, Canada",earthquake,,,,,reviewed,ott,ott
1989-03-09T09:41:32.400Z,47.7,-69.89,18.0,3.9,mb,,,,,us,usp0003ssa,2014-11-07T00:43:48.141Z,"16 km S of Saint-Siméon, Canada",earthquake,,,,1.0,reviewed,ott,us
1989-02-10T01:04:24.000Z,50.065,-64.655,18.0,4.4,mblg,,,,,us,usp0003rq9,2014-11-07T00:43:35.199Z,"77 km WSW of Havre-Saint-Pierre, Canada",earthquake,,,,,reviewed,ott,ott
1989-02-02T15:40:46.410Z,45.93,-57.54,18.0,3.9,mblg,,,,,us,usp0003rfq,2014-11-07T00:43:32.519Z,"141 km SW of Saint-Pierre, Saint Pierre and Miquelon",earthquake,,,,,reviewed,ott,us
1989-01-19T21:36:38.400Z,48.071,-70.96,30.0,3.9,mblg,,,,,us,usp0003r0n,2014-11-07T00:43:27.960Z,"39 km SSE of Saguenay, Canada",earthquake,,,,,reviewed,ott,us
1989-01-01T17:55:53.600Z,49.264,-67.357,18.0,4.0,mblg,,,,,us,usp0003qdq,2014-11-07T00:43:22.251Z,"49 km NNE of Matane, Canada",earthquake,,,,,reviewed,ott,ott
1988-11-26T03:38:08.200Z,48.145,-71.307,26.0,4.1,mblg,,,,,us,usp0003p6y,2014-11-07T00:43:09.708Z,"30 km S of Jonquière, Canada",earthquake,,,,,reviewed,ott,us
1988-11-25T23:46:04.500Z,48.117,-71.183,28.9,5.9,mw,,,,,us,usp0003p6p,2022-04-28T20:31:44.994Z,"33 km S of Jonquière, Canada",earthquake,,,,,reviewed,ott,hrv
1988-11-23T09:11:27.300Z,48.134,-71.203,28.4,4.3,mb,,,,,us,usp0003p46,2014-11-07T00:43:08.583Z,"31 km S of Jonquière, Canada",earthquake,,,,6.0,reviewed,ott,us
1988-08-26T05:59:10.200Z,46.99,-66.59,5.0,3.9,mblg,,,,,us,usp0003kdc,2014-11-07T00:42:42.381Z,"82 km W of Miramichi, Canada",earthquake,,,,,reviewed,ott,oth
1988-08-24T06:43:27.900Z,61.83,-79.21,18.0,3.8,mblg,,,,,us,usp0003kbe,2014-11-07T00:42:42.213Z,"191 km WSW of Salluit, Canada",earthquake,,,,,reviewed,ott,ott
1988-06-12T15:38:26.000Z,75.03,-95.59,18.0,4.4,mb,,,,,us,usp0003gxn,2014-11-07T00:42:19.292Z,"Cornwallis Island region, Nunavut, Canada",earthquake,,,,8.0,reviewed,ott,us
1988-05-15T06:10:05.600Z,45.17,-75.58,7.0,3.5,mblg,,,,,us,usp0003fz2,2014-11-07T00:42:09.152Z,"2 km NNE of Osgoode, Canada",earthquake,,,,,reviewed,ott,ott
1988-04-24T01:14:52.100Z,45.96,-64.88,18.0,3.7,mblg,,,,,us,usp0003fa3,2014-11-07T00:41:58.771Z,"15 km SE of Salisbury, Canada",earthquake,,,,,reviewed,ott,ott
1988-03-25T22:14:00.600Z,50.6,-102.14,1.0,3.7,mblg,,,,,us,usp0003eax,2014-11-07T00:41:49.795Z,"6 km SW of Esterhazy, Canada",earthquake,,,,,reviewed,ott,ott
1988-03-10T14:42:55.200Z,46.341,-75.716,18.0,3.9,mblg,,,,,us,usp0003dtw,2014-11-07T00:41:47.531Z,"19 km ESE of Maniwaki, Canada",earthquake,,,,,reviewed,ott,ott
1989-11-16T09:24:52.000Z,46.57,-76.59,18.0,4.0,mblg,,,,,us,usp0004235,2014-11-07T00:45:12.604Z,"47 km W of Saint-Boniface, Canada",earthquake,,,,,reviewed,ott,ott
1989-08-10T21:17:43.500Z,46.65,-65.82,18.0,3.5,mblg,,,,,us,usp0003ybc,2014-11-07T00:44:41.470Z,"48 km SSW of Miramichi, Canada",earthquake,,,,,reviewed,ott,ott
1989-03-11T08:31:52.100Z,47.7,-69.9,18.0,4.4,mblg,,,,,us,usp0003suj,2014-11-07T00:43:48.577Z,"16 km S of Saint-Siméon, Canada",earthquake,,,,,reviewed,ott,ott
1989-03-09T09:41:32.400Z,47.7,-69.89,18.0,3.9,mb,,,,,us,usp0003ssa,2014-11-07T00:43:48.141Z,"16 km S of Saint-Siméon, Canada",earthquake,,,,1.0,reviewed,ott,us
1991-03-06T05:26:53.600Z,46.282,-76.874,18.0,3.9,mblg,,,,,us,usp0004nr5,2014-11-07T00:48:10.141Z,"49 km NNW of Fort-Coulonge, Canada",earthquake,,,,,reviewed,ott,ott
