time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1982-12-26T05:54:52.700Z,31.417,-115.533,6.0,3.5,ml,,,,,us,usp0001rrg,2016-02-03T02:52:59.700Z,"68 km E of San Vicente, Mexico",earthquake,,,,,reviewed,pas,pas
1982-12-23T01:42:55.000Z,31.567,-115.45,6.0,3.8,ml,,,,,us,usp0001rnk,2016-02-03T01:29:13.710Z,"67 km SW of Ejido Doctor Alberto Oviedo Mota (El Indiviso), Mexico",earthquake,,,,,reviewed,pas,pas
1982-12-18T01:42:22.500Z,31.55,-115.467,6.0,3.5,ml,,,,,us,usp0001rh3,2016-02-03T02:53:02.240Z,"69 km SW of Ejido Doctor Alberto Oviedo Mota (El Indiviso), Mexico",earthquake,,,,,reviewed,pas,pas
1982-12-15T15:36:19.400Z,31.417,-115.533,6.0,3.8,ml,,,,,us,usp0001rfw,2016-02-02T18:52:44.870Z,"68 km E of San Vicente, Mexico",earthquake,,,,,reviewed,pas,pas
1982-12-15T05:53:04.300Z,31.4,-115.517,6.0,3.9,ml,,,,,us,usp0001rfm,2016-02-03T01:29:11.880Z,"69 km E of San Vicente, Mexico",earthquake,,,,,reviewed,pas,pas
1982-12-14T17:15:04.700Z,31.433,-115.5,6.0,4.1,ml,,,,,us,usp0001rf8,2016-02-02T22:49:47.670Z,"72 km E of San Vicente, Mexico",earthquake,,,,,reviewed,pas,pas
1982-12-13T16:00:58.200Z,31.417,-115.55,12.0,3.7,ml,,,,,us,usp0001rej,2016-02-02T20:12:06.040Z,"67 km E of San Vicente, Mexico",earthquake,,,,,reviewed,pas,pas
1982-12-10T00:37:47.000Z,31.4,-115.983,6.0,4.0,ml,,,,,us,usp0001rbt,2016-04-02T19:02:15.449Z,"26 km ENE of San Vicente, Mexico",earthquake,,,,,reviewed,pas,pas
1982-09-20T09:36:29.500Z,32.867,-119.983,16.0,3.8,mb,,,,,us,usp0001pqb,2016-02-02T18:12:35.770Z,"159 km SSW of Channel Islands Beach, California",earthquake,,,,1.0,reviewed,pas,us
1982-08-28T21:19:04.200Z,31.7,-115.5,4.0,3.5,ml,,,,,us,usp0001pa4,2016-02-02T19:30:33.940Z,"60 km SW of Ejido Doctor Alberto Oviedo Mota (El Indiviso), Mexico",earthquake,,,,,reviewed,pas,pas
1982-05-25T12:45:25.600Z,31.25,-115.7,16.0,4.5,ml,,,,,us,usp0001mh6,2016-02-03T01:29:06.020Z,"52 km E of San Vicente, Mexico",earthquake,,,,,reviewed,pas,pas
1983-09-03T06:06:26.400Z,31.067,-116.717,3.0,3.6,ml,,,,,us,usp0001y4a,2016-02-03T04:11:00.050Z,"53 km WSW of San Vicente, Mexico",earthquake,,,,,reviewed,pas,pas
1983-06-10T01:27:47.900Z,31.467,-115.583,5.0,3.5,ml,,,,,us,usp0001w00,2016-04-02T19:44:30.428Z,"65 km ENE of San Vicente, Mexico",earthquake,,,,,reviewed,pas,pas
1983-06-09T06:59:40.800Z,31.517,-115.6,5.0,3.7,ml,,,,,us,usp0001vzc,2016-02-03T04:10:03.830Z,"65 km ENE of San Vicente, Mexico",earthquake,,,,,reviewed,pas,pas
1983-06-04T03:08:29.800Z,32.217,-114.883,5.0,3.5,ml,,,,,us,usp0001vwp,2016-04-02T10:26:43.949Z,"9 km NE of Nuevo Michoacán (Estación Riíto), Mexico",earthquake,,,,,reviewed,pas,pas
1983-04-23T22:16:22.500Z,31.133,-114.967,5.0,4.0,ml,,,,,us,usp0001uqg,2016-02-03T02:51:13.720Z,"17 km NW of San Felipe, Mexico",earthquake,,,,,reviewed,pas,pas
1984-11-23T19:15:29.700Z,37.47,-118.58,6.0,3.6,ml,,,,,us,usp00029bv,2016-02-02T19:16:40.580Z,"5 km N of Round Valley, California",earthquake,,,,,reviewed,pas,pas
1984-11-23T18:23:04.300Z,37.47,-118.58,6.0,3.5,ml,,,,,us,usp00029bp,2016-02-03T01:55:05.860Z,"5 km N of Round Valley, California",earthquake,,,,,reviewed,pas,pas
1984-07-13T03:38:51.100Z,31.39,-115.53,6.0,3.8,ml,,,,,us,usp00025qd,2016-02-02T20:29:03.080Z,"68 km E of San Vicente, Mexico",earthquake,,,,,reviewed,pas,pas
1984-06-06T05:49:33.600Z,31.4,-115.54,6.0,3.9,ml,,,,,us,usp00024vm,2016-02-03T03:08:25.760Z,"67 km E of San Vicente, Mexico",earthquake,,,,,reviewed,pas,pas
1985-05-07T20:06:10.900Z,36.59,-116.15,6.0,3.5,ml,,,,,us,usp0002ehv,2016-02-04T01:53:36.940Z,"42 km W of Indian Springs, Nevada",earthquake,,,,,reviewed,pas,pas
1986-07-21T14:53:58.100Z,37.58,-118.42,6.0,4.9,ml,,,,,us,usp0002w9q,2018-06-04T20:43:45.000Z,"20 km NNE of Mesa, California",earthquake,,,,,reviewed,pas,pas
1986-07-21T14:45:21.000Z,37.58,-118.42,6.0,4.6,ml,,,,,us,usp0002w9n,2018-06-04T20:43:45.000Z,"20 km NNE of Mesa, California",earthquake,,,,,reviewed,pas,pas
1986-07-20T18:40:50.900Z,37.58,-118.42,6.0,3.8,ml,,,,,us,usp0002w83,2016-02-04T00:04:51.660Z,"20 km NNE of Mesa, California",earthquake,,,,,reviewed,pas,brk
1986-05-27T00:49:30.900Z,31.31,-116.16,6.0,3.5,ml,,,,,us,usp0002ufq,2016-02-03T23:25:30.750Z,"8 km ESE of San Vicente, Mexico",earthquake,,,,,reviewed,pas,pas
