time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1998-11-06T09:35:09.700Z,41.532,19.663,12.2,3.9,mb,,,,,us,usp0008xq2,2014-11-07T01:06:24.261Z,"5 km SSW of Mamurras, Albania",earthquake,,,,1.0,reviewed,pdg,us
1998-10-02T04:55:19.070Z,43.914,18.437,7.5,3.6,ml,,,,,us,usp0008vv7,2014-11-07T01:06:10.515Z,"5 km NE of Kobilja Glava, Bosnia and Herzegovina",earthquake,,,,,reviewed,pdg,pdg
1998-10-01T00:47:00.720Z,44.165,20.097,9.5,3.5,ml,,,,,us,usp0008vt2,2014-11-07T01:06:08.881Z,"13 km WSW of Ljig, Serbia",earthquake,,,,,reviewed,pdg,pdg
1998-10-01T00:12:16.230Z,41.258,20.191,6.8,3.5,mb,,,,,us,usp0008vsx,2014-11-07T01:06:08.774Z,"13 km WNW of Librazhd-Qendër, Albania",earthquake,,,,1.0,reviewed,pdg,us
1998-08-19T07:58:38.470Z,42.525,19.052,11.3,3.6,mb,,,,,us,usp0008tgt,2014-11-07T01:05:50.568Z,"8 km WSW of Danilovgrad, Montenegro",earthquake,,,,3.0,reviewed,pdg,us
1998-05-15T05:33:36.200Z,41.495,20.317,8.9,3.5,ml,,,,,us,usp0008n3a,2014-11-07T01:05:13.300Z,"7 km E of Bulqizë, Albania",earthquake,,,,,reviewed,pdg,pdg
1999-12-22T13:52:55.110Z,41.861,20.607,7.4,3.7,md,,,,,us,usp0009k5f,2014-11-07T01:09:10.809Z,"18 km SSW of Dragash, Kosovo",earthquake,,,,,reviewed,pdg,pdg
1999-12-22T09:12:11.880Z,42.076,20.478,15.3,3.8,md,,,,,us,usp0009k4u,2014-11-07T01:09:10.720Z,"4 km E of Kukës, Albania",earthquake,,,,,reviewed,pdg,pdg
1999-12-18T01:12:50.340Z,42.883,17.606,3.9,3.5,mb,,,,,us,usp0009jyw,2014-11-07T01:09:09.976Z,"4 km S of Neum, Bosnia and Herzegovina",earthquake,,,,3.0,reviewed,pdg,us
1999-12-03T09:33:24.800Z,38.877,19.972,9.4,3.6,md,,,,,us,usp0009jea,2014-11-07T01:09:05.448Z,"40 km SSW of Gáïos, Greece",earthquake,,,,,reviewed,pdg,pdg
1999-09-30T10:30:02.500Z,43.096,18.953,10.0,4.0,ml,,,,,us,usp0009f7m,2014-11-07T01:08:33.837Z,"11 km SE of Plužine, Montenegro",earthquake,,,,,reviewed,pdg,lju
1999-08-17T00:08:31.220Z,43.687,20.757,10.0,3.7,md,,,,,us,usp0009d51,2014-11-07T01:08:16.891Z,"6 km SE of Kraljevo, Serbia",earthquake,,,,,reviewed,pdg,pdg
1999-04-24T07:23:18.660Z,41.484,19.6,13.1,4.0,mb,,,,,us,usp00096ta,2014-11-07T01:07:30.016Z,"9 km W of Fushë-Krujë, Albania",earthquake,,,,2.0,reviewed,pdg,us
2001-07-22T20:08:15.260Z,42.761,18.067,9.7,3.6,ml,35.0,,,,us,usp000ak05,2014-11-07T01:13:19.851Z,"9 km NNW of Mokošica, Croatia",earthquake,,,,,reviewed,pdg,bud
2001-05-12T22:55:43.040Z,41.286,20.242,9.4,3.6,md,18.0,,,,us,usp000aev1,2014-11-07T01:12:47.467Z,"12 km NW of Librazhd-Qendër, Albania",earthquake,,,,,reviewed,pdg,ath
2001-03-15T19:01:54.100Z,44.555,20.118,0.7,3.6,md,52.0,,,,us,usp000abfk,2014-11-07T01:12:21.359Z,"2 km SSW of Stubline, Serbia",earthquake,,,,,reviewed,pdg,pdg
2003-01-26T05:13:09.530Z,42.743,20.154,0.4,3.6,ml,27.0,,,,us,usp000bp6n,2014-11-07T01:17:38.210Z,"10 km S of Rožaje, Montenegro",earthquake,,,,,reviewed,pdg,bud
2003-01-25T23:02:11.000Z,41.385,20.361,8.6,3.6,mb,96.0,,,,us,usp000bp63,2014-11-07T01:17:38.160Z,"16 km SE of Bulqizë, Albania",earthquake,,,,3.0,reviewed,pdg,us
2002-11-27T05:53:31.500Z,41.971,20.199,10.0,3.5,ml,28.0,,,,us,usp000bjgh,2014-11-07T01:17:11.563Z,"18 km SE of Fushë-Arrëz, Albania",earthquake,,,,,reviewed,pdg,pdg
2002-11-06T06:02:04.500Z,41.884,20.443,11.0,3.7,md,23.0,,,,us,usp000bgsh,2014-11-07T01:17:02.087Z,"21 km S of Kukës, Albania",earthquake,,,,,reviewed,pdg,ath
