time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1982-08-17T04:49:25.000Z,49.06,-105.38,18.0,4.3,mb,,,,,us,usp0001p3e,2014-11-07T00:31:46.640Z,"29 km N of Scobey, Montana",earthquake,,,,2.0,reviewed,pgc,us
1984-02-11T13:38:27.000Z,49.19,-114.41,18.0,4.5,mb,,,,,us,usp00021wq,2014-11-07T00:34:30.047Z,"46 km SW of Pincher Creek, Canada",earthquake,,,,7.0,reviewed,pgc,us
1983-11-09T09:59:56.000Z,49.55,-114.73,18.0,3.5,ml,,,,,us,usp0001zpa,2014-11-07T00:34:07.527Z,"23 km SSE of Sparwood, Canada",earthquake,,,,,reviewed,pgc,pgc
1983-07-08T08:12:44.700Z,49.5,-117.01,18.0,3.7,ml,,,,,us,usp0001wnk,2014-11-07T00:33:27.440Z,"19 km E of Nelson, Canada",earthquake,,,,,reviewed,pgc,pgc
1983-03-22T04:55:04.000Z,51.64,-115.03,5.0,3.6,ml,,,,,us,usp0001tu5,2014-11-07T00:32:50.354Z,"32 km WSW of Sundre, Canada",earthquake,,,,,reviewed,pgc,pgc
1984-09-04T09:29:04.400Z,52.15,-115.14,5.0,3.6,ml,,,,,us,usp000271s,2014-11-07T00:35:24.486Z,"28 km SSW of Rocky Mountain House, Canada",earthquake,,,,,reviewed,pgc,us
1984-09-03T13:57:17.000Z,52.15,-115.14,5.0,4.1,ml,,,,,us,usp000270k,2014-11-07T00:35:24.277Z,"28 km SSW of Rocky Mountain House, Canada",earthquake,,,,,reviewed,pgc,us
1985-08-24T11:39:15.000Z,52.29,-115.44,5.0,4.4,mb,,,,,us,usp0002j3d,2014-11-07T00:37:03.231Z,"36 km WSW of Rocky Mountain House, Canada",earthquake,,,,2.0,reviewed,pgc,us
1987-01-12T12:17:29.000Z,49.54,-119.71,10.0,3.5,ml,,,,,us,usp00031m7,2016-07-24T20:07:04.470Z,"7 km SSW of Summerland, Canada",earthquake,,,,,reviewed,pgc,pgc
1986-09-06T14:46:44.700Z,48.748,-125.254,24.0,3.7,ml,,,,,us,usp0002xvs,2014-11-07T00:38:58.881Z,"30 km SE of Ucluelet, Canada",earthquake,,,,,reviewed,pgc,pgc
1986-07-10T16:00:00.500Z,49.61,-122.45,8.0,3.8,ml,,,,,us,usp0002vwq,2016-07-24T19:53:44.050Z,"43 km NE of Coquitlam, Canada",earthquake,,,,,reviewed,pgc,us
1986-06-16T15:54:38.000Z,49.39,-127.07,31.0,5.0,ms,,,,,us,usp0002v3x,2014-11-07T00:38:33.153Z,"87 km SW of Vernon, Canada",earthquake,,,,6.0,reviewed,pgc,us
1986-05-21T05:43:20.700Z,50.342,-130.009,10.0,3.7,mb,,,,,us,usp0002u8j,2014-11-07T00:38:25.229Z,"209 km W of Port McNeill, Canada",earthquake,,,,1.0,reviewed,pgc,us
1986-03-26T01:00:45.100Z,49.116,-127.736,10.0,3.5,ml,,,,,us,usp0002s9u,2014-11-07T00:38:05.861Z,"133 km W of Tofino, Canada",earthquake,,,,,reviewed,pgc,pgc
1986-03-21T23:56:18.600Z,54.284,-121.854,18.0,5.5,mw,,,,,us,usp0002s1g,2022-04-27T22:22:27.834Z,"71 km NE of Prince George, Canada",earthquake,,,,,reviewed,pgc,hrv
1987-11-07T14:35:41.300Z,66.75,-136.805,18.0,3.8,ml,,,,,us,usp00039yg,2014-11-07T00:41:12.004Z,"113 km SW of Fort McPherson, Canada",earthquake,,,,,reviewed,pgc,pgc
1987-09-27T17:46:42.600Z,64.523,-129.824,18.0,4.3,ml,,,,,us,usp00038se,2014-11-07T00:40:58.359Z,"164 km WSW of Norman Wells, Canada",earthquake,,,,,reviewed,pgc,pgc
1987-06-07T08:55:36.000Z,49.75,-127.05,38.0,4.0,mb,,,,,us,usp00035ku,2014-11-07T00:40:31.549Z,"58 km WSW of Vernon, Canada",earthquake,,,,4.0,reviewed,pgc,us
1987-05-22T19:15:49.000Z,62.4,-124.14,10.0,3.5,mblg,,,,,us,usp000356n,2014-11-07T00:40:25.865Z,"Northwest Territories, Canada",earthquake,,,,,reviewed,pgc,pgc
1987-05-06T02:44:46.000Z,64.73,-132.96,18.0,4.6,mb,,,,,us,usp00034rt,2014-11-07T00:40:22.893Z,"295 km WSW of Norman Wells, Canada",earthquake,,,,15.0,reviewed,pgc,us
1987-04-26T18:31:33.800Z,62.316,-124.23,10.0,3.8,mblg,,,,,us,usp00034gh,2014-11-07T00:40:17.508Z,"Northwest Territories, Canada",earthquake,,,,,reviewed,pgc,pgc
1987-04-08T14:33:21.700Z,49.709,-123.587,2.0,3.8,ml,,,,,us,usp000340g,2016-07-24T20:12:34.740Z,"28 km NNE of Sechelt, Canada",earthquake,,,,,reviewed,pgc,pgc
1987-04-05T01:49:19.060Z,65.887,-135.053,18.0,4.5,mb,,,,,us,usp00033xp,2014-11-07T00:40:12.472Z,"173 km S of Fort McPherson, Canada",earthquake,,,,3.0,reviewed,pgc,us
1989-02-13T20:56:07.700Z,61.098,-131.252,18.0,4.2,ml,,,,,us,usp0003rw5,2014-11-07T00:43:36.255Z,"180 km NW of Watson Lake, Canada",earthquake,,,,,reviewed,pgc,pgc
1988-12-26T06:27:07.800Z,61.511,-123.836,10.0,4.0,mblg,,,,,us,usp0003q6n,2014-11-07T00:43:19.189Z,"Northwest Territories, Canada",earthquake,,,,,reviewed,pgc,pgc
1988-12-22T06:00:55.700Z,62.064,-124.215,10.0,4.8,mb,,,,,us,usp0003q2p,2014-11-07T00:43:18.295Z,"Northwest Territories, Canada",earthquake,,,,21.0,reviewed,pgc,us
