time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2013-03-09T03:57:38.700Z,19.2607,-64.5065,61.0,3.7,Md,15.0,270.0,0.5524639,0.25,pr,pr13068000,2014-11-07T01:50:18.786Z,"107 km NNE of Cruz Bay, U.S. Virgin Islands",earthquake,3.8,6.9,0.0,13.0,reviewed,pr,pr
2013-03-07T21:48:52.700Z,19.7719,-67.8427,118.0,3.5,Md,8.0,327.6,1.4696438,0.2,pr,pr13066007,2013-03-07T22:25:13.938Z,"144 km NNE of Punta Cana, Dominican Republic",earthquake,3.4,5.3,0.0,6.0,reviewed,pr,pr
2013-03-07T19:12:36.200Z,18.2518,-68.8205,131.0,3.9,Md,11.0,342.0,1.63583213,0.27,pr,pr13066006,2014-11-07T01:50:18.620Z,"25 km SW of San Rafael del Yuma, Dominican Republic",earthquake,4.1,2.8,0.0,10.0,reviewed,pr,pr
2013-03-05T13:30:35.800Z,18.4946,-68.5627,177.0,3.7,Md,12.0,334.8,1.03306258,0.44,pr,pr13064000,2014-11-07T01:50:17.994Z,"13 km ENE of San Rafael del Yuma, Dominican Republic",earthquake,6.0,2.1,0.0,10.0,reviewed,pr,pr
2013-03-04T09:28:24.200Z,19.8582,-68.9182,82.0,3.6,Md,7.0,342.0,2.19727918,0.25,pr,pr13063000,2014-11-07T01:50:17.488Z,"84 km NNE of Samaná, Dominican Republic",earthquake,4.3,12.4,0.0,6.0,reviewed,pr,pr
2013-03-03T03:29:23.900Z,19.6375,-64.1361,107.0,3.6,Md,9.0,313.2,0.92077317,0.28,pr,pr13062000,2014-11-07T01:50:17.153Z,"160 km NNE of Cruz Bay, U.S. Virgin Islands",earthquake,7.9,9.3,0.0,9.0,reviewed,pr,pr
2013-03-02T14:38:19.100Z,19.3719,-68.8165,155.0,4.0,Md,8.0,334.8,1.84693622,0.25,pr,pr13061005,2014-11-07T01:50:16.924Z,"49 km NNE of Miches, Dominican Republic",earthquake,4.7,4.5,0.0,8.0,reviewed,pr,pr
2013-03-02T09:48:07.900Z,19.0636,-68.6785,147.0,3.9,Md,15.0,331.2,1.59900121,0.36,pr,pr13061001,2014-11-07T01:50:16.811Z,"39 km ENE of Miches, Dominican Republic",earthquake,6.2,5.3,0.0,8.0,reviewed,pr,pr
2013-02-28T20:32:01.800Z,19.1375,-64.4272,57.0,3.5,Md,18.0,273.6,0.41502166,0.14,pr,pr13059003,2014-11-07T01:50:12.714Z,"97 km NNE of Cruz Bay, U.S. Virgin Islands",earthquake,1.9,2.2,0.0,13.0,reviewed,pr,pr
2013-02-27T05:15:15.100Z,19.3955,-69.0037,139.0,3.8,Md,8.0,334.8,2.01492118,0.21,pr,pr13058000,2013-02-27T05:51:51.548Z,"40 km ENE of Samaná, Dominican Republic",earthquake,4.1,4.9,0.0,8.0,reviewed,pr,pr
2013-02-26T22:22:32.900Z,19.1574,-68.057,86.0,3.8,Md,18.0,201.6,1.12738568,0.27,pr,pr13057003,2014-11-07T01:50:12.250Z,"73 km NNE of Punta Cana, Dominican Republic",earthquake,2.7,4.9,0.0,14.0,reviewed,pr,pr
2013-02-26T17:07:34.800Z,19.2504,-67.9645,8.0,5.1,Md,19.0,201.6,1.12199579,0.5,pr,pr13057002,2022-07-24T19:13:22.784Z,Mona Passage,earthquake,2.5,4.3,0.0,12.0,reviewed,pr,pr
2013-02-22T13:05:13.600Z,18.218,-68.7675,141.0,3.5,Md,8.0,216.0,0.81207702,0.89,pr,pr13053004,2014-11-07T01:50:10.806Z,"24 km SW of Boca de Yuma, Dominican Republic",earthquake,15.8,5.5,0.0,8.0,reviewed,pr,pr
2013-02-08T17:10:32.700Z,18.6609,-68.5449,181.0,3.9,Md,14.0,334.8,1.04653731,0.5,pr,pr13039001,2014-11-07T01:50:04.992Z,"12 km E of Otra Banda, Dominican Republic",earthquake,7.3,2.3,0.0,13.0,reviewed,pr,pr
2013-02-07T05:20:25.700Z,17.1096,-68.4903,9.0,3.7,Md,15.0,262.8,1.6223574,0.25,pr,pr13038000,2014-11-07T01:50:03.353Z,"140 km S of Boca de Yuma, Dominican Republic",earthquake,3.8,4.5,0.0,11.0,reviewed,pr,pr
2014-03-09T22:02:40.900Z,19.5287,-68.0692,75.0,3.5,Md,18.0,273.6,1.05102888,0.68,pr,pr14068006,2014-05-15T02:23:59.000Z,"110 km NNE of Punta Cana, Dominican Republic",earthquake,7.4,15.6,0.0,10.0,reviewed,pr,pr
2014-03-08T03:50:22.700Z,19.5981,-67.8294,43.0,3.9,Md,21.0,262.8,1.19745427,0.25,pr,pr14067003,2014-05-15T02:23:38.000Z,"127 km NNE of Punta Cana, Dominican Republic",earthquake,1.6,9.0,0.0,21.0,reviewed,pr,pr
2014-03-07T23:38:50.400Z,19.0631,-65.3526,34.0,3.7,Md,15.0,259.2,0.80219555,0.25,pr,pr14066014,2014-05-15T02:23:35.000Z,"84 km N of Culebra, Puerto Rico",earthquake,1.4,8.3,0.0,9.0,reviewed,pr,pr
2014-03-07T06:16:21.800Z,19.5429,-67.9456,30.0,3.9,Md,24.0,266.4,1.10313117,0.36,pr,pr14066000,2014-05-15T02:23:26.000Z,"116 km NNE of Punta Cana, Dominican Republic",earthquake,2.0,22.2,0.0,13.0,reviewed,pr,pr
2014-03-06T21:56:45.900Z,19.4685,-67.9251,52.0,4.6,Ml,19.0,262.8,1.04204573,0.43,pr,pr14065002,2022-07-26T08:46:31.257Z,"110 km NNE of Punta Cana, Dominican Republic",earthquake,3.2,12.2,0.0,16.0,reviewed,pr,pr
2014-02-23T07:53:37.900Z,19.753,-67.1494,48.0,3.6,Md,15.0,302.4,1.27830265,0.25,pr,pr14054004,2014-05-07T00:03:08.000Z,"139 km N of Isabela, Puerto Rico",earthquake,1.8,9.9,0.0,15.0,reviewed,pr,pr
2014-02-15T17:17:43.000Z,18.8276,-67.8933,81.0,3.6,Md,28.0,316.8,0.82195848,0.43,pr,pr14046006,2014-04-30T21:18:22.000Z,"60 km ENE of Punta Cana, Dominican Republic",earthquake,2.8,3.2,0.0,21.0,reviewed,pr,pr
2014-02-08T15:22:38.100Z,18.7488,-68.9769,136.0,3.5,Md,9.0,345.6,0.61085439,0.21,pr,pr14039009,2014-04-22T18:30:09.000Z,"6 km ESE of Santa Cruz de El Seibo, Dominican Republic",earthquake,4.3,1.2,0.0,5.0,reviewed,pr,pr
2014-02-04T23:11:20.500Z,19.4897,-68.7305,33.0,3.5,Md,15.0,306.0,1.02407942,0.25,pr,pr14035007,2014-04-08T01:43:29.000Z,"65 km NNE of Miches, Dominican Republic",earthquake,2.8,17.5,0.0,8.0,reviewed,pr,pr
2014-02-03T21:10:27.000Z,19.6291,-64.5877,54.0,3.6,Md,19.0,291.6,1.775071,0.28,pr,pr14034007,2014-04-08T01:43:26.000Z,"145 km N of Cruz Bay, U.S. Virgin Islands",earthquake,3.0,14.9,0.0,16.0,reviewed,pr,pr
