time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1999-02-26T09:27:48.500Z,-26.34,27.51,2.0,3.9,mb,,,,,us,usp00093g1,2014-11-07T01:07:05.232Z,"11 km ENE of Carletonville, South Africa",earthquake,,,,1.0,reviewed,pre,us
1999-02-02T10:33:23.900Z,-26.42,27.39,2.0,3.5,ml,,,,,us,usp000924h,2014-11-07T01:06:55.925Z,"6 km S of Carletonville, South Africa",earthquake,,,,,reviewed,pre,pre
2006-01-24T09:13:38.000Z,-26.256,28.264,2.0,3.6,ml,4.0,207.5,,,us,usp000e8sg,2014-11-07T01:28:09.242Z,"4 km S of Boksburg, South Africa",earthquake,,,,,reviewed,pre,pre
2005-10-12T14:10:34.600Z,-27.011,26.769,2.0,4.8,mb,75.0,59.0,,,us,usp000e1nz,2022-07-14T14:15:27.049Z,"10 km ESE of Orkney, South Africa",earthquake,,,,31.0,reviewed,pre,us
2007-02-05T03:11:51.800Z,-27.018,26.795,2.0,4.5,mb,30.0,92.9,,,us,usp000f4a0,2020-09-18T21:22:12.827Z,"12 km ESE of Orkney, South Africa",earthquake,,,,4.0,reviewed,pre,us
2008-03-08T04:20:12.100Z,-26.399,27.468,2.0,4.2,mb,19.0,136.4,,,us,usp000g0yf,2014-11-07T01:35:12.836Z,"8 km ESE of Carletonville, South Africa",earthquake,,,,4.0,reviewed,pre,us
2007-08-04T04:50:09.500Z,-26.386,27.471,2.0,4.0,mb,17.0,145.7,,,us,usp000fhug,2014-11-07T01:33:11.592Z,"7 km ESE of Carletonville, South Africa",earthquake,,,,2.0,reviewed,pre,us
2007-04-23T17:42:13.700Z,-26.961,26.749,2.0,3.8,ml,13.0,111.8,,,us,usp000faeb,2014-11-07T01:32:15.635Z,"7 km ENE of Orkney, South Africa",earthquake,,,,,reviewed,pre,pre
2007-04-10T08:43:13.600Z,-26.995,26.723,2.0,4.1,ml,19.0,100.4,,,us,usp000f9a5,2014-11-07T01:32:09.752Z,"5 km ESE of Orkney, South Africa",earthquake,,,,,reviewed,pre,pre
2008-03-08T04:20:12.100Z,-26.399,27.468,2.0,4.2,mb,19.0,136.4,,,us,usp000g0yf,2014-11-07T01:35:12.836Z,"8 km ESE of Carletonville, South Africa",earthquake,,,,4.0,reviewed,pre,us
