time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1988-03-03T18:43:51.750Z,40.389,-119.764,13.1,3.5,md,,,,,us,usp0003djk,2014-11-07T00:41:44.969Z,"41 km WSW of Empire, Nevada",earthquake,,,,,reviewed,ren,ren
1989-02-22T09:49:44.610Z,39.23,-117.338,0.0,3.5,md,,,,,us,usp0003s6d,2014-11-07T00:43:37.870Z,"23 km W of Kingston, Nevada",earthquake,,,,,reviewed,ren,ren
1989-01-25T09:30:56.930Z,38.459,-118.328,6.9,3.5,md,,,,,us,usp0003r7c,2014-11-07T00:43:28.936Z,"20 km WNW of Mina, Nevada",earthquake,,,,,reviewed,ren,ren
1988-10-27T08:02:32.890Z,38.46,-118.341,11.9,3.9,mb,,,,,us,usp0003n8u,2014-11-07T00:43:00.109Z,"21 km WNW of Mina, Nevada",earthquake,,,,1.0,reviewed,ren,us
1988-10-27T03:16:32.910Z,39.029,-117.987,0.0,3.5,md,,,,,us,usp0003n8h,2014-11-07T00:43:00.087Z,Nevada,earthquake,,,,,reviewed,ren,ren
1988-10-26T14:14:26.150Z,38.454,-118.358,8.2,4.0,ml,,,,,us,usp0003n82,2014-11-07T00:43:00.047Z,"22 km WNW of Mina, Nevada",earthquake,,,,,reviewed,ren,brk
1988-10-09T08:00:31.010Z,38.459,-118.343,9.1,3.5,md,,,,,us,usp0003mns,2014-11-07T00:42:57.017Z,"21 km WNW of Mina, Nevada",earthquake,,,,,reviewed,ren,ren
1988-09-23T15:48:55.620Z,38.957,-118.171,0.4,3.5,md,,,,,us,usp0003m7d,2014-11-07T00:42:50.353Z,"23 km WNW of Gabbs, Nevada",earthquake,,,,,reviewed,ren,ren
1988-09-20T00:16:09.660Z,38.959,-118.176,0.3,3.5,md,,,,,us,usp0003m3u,2014-11-07T00:42:49.868Z,"24 km WNW of Gabbs, Nevada",earthquake,,,,,reviewed,ren,ren
1988-09-19T02:56:31.770Z,38.461,-118.342,9.0,4.5,mb,,,,,us,usp0003m33,2018-06-04T20:43:45.000Z,"21 km WNW of Mina, Nevada",earthquake,,,,5.0,reviewed,ren,us
1991-01-03T02:08:51.920Z,39.222,-119.741,7.1,4.0,ml,,,,,us,usp0004k4r,2014-11-07T00:47:44.710Z,"6 km NNE of Carson City, Nevada",earthquake,,,,,reviewed,ren,brk
1991-01-02T23:44:34.340Z,39.216,-119.724,10.0,3.5,ml,,,,,us,usp0004k4e,2014-11-07T00:47:44.508Z,"6 km NNE of Carson City, Nevada",earthquake,,,,,reviewed,ren,brk
1991-01-02T23:16:35.550Z,39.212,-119.733,5.8,4.4,mb,,,,,us,usp0004k4a,2020-08-29T00:24:42.136Z,"6 km NNE of Carson City, Nevada",earthquake,,,,4.0,reviewed,ren,us
1991-01-02T16:29:43.470Z,39.207,-119.732,3.2,3.8,ml,,,,,us,usp0004k3z,2014-11-07T00:47:44.308Z,"5 km NNE of Carson City, Nevada",earthquake,,,,,reviewed,ren,brk
1991-01-02T12:07:46.920Z,39.207,-119.728,6.6,3.5,ml,,,,,us,usp0004k3m,2014-11-07T00:47:44.243Z,"5 km NE of Carson City, Nevada",earthquake,,,,,reviewed,ren,brk
1992-04-06T04:01:29.000Z,39.67,-119.82,9.5,4.4,ml,,,,,us,usp00055cx,2014-11-07T00:50:25.126Z,"4 km NNE of Lemmon Valley, Nevada",earthquake,,,,,reviewed,ren,brk
1998-02-25T00:50:37.000Z,38.239,-118.389,11.0,4.3,ml,,,,,us,usp0008ghy,2014-11-07T01:04:35.223Z,"29 km SW of Mina, Nevada",earthquake,,,,,reviewed,ren,brk
1999-01-23T03:00:32.000Z,36.82,-115.92,0.0,3.7,ml,,,,,us,usp00091jh,2014-11-07T01:06:50.816Z,"35 km NW of Indian Springs, Nevada",earthquake,,,,,reviewed,ren,us
1999-01-09T02:48:34.000Z,38.48,-118.4,10.3,3.5,ml,,,,,us,usp00090u8,2016-02-17T04:08:24.010Z,"20 km ESE of Hawthorne, Nevada",earthquake,,,,,reviewed,ren,us
1999-01-05T10:57:28.000Z,36.84,-116.01,0.0,3.5,ml,,,,,us,usp00090nj,2016-02-16T06:24:15.839Z,"42 km NW of Indian Springs, Nevada",earthquake,,,,,reviewed,ren,us
1998-12-12T06:25:12.000Z,39.7,-118.01,14.4,3.5,ml,,,,,us,usp0008zgq,2014-11-07T01:06:38.658Z,"66 km SE of Lovelock, Nevada",earthquake,,,,,reviewed,ren,us
1998-12-12T01:41:32.000Z,37.51,-116.29,0.0,4.1,mb,,,,,us,usp0008zgf,2014-11-07T01:06:38.637Z,"50 km WSW of Rachel, Nevada",earthquake,,,,3.0,reviewed,ren,us
1998-12-04T00:57:35.000Z,39.32,-119.98,11.4,3.6,ml,,,,,us,usp0008z4q,2014-11-07T01:06:35.740Z,"7 km N of Incline Village, Nevada",earthquake,,,,,reviewed,ren,brk
1998-08-21T06:54:38.000Z,38.24,-118.38,11.1,3.8,ml,,,,,us,usp0008tmn,2016-02-12T17:13:19.989Z,"29 km SW of Mina, Nevada",earthquake,,,,,reviewed,ren,us
1998-07-04T11:18:18.000Z,40.13,-119.66,11.1,3.9,mwr,,,,,us,usp0008qy4,2014-11-07T01:05:32.551Z,"20 km NNW of Sutcliffe, Nevada",earthquake,,,,,reviewed,ren,brk
1998-04-24T16:17:27.000Z,38.47,-118.41,6.7,4.2,mb,,,,,us,usp0008kwg,2014-11-07T01:05:04.128Z,"19 km ESE of Hawthorne, Nevada",earthquake,,,,1.0,reviewed,ren,us
1998-04-22T14:20:39.000Z,37.86,-118.16,7.0,3.8,mwr,,,,,us,usp0008ks6,2014-11-07T01:05:03.403Z,"22 km NNW of Dyer, Nevada",earthquake,,,,,reviewed,ren,brk
1998-04-14T14:02:12.000Z,37.86,-118.22,6.2,3.6,mwr,,,,,us,usp0008k88,2014-11-07T01:04:59.776Z,"23 km ENE of Benton, California",earthquake,,,,,reviewed,ren,brk
1998-04-04T08:01:25.000Z,37.51,-117.23,1.3,3.9,md,,,,,us,usp0008jj3,2014-11-07T01:04:56.605Z,"22 km S of Goldfield, Nevada",earthquake,,,,,reviewed,ren,ren
1999-12-20T20:35:19.000Z,37.97,-115.88,7.1,3.7,ml,,,,,us,usp0009k2p,2014-11-07T01:09:10.405Z,"38 km NNW of Rachel, Nevada",earthquake,,,,,reviewed,ren,us
1999-12-12T18:12:38.000Z,39.69,-118.29,11.3,3.6,mb,,,,,us,usp0009jt3,2014-11-07T01:09:09.199Z,"47 km NE of Fallon Station, Nevada",earthquake,,,,2.0,reviewed,ren,us
1999-12-09T11:06:44.000Z,38.14,-118.41,11.4,3.5,ml,,,,,us,usp0009jnb,2014-11-07T01:09:08.459Z,"36 km N of Benton, California",earthquake,,,,,reviewed,ren,us
1999-11-12T15:50:54.000Z,38.13,-118.41,10.6,3.5,ml,,,,,us,usp0009her,2016-04-01T19:56:58.795Z,"35 km N of Benton, California",earthquake,,,,,reviewed,ren,us
1999-10-20T10:15:04.000Z,37.36,-117.11,7.2,4.0,mw,,,,,us,usp0009g9z,2016-04-02T13:43:20.890Z,"40 km SSE of Goldfield, Nevada",earthquake,,,,,reviewed,ren,brk
1999-10-19T00:46:53.000Z,37.36,-117.11,7.5,3.7,md,,,,,us,usp0009g72,2014-11-07T01:08:44.144Z,"40 km SSE of Goldfield, Nevada",earthquake,,,,,reviewed,ren,ren
1999-10-10T15:46:14.000Z,37.36,-117.11,3.7,3.6,md,,,,,us,usp0009fp6,2016-02-17T11:32:55.111Z,"40 km SSE of Goldfield, Nevada",earthquake,,,,,reviewed,ren,ren
1999-10-08T18:29:41.000Z,37.36,-117.1,5.0,3.5,ml,,,,,us,usp0009fkt,2016-02-16T06:37:18.770Z,"40 km SSE of Goldfield, Nevada",earthquake,,,,,reviewed,ren,pas
1999-10-08T17:58:11.000Z,37.36,-117.11,5.6,4.1,md,,,,,us,usp0009fks,2016-02-17T04:22:59.183Z,"40 km SSE of Goldfield, Nevada",earthquake,,,,,reviewed,ren,ren
1999-09-26T20:11:22.000Z,37.37,-117.09,9.0,4.4,ml,,,,,us,usp0009f2p,2016-04-02T10:32:51.122Z,"39 km SSE of Goldfield, Nevada",earthquake,,,,,reviewed,ren,brk
1999-09-26T16:15:38.000Z,37.38,-117.1,9.0,4.5,ml,,,,,us,usp0009f2g,2016-04-02T07:12:55.448Z,"38 km SSE of Goldfield, Nevada",earthquake,,,,,reviewed,ren,brk
1999-08-19T19:08:28.000Z,37.39,-117.08,3.9,3.5,md,,,,,us,usp0009dbd,2016-02-16T16:05:04.912Z,"37 km SSE of Goldfield, Nevada",earthquake,,,,,reviewed,ren,ren
1999-08-03T00:44:00.000Z,37.4,-117.09,3.9,3.5,md,,,,,us,usp0009chd,2016-02-17T11:29:11.802Z,"36 km SSE of Goldfield, Nevada",earthquake,,,,,reviewed,ren,ren
1999-08-02T06:05:13.000Z,37.38,-117.07,2.6,5.1,mwr,,,,,us,usp0009cgb,2022-04-29T18:15:47.530Z,"39 km SSE of Goldfield, Nevada",earthquake,,,,,reviewed,ren,brk
1999-08-02T05:40:27.000Z,37.38,-117.08,1.8,3.6,mb,,,,,us,usp0009cga,2016-02-17T01:56:31.001Z,"38 km SSE of Goldfield, Nevada",earthquake,,,,1.0,reviewed,ren,us
1999-08-01T23:38:56.000Z,37.38,-117.07,5.7,3.8,md,,,,,us,usp0009cft,2016-02-16T18:32:10.167Z,"39 km SSE of Goldfield, Nevada",earthquake,,,,,reviewed,ren,ren
1999-08-01T19:59:49.000Z,37.4,-117.23,5.5,3.5,ml,,,,,us,usp0009cfb,2016-02-17T09:04:42.988Z,"34 km S of Goldfield, Nevada",earthquake,,,,,reviewed,ren,us
1999-08-01T19:52:26.000Z,37.39,-117.06,4.3,3.5,ml,,,,,us,usp0009cf8,2016-02-16T11:13:44.859Z,"38 km SSE of Goldfield, Nevada",earthquake,,,,,reviewed,ren,us
1999-08-01T18:26:00.000Z,37.39,-117.07,2.0,3.7,ml,,,,,us,usp0009cf4,2016-02-16T08:52:56.532Z,"38 km SSE of Goldfield, Nevada",earthquake,,,,,reviewed,ren,us
1999-08-01T18:13:31.000Z,37.41,-117.09,5.9,3.5,ml,,,,,us,usp0009cf2,2016-02-16T08:52:55.246Z,"35 km SSE of Goldfield, Nevada",earthquake,,,,,reviewed,ren,us
1999-08-01T17:47:45.000Z,37.38,-117.07,6.3,3.8,ml,,,,,us,usp0009cex,2016-02-17T04:19:07.005Z,"39 km SSE of Goldfield, Nevada",earthquake,,,,,reviewed,ren,us
1999-08-01T17:15:50.000Z,37.43,-117.1,0.0,3.6,ml,,,,,us,usp0009ceu,2016-02-17T11:29:01.829Z,"33 km SSE of Goldfield, Nevada",earthquake,,,,,reviewed,ren,us
1999-08-01T17:05:54.000Z,37.4,-117.15,0.0,3.7,ml,,,,,us,usp0009cet,2016-02-16T21:00:29.082Z,"35 km SSE of Goldfield, Nevada",earthquake,,,,,reviewed,ren,us
1999-08-01T16:57:34.000Z,37.41,-117.07,4.5,3.5,md,,,,,us,usp0009ces,2016-02-16T08:52:53.794Z,"36 km SSE of Goldfield, Nevada",earthquake,,,,,reviewed,ren,ren
1999-08-01T16:26:47.000Z,37.38,-117.07,0.0,4.2,ml,,,,,us,usp0009cen,2016-02-16T13:37:11.889Z,"39 km SSE of Goldfield, Nevada",earthquake,,,,,reviewed,ren,brk
1999-08-01T16:06:22.000Z,37.39,-117.08,7.6,5.7,mwc,,,,,us,usp0009cef,2022-04-29T18:15:35.236Z,"37 km SSE of Goldfield, Nevada",earthquake,,,,,reviewed,ren,hrv
1999-08-01T04:17:14.000Z,37.39,-117.08,6.3,3.9,ml,,,,,us,usp0009cda,2016-02-16T23:30:39.836Z,"37 km SSE of Goldfield, Nevada",earthquake,,,,,reviewed,ren,us
1999-07-04T10:40:05.000Z,38.49,-117.86,10.7,3.5,ml,,,,,us,usp0009b2a,2014-11-07T01:08:02.839Z,"24 km ENE of Mina, Nevada",earthquake,,,,,reviewed,ren,us
1999-05-13T22:06:27.000Z,37.91,-115.84,10.4,3.5,md,,,,,us,usp00097wt,2014-11-07T01:07:40.314Z,"30 km NNW of Rachel, Nevada",earthquake,,,,,reviewed,ren,ren
