time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2000-03-08T09:21:02.310Z,19.155,-66.484,41.2,3.6,md,,,,,us,usp0009pe6,2014-11-07T01:09:40.053Z,"76 km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,,,,,reviewed,rspr,rspr
2000-03-05T06:51:20.370Z,19.059,-66.849,32.3,3.5,md,,,,,us,usp0009p9s,2014-11-07T01:09:39.210Z,"63 km N of Hatillo, Puerto Rico",earthquake,,,,,reviewed,rspr,rspr
2000-03-02T14:58:15.290Z,18.885,-65.178,42.1,3.7,md,,,,,us,usp0009p68,2014-11-07T01:09:37.813Z,"65 km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,,,,,reviewed,rspr,rspr
2000-02-26T12:00:47.050Z,18.934,-65.903,76.7,3.9,md,,,,,us,usp0009nzv,2014-11-07T01:09:33.925Z,"55 km N of Loíza, Puerto Rico",earthquake,,,,,reviewed,rspr,rspr
2000-02-15T17:24:37.260Z,19.112,-65.082,60.2,3.8,md,,,,,us,usp0009ngu,2014-11-07T01:09:31.026Z,"86 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,,,,,reviewed,rspr,rspr
2000-02-10T04:14:18.090Z,18.069,-65.856,7.5,3.8,md,,,,,us,usp0009n9b,2014-11-07T01:09:29.200Z,"2 km SSW of Comunas, Puerto Rico",earthquake,,,,,reviewed,rspr,rspr
2000-02-09T04:34:35.450Z,18.686,-67.522,2.1,3.5,md,,,,,us,usp0009n82,2014-11-07T01:09:29.010Z,"47 km NW of Rincón, Puerto Rico",earthquake,,,,,reviewed,rspr,rspr
2000-02-04T00:30:21.440Z,19.479,-68.049,15.7,3.7,md,,,,,us,usp0009n0z,2014-11-07T01:09:26.509Z,"106 km NNE of Punta Cana, Dominican Republic",earthquake,,,,,reviewed,rspr,rspr
2000-02-03T11:11:23.860Z,19.174,-66.522,9.5,3.6,md,,,,,us,usp0009n00,2014-11-07T01:09:26.233Z,"78 km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,,,,,reviewed,rspr,rspr
2000-02-01T14:58:14.900Z,19.571,-64.859,14.9,3.7,md,,,,,us,usp0009mxj,2014-11-07T01:09:25.106Z,"136 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,,,,,reviewed,rspr,rspr
2000-01-31T09:42:18.700Z,19.053,-64.873,50.1,3.7,md,,,,,us,usp0009mvw,2014-11-07T01:09:22.953Z,"78 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,,,,,reviewed,rspr,rspr
2000-01-25T15:53:12.080Z,19.586,-68.011,74.9,3.7,md,,,,,us,usp0009mna,2014-11-07T01:09:21.935Z,"118 km NNE of Punta Cana, Dominican Republic",earthquake,,,,,reviewed,rspr,rspr
2000-01-25T14:42:35.390Z,19.607,-68.058,69.3,4.1,md,,,,,us,usp0009mn6,2014-11-07T01:09:21.911Z,"119 km NNE of Punta Cana, Dominican Republic",earthquake,,,,,reviewed,rspr,rspr
2000-01-18T23:58:22.710Z,18.934,-68.099,10.1,3.8,md,,,,,us,usp0009mbc,2014-11-07T01:09:20.541Z,"50 km NE of Punta Cana, Dominican Republic",earthquake,,,,,reviewed,rspr,rspr
2000-01-06T11:22:16.690Z,18.26,-68.315,178.4,4.0,md,,,,,us,usp0009ktu,2014-11-07T01:09:17.923Z,"33 km ESE of Boca de Yuma, Dominican Republic",earthquake,,,,,reviewed,rspr,rspr
2001-03-13T15:11:28.150Z,19.663,-64.87,84.4,3.5,md,5.0,,,,us,usp000abb8,2014-11-07T01:12:20.850Z,"146 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,,,,,reviewed,rspr,rspr
2001-03-04T21:59:25.250Z,19.004,-65.015,68.7,3.5,md,5.0,,,,us,usp000aaxb,2014-11-07T01:12:18.431Z,"73 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,,,,,reviewed,rspr,rspr
2001-03-04T21:36:36.010Z,18.892,-65.147,25.0,3.5,md,7.0,,,,us,usp000aaxa,2014-11-07T01:12:18.427Z,"65 km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,,,,,reviewed,rspr,rspr
2001-03-04T18:15:02.630Z,19.36,-64.963,80.1,3.7,md,6.0,,,,us,usp000aax0,2014-11-07T01:12:18.313Z,"112 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,,,,,reviewed,rspr,rspr
2001-03-02T21:45:53.690Z,17.599,-68.204,34.6,4.1,md,8.0,,,,us,usp000aasn,2014-11-07T01:12:17.313Z,"96 km SSE of Boca de Yuma, Dominican Republic",earthquake,,,,,reviewed,rspr,rspr
2001-03-02T03:30:12.690Z,18.015,-65.641,5.0,3.7,md,9.0,,,,us,usp000aaqy,2014-11-07T01:12:16.578Z,"20 km WSW of Esperanza, Puerto Rico",earthquake,,,,,reviewed,rspr,rspr
2001-03-02T03:14:19.370Z,18.081,-65.608,1.5,3.5,ml,8.0,,,,us,usp000aaqv,2014-11-07T01:12:16.567Z,"14 km W of Esperanza, Puerto Rico",earthquake,,,,,reviewed,rspr,rspr
2001-03-01T22:51:08.050Z,17.988,-65.649,1.3,3.6,ml,8.0,,,,us,usp000aaqp,2014-11-07T01:12:16.503Z,"22 km ESE of El Negro, Puerto Rico",earthquake,,,,,reviewed,rspr,rspr
2001-03-01T06:29:56.590Z,19.203,-67.434,25.0,3.7,md,8.0,,,,us,usp000aant,2014-11-07T01:12:15.852Z,"86 km NNW of San Antonio, Puerto Rico",earthquake,,,,,reviewed,rspr,rspr
2001-02-28T13:51:10.660Z,18.893,-67.289,31.8,3.8,md,8.0,,,,us,usp000aakp,2014-11-07T01:12:13.386Z,"48 km NNW of San Antonio, Puerto Rico",earthquake,,,,,reviewed,rspr,rspr
2001-02-27T00:26:57.700Z,19.109,-64.093,24.7,3.9,md,8.0,,,,us,usp000aafb,2014-11-07T01:12:12.377Z,"113 km NE of Cruz Bay, U.S. Virgin Islands",earthquake,,,,,reviewed,rspr,rspr
2001-02-24T00:16:48.170Z,19.554,-65.172,45.1,3.5,md,6.0,,,,us,usp000aa7r,2014-11-07T01:12:11.356Z,"136 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,,,,,reviewed,rspr,rspr
2001-02-20T23:34:08.260Z,19.246,-68.111,25.0,3.8,md,5.0,,,,us,usp000aa0e,2014-11-07T01:12:10.546Z,"79 km NNE of Punta Cana, Dominican Republic",earthquake,,,,,reviewed,rspr,rspr
2001-02-20T00:16:02.680Z,17.435,-67.61,25.0,3.5,md,9.0,,,,us,usp000a9yj,2014-11-07T01:12:10.386Z,"74 km SW of Pole Ojea, Puerto Rico",earthquake,,,,,reviewed,rspr,rspr
2001-02-18T11:34:50.820Z,19.281,-66.802,27.6,3.7,md,6.0,,,,us,usp000a9vn,2014-11-07T01:12:10.050Z,"87 km N of Hatillo, Puerto Rico",earthquake,,,,,reviewed,rspr,rspr
2001-02-18T09:17:09.080Z,18.505,-64.87,12.2,3.5,md,4.0,,,,us,usp000a9vf,2014-11-07T01:12:10.034Z,"19 km NNE of Charlotte Amalie, U.S. Virgin Islands",earthquake,,,,,reviewed,rspr,rspr
2001-02-17T19:33:44.440Z,19.957,-68.755,25.0,3.9,md,6.0,,,,us,usp000a9tq,2014-11-07T01:12:09.796Z,"103 km NE of Samaná, Dominican Republic",earthquake,,,,,reviewed,rspr,rspr
2001-02-17T19:32:01.460Z,19.812,-68.759,58.5,3.8,md,7.0,,,,us,usp000a9tp,2014-11-07T01:12:09.794Z,"90 km NE of Samaná, Dominican Republic",earthquake,,,,,reviewed,rspr,rspr
2001-02-15T09:45:04.140Z,19.292,-68.054,81.3,3.6,md,7.0,,,,us,usp000a9pa,2014-11-07T01:12:09.076Z,"86 km NNE of Punta Cana, Dominican Republic",earthquake,,,,,reviewed,rspr,rspr
2001-02-13T01:45:22.160Z,17.658,-68.609,54.9,3.7,md,4.0,,,,us,usp000a9j8,2014-11-07T01:12:08.130Z,"79 km S of Boca de Yuma, Dominican Republic",earthquake,,,,,reviewed,rspr,rspr
2001-02-11T09:45:24.330Z,19.476,-68.965,55.7,3.6,md,4.0,,,,us,usp000a9fs,2014-11-07T01:12:07.814Z,"49 km NE of Samaná, Dominican Republic",earthquake,,,,,reviewed,rspr,rspr
2001-02-06T19:32:49.710Z,19.47,-67.122,25.0,3.8,md,8.0,,,,us,usp000a96d,2014-11-07T01:12:06.045Z,"107 km N of Isabela, Puerto Rico",earthquake,,,,,reviewed,rspr,rspr
2001-02-06T11:51:56.560Z,18.845,-68.187,77.9,3.5,md,6.0,,,,us,usp000a95s,2014-11-07T01:12:05.979Z,"37 km NE of Punta Cana, Dominican Republic",earthquake,,,,,reviewed,rspr,rspr
