time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1983-01-26T14:07:44.700Z,32.853,-83.558,0.0,3.5,mb_lg,,,1.36697,,se,se60251,2022-06-28T13:53:06.477Z,"7 km E of Macon, Georgia",earthquake,,,,,reviewed,se,us
1983-08-17T14:03:15.700Z,38.476,-82.78,18.6,3.5,mb_lg,,82.0,0.87234,0.4,se,se60300,2022-06-28T13:54:35.987Z,"7 km SW of Flatwoods, Kentucky",earthquake,,2.1,,,reviewed,se,us
1984-10-09T11:54:26.600Z,34.74,-85.16,5.0,4.2,md,,,,,se,se602423,2020-07-10T14:35:42.907Z,"11 km ENE of LaFayette, Georgia",earthquake,,,,,reviewed,se,se
1984-10-09T11:54:26.300Z,34.775,-85.193,14.9,4.0,mb_lg,,,0.44067,,se,se60389,2022-06-28T13:59:08.059Z,"11 km NE of Linwood, Georgia",earthquake,,,,,reviewed,se,us
1984-08-17T18:05:46.800Z,37.872,-78.326,8.6,4.2,mb_lg,,105.0,0.15288,0.2,se,se60375,2022-06-28T13:58:28.626Z,"5 km WNW of Palmyra, Virginia",earthquake,,1.7,,,reviewed,se,se
1988-02-18T00:37:45.400Z,35.346,-83.837,2.4,3.5,mb_lg,,31.0,0.31476,0.3,se,se60752,2022-06-28T14:16:23.998Z,"3 km SE of Lake Santeetlah, North Carolina",earthquake,,0.8,,,reviewed,se,us
1987-07-11T00:04:29.500Z,36.105,-83.816,25.1,3.7,mb_lg,,45.0,0.09893,0.2,se,se60642,2022-06-28T14:11:12.604Z,"7 km NW of Mascot, Tennessee",earthquake,,0.4,,,reviewed,se,se
1987-03-27T07:29:30.000Z,35.57,-84.21,19.5,4.2,md,,,,,se,se603077,2020-07-10T14:35:55.193Z,"3 km SE of Vonore, Tennessee",earthquake,,,,,reviewed,se,se
1988-09-07T02:30:32.900Z,38.17,-83.756,8.0,3.8,mb_lg,,123.0,2.15837,0.5,se,se60824,2022-06-28T14:19:21.666Z,"2 km NNE of Owingsville, Kentucky",earthquake,,33.3,,,reviewed,se,se
1988-09-07T02:28:11.700Z,38.06,-83.85,5.0,4.4,md,,,,,se,se603383,2022-10-25T22:20:03.418Z,"8 km NNE of Camargo, Kentucky",earthquake,,,,,reviewed,se,se
1988-09-07T02:28:08.600Z,38.142,-83.834,10.0,4.6,mb_lg,,102.0,1.65475,0.3,se,se60823,2022-06-28T14:19:16.061Z,"6 km W of Owingsville, Kentucky",earthquake,,1.8,,,reviewed,se,se
1990-08-17T21:01:15.900Z,36.934,-83.384,0.6,4.0,mb_lg,,145.0,0.57557,0.4,se,se61050,2022-06-28T14:32:11.686Z,"9 km NNW of Loyall, Kentucky",earthquake,,2.8,,,reviewed,se,se
1991-04-22T01:01:20.200Z,37.942,-80.205,14.8,3.5,mb_lg,,318.0,0.49463,0.4,se,se61118,2022-06-28T14:36:01.657Z,"14 km ESE of Falling Spring, West Virginia",earthquake,,99.0,,,reviewed,se,us
1991-03-15T06:54:08.300Z,37.746,-77.909,15.5,3.8,mb_lg,,116.0,0.16188,0.2,se,se61111,2022-06-28T14:35:35.836Z,"7 km NNW of Goochland, Virginia",earthquake,,2.5,,,reviewed,se,us
1994-08-06T19:54:11.800Z,35.101,-76.786,0.0,3.6,mb_lg,,252.0,1.93354,0.9,se,se61411,2022-06-28T14:48:18.880Z,"4 km SSW of Bayboro, North Carolina",earthquake,,10.0,,,reviewed,se,se
1995-07-05T14:16:44.700Z,35.334,-84.163,10.0,3.7,mb_lg,,66.0,0.44966,0.3,se,se61441,2022-06-28T14:49:38.124Z,"12 km ESE of Tellico Plains, Tennessee",earthquake,,5.9,,,reviewed,se,se
1997-07-30T12:29:25.300Z,36.512,-83.547,23.0,3.8,mb_lg,,63.0,0.3957,0.6,se,se61526,2022-06-28T14:54:43.248Z,"6 km NNE of Tazewell, Tennessee",earthquake,,0.5,,,reviewed,se,us
1997-07-19T17:06:34.400Z,34.953,-84.811,2.8,3.5,mb_lg,,121.0,0.57557,0.3,se,se61521,2022-06-28T14:54:33.598Z,"12 km E of Cohutta, Georgia",earthquake,,0.8,,,reviewed,se,us
1998-10-21T05:56:46.900Z,37.422,-78.439,12.6,3.8,mb_lg,,142.0,1.5918,0.9,se,se61677,2022-06-28T15:00:46.053Z,"13 km S of Dillwyn, Virginia",earthquake,,2.6,,,reviewed,se,se
1998-06-17T08:00:23.900Z,35.944,-84.392,11.3,3.6,mb_lg,,94.0,0.08094,0.5,se,se61636,2022-06-28T14:58:38.595Z,"9 km SSE of Coalfield, Tennessee",earthquake,,0.3,,,reviewed,se,us
2000-01-18T22:19:32.200Z,32.92,-83.465,19.2,3.5,mb_lg,,275.0,0.49463,0.1,se,se61779,2022-06-28T15:05:04.366Z,"11 km SSE of Gray, Georgia",earthquake,,22.9,,,reviewed,se,us
2001-12-08T01:08:22.400Z,34.71,-86.231,0.0,3.9,mb_lg,,220.0,0.38671,0.4,se,se61975,2022-07-13T02:09:10.267Z,"5 km SW of Pleasant Groves, Alabama",earthquake,,1.7,,,reviewed,se,us
2003-12-09T20:59:18.700Z,37.774,-78.1,10.0,4.5,mlg,,,,,se,se605386,2022-07-12T22:21:49.818Z,"5 km ENE of Columbia, Virginia",earthquake,8.8,6.3,,,reviewed,se,se
2003-05-05T16:32:34.390Z,37.6256667,-77.9551667,12.5,3.6,mw,9.0,164.0,,0.43,se,se605353,2022-07-13T01:43:50.344Z,Virginia,earthquake,6.4,8.4,1.019,1.0,reviewed,se,se
2003-04-29T08:59:39.070Z,34.4938333,-85.6298333,19.81,4.6,mw,21.0,154.0,,0.07,se,se605341,2022-07-13T01:49:52.397Z,"8 km S of Valley Head, Alabama",earthquake,0.8,0.9,,,reviewed,se,se
2004-09-17T15:21:43.620Z,36.9328333,-84.004,1.29,3.7,mlg,23.0,96.0,,0.2,se,se605646,2022-07-13T00:59:57.796Z,"8 km ESE of Corbin, Kentucky",earthquake,2.2,6.7,0.579,2.0,reviewed,se,se
2005-08-25T03:09:41.820Z,35.8795,-82.7951667,7.87,3.7,md,25.0,87.0,,0.13,se,se605947,2022-07-13T00:33:00.121Z,"3 km ESE of Hot Springs, North Carolina",earthquake,1.8,4.7,0.419,2.0,reviewed,se,se
2006-09-25T05:44:20.270Z,34.5401667,-79.3748333,5.0,3.7,mlg,18.0,241.0,,0.21,se,se606232,2022-07-12T23:53:12.708Z,"7 km W of Rowland, North Carolina",earthquake,4.7,33.3,0.176,3.0,reviewed,se,se
2007-06-19T18:16:26.810Z,35.7925,-85.3616667,1.17,3.5,md,23.0,45.0,0.3498,0.26,se,se606532,2022-07-12T23:23:04.420Z,"10 km ENE of Spencer, Tennessee",earthquake,1.0,3.0,0.156,6.0,reviewed,se,se
2008-12-16T12:42:17.520Z,33.0881667,-80.1346667,15.39,3.6,mlg,18.0,117.0,0.04065,0.29,se,se606895,2022-07-14T22:15:25.191Z,"5 km N of Sangaree, South Carolina",earthquake,2.8,0.9,,,reviewed,se,se
