time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2005-02-08T04:47:52.400Z,-33.08,-66.6,38.4,4.3,mb,15.0,135.9,,,us,usp000dfpx,2014-11-07T01:24:57.261Z,"29 km WNW of La Punta, Argentina",earthquake,,,,1.0,reviewed,sja,us
2004-09-28T04:19:27.400Z,-28.5,-66.1,33.0,4.4,mb,29.0,120.3,,,us,usp000d570,2014-11-07T01:23:34.202Z,"16 km SE of Pomán, Argentina",earthquake,,,,8.0,reviewed,sja,us
2004-03-21T08:02:51.900Z,-31.21,-68.37,107.0,4.2,mb,32.0,78.0,,,us,usp000cqhf,2014-11-07T01:21:45.736Z,"27 km NNE of San Martín, Argentina",earthquake,,,,4.0,reviewed,sja,us
2005-08-23T19:14:07.000Z,-32.81,-68.77,10.0,4.8,mwc,70.0,41.4,,,us,usp000dxwz,2016-11-10T01:10:35.603Z,"10 km NNE of Mendoza, Argentina",earthquake,,,,,reviewed,sja,hrv
2005-06-20T06:32:09.800Z,-32.85,-68.31,10.0,4.4,mb,54.0,57.5,,,us,usp000dtgt,2014-11-07T01:26:15.726Z,"29 km NNE of San Martín, Argentina",earthquake,,,,5.0,reviewed,sja,us
2005-04-12T07:51:32.400Z,-31.01,-66.38,13.0,4.4,mb,22.0,107.3,,,us,usp000dn51,2014-11-07T01:25:34.352Z,"72 km S of Chamical, Argentina",earthquake,,,,3.0,reviewed,sja,us
2006-11-14T19:44:27.000Z,-27.6,-64.84,40.0,4.6,md,4.0,183.6,,,us,usp000exds,2014-11-07T01:30:49.103Z,"11 km S of Termas de Río Hondo, Argentina",earthquake,,,,,reviewed,sja,sja
2007-10-30T21:52:13.000Z,-31.244,-68.622,106.0,3.8,md,25.0,69.3,,,us,usp000frmt,2014-11-07T01:34:01.409Z,"23 km NNW of Albardón, Argentina",earthquake,,,,,reviewed,sja,guc
2007-10-22T21:17:47.000Z,-28.299,-65.873,31.0,4.8,mb,63.0,61.7,,,us,usp000fr2y,2014-11-07T01:33:58.497Z,"9 km S of El Rodeo, Argentina",earthquake,,,,18.0,reviewed,sja,us
2007-08-21T00:35:25.000Z,-29.649,-67.73,10.0,4.0,mb,7.0,153.5,,,us,usp000fkbc,2014-11-07T01:33:20.194Z,"58 km SSW of Chilecito, Argentina",earthquake,,,,1.0,reviewed,sja,us
2007-05-17T07:20:37.300Z,-27.948,-64.757,29.6,4.3,md,6.0,140.8,,,us,usp000fc53,2014-11-07T01:32:28.923Z,"40 km E of San Pedro de Guasayán, Argentina",earthquake,,,,,reviewed,sja,sja
2009-02-05T14:16:39.000Z,-32.904,-69.167,11.0,4.3,md,5.0,153.2,,,us,usp000gtfv,2014-11-07T01:38:20.410Z,"31 km W of Mendoza, Argentina",earthquake,,,,,reviewed,sja,sja
2008-12-10T10:53:50.000Z,-32.938,-69.259,10.0,4.1,mb,17.0,136.2,,,us,usp000gqb8,2021-10-20T18:14:05.063Z,"40 km W of Mendoza, Argentina",earthquake,,,,1.0,reviewed,sja,us
2008-10-17T02:20:13.000Z,-33.57,-68.801,10.0,3.8,md,10.0,151.1,,,us,usp000gke5,2014-11-07T01:37:29.906Z,"62 km SSW of San Martín, Argentina",earthquake,,,,,reviewed,sja,sja
2008-04-24T11:24:48.000Z,-31.276,-68.903,108.0,3.7,md,12.0,118.2,,,us,usp000g4qy,2014-11-07T01:35:42.546Z,"34 km NNW of Villa Basilio Nievas, Argentina",earthquake,,,,,reviewed,sja,sja
2008-03-17T12:14:42.000Z,-24.966,-65.316,21.0,3.5,md,12.0,91.9,,,us,usp000g1p5,2014-11-07T01:35:16.219Z,"21 km NE of El Carril, Argentina",earthquake,,,,,reviewed,sja,sja
2010-02-27T15:45:37.000Z,-24.872,-65.602,10.0,6.3,mwc,376.0,44.2,,,us,usp000h7yb,2022-07-16T03:32:42.887Z,"5 km NE of Campo Quijano, Argentina",earthquake,,,,,reviewed,sja,gcmt
2010-01-28T00:53:18.000Z,-28.909,-64.586,65.0,4.0,md,11.0,97.3,,,us,usp000h6pw,2014-11-07T01:40:34.781Z,"62 km NE of Recreo, Argentina",earthquake,,,,,reviewed,sja,sja
2009-12-26T00:42:57.000Z,-31.02,-64.43,12.0,4.0,md,6.0,109.7,,,us,usp000h5ca,2014-11-07T01:40:18.650Z,"5 km ENE of Villa Giardino, Argentina",earthquake,,,,,reviewed,sja,sja
2009-10-01T14:03:14.000Z,-31.261,-68.881,110.0,4.2,md,7.0,173.7,,,us,usp000h263,2014-11-07T01:39:49.800Z,"34 km NNW of Villa Basilio Nievas, Argentina",earthquake,,,,,reviewed,sja,sja
2009-08-12T09:07:57.000Z,-31.173,-68.043,20.0,3.8,md,6.0,166.8,,,us,usp000h08a,2014-11-07T01:39:29.947Z,"San Juan, Argentina",earthquake,,,,,reviewed,sja,sja
2009-07-10T21:39:27.000Z,-33.275,-68.62,25.0,4.1,md,12.0,254.9,,,us,usp000gz3x,2014-11-07T01:39:18.698Z,"25 km SSW of San Martín, Argentina",earthquake,,,,,reviewed,sja,sja
2009-05-28T14:47:17.000Z,-24.16,-65.056,22.0,4.0,md,6.0,189.6,,,us,usp000gxm0,2014-11-07T01:39:01.556Z,"19 km NE of Palpalá, Argentina",earthquake,,,,,reviewed,sja,sja
2011-03-09T13:24:06.000Z,-27.54,-69.09,101.0,5.2,mwc,215.0,74.4,,,us,usp000hvjv,2022-07-19T07:43:36.365Z,"Atacama, Chile",earthquake,,,,,reviewed,sja,gcmt
2011-02-20T22:25:49.000Z,-27.898,-66.575,152.0,5.0,mb,77.0,66.9,,,us,usp000hutv,2014-11-07T01:43:41.698Z,"43 km SW of Andalgalá, Argentina",earthquake,,,,24.0,reviewed,sja,us
2011-01-24T04:58:18.000Z,-24.199,-66.933,190.0,4.5,mb,50.0,96.3,,,us,usp000htk8,2014-11-07T01:43:29.150Z,"62 km W of San Antonio de los Cobres, Argentina",earthquake,,,,6.0,reviewed,sja,us
2011-01-04T22:59:10.000Z,-29.039,-69.486,110.0,5.3,mwc,258.0,49.7,,,us,usp000hskd,2022-07-19T01:57:04.424Z,"128 km WSW of Vinchina, Argentina",earthquake,,,,,reviewed,sja,gcmt
2010-12-23T13:23:39.000Z,-31.301,-68.92,118.0,4.5,md,5.0,166.7,,,us,usp000hrpu,2014-11-07T01:43:13.124Z,"32 km NNW of Villa Basilio Nievas, Argentina",earthquake,,,,,reviewed,sja,sja
2010-09-20T03:25:29.000Z,-28.085,-66.515,188.0,5.1,mwc,166.0,40.8,,,us,usp000hkz2,2016-11-10T02:33:23.419Z,"44 km NW of Pomán, Argentina",earthquake,,,,,reviewed,sja,gcmt
2010-08-30T02:02:45.000Z,-30.7,-68.977,113.0,3.8,mb,9.0,105.7,,,us,usp000hjxs,2014-11-07T01:42:18.773Z,"55 km SSW of San José de Jáchal, Argentina",earthquake,,,,3.0,reviewed,sja,us
2010-08-25T09:51:48.000Z,-31.857,-68.385,110.0,4.3,md,6.0,93.8,,,us,usp000hjrb,2014-11-07T01:42:17.832Z,"20 km S of Nueve de Julio, Argentina",earthquake,,,,,reviewed,sja,sja
2010-06-16T04:31:52.000Z,-27.4,-65.878,10.0,4.7,mb,50.0,72.8,,,us,usp000he3x,2014-11-07T01:41:41.963Z,"26 km W of Aguilares, Argentina",earthquake,,,,19.0,reviewed,sja,us
2010-06-12T23:25:54.000Z,-29.175,-68.357,5.0,4.0,md,16.0,74.3,,,us,usp000hdwq,2014-11-07T01:41:40.561Z,"48 km SSW of Vinchina, Argentina",earthquake,,,,,reviewed,sja,sja
2010-04-11T22:54:03.000Z,-31.947,-67.738,121.0,4.9,mb,136.0,72.3,,,us,usp000hb7p,2022-07-16T10:33:08.254Z,"60 km ESE of Caucete, Argentina",earthquake,,,,61.0,reviewed,sja,us
2010-03-19T04:00:41.000Z,-24.915,-65.533,10.0,4.0,md,5.0,159.4,,,us,usp000h9nx,2014-11-07T01:41:03.316Z,"10 km E of Campo Quijano, Argentina",earthquake,,,,,reviewed,sja,sja
2012-02-14T05:58:02.000Z,-32.01,-70.034,103.0,4.5,mb,47.0,103.3,,,us,usp000jex7,2014-11-07T01:47:01.062Z,"91 km ESE of Salamanca, Chile",earthquake,,,,14.0,reviewed,sja,us
2012-02-08T01:11:24.000Z,-31.685,-68.349,34.0,4.2,md,9.0,134.0,,,us,usp000jenu,2014-11-07T01:46:59.217Z,"4 km ESE of Nueve de Julio, Argentina",earthquake,,,,,reviewed,sja,sja
2012-01-19T03:58:15.000Z,-31.628,-68.739,95.0,4.6,mb,9.0,91.9,,,us,usp000jdp8,2014-11-07T01:46:48.153Z,"8 km S of Villa Basilio Nievas, Argentina",earthquake,,,,1.0,reviewed,sja,us
2011-12-31T16:15:10.000Z,-23.422,-64.402,14.0,5.3,mb,175.0,44.7,,,us,usp000jcw1,2022-04-08T20:25:11.814Z,"25 km NNE of Yuto, Argentina",earthquake,,,,122.0,reviewed,sja,us
2011-11-24T07:34:56.000Z,-29.158,-67.55,140.0,4.7,mb,66.0,55.1,,,us,usp000jbb5,2014-11-07T01:46:24.477Z,"5 km W of Chilecito, Argentina",earthquake,,,,36.0,reviewed,sja,us
