time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1998-07-06T18:26:00.400Z,41.87,22.09,18.0,4.5,mb,,,,,us,usp0008r27,2014-11-07T01:05:33.324Z,"11 km E of Sveti Nikole, North Macedonia",earthquake,,,,4.0,reviewed,sko,us
1998-05-07T09:36:40.700Z,40.78,20.68,7.0,3.7,mb,,,,,us,usp0008mmb,2014-11-07T01:05:11.142Z,"8 km NNW of Maliq, Albania",earthquake,,,,4.0,reviewed,sko,us
2000-07-09T00:01:41.300Z,41.2,20.62,15.0,3.5,mb,68.0,,,,us,usp0009w2q,2014-11-07T01:10:34.071Z,"3 km SSE of Oktisi, North Macedonia",earthquake,,,,3.0,reviewed,sko,us
2001-06-02T22:40:31.100Z,42.11,21.52,16.0,4.0,ml,78.0,,,,us,usp000afy5,2014-11-07T01:12:56.544Z,"6 km N of Cresevo, North Macedonia",earthquake,,,,,reviewed,sko,pdg
2004-02-24T08:20:46.800Z,41.96,21.55,5.0,4.3,ml,65.0,51.2,,,us,usp000cn0w,2014-11-07T01:21:26.452Z,"0 km SW of ?????????, North Macedonia",earthquake,,,,,reviewed,sko,sko
2005-11-01T19:53:34.800Z,41.1,20.4,0.0,4.2,ml,16.0,163.1,,,us,usp000e3ac,2014-11-07T01:27:33.585Z,"11 km WNW of Përrenjas-Fshat, Albania",earthquake,,,,,reviewed,sko,sko
2005-11-01T19:53:06.600Z,41.1,20.4,0.0,4.4,ml,148.0,30.9,,,us,usp000e3aa,2014-11-07T01:27:33.500Z,"11 km WNW of Përrenjas-Fshat, Albania",earthquake,,,,,reviewed,sko,sko
2005-08-01T10:42:49.000Z,41.82,21.87,15.0,3.5,md,16.0,152.2,,,us,usp000dwf2,2014-11-07T01:26:41.328Z,"4 km NW of Lozovo, North Macedonia",earthquake,,,,,reviewed,sko,ath
2005-07-30T03:50:58.500Z,41.82,21.87,15.0,3.5,md,6.0,171.3,,,us,usp000dw93,2014-11-07T01:26:36.135Z,"4 km NW of Lozovo, North Macedonia",earthquake,,,,,reviewed,sko,ath
2010-10-07T20:23:10.540Z,42.4,21.6,3.0,4.6,mb,45.0,56.7,,,us,usp000hmqw,2014-11-07T01:42:39.661Z,"8 km WNW of Rajince, Serbia",earthquake,,,,6.0,reviewed,sko,us
2012-06-08T03:44:28.180Z,41.33,20.89,7.0,4.2,mwr,126.0,19.1,,,us,usp000jmgp,2015-03-24T02:16:04.751Z,"5 km ENE of Bel?išta, North Macedonia",earthquake,,,,,reviewed,sko,us
2012-06-07T10:17:14.550Z,41.3,20.9,5.0,4.4,mwr,170.0,29.2,,,us,usp000jmfe,2015-03-24T01:30:11.279Z,"5 km E of Bel?išta, North Macedonia",earthquake,,,,,reviewed,sko,us
2015-04-06T08:50:11.900Z,42.38,21.47,1.0,3.5,ml,,,,1.65,us,us10001v62,2022-07-28T06:39:07.503Z,"3 km SE of Partesh, Kosovo",earthquake,5.3,7.7,,,reviewed,sko,sko
2016-09-12T12:19:05.710Z,42.02,21.49,1.6,3.7,ml,,,,0.81,us,us10006p1q,2016-12-07T02:56:12.040Z,"3 km ESE of Butel, North Macedonia",earthquake,4.5,7.9,,,reviewed,sko,sko
2016-09-11T04:58:01.010Z,42.0,21.51,3.7,4.0,mb,,,,0.98,us,us10006ns9,2016-12-07T02:56:10.040Z,"5 km SW of ?????????, North Macedonia",earthquake,2.2,5.5,0.196,8.0,reviewed,sko,us
