time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1983-02-08T10:54:54.970Z,43.304,-111.19,7.0,4.4,mb,,,,,us,usp0001sww,2014-11-07T00:32:39.532Z,"14 km SE of Irwin, Idaho",earthquake,,,,1.0,reviewed,slc,us
1982-10-14T23:44:54.400Z,42.596,-111.433,7.0,3.5,ml,,,,,us,usp0001q8d,2014-11-07T00:32:02.092Z,"13 km NNW of Georgetown, Idaho",earthquake,,,,,reviewed,slc,slc
1982-10-14T11:09:29.510Z,42.6,-111.44,7.0,4.1,ml,,,,,us,usp0001q7w,2014-11-07T00:32:02.041Z,"14 km NNW of Georgetown, Idaho",earthquake,,,,,reviewed,slc,slc
1982-10-14T11:03:55.060Z,42.584,-111.43,7.0,3.6,ml,,,,,us,usp0001q7v,2014-11-07T00:32:02.039Z,"12 km NNW of Georgetown, Idaho",earthquake,,,,,reviewed,slc,slc
1982-10-14T10:56:30.840Z,42.568,-111.422,7.0,3.6,ml,,,,,us,usp0001q7u,2014-11-07T00:32:02.037Z,"10 km NNW of Georgetown, Idaho",earthquake,,,,,reviewed,slc,slc
1982-10-14T10:40:15.420Z,42.581,-111.398,7.0,3.6,ml,,,,,us,usp0001q7t,2014-11-07T00:32:02.035Z,"11 km NNW of Georgetown, Idaho",earthquake,,,,,reviewed,slc,slc
1982-10-14T06:28:46.770Z,42.582,-111.426,7.0,3.9,ml,,,,,us,usp0001q7q,2014-11-07T00:32:02.028Z,"11 km NNW of Georgetown, Idaho",earthquake,,,,,reviewed,slc,slc
1982-10-14T04:10:24.380Z,42.59,-111.431,7.0,4.6,mb,,,,,us,usp0001q7j,2018-06-04T20:43:45.000Z,"12 km NNW of Georgetown, Idaho",earthquake,,,,3.0,reviewed,slc,us
1982-10-08T10:06:59.050Z,42.623,-111.473,7.0,3.8,ml,,,,,us,usp0001q3s,2014-11-07T00:32:00.271Z,"11 km ESE of Soda Springs, Idaho",earthquake,,,,,reviewed,slc,slc
1982-10-08T09:53:32.160Z,42.62,-111.469,7.0,3.5,ml,,,,,us,usp0001q3r,2014-11-07T00:32:00.265Z,"11 km ESE of Soda Springs, Idaho",earthquake,,,,,reviewed,slc,slc
1982-05-30T11:55:32.360Z,42.652,-111.226,7.0,3.6,ml,,,,,us,usp0001mkk,2014-11-07T00:31:20.770Z,"20 km WSW of Fairview, Wyoming",earthquake,,,,,reviewed,slc,slc
1982-05-30T11:06:43.490Z,42.692,-111.243,7.0,4.0,ml,,,,,us,usp0001mkj,2014-11-07T00:31:20.763Z,"21 km W of Fairview, Wyoming",earthquake,,,,,reviewed,slc,slc
1985-03-11T06:42:31.960Z,43.019,-110.852,6.3,3.6,ml,,,,,us,usp0002cqv,2014-11-07T00:36:18.324Z,"9 km ENE of Star Valley Ranch, Wyoming",earthquake,,,,,reviewed,slc,oth
1985-02-28T11:09:01.400Z,42.985,-110.82,0.7,3.5,ml,,,,,us,usp0002c9q,2014-11-07T00:36:12.149Z,"11 km E of Star Valley Ranch, Wyoming",earthquake,,,,,reviewed,slc,slc
1985-03-11T06:42:31.960Z,43.019,-110.852,6.3,3.6,ml,,,,,us,usp0002cqv,2014-11-07T00:36:18.324Z,"9 km ENE of Star Valley Ranch, Wyoming",earthquake,,,,,reviewed,slc,oth
1989-10-01T22:35:13.600Z,42.684,-111.272,0.2,3.7,ml,,,,,us,usp0004080,2014-11-07T00:44:57.448Z,"23 km W of Fairview, Wyoming",earthquake,,,,,reviewed,slc,slc
1991-02-15T07:09:22.200Z,42.817,-111.294,2.6,3.5,ml,,,,,us,usp0004mym,2014-11-07T00:48:00.113Z,southern Idaho,earthquake,,,,,reviewed,slc,gs$
2001-04-21T17:18:56.950Z,42.925,-111.395,0.8,5.3,mwc,298.0,,,,us,usp000adrg,2022-06-18T03:25:08.097Z,"29 km WSW of Freedom, Idaho",earthquake,,,,,reviewed,slc,hrv
