time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2005-02-27T13:31:25.300Z,13.067,-88.779,58.2,4.2,md,25.0,123.1,,,us,usp000dh3e,2014-11-07T01:25:04.838Z,"34 km SW of Puerto El Triunfo, El Salvador",earthquake,,,,,reviewed,snet,snet
2005-01-12T00:15:34.800Z,13.227,-89.429,58.4,3.8,md,20.0,234.7,,,us,usp000dd4g,2014-11-07T01:24:37.755Z,"31 km SSW of La Libertad, El Salvador",earthquake,,,,,reviewed,snet,snet
2004-12-14T04:40:00.000Z,13.339,-89.629,47.9,4.1,md,19.0,126.5,,,us,usp000danj,2014-11-07T01:24:16.674Z,"35 km SE of Acajutla, El Salvador",earthquake,,,,,reviewed,snet,snet
2004-10-12T21:12:51.600Z,13.232,-89.789,44.4,4.4,mb,34.0,176.4,,,us,usp000d69g,2014-11-07T01:23:44.765Z,"40 km S of Acajutla, El Salvador",earthquake,,,,10.0,reviewed,snet,us
2004-10-10T21:02:59.200Z,13.15,-89.264,59.0,3.5,md,18.0,189.8,,,us,usp000d65r,2014-11-07T01:23:44.315Z,"37 km S of La Libertad, El Salvador",earthquake,,,,,reviewed,snet,snet
2004-10-05T20:48:54.300Z,12.813,-88.635,50.0,4.7,mb,161.0,60.2,,,us,usp000d5up,2014-11-07T01:23:42.395Z,"52 km S of Puerto El Triunfo, El Salvador",earthquake,,,,42.0,reviewed,snet,us
2004-09-21T06:00:54.000Z,12.712,-88.35,38.7,4.0,mb,24.0,123.1,,,us,usp000d4s1,2014-11-07T01:23:32.064Z,"60 km SSW of Chirilagua, El Salvador",earthquake,,,,1.0,reviewed,snet,us
2004-09-05T07:14:35.300Z,13.05,-89.254,44.9,4.2,md,13.0,206.9,,,us,usp000d3jw,2014-11-07T01:23:25.601Z,"49 km S of La Libertad, El Salvador",earthquake,,,,,reviewed,snet,snet
2004-08-11T19:15:22.400Z,13.046,-89.421,34.7,4.2,ml,15.0,264.1,,,us,usp000d1ys,2014-11-07T01:23:11.233Z,"50 km SSW of La Libertad, El Salvador",earthquake,,,,,reviewed,snet,snet
2004-08-04T17:24:01.900Z,12.996,-89.436,57.9,3.5,md,10.0,267.5,,,us,usp000d1fq,2014-11-07T01:23:08.884Z,"55 km SSW of La Libertad, El Salvador",earthquake,,,,,reviewed,snet,snet
2004-07-07T13:11:20.600Z,13.612,-90.238,62.3,3.5,md,21.0,127.9,,,us,usp000czqk,2014-11-07T01:22:51.736Z,"35 km SW of San Francisco Menéndez, El Salvador",earthquake,,,,,reviewed,snet,snet
