time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2006-11-22T18:43:24.600Z,41.79,22.37,8.0,3.7,md,24.0,132.7,,,us,usp000eyk1,2014-11-07T01:30:55.856Z,"9 km SW of Zrnovci, North Macedonia",earthquake,,,,,reviewed,sof,ath
2006-07-17T16:51:47.100Z,42.15,25.13,16.0,3.7,md,12.0,83.6,,,us,usp000envf,2014-11-07T01:29:42.107Z,"9 km NW of Parvomay, Bulgaria",earthquake,,,,,reviewed,sof,ath
2010-08-21T02:35:00.160Z,42.35,26.15,0.0,4.1,ml,25.0,124.5,,,us,usp000hjhx,2014-11-07T01:42:16.418Z,"18 km SE of Nova Zagora, Bulgaria",earthquake,,,,,reviewed,sof,the
2012-05-29T07:23:32.000Z,42.68,22.96,14.7,4.5,mb,57.0,27.5,,,us,usp000jm2p,2015-03-24T02:07:25.534Z,"8 km SSE of Breznik, Bulgaria",earthquake,,,,6.0,reviewed,sof,us
2012-05-23T21:59:15.150Z,42.58,23.13,15.0,4.0,mb,93.0,21.0,,,us,usp000jkuf,2015-03-24T01:54:56.701Z,"8 km ESE of Pernik, Bulgaria",earthquake,,,,2.0,reviewed,sof,us
2012-05-22T02:13:29.510Z,42.6,23.1,14.0,4.5,mb,123.0,24.0,,,us,usp000jks2,2015-03-24T02:05:00.161Z,"5 km E of Pernik, Bulgaria",earthquake,,,,11.0,reviewed,sof,us
2012-05-22T01:30:50.870Z,42.57,23.01,6.6,4.6,mwr,281.0,21.4,,,us,usp000jks0,2015-03-24T02:01:27.825Z,"3 km SSW of Pernik, Bulgaria",earthquake,,,,,reviewed,sof,us
2013-07-27T03:21:54.900Z,41.91,23.2,2.0,4.1,mb,31.0,100.0,,,us,usc000iqeu,2022-07-25T19:14:51.966Z,"7 km ENE of Simitli, Bulgaria",earthquake,,,,7.0,reviewed,sof,us
2013-07-27T01:24:24.690Z,41.94,23.2,2.0,4.0,mb,19.0,100.0,,,us,usc000iqd2,2014-11-07T01:51:20.551Z,"9 km NE of Simitli, Bulgaria",earthquake,,,,4.0,reviewed,sof,us
2015-04-02T02:27:07.100Z,42.19,26.32,5.0,4.0,mb,,,,2.01,us,us10001t4w,2015-06-16T01:00:23.040Z,"11 km N of Topolovgrad, Bulgaria",earthquake,3.3,5.2,0.298,3.0,reviewed,sof,us
