time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1998-12-30T18:21:24.040Z,43.09,-1.02,2.0,3.6,ml,,,,,us,usp00090d2,2014-11-07T01:06:42.540Z,"18 km SW of Mauléon-Licharre, France",earthquake,,,,,reviewed,str,str
1998-10-30T08:42:20.180Z,43.42,5.46,1.0,3.6,ml,,,,,us,usp0008x9s,2014-11-07T01:06:18.593Z,"2 km ESE of Simiane-Collongue, France",earthquake,,,,,reviewed,str,str
2000-02-18T10:24:23.100Z,43.07,0.14,10.0,3.5,mb,,,,,us,usp0009nmk,2014-11-07T01:09:31.493Z,"0 km NW of Bagnères-de-Bigorre, France",earthquake,,,,1.0,reviewed,str,us
1999-11-30T13:15:33.640Z,43.24,-0.63,10.0,3.6,ml,,,,,us,usp0009jbb,2014-11-07T01:09:01.725Z,"2 km NNW of Ledeuix, France",earthquake,,,,,reviewed,str,ldg
1999-10-06T16:26:46.430Z,50.06,0.27,1.0,4.6,ml,,,,,us,usp0009fh8,2014-11-07T01:08:40.528Z,"34 km NNW of Fécamp, France",earthquake,,,,,reviewed,str,str
1999-09-11T01:12:57.500Z,49.48,6.69,2.0,4.0,ml,,,,,us,usp0009ea7,2014-11-07T01:08:28.062Z,"4 km SSE of Britten, Germany",earthquake,,,,,reviewed,str,ldg
1999-08-28T15:03:14.750Z,45.26,6.48,2.0,3.6,ml,,,,,us,usp0009drr,2014-11-07T01:08:21.008Z,"4 km NNE of Saint-Michel-de-Maurienne, France",earthquake,,,,,reviewed,str,ldg
1999-08-23T22:30:30.720Z,42.65,0.47,5.0,3.7,ml,,,,,us,usp0009dj2,2014-11-07T01:08:19.567Z,"6 km NW of Benasque, Spain",earthquake,,,,,reviewed,str,ldg
1999-05-14T18:25:30.670Z,46.81,7.94,5.0,4.2,ml,,,,,us,usp00097yu,2014-11-07T01:07:40.494Z,"9 km NW of Brienz, Switzerland",earthquake,,,,,reviewed,str,grf
2001-01-05T09:22:51.480Z,43.06,-0.26,10.0,3.6,ml,46.0,,,,us,usp000a75p,2014-11-07T01:11:52.115Z,"8 km SSW of Lestelle-Bétharram, France",earthquake,,,,,reviewed,str,ldg
2000-05-29T06:32:44.200Z,42.58,1.04,10.0,3.6,ml,,,,,us,usp0009tm0,2014-11-07T01:10:12.182Z,"3 km W of Espot, Spain",earthquake,,,,,reviewed,str,str
2000-04-06T00:43:19.160Z,47.33,7.17,8.0,3.5,ml,,,,,us,usp0009qvu,2014-11-07T01:09:51.852Z,"2 km WSW of Glovelier, Switzerland",earthquake,,,,,reviewed,str,ldg
2001-12-12T12:10:52.330Z,43.11,-1.05,9.0,3.5,ml,55.0,,,,us,usp000aufs,2014-11-07T01:14:28.063Z,"16 km ESE of Saint-Jean-Pied-de-Port, France",earthquake,,,,,reviewed,str,str
2001-06-08T13:26:52.820Z,46.69,-0.99,12.0,5.0,mb,188.0,,,,us,usp000ag8y,2020-09-18T18:23:40.256Z,France,earthquake,,,,2.0,reviewed,str,us
2001-06-03T16:53:44.940Z,47.01,-0.75,10.0,3.5,ml,29.0,,,,us,usp000afz9,2014-11-07T01:12:57.943Z,"0 km W of Maulévrier, France",earthquake,,,,,reviewed,str,ldg
2001-06-02T23:02:50.230Z,42.28,1.92,5.0,3.9,ml,92.0,,,,us,usp000afy6,2014-11-07T01:12:56.572Z,"5 km ENE of Bagà, Spain",earthquake,,,,,reviewed,str,str
