time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2000-01-21T01:36:24.900Z,24.06,121.41,7.6,4.5,ml,,,,,us,usp0009mee,2014-11-07T01:09:21.123Z,Taiwan,earthquake,,,,,reviewed,tap,tap
1999-11-11T15:25:58.900Z,23.13,120.5,13.1,4.5,ml,,,,,us,usp0009hd7,2014-11-07T01:08:57.121Z,"3 km E of Yujing, Taiwan",earthquake,,,,,reviewed,tap,tap
1999-10-30T08:30:38.000Z,24.04,121.3,13.9,4.3,mb,,,,,us,usp0009gtp,2014-11-07T01:08:47.272Z,"31 km WNW of Hualien City, Taiwan",earthquake,,,,1.0,reviewed,tap,us
1999-10-21T00:30:05.500Z,23.98,120.67,11.6,4.4,ml,,,,,us,usp0009gb0,2014-11-07T01:08:45.170Z,"2 km NNW of Zhongxing New Village, Taiwan",earthquake,,,,,reviewed,tap,tap
1999-10-08T01:51:45.200Z,24.05,121.45,21.6,3.9,mb,,,,,us,usp0009fjx,2014-11-07T01:08:40.818Z,"17 km WNW of Hualien City, Taiwan",earthquake,,,,1.0,reviewed,tap,us
1999-10-03T05:52:25.400Z,23.56,120.88,8.5,4.9,ml,,,,,us,usp0009fcd,2014-11-07T01:08:39.362Z,"24 km SSE of Lugu, Taiwan",earthquake,,,,,reviewed,tap,tap
1999-09-30T09:28:14.600Z,23.57,120.89,8.7,4.3,mb,,,,,us,usp0009f7e,2014-11-07T01:08:33.820Z,"24 km SE of Lugu, Taiwan",earthquake,,,,1.0,reviewed,tap,us
1999-09-23T21:39:03.000Z,23.98,121.38,16.1,5.0,mb,,,,,us,usp0009exq,2014-11-07T01:08:31.526Z,"22 km W of Hualien City, Taiwan",earthquake,,,,21.0,reviewed,tap,us
1999-09-23T18:50:39.300Z,23.62,120.8,2.5,4.1,mb,,,,,us,usp0009exf,2014-11-07T01:08:31.514Z,"14 km SSE of Lugu, Taiwan",earthquake,,,,1.0,reviewed,tap,us
1999-09-23T05:42:49.500Z,23.97,120.99,21.1,4.5,mb,,,,,us,usp0009ewf,2014-11-07T01:08:31.423Z,"2 km E of Puli, Taiwan",earthquake,,,,12.0,reviewed,tap,us
1999-09-23T00:46:04.300Z,24.21,121.21,20.4,4.8,mb,,,,,us,usp0009ew4,2014-11-07T01:08:31.398Z,"36 km NE of Puli, Taiwan",earthquake,,,,10.0,reviewed,tap,us
1999-09-21T17:38:36.800Z,23.81,121.32,13.7,5.2,mb,,,,,us,usp0009etx,2014-11-07T01:08:31.051Z,"34 km WSW of Hualien City, Taiwan",earthquake,,,,44.0,reviewed,tap,us
2000-09-30T16:03:13.200Z,23.98,121.61,10.5,4.7,ml,5.0,,,,us,usp000a11z,2014-11-07T01:11:08.409Z,"0 km ENE of Hualien City, Taiwan",earthquake,,,,,reviewed,tap,tap
2000-09-29T23:41:24.200Z,23.07,120.84,11.0,4.5,ml,14.0,,,,us,usp000a10w,2014-11-07T01:11:08.336Z,"39 km E of Yujing, Taiwan",earthquake,,,,,reviewed,tap,tap
2000-07-07T10:17:48.100Z,24.07,121.72,2.2,4.5,mb,15.0,,,,us,usp0009vzp,2014-11-07T01:10:33.185Z,"15 km NE of Hualien City, Taiwan",earthquake,,,,2.0,reviewed,tap,us
2000-07-07T05:35:47.400Z,24.05,121.61,31.6,4.4,ml,5.0,,,,us,usp0009vz4,2014-11-07T01:10:32.997Z,"8 km N of Hualien City, Taiwan",earthquake,,,,,reviewed,tap,tap
2000-04-29T07:46:55.600Z,24.25,121.17,3.0,4.5,mb,,,,,us,usp0009s1v,2014-11-07T01:09:57.632Z,"37 km NNE of Puli, Taiwan",earthquake,,,,2.0,reviewed,tap,us
2003-12-14T23:16:40.300Z,24.34,121.02,11.1,4.2,mb,9.0,147.9,,,us,usp000cf9t,2014-11-07T01:20:45.243Z,"40 km ENE of Taichung, Taiwan",earthquake,,,,1.0,reviewed,tap,us
2005-02-22T06:33:10.600Z,24.83,121.82,84.1,3.9,mb,8.0,140.6,,,us,usp000dgqg,2014-11-07T01:25:02.531Z,"10 km NE of Yilan, Taiwan",earthquake,,,,1.0,reviewed,tap,us
