time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2005-03-01T16:13:50.300Z,30.907,56.776,8.2,4.4,mb,53.0,124.1,,,us,usp000dha5,2014-11-07T01:25:08.723Z,"22 km ENE of Zarand, Iran",earthquake,,,,13.0,reviewed,teh,us
2005-02-27T09:05:32.200Z,30.882,56.73,10.0,3.9,mblg,10.0,268.1,,,us,usp000dh33,2014-11-07T01:25:04.810Z,"17 km ENE of Zarand, Iran",earthquake,,,,,reviewed,teh,teh
2005-02-27T01:38:58.600Z,32.324,49.325,8.6,4.7,mb,138.0,64.7,,,us,usp000dh20,2014-11-07T01:25:04.306Z,"43 km N of Masjed Soleym?n, Iran",earthquake,,,,47.0,reviewed,teh,us
2005-02-27T01:34:20.000Z,32.199,49.3,10.0,4.4,mb,107.0,66.2,,,us,usp000dh1z,2014-11-07T01:25:04.295Z,"29 km N of Masjed Soleym?n, Iran",earthquake,,,,38.0,reviewed,teh,us
2005-02-26T20:20:16.800Z,32.045,56.322,10.0,4.3,mb,79.0,94.5,,,us,usp000dh1h,2014-11-07T01:25:04.251Z,"97 km NNW of R?var, Iran",earthquake,,,,13.0,reviewed,teh,us
2005-02-14T02:05:10.000Z,30.027,51.73,6.3,4.3,mb,25.0,134.3,,,us,usp000dg3a,2014-11-07T01:24:59.388Z,"22 km ESE of N?r?b?d, Iran",earthquake,,,,1.0,reviewed,teh,us
2005-02-12T21:26:41.100Z,27.569,54.103,10.0,3.6,mblg,26.0,161.5,,,us,usp000dg0c,2014-11-07T01:24:59.048Z,"11 km SSW of Ger?sh, Iran",earthquake,,,,,reviewed,teh,teh
2005-02-10T03:07:22.600Z,35.507,56.69,15.5,4.2,mb,33.0,90.6,,,us,usp000dfu0,2014-11-07T01:24:57.890Z,"118 km SW of Sabzevar, Iran",earthquake,,,,2.0,reviewed,teh,us
2004-12-17T20:08:06.700Z,36.323,58.312,11.9,3.6,mb,30.0,92.5,,,us,usp000dawz,2014-11-07T01:24:18.640Z,"45 km WNW of Neysh?b?r, Iran",earthquake,,,,2.0,reviewed,teh,us
2004-12-12T11:20:08.200Z,35.826,57.907,5.2,4.3,mb,75.0,91.6,,,us,usp000dahn,2014-11-07T01:24:16.079Z,"47 km SSE of Sabzevar, Iran",earthquake,,,,23.0,reviewed,teh,us
2004-12-10T03:30:56.600Z,27.634,53.749,8.4,3.8,mb,26.0,179.2,,,us,usp000dadc,2014-11-07T01:24:15.546Z,"38 km W of Ger?sh, Iran",earthquake,,,,3.0,reviewed,teh,us
2004-10-17T21:31:07.400Z,35.608,49.155,21.0,4.6,mb,64.0,85.0,,,us,usp000d6jw,2014-11-07T01:23:46.691Z,"60 km S of Abhar, Iran",earthquake,,,,14.0,reviewed,teh,us
2006-03-07T02:19:02.900Z,30.748,56.841,16.7,4.3,mblg,20.0,169.0,,,us,usp000ebkd,2014-11-07T01:28:29.129Z,"27 km ESE of Zarand, Iran",earthquake,,,,,reviewed,teh,teh
2006-03-03T06:58:06.800Z,27.899,51.759,7.7,4.0,mb,38.0,145.2,,,us,usp000eb90,2014-11-07T01:28:27.496Z,Persian Gulf,earthquake,,,,4.0,reviewed,teh,us
2006-02-28T22:58:22.800Z,28.21,53.94,34.0,4.4,mb,96.0,93.0,,,us,usp000eb2d,2014-11-07T01:28:22.977Z,"62 km NNW of Ger?sh, Iran",earthquake,,,,31.0,reviewed,teh,us
2006-02-28T20:01:41.000Z,28.27,56.68,15.0,4.5,mb,63.0,209.6,,,us,usp000eb26,2014-11-07T01:28:22.950Z,"112 km S of K?h Sef?d, Iran",earthquake,,,,44.0,reviewed,teh,us
2006-02-28T19:29:20.000Z,28.102,56.754,20.8,3.8,mblg,18.0,236.9,,,us,usp000eb22,2014-11-07T01:28:22.942Z,"111 km NNE of Bandar Abbas, Iran",earthquake,,,,,reviewed,teh,teh
2006-02-28T18:06:10.000Z,28.86,51.24,12.0,4.0,mb,39.0,177.2,,,us,usp000eb1x,2014-11-07T01:28:22.931Z,"41 km ESE of Bushehr, Iran",earthquake,,,,10.0,reviewed,teh,us
2006-02-28T10:40:15.400Z,28.059,57.046,22.1,3.6,ml,10.0,211.9,,,us,usp000eb1h,2014-11-07T01:28:22.895Z,"102 km N of M?n?b, Iran",earthquake,,,,,reviewed,teh,thr
2006-02-22T23:19:25.400Z,36.11,50.41,15.0,4.1,ml,16.0,151.6,,,us,usp000eamt,2014-11-07T01:28:21.151Z,"13 km WNW of ?byek, Iran",earthquake,,,,,reviewed,teh,teh
