time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1998-08-20T10:43:27.610Z,38.554,22.975,3.0,3.6,mb,,,,,us,usp0008tjw,2014-11-07T01:05:51.501Z,"6 km N of Orchomenós, Greece",earthquake,,,,1.0,reviewed,the,us
1998-08-16T01:40:12.530Z,39.386,20.803,4.0,3.6,ml,,,,,us,usp0008tbc,2014-11-07T01:05:49.222Z,"7 km N of Pappadátes, Greece",earthquake,,,,,reviewed,the,the
1998-05-22T16:22:21.410Z,38.495,23.428,19.5,3.7,mb,,,,,us,usp0008njr,2014-11-07T01:05:15.287Z,"2 km NW of Loukísia, Greece",earthquake,,,,1.0,reviewed,the,us
2000-03-10T09:01:34.950Z,41.01,20.298,0.0,4.3,mb,,,,,us,usp0009ph3,2014-11-07T01:09:40.525Z,Albania-Macedonia border region,earthquake,,,,7.0,reviewed,the,us
2000-03-08T09:57:22.790Z,38.285,21.905,0.0,4.3,mb,,,,,us,usp0009pe7,2014-11-07T01:09:40.056Z,"6 km ENE of Áno Kastrítsi, Greece",earthquake,,,,14.0,reviewed,the,us
1999-11-24T03:38:54.470Z,39.611,20.587,15.0,4.8,mb,,,,,us,usp0009j1b,2014-11-07T01:08:59.821Z,"16 km SW of Rodotópi, Greece",earthquake,,,,32.0,reviewed,the,us
1999-11-23T00:47:51.760Z,42.065,25.165,3.8,4.5,ml,,,,,us,usp0009hzw,2014-11-07T01:08:59.666Z,"5 km SW of Parvomay, Bulgaria",earthquake,,,,,reviewed,the,the
2001-03-09T21:44:13.620Z,37.773,20.759,2.0,3.7,ml,42.0,,,,us,usp000ab5u,2014-11-07T01:12:19.771Z,"6 km S of Katastárion, Greece",earthquake,,,,,reviewed,the,ath
2001-02-23T21:47:31.300Z,40.101,21.889,1.0,3.6,mb,45.0,,,,us,usp000aa7d,2014-11-07T01:12:11.263Z,"8 km NNW of Livaderó, Greece",earthquake,,,,1.0,reviewed,the,us
2001-02-23T12:34:00.040Z,40.098,21.602,2.0,3.5,mb,28.0,,,,us,usp000aa6m,2014-11-07T01:12:11.199Z,"14 km E of Grevená, Greece",earthquake,,,,1.0,reviewed,the,us
2001-02-17T10:19:22.410Z,40.491,25.755,6.0,3.9,md,31.0,,,,us,usp000a9ss,2014-11-07T01:12:09.710Z,"19 km E of Samothráki, Greece",earthquake,,,,,reviewed,the,ath
2001-02-14T06:36:26.350Z,39.314,20.335,0.0,4.5,mb,142.0,,,,us,usp000a9ma,2014-11-07T01:12:08.460Z,"6 km WNW of Párga, Greece",earthquake,,,,36.0,reviewed,the,us
2001-02-09T20:28:15.840Z,38.379,22.085,0.0,3.5,md,33.0,,,,us,usp000a9cd,2014-11-07T01:12:07.303Z,"11 km NE of Kamárai, Greece",earthquake,,,,,reviewed,the,ath
2001-01-24T05:19:43.640Z,39.574,26.149,10.0,4.0,ml,38.0,,,,us,usp000a89m,2014-11-07T01:11:58.486Z,"18 km WNW of Behram, Turkey",earthquake,,,,,reviewed,the,ath
2001-01-13T08:57:33.360Z,39.8,19.931,0.0,3.6,md,15.0,,,,us,usp000a7kp,2014-11-07T01:11:55.402Z,"6 km WNW of Ksamil, Albania",earthquake,,,,,reviewed,the,ath
2001-01-12T12:12:30.310Z,38.149,23.8,14.0,3.5,md,34.0,,,,us,usp000a7jf,2014-11-07T01:11:55.267Z,"2 km NNE of Varybóbi, Greece",earthquake,,,,,reviewed,the,ath
2000-12-08T06:29:08.060Z,39.366,24.917,2.0,3.5,ml,20.0,,,,us,usp000a5q1,2014-11-07T01:11:41.708Z,"57 km SSW of Mýrina, Greece",earthquake,,,,,reviewed,the,ath
