time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2005-03-13T06:34:49.600Z,30.73,50.04,34.0,4.0,mb,44.0,72.1,,,us,usp000dj3d,2014-11-07T01:25:13.874Z,"20 km E of Aghajari, Iran",earthquake,,,,2.0,reviewed,thr,us
2005-03-06T09:02:52.600Z,30.76,56.77,14.1,4.4,mb,54.0,61.8,,,us,usp000dhnd,2014-11-07T01:25:11.694Z,"20 km ESE of Zarand, Iran",earthquake,,,,14.0,reviewed,thr,us
2005-03-04T03:42:41.000Z,30.79,56.75,14.0,4.1,mb,39.0,62.8,,,us,usp000dhft,2014-11-07T01:25:10.611Z,"17 km E of Zarand, Iran",earthquake,,,,2.0,reviewed,thr,us
2006-03-11T21:33:39.500Z,28.155,56.831,15.0,4.9,mb,128.0,94.1,,,us,usp000ebz5,2022-05-02T15:26:33.079Z,"116 km NNW of M?n?b, Iran",earthquake,,,,79.0,reviewed,thr,us
2006-03-11T21:10:12.900Z,27.18,57.18,41.4,3.7,mb,11.0,232.2,,,us,usp000ebz4,2014-11-07T01:28:30.865Z,"10 km ENE of M?n?b, Iran",earthquake,,,,2.0,reviewed,thr,us
2006-03-10T09:41:47.400Z,28.17,56.8,14.1,4.5,mb,45.0,102.9,,,us,usp000ebvk,2014-11-07T01:28:30.426Z,"118 km NNW of M?n?b, Iran",earthquake,,,,22.0,reviewed,thr,us
2006-03-06T03:09:44.800Z,28.18,56.79,27.1,3.8,ml,26.0,148.5,,,us,usp000ebh8,2014-11-07T01:28:28.899Z,"119 km NNW of M?n?b, Iran",earthquake,,,,,reviewed,thr,thr
2006-03-02T12:16:43.400Z,28.21,56.76,15.5,4.3,mb,49.0,145.6,,,us,usp000eb5z,2014-11-07T01:28:26.603Z,"118 km S of K?h Sef?d, Iran",earthquake,,,,15.0,reviewed,thr,us
2006-03-02T04:03:39.500Z,31.96,49.06,19.0,4.6,mb,82.0,67.1,,,us,usp000eb56,2014-11-07T01:28:26.053Z,"22 km ESE of Sh?shtar, Iran",earthquake,,,,24.0,reviewed,thr,us
2006-03-01T17:15:45.900Z,28.16,56.74,14.0,3.7,ml,19.0,146.9,,,us,usp000eb45,2014-11-07T01:28:25.616Z,"117 km NNE of Bandar Abbas, Iran",earthquake,,,,,reviewed,thr,thr
2006-03-01T02:32:35.200Z,28.15,56.99,18.0,3.8,ml,37.0,188.6,,,us,usp000eb2s,2014-11-07T01:28:24.785Z,"113 km N of M?n?b, Iran",earthquake,,,,,reviewed,thr,thr
2006-02-28T21:39:57.800Z,28.24,56.78,25.2,4.0,mb,35.0,145.2,,,us,usp000eb2b,2014-11-07T01:28:22.971Z,"114 km S of K?h Sef?d, Iran",earthquake,,,,11.0,reviewed,thr,us
2006-02-28T08:02:11.600Z,28.12,56.79,28.4,4.1,mb,38.0,151.5,,,us,usp000eb1a,2014-11-07T01:28:22.870Z,"113 km NNW of M?n?b, Iran",earthquake,,,,13.0,reviewed,thr,us
2006-02-27T08:56:21.600Z,28.23,54.03,14.1,4.4,mb,55.0,95.3,,,us,usp000eazc,2014-11-07T01:28:22.636Z,"62 km N of Ger?sh, Iran",earthquake,,,,13.0,reviewed,thr,us
2006-02-27T08:02:11.900Z,26.76,55.8,14.1,4.2,mb,33.0,227.8,,,us,usp000eazb,2014-11-07T01:28:22.619Z,"51 km WSW of Qeshm, Iran",earthquake,,,,6.0,reviewed,thr,us
2006-02-21T08:09:23.100Z,27.36,55.78,15.0,4.0,mb,24.0,207.6,,,us,usp000eagw,2014-11-07T01:28:20.710Z,"53 km WNW of Bandar Abbas, Iran",earthquake,,,,8.0,reviewed,thr,us
