time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1998-03-13T08:12:33.190Z,10.768,-62.41,50.0,3.5,md,,,,,us,usp0008hdt,2014-11-07T01:04:45.571Z,"24 km NNW of Güiria, Venezuela",earthquake,,,,,reviewed,trn,trn
1998-02-15T21:39:11.760Z,10.788,-59.359,159.0,3.5,md,,,,,us,usp0008g1r,2014-11-07T01:04:33.183Z,"156 km ESE of Scarborough, Trinidad and Tobago",earthquake,,,,,reviewed,trn,trn
1998-02-12T09:49:55.320Z,14.627,-60.909,174.0,3.8,md,,,,,us,usp0008fvh,2014-11-07T01:04:32.286Z,"1 km NNW of Le François, Martinique",earthquake,,,,,reviewed,trn,trn
1998-01-18T13:48:46.200Z,13.617,-60.156,96.0,3.8,md,,,,,us,usp0008ek8,2014-11-07T01:04:21.097Z,"68 km NW of Speightstown, Barbados",earthquake,,,,,reviewed,trn,trn
1998-01-18T02:41:59.640Z,10.742,-62.497,29.0,3.9,md,,,,,us,usp0008ej8,2014-11-07T01:04:21.006Z,"28 km NW of Güiria, Venezuela",earthquake,,,,,reviewed,trn,trn
1999-03-01T22:07:58.180Z,13.635,-60.848,38.0,3.8,md,,,,,us,usp00093pt,2014-11-07T01:07:08.416Z,"14 km SE of Vieux Fort, Saint Lucia",earthquake,,,,,reviewed,trn,trn
1999-02-23T17:19:53.430Z,10.95,-61.906,50.0,3.6,md,,,,,us,usp00093a3,2014-11-07T01:07:04.219Z,"48 km NW of Petit Valley, Trinidad and Tobago",earthquake,,,,,reviewed,trn,trn
1999-02-18T16:42:03.880Z,11.492,-60.491,3.0,3.9,mb,,,,,us,usp0009315,2014-11-07T01:07:02.665Z,"43 km NE of Scarborough, Trinidad and Tobago",earthquake,,,,1.0,reviewed,trn,us
1999-01-24T00:42:35.910Z,11.219,-60.61,15.0,3.6,md,,,,,us,usp00091m1,2014-11-07T01:06:51.032Z,"14 km ENE of Scarborough, Trinidad and Tobago",earthquake,,,,,reviewed,trn,trn
1999-01-04T06:18:35.840Z,11.023,-61.872,36.0,3.6,md,,,,,us,usp00090kt,2014-11-07T01:06:46.249Z,"50 km NW of Petit Valley, Trinidad and Tobago",earthquake,,,,,reviewed,trn,trn
1999-01-03T04:56:19.090Z,11.538,-60.133,60.0,3.7,md,,,,,us,usp00090jd,2014-11-07T01:06:45.936Z,"76 km ENE of Scarborough, Trinidad and Tobago",earthquake,,,,,reviewed,trn,trn
1999-01-01T21:52:05.930Z,11.249,-61.7,22.0,3.6,md,,,,,us,usp00090gy,2014-11-07T01:06:45.600Z,"63 km NNW of Petit Valley, Trinidad and Tobago",earthquake,,,,,reviewed,trn,trn
1998-12-22T16:00:16.890Z,15.655,-61.048,103.0,3.7,md,,,,,us,usp000900v,2014-11-07T01:06:41.252Z,"28 km ENE of Marigot, Dominica",earthquake,,,,,reviewed,trn,trn
