time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1987-12-08T01:42:40.300Z,36.055,-98.024,5.0,3.7,mblg,,,,,us,usp0003b2c,2014-11-07T00:41:21.878Z,"12 km NE of Loyal, Oklahoma",earthquake,,,,,reviewed,tul,us
1990-11-15T11:44:41.400Z,34.76,-97.59,5.0,3.9,mblg,,,,,us,usp0004gz5,2014-11-07T00:47:26.962Z,"5 km SSE of Erin Springs, Oklahoma",earthquake,,,,,reviewed,tul,tul
1995-09-15T00:31:33.260Z,36.87,-98.69,5.0,4.1,mblg,,,,,us,usp00073d2,2014-11-07T00:58:44.109Z,"7 km NNW of Alva, Oklahoma",earthquake,,,,,reviewed,tul,gs$
1998-10-30T17:41:22.200Z,36.8,-97.6,5.0,3.5,mblg,,,,,us,usp0008xac,2014-11-07T01:06:18.659Z,"7 km W of Deer Creek, Oklahoma",earthquake,,,,,reviewed,tul,tul
2002-02-08T16:07:13.600Z,34.727,-98.361,5.0,3.8,mblg,32.0,,,,us,usp000ay1d,2022-07-13T02:07:27.603Z,"8 km SW of Elgin, Oklahoma",earthquake,,,,,reviewed,tul,tul
2010-11-28T03:28:43.000Z,35.612,-97.242,2.5,3.5,mblg,29.0,74.5,,,us,usp000hq85,2014-11-07T01:42:58.775Z,"6 km NE of Jones, Oklahoma",earthquake,,,,,reviewed,tul,us
2010-11-24T22:48:30.000Z,35.612,-97.246,5.0,3.9,mwr,70.0,39.8,,,us,usp000hq2d,2022-08-08T19:08:03.378Z,"6 km NE of Jones, Oklahoma",earthquake,,,,,reviewed,tul,us
2010-10-13T14:06:30.000Z,35.192,-97.32,13.0,4.4,mwc,152.0,26.9,,,us,usp000hn24,2022-12-16T20:11:59.059Z,"8 km NE of Noble, Oklahoma",earthquake,,,,,reviewed,tul,gcmt
2010-09-19T22:01:47.000Z,35.611,-97.246,5.0,3.5,mwr,42.0,38.6,,,us,usp000hkyn,2022-08-08T19:03:06.250Z,"6 km NE of Jones, Oklahoma",earthquake,,,,,reviewed,tul,us
2011-12-31T08:07:17.000Z,35.391,-96.52,5.0,3.6,ml,59.0,33.8,,,us,usp000jcvt,2022-08-08T20:27:21.469Z,"8 km NW of Cromwell, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-12-25T14:10:41.000Z,35.398,-96.53,5.0,3.6,ml,46.0,44.0,,,us,usp000jcmu,2022-08-08T20:25:29.340Z,"9 km NW of Cromwell, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-08T19:05:18.000Z,35.526,-96.77,3.0,3.5,mwr,92.0,23.5,,,us,usp000jakf,2022-08-08T20:01:28.797Z,"8 km WNW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,us
2011-11-08T02:46:57.000Z,35.531,-96.788,5.0,4.8,mwr,342.0,19.2,,,us,usp000jajb,2022-08-08T19:59:27.804Z,"9 km SSE of Sparks, Oklahoma",earthquake,,,,,reviewed,tul,us
2011-11-06T15:07:07.000Z,35.484,-96.856,5.0,3.8,mwr,60.0,34.1,,,us,usp000jafa,2022-08-08T19:48:20.402Z,"4 km ESE of Meeker, Oklahoma",earthquake,,,,,reviewed,tul,us
2011-11-06T10:52:35.000Z,35.537,-96.779,3.1,3.6,mwr,62.0,33.9,,,us,usp000jaex,2022-08-08T19:52:18.495Z,"8 km SSE of Sparks, Oklahoma",earthquake,,,,,reviewed,tul,us
2011-11-06T09:39:57.000Z,35.469,-96.865,5.0,3.7,mwr,71.0,33.2,,,us,usp000jaep,2022-08-08T19:51:21.355Z,"5 km SE of Meeker, Oklahoma",earthquake,,,,,reviewed,tul,us
2011-11-06T09:22:04.000Z,35.485,-96.844,5.0,3.5,ml,38.0,34.5,,,us,usp000jaek,2017-06-26T21:35:18.716Z,"5 km ESE of Meeker, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-06T06:31:11.000Z,35.479,-96.859,5.0,3.7,mwr,55.0,34.1,,,us,usp000jadz,2022-08-08T19:49:25.193Z,"4 km SE of Meeker, Oklahoma",earthquake,,,,,reviewed,tul,slm
2011-11-06T04:31:50.000Z,35.522,-96.776,5.0,3.9,ml,46.0,34.1,,,us,usp000jadu,2014-11-07T01:46:18.316Z,"9 km WNW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-06T04:03:42.000Z,35.521,-96.771,5.0,4.0,ml,17.0,69.2,,,us,usp000jadq,2017-03-22T15:43:57.487Z,"8 km WNW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-06T03:53:10.000Z,35.532,-96.765,5.2,5.7,mww,474.0,17.1,,,us,usp000jadn,2022-08-07T11:15:35.953Z,"8 km NW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,us
2011-11-05T14:36:30.380Z,35.518,-96.778,5.0,3.6,ml,49.0,58.5,,,us,usp000jack,2022-08-08T19:47:07.305Z,"9 km WNW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-05T07:12:45.000Z,35.55,-96.764,3.1,4.8,mwr,322.0,17.2,,,us,usp000jac0,2022-08-08T19:41:52.429Z,"8 km SE of Sparks, Oklahoma",earthquake,,,,,reviewed,tul,us
2013-01-04T01:59:20.000Z,35.38,-96.515,5.0,3.5,mwr,73.0,32.8,,,us,usp000jxsv,2022-08-08T21:25:24.791Z,"6 km NW of Cromwell, Oklahoma",earthquake,,,,,reviewed,tul,slm
