time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2009-01-13T03:37:39.700Z,10.303,-84.2,0.1,4.5,ml,15.0,73.5,,,us,usp000gshm,2014-11-07T01:38:11.709Z,"11 km NE of Río Segundo, Costa Rica",earthquake,,,,,reviewed,ucr,ucr
2009-01-13T02:23:28.500Z,10.222,-84.231,4.6,4.2,ml,10.0,93.0,,,us,usp000gshk,2014-11-07T01:38:11.707Z,"5 km ESE of Río Segundo, Costa Rica",earthquake,,,,,reviewed,ucr,ucr
2008-12-16T04:53:37.000Z,9.558,-84.215,44.8,5.0,md,22.0,119.1,,,us,usp000gqpz,2014-11-07T01:37:58.608Z,"12 km ENE of Parrita, Costa Rica",earthquake,,,,,reviewed,ucr,hdc
2009-11-09T07:31:15.700Z,9.027,-83.883,28.9,4.7,mb,63.0,55.5,,,us,usp000h3wa,2022-07-15T20:49:28.806Z,,earthquake,,,,21.0,reviewed,ucr,us
2009-10-18T03:24:17.300Z,10.006,-85.432,66.6,4.5,md,9.0,180.6,,,us,usp000h345,2014-11-07T01:39:56.794Z,"5 km SSW of Hojancha, Costa Rica",earthquake,,,,,reviewed,ucr,casc
2010-09-18T22:09:40.800Z,9.581,-85.08,16.6,4.3,mb,34.0,85.3,,,us,usp000hkx1,2014-11-07T01:42:29.419Z,"30 km SSW of Paquera, Costa Rica",earthquake,,,,8.0,reviewed,ucr,us
2010-09-16T16:34:32.200Z,9.613,-85.027,18.6,4.0,md,10.0,135.2,,,us,usp000hktx,2014-11-07T01:42:28.494Z,"25 km SSW of Paquera, Costa Rica",earthquake,,,,,reviewed,ucr,ucr
2012-02-19T17:34:00.000Z,9.04,-84.13,13.0,4.8,mb,59.0,63.5,,,us,usp000jf45,2015-03-24T01:26:22.201Z,"43 km S of Quepos, Costa Rica",earthquake,,,,14.0,reviewed,ucr,us
2012-02-12T23:03:50.000Z,10.309,-86.42,29.6,4.5,mb,31.0,155.1,,,us,usp000jevj,2014-11-07T01:47:00.647Z,"87 km WSW of Sardinal, Costa Rica",earthquake,,,,12.0,reviewed,ucr,us
2011-05-13T22:47:54.000Z,9.954,-84.313,72.8,5.9,mww,424.0,39.0,,,us,usp000j1jg,2022-07-19T15:06:30.168Z,"7 km ESE of Atenas, Costa Rica",earthquake,,,,,reviewed,ucr,us
2011-03-11T23:32:04.000Z,9.86,-85.059,26.3,4.1,mb,28.0,142.0,,,us,usp000hw5h,2014-11-07T01:43:59.905Z,"14 km WNW of Paquera, Costa Rica",earthquake,,,,10.0,reviewed,ucr,us
2014-01-17T21:02:41.000Z,9.511,-84.857,18.94,5.2,mwr,,,,0.93,us,usb000m3ce,2022-05-03T16:37:57.835Z,"27 km WSW of Jacó, Costa Rica",earthquake,,2.9,,,reviewed,ucr,ucr
2013-11-10T00:30:29.000Z,9.871,-85.511,15.7,4.3,mwr,,,,1.7,us,usb000kz1t,2014-01-17T00:29:14.000Z,"2 km ESE of Sámara, Costa Rica",earthquake,,3.3,,,reviewed,ucr,ucr
2013-06-08T23:58:21.000Z,10.297,-86.464,38.9,4.7,mb,84.0,100.0,,,us,usc000hjjz,2014-11-07T01:51:03.130Z,"92 km WSW of Sardinal, Costa Rica",earthquake,,,,139.0,reviewed,ucr,us
2013-03-16T09:53:00.000Z,10.173,-84.25,88.0,4.5,mb,8.0,137.6,,,us,us2013mvca,2014-11-07T01:50:20.756Z,"8 km SSE of Río Segundo, Costa Rica",earthquake,,,,2.0,reviewed,ucr,us
2015-01-10T06:56:10.000Z,8.949,-84.008,17.5,4.9,mwr,,,,1.3,us,usc000tefc,2015-04-10T18:56:28.040Z,"53 km W of Ciudad Cortés, Costa Rica",earthquake,8.1,4.3,,,reviewed,ucr,ucr
2014-10-10T06:22:57.000Z,8.37,-83.126,20.5,5.0,mwr,,,,0.8,us,usb000skkx,2022-07-27T04:29:02.019Z,"25 km S of Golfito, Costa Rica",earthquake,6.1,1.7,,,reviewed,ucr,ucr
2014-03-10T18:01:00.000Z,10.037,-85.035,45.0,4.5,mb,,,,1.09,us,usc000n6ry,2022-07-26T09:08:22.645Z,"18 km E of Nandayure, Costa Rica",earthquake,,4.7,0.085,46.0,reviewed,ucr,us
2015-04-28T07:33:23.000Z,10.2294,-84.7056,76.0,4.6,mb,,,,0.92,us,us200029st,2022-07-31T02:32:16.216Z,"15 km N of Miramar, Costa Rica",earthquake,5.6,4.8,0.037,211.0,reviewed,ucr,us
2016-03-17T19:56:30.000Z,9.443,-84.621,20.0,3.7,mb,,,,1.06,us,us20005ali,2016-05-21T00:05:35.040Z,Costa Rica,earthquake,3.4,5.3,0.357,2.0,reviewed,ucr,us
