time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1998-03-10T03:22:55.400Z,7.026,-79.88,25.2,3.8,md,,,,,us,usp0008h8c,2014-11-07T01:04:44.297Z,"58 km SSE of Pedasí, Panama",earthquake,,,,,reviewed,upa,upa
1998-03-09T04:32:17.000Z,9.089,-78.435,50.0,3.5,md,,,,,us,usp0008h6t,2014-11-07T01:04:44.123Z,"18 km N of Tortí, Panama",earthquake,,,,,reviewed,upa,upa
1998-03-03T08:42:20.900Z,7.702,-82.421,0.0,4.0,md,,,,,us,usp0008gvr,2014-11-07T01:04:39.894Z,"61 km SE of Punta de Burica, Panama",earthquake,,,,,reviewed,upa,upa
1998-03-02T15:44:28.700Z,7.112,-80.124,5.4,3.9,md,,,,,us,usp0008gua,2014-11-07T01:04:39.339Z,"40 km SSE of Cañas, Panama",earthquake,,,,,reviewed,upa,upa
1998-02-23T05:48:52.300Z,8.382,-82.923,10.0,4.4,md,,,,,us,usp0008gf5,2014-11-07T01:04:34.968Z,"5 km W of Finca Blanco, Panama",earthquake,,,,,reviewed,upa,upa
1998-02-22T03:04:29.500Z,6.652,-77.31,42.2,4.1,md,,,,,us,usp0008gdq,2014-11-07T01:04:34.769Z,"46 km W of Vigía del Fuerte, Colombia",earthquake,,,,,reviewed,upa,upa
1998-02-22T00:52:30.100Z,5.169,-75.933,33.2,4.1,md,,,,,us,usp0008gdj,2014-11-07T01:04:34.730Z,"6 km N of Apía, Colombia",earthquake,,,,,reviewed,upa,upa
1998-02-21T14:10:21.700Z,9.09,-78.365,56.4,3.7,md,,,,,us,usp0008gcs,2014-11-07T01:04:34.664Z,"19 km NNE of Tortí, Panama",earthquake,,,,,reviewed,upa,upa
1998-02-21T06:27:16.900Z,5.644,-78.261,10.0,3.9,md,,,,,us,usp0008gc5,2014-11-07T01:04:34.621Z,south of Panama,earthquake,,,,,reviewed,upa,upa
1998-02-21T06:24:41.200Z,5.661,-78.493,0.0,4.1,mb,,,,,us,usp0008gc4,2014-11-07T01:04:34.619Z,"135 km W of Nuquí, Colombia",earthquake,,,,1.0,reviewed,upa,us
1998-02-20T09:32:04.300Z,8.694,-82.378,5.7,3.5,md,,,,,us,usp0008ga7,2014-11-07T01:04:34.326Z,"4 km N of Caldera, Panama",earthquake,,,,,reviewed,upa,upa
1998-02-18T17:17:24.300Z,9.33,-83.671,10.0,4.0,md,,,,,us,usp0008g6w,2014-11-07T01:04:33.954Z,"0 km SSW of Daniel Flores, Costa Rica",earthquake,,,,,reviewed,upa,upa
1998-02-18T10:26:25.110Z,4.336,-82.973,9.2,4.1,md,,,,,us,usp0008g6a,2014-11-07T01:04:33.909Z,south of Panama,earthquake,,,,,reviewed,upa,upa
1998-02-18T05:07:03.500Z,7.877,-82.3,19.9,3.8,md,,,,,us,usp0008g5n,2014-11-07T01:04:33.821Z,"38 km SSW of Boca Chica, Panama",earthquake,,,,,reviewed,upa,upa
1998-02-17T22:18:06.500Z,8.502,-82.884,4.0,3.9,md,,,,,us,usp0008g52,2014-11-07T01:04:33.782Z,"6 km SW of Canoas, Costa Rica",earthquake,,,,,reviewed,upa,upa
1998-02-16T08:11:45.900Z,8.381,-82.879,0.0,3.6,md,,,,,us,usp0008g24,2014-11-07T01:04:33.277Z,"0 km WSW of Finca Blanco, Panama",earthquake,,,,,reviewed,upa,upa
1998-02-15T09:55:25.600Z,7.53,-80.654,0.0,3.6,md,,,,,us,usp0008g0w,2014-11-07T01:04:33.122Z,"11 km NNW of El Cortezo, Panama",earthquake,,,,,reviewed,upa,upa
1998-02-15T05:22:27.900Z,7.055,-81.467,6.7,4.4,md,,,,,us,usp0008g0f,2014-11-07T01:04:33.092Z,"74 km SSW of Río Grande, Panama",earthquake,,,,,reviewed,upa,upa
1998-02-15T03:17:09.900Z,8.414,-82.956,10.4,3.6,md,,,,,us,usp0008g0a,2014-11-07T01:04:33.081Z,"9 km WNW of Finca Blanco, Panama",earthquake,,,,,reviewed,upa,upa
1998-02-14T12:18:07.300Z,9.207,-83.985,27.6,3.6,md,,,,,us,usp0008fzk,2014-11-07T01:04:33.015Z,"31 km SE of Quepos, Costa Rica",earthquake,,,,,reviewed,upa,upa
1998-02-13T11:42:49.300Z,5.876,-79.612,10.0,3.6,md,,,,,us,usp0008fxe,2014-11-07T01:04:32.709Z,"181 km SSE of Cambutal, Panama",earthquake,,,,,reviewed,upa,upa
1998-02-13T11:07:08.600Z,5.782,-79.416,43.0,3.9,md,,,,,us,usp0008fxd,2014-11-07T01:04:32.707Z,south of Panama,earthquake,,,,,reviewed,upa,upa
1998-02-12T03:05:08.300Z,7.577,-81.515,22.0,3.5,md,,,,,us,usp0008fuw,2014-11-07T01:04:32.211Z,"25 km SW of Río Grande, Panama",earthquake,,,,,reviewed,upa,upa
1998-02-10T22:50:52.300Z,7.6,-78.099,8.6,3.5,md,,,,,us,usp0008ft5,2014-11-07T01:04:31.965Z,"11 km NE of Jaqué, Panama",earthquake,,,,,reviewed,upa,upa
1998-02-07T22:57:54.700Z,10.008,-77.538,10.0,3.5,mb,,,,,us,usp0008fn7,2014-11-07T01:04:31.066Z,"101 km NNE of Ailigandí, Panama",earthquake,,,,1.0,reviewed,upa,us
1998-02-05T12:00:48.700Z,8.548,-82.745,0.0,4.2,md,,,,,us,usp0008fg7,2014-11-07T01:04:29.778Z,"2 km SSW of Gómez, Panama",earthquake,,,,,reviewed,upa,upa
1998-02-04T03:25:16.700Z,8.528,-82.811,0.2,4.5,md,,,,,us,usp0008fdr,2014-11-07T01:04:28.721Z,"1 km E of San Isidro, Panama",earthquake,,,,,reviewed,upa,upa
1998-02-03T01:13:27.100Z,8.855,-80.617,15.0,3.7,md,,,,,us,usp0008fbr,2014-11-07T01:04:27.920Z,"24 km SSW of Coclé del Norte, Panama",earthquake,,,,,reviewed,upa,upa
1998-02-02T13:21:36.100Z,9.145,-83.758,0.5,4.5,md,,,,,us,usp0008fb7,2014-11-07T01:04:27.681Z,"23 km SSW of Daniel Flores, Costa Rica",earthquake,,,,,reviewed,upa,upa
1998-02-02T01:03:21.100Z,8.691,-81.447,14.9,3.6,md,,,,,us,usp0008fam,2014-11-07T01:04:27.466Z,"5 km WSW of Loma Yuca, Panama",earthquake,,,,,reviewed,upa,upa
1998-01-30T10:03:40.400Z,7.057,-82.439,31.1,4.0,mb,,,,,us,usp0008f74,2014-11-07T01:04:24.018Z,"117 km SSE of Punta de Burica, Panama",earthquake,,,,3.0,reviewed,upa,us
1998-01-30T09:06:28.800Z,8.614,-82.961,16.0,3.9,md,,,,,us,usp0008f70,2014-11-07T01:04:24.010Z,"3 km SSW of Corredor, Costa Rica",earthquake,,,,,reviewed,upa,upa
1998-01-30T07:41:21.700Z,5.784,-80.326,0.5,3.8,md,,,,,us,usp0008f6s,2014-11-07T01:04:23.968Z,"164 km S of Cambutal, Panama",earthquake,,,,,reviewed,upa,upa
1998-01-30T03:06:45.900Z,6.597,-77.106,0.1,4.0,md,,,,,us,usp0008f6f,2014-11-07T01:04:23.946Z,"23 km W of Vigía del Fuerte, Colombia",earthquake,,,,,reviewed,upa,upa
1998-01-27T23:35:41.300Z,10.067,-78.837,11.4,3.5,md,,,,,us,usp0008f2s,2014-11-07T01:04:23.491Z,"58 km NNE of El Porvenir, Panama",earthquake,,,,,reviewed,upa,upa
1998-01-24T00:42:46.600Z,8.773,-82.803,5.9,3.7,mb,,,,,us,usp0008ew5,2014-11-07T01:04:22.537Z,"3 km ESE of Monte Lirio, Panama",earthquake,,,,1.0,reviewed,upa,us
1998-01-22T06:26:51.900Z,8.643,-82.932,5.2,4.0,md,,,,,us,usp0008et0,2014-11-07T01:04:22.169Z,"1 km ENE of Corredor, Costa Rica",earthquake,,,,,reviewed,upa,upa
1998-01-21T15:24:48.700Z,8.451,-82.787,0.1,3.9,md,,,,,us,usp0008es2,2014-11-07T01:04:22.012Z,"4 km S of Aserrío de Gariché, Panama",earthquake,,,,,reviewed,upa,upa
1998-01-18T13:15:38.500Z,8.841,-82.785,14.6,4.2,md,,,,,us,usp0008ek5,2014-11-07T01:04:21.091Z,"1 km NW of Santa Clara, Panama",earthquake,,,,,reviewed,upa,upa
1998-01-16T04:10:23.700Z,8.741,-82.97,15.0,4.2,md,,,,,us,usp0008eea,2014-11-07T01:04:20.612Z,Panama-Costa Rica border region,earthquake,,,,,reviewed,upa,upa
1998-01-15T12:44:16.600Z,5.922,-79.143,22.9,3.5,md,,,,,us,usp0008ed7,2014-11-07T01:04:20.456Z,"195 km W of Bahía Solano, Colombia",earthquake,,,,,reviewed,upa,upa
1998-01-14T01:39:00.800Z,6.662,-78.112,11.4,4.0,md,,,,,us,usp0008e9t,2014-11-07T01:04:20.058Z,"62 km SW of Juradó, Colombia",earthquake,,,,,reviewed,upa,upa
1998-01-13T17:23:56.100Z,6.614,-77.854,46.4,3.9,md,,,,,us,usp0008e99,2014-11-07T01:04:19.950Z,"55 km S of Juradó, Colombia",earthquake,,,,,reviewed,upa,upa
