time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2013-09-14T16:30:08.000Z,-27.486,-69.33,117.9,4.3,mb,,,,1.53,us,usc000jvdw,2013-11-19T17:37:52.000Z,"99 km E of Copiapó, Chile",earthquake,,6.8,0.376,,reviewed,us_guc,us
2013-09-13T10:56:08.000Z,-32.307,-71.208,69.4,4.3,mb,,,,1.19,us,usc000jtkg,2013-11-19T17:37:40.000Z,"16 km N of La Ligua, Chile",earthquake,,7.0,0.308,,reviewed,us_guc,us
2013-09-10T09:57:52.000Z,-34.601,-72.942,45.0,4.0,mb,,,,1.2,us,usc000jwxi,2013-11-19T17:37:14.000Z,"94 km NNW of Constitución, Chile",earthquake,,7.0,0.212,,reviewed,us_guc,us
2013-09-10T04:31:28.000Z,-23.105,-68.165,172.8,4.5,mb,,,,3.29,us,usc000jwxa,2013-11-19T17:37:13.000Z,"21 km S of San Pedro de Atacama, Chile",earthquake,,6.4,0.222,,reviewed,us_guc,us
2013-09-10T01:28:04.000Z,-34.685,-72.941,31.3,4.7,mb,,,,1.25,us,usb000jmxe,2013-11-19T17:37:12.000Z,"86 km NNW of Constitución, Chile",earthquake,,3.9,0.053,,reviewed,us_guc,us
2013-09-10T00:58:52.000Z,-37.181,-72.475,49.4,4.0,mb,,,,1.42,us,usb000jmx8,2013-11-19T17:37:11.000Z,"11 km SE of Yumbel, Chile",earthquake,,6.0,0.157,,reviewed,us_guc,us
2013-09-09T18:03:55.000Z,-28.833,-70.639,106.1,4.6,mb,,,,2.02,us,usb000jme7,2013-11-15T03:20:30.000Z,"30 km SSE of Vallenar, Chile",earthquake,,5.5,0.272,,reviewed,us_guc,us
2013-09-07T19:13:31.000Z,-19.617,-69.299,100.1,5.0,mb,,,,1.21,us,usb000jl7c,2013-11-15T03:20:27.000Z,"110 km NE of Iquique, Chile",earthquake,,3.6,0.042,,reviewed,us_guc,us
2013-09-05T15:03:16.000Z,-21.029,-68.962,124.4,4.6,mb,,,,2.06,us,usc000jwu9,2013-11-15T03:20:25.000Z,"153 km SE of Iquique, Chile",earthquake,,4.9,0.192,,reviewed,us_guc,us
2013-09-05T05:52:40.000Z,-24.104,-70.482,48.1,4.3,mb,,,,0.97,us,usb000ji9p,2013-11-15T03:20:24.000Z,"50 km S of Antofagasta, Chile",earthquake,,2.4,0.178,,reviewed,us_guc,us
2013-09-04T04:12:39.000Z,-21.457,-69.85,75.2,4.5,ml,,,,2.02,us,usb000jhzs,2013-11-15T03:20:23.000Z,"78 km NNE of Tocopilla, Chile",earthquake,,6.5,,,reviewed,us_guc,us_guc
2013-09-03T16:10:54.000Z,-23.926,-67.57,214.5,4.3,mb,,,,2.29,us,usb000kdx4,2013-11-15T03:20:22.000Z,"129 km SSE of San Pedro de Atacama, Chile",earthquake,,9.3,0.307,,reviewed,us_guc,us
2013-09-02T15:01:07.000Z,-20.182,-69.25,97.6,4.7,mb,,,,1.3,us,usb000jf5i,2013-11-06T01:33:40.000Z,"94 km E of Iquique, Chile",earthquake,,4.1,0.054,,reviewed,us_guc,us
2013-09-01T20:52:11.000Z,-26.864,-70.735,70.0,4.2,mb,,,,1.41,us,usb000jeu2,2013-11-06T01:33:39.000Z,"68 km NW of Copiapó, Chile",earthquake,,8.1,0.529,,reviewed,us_guc,us
2013-08-30T10:48:13.000Z,-34.475,-70.684,111.7,4.9,mwr,,,,0.88,us,usb000jdpj,2022-07-25T21:25:36.636Z,"17 km ESE of Rengo, Chile",earthquake,,3.6,0.089,,reviewed,us_guc,us
2013-08-29T19:30:23.000Z,-23.156,-68.526,144.3,4.3,mb,,,,0.98,us,usb000jddu,2013-11-06T01:33:33.000Z,"42 km SW of San Pedro de Atacama, Chile",earthquake,,5.7,0.266,,reviewed,us_guc,us
2013-08-28T21:01:47.000Z,-24.086,-67.614,236.9,4.1,ml,,,,0.62,us,usb000k9v0,2013-11-06T01:33:32.000Z,"132 km W of San Antonio de los Cobres, Argentina",earthquake,,9.5,,,reviewed,us_guc,us_guc
2013-08-26T12:34:00.000Z,-24.003,-67.592,205.1,4.0,ml,,,,0.83,us,usb000k2i8,2013-10-25T20:10:13.000Z,"131 km W of San Antonio de los Cobres, Argentina",earthquake,,9.6,,,reviewed,us_guc,us_guc
2013-08-24T07:00:22.000Z,-37.991,-75.272,29.6,4.7,mb,,,,1.16,us,usb000jb68,2013-10-25T20:09:53.000Z,"148 km WSW of Lebu, Chile",earthquake,,1.9,0.067,,reviewed,us_guc,us
2013-08-21T03:25:13.000Z,-25.268,-70.25,33.4,4.5,mb,,,,1.04,us,usb000j7z0,2013-10-25T20:09:25.000Z,"28 km ENE of Taltal, Chile",earthquake,,3.6,0.132,,reviewed,us_guc,us
2013-08-19T19:21:55.000Z,-34.707,-72.117,11.0,4.3,mb,,,,0.97,us,usb000jxyw,2013-10-19T02:41:51.000Z,"69 km W of Santa Cruz, Chile",earthquake,,7.0,0.306,,reviewed,us_guc,us
2013-08-19T09:46:35.000Z,-33.472,-70.929,77.2,4.1,ml,,,,0.94,us,usb000j68x,2013-10-19T02:41:50.000Z,"15 km NNW of Peñaflor, Chile",earthquake,,8.8,,,reviewed,us_guc,us_guc
2013-08-19T06:13:18.000Z,-37.826,-75.012,11.1,4.4,mb,,,,0.68,us,usb000j67t,2022-07-25T20:45:32.356Z,"122 km W of Lebu, Chile",earthquake,,4.3,0.067,,reviewed,us_guc,us
2013-08-17T18:11:14.000Z,-21.197,-68.745,126.1,4.4,mb,,,,1.59,us,usb000j5mq,2013-10-19T02:41:48.000Z,"140 km N of Calama, Chile",earthquake,,5.2,0.203,,reviewed,us_guc,us
2013-08-17T06:43:28.000Z,-24.645,-68.671,116.5,4.2,ml,,,,2.19,us,usb000j5h9,2013-10-19T02:41:48.000Z,"197 km SSW of San Pedro de Atacama, Chile",earthquake,,8.2,,,reviewed,us_guc,us_guc
2013-08-17T03:09:44.000Z,-32.997,-72.121,44.8,4.1,mb,,,,1.0,us,usb000jaas,2013-10-19T02:41:47.000Z,"46 km W of Valparaíso, Chile",earthquake,,7.6,0.521,,reviewed,us_guc,us
2013-08-16T22:17:30.000Z,-28.665,-71.098,54.3,5.2,mww,,,,1.0,us,usb000j5bj,2022-05-03T16:25:45.985Z,"34 km WSW of Vallenar, Chile",earthquake,,4.1,,,reviewed,us_guc,us
2013-08-16T05:22:52.000Z,-19.2,-69.403,104.8,4.6,mb,,,,2.08,us,usb000ja9v,2013-10-19T02:41:46.000Z,"123 km SE of Arica, Chile",earthquake,,4.2,0.182,,reviewed,us_guc,us
2013-08-15T13:17:33.000Z,-20.118,-70.844,33.2,4.1,mb,,,,1.97,us,usb000j603,2013-10-19T02:41:43.000Z,"73 km W of Iquique, Chile",earthquake,,1.9,0.371,,reviewed,us_guc,us
2013-08-15T10:26:46.000Z,-32.514,-71.642,48.0,4.6,mwr,,,,1.0,us,usb000j3sa,2022-07-25T20:35:16.684Z,"39 km W of La Ligua, Chile",earthquake,,4.7,0.086,,reviewed,us_guc,us
2013-08-11T15:28:42.000Z,-22.995,-68.99,103.3,4.6,mb,,,,1.2,us,usb000j0pl,2013-10-12T21:32:35.000Z,"60 km S of Calama, Chile",earthquake,,3.8,0.112,,reviewed,us_guc,us
2013-08-10T14:45:15.000Z,-19.16,-70.011,62.7,4.2,mb,,,,1.07,us,usb000j588,2013-10-12T21:32:34.000Z,"81 km SSE of Arica, Chile",earthquake,,6.2,0.236,,reviewed,us_guc,us
2013-08-09T20:20:13.000Z,-22.63,-70.376,34.8,4.0,ml,,,,1.09,us,usb000jhuf,2013-10-12T21:32:33.000Z,"62 km SSW of Tocopilla, Chile",earthquake,,6.6,,,reviewed,us_guc,us_guc
2013-08-07T08:19:57.000Z,-19.653,-69.181,107.6,4.5,mb,,,,1.82,us,usb000ixaw,2013-10-12T21:32:30.000Z,"118 km ENE of Iquique, Chile",earthquake,,4.0,0.15,,reviewed,us_guc,us
2013-08-07T07:18:39.000Z,-22.342,-68.642,125.1,4.5,mb,,,,2.09,us,usb000ix9q,2013-10-12T21:32:30.000Z,"31 km ENE of Calama, Chile",earthquake,,6.0,0.205,,reviewed,us_guc,us
2013-08-06T13:21:39.000Z,-19.883,-69.925,52.3,4.3,mb,,,,1.25,us,usb000j2vp,2013-10-12T21:32:30.000Z,"43 km NNE of Iquique, Chile",earthquake,,6.4,0.532,,reviewed,us_guc,us
2013-08-05T07:29:39.000Z,-19.672,-69.348,96.2,4.6,mb,,,,1.49,us,usb000ivew,2013-09-25T17:45:53.000Z,"103 km NE of Iquique, Chile",earthquake,,3.7,0.091,,reviewed,us_guc,us
2013-08-05T06:46:05.000Z,-38.427,-73.941,27.7,4.3,mb,,,,1.44,us,usb000ivet,2013-09-25T17:45:53.000Z,"74 km WNW of Carahue, Chile",earthquake,,3.6,0.086,,reviewed,us_guc,us
2013-08-05T06:42:58.000Z,-23.895,-67.289,201.6,4.1,mb,,,,1.42,us,usb000iver,2013-09-25T17:45:53.000Z,"104 km WNW of San Antonio de los Cobres, Argentina",earthquake,,8.6,0.37,,reviewed,us_guc,us
2013-08-04T15:27:39.000Z,-32.504,-71.797,34.6,4.7,mb,,,,0.74,us,usb000j2ua,2013-09-25T17:45:52.000Z,"53 km W of La Ligua, Chile",earthquake,,2.4,0.207,,reviewed,us_guc,us
2013-08-03T20:44:19.000Z,-22.502,-70.259,60.6,4.5,mb,,,,0.88,us,usb000iuzz,2013-09-25T17:45:51.000Z,"45 km S of Tocopilla, Chile",earthquake,,4.9,0.086,,reviewed,us_guc,us
