time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2013-09-16T15:01:14.390Z,38.7062,22.729,7.7,5.3,mww,,37.0,0.22,0.64,us,usc000jvef,2022-05-03T17:51:07.383Z,"9 km NNW of Eláteia, Greece",earthquake,,1.7,,,reviewed,us_the,us
2013-09-16T14:42:40.290Z,38.6995,22.715,0.0,4.8,mb,,32.0,0.23,0.9,us,usc000jve1,2013-11-19T17:38:14.000Z,"9 km NNW of Eláteia, Greece",earthquake,,3.5,0.056,,reviewed,us_the,us
2013-09-09T17:35:16.890Z,38.0157,20.7617,7.0,4.8,mb,,176.0,0.21,1.02,us,usb000jmbq,2013-11-15T03:20:30.000Z,"15 km S of Póros, Greece",earthquake,,3.9,0.075,,reviewed,us_the,us
2013-09-08T10:33:01.400Z,40.848,22.762,1.8,4.0,mwr,,,,1.63,us,usb000jliq,2022-08-06T17:34:54.527Z,"6 km NE of Néo Agionéri, Greece",earthquake,,4.8,0.066,,reviewed,us_the,us
2013-09-08T04:59:27.700Z,34.792,25.107,0.0,4.9,mwr,,204.0,0.33,0.76,us,usb000jlf3,2013-11-15T03:20:28.000Z,"24 km S of Pýrgos, Greece",earthquake,,3.9,0.078,,reviewed,us_the,us
2013-09-06T03:26:56.500Z,34.7918,24.9168,0.0,4.0,mb,,203.0,0.24,1.14,us,usb000jjga,2013-11-15T03:20:26.000Z,"29 km S of Moíres, Greece",earthquake,,5.3,0.139,,reviewed,us_the,us
2013-09-06T03:14:32.800Z,34.71,24.92,5.0,4.1,mb,,,,0.8,us,usb000jjfm,2013-11-15T03:20:26.000Z,"38 km S of Moíres, Greece",earthquake,,6.0,0.135,,reviewed,us_the,us
2013-09-06T02:57:44.900Z,34.7208,24.9193,1.3,4.4,mb,,235.0,0.31,0.97,us,usb000jjf1,2013-11-15T03:20:25.000Z,"36 km S of Moíres, Greece",earthquake,,4.5,0.083,,reviewed,us_the,us
2013-08-18T22:16:19.200Z,38.7047,22.6993,3.7,4.4,mb,,,,1.09,us,usb000j658,2013-10-19T02:41:50.000Z,"10 km SSW of Kainoúryion, Greece",earthquake,,3.6,0.24,,reviewed,us_the,us
2013-08-18T16:39:22.290Z,38.7055,22.7198,8.3,4.1,ml,,38.0,0.23,0.84,us,usb000j6b6,2013-10-19T02:41:50.000Z,"9 km NNW of Eláteia, Greece",earthquake,,5.9,,,reviewed,us_the,us_the
2013-08-11T10:23:44.000Z,40.23,23.104,4.7,4.1,mb,,,,1.21,us,usb000j0mn,2013-10-12T21:32:34.000Z,"9 km WSW of Néa Plágia, Greece",earthquake,,5.2,0.213,,reviewed,us_the,us
2013-08-10T18:21:34.000Z,35.3627,26.1988,7.0,4.2,mb,,,,0.95,us,usb000j4h6,2013-10-12T21:32:34.000Z,"18 km NNW of Palekastro, Greece",earthquake,,5.1,0.235,,reviewed,us_the,us
2013-08-09T13:10:10.390Z,38.7023,22.6593,0.1,4.8,mb,,36.0,0.27,1.36,us,usb000izgi,2022-07-25T19:57:46.133Z,"9 km NE of Amfíkleia, Greece",earthquake,,3.7,0.098,,reviewed,us_the,us
2013-08-09T11:49:56.700Z,38.6977,22.6827,6.9,4.5,mb,,85.0,0.25,0.72,us,usb000jd3w,2013-10-12T21:32:33.000Z,"10 km NE of Amfíkleia, Greece",earthquake,,5.2,0.313,,reviewed,us_the,us
2013-08-09T11:49:23.890Z,38.7033,22.691,0.0,4.8,mwr,,30.0,0.24,0.82,us,usb000izg0,2022-07-25T19:56:21.724Z,"10 km SSW of Kainoúryion, Greece",earthquake,,3.7,0.06,,reviewed,us_the,us
2013-08-09T04:19:23.700Z,39.3508,20.4693,0.0,4.9,mb,,130.0,0.21,0.84,us,usb000izd3,2013-10-12T21:32:32.000Z,"9 km NE of Párga, Greece",earthquake,,1.9,0.058,,reviewed,us_the,us
2013-08-07T13:44:32.500Z,38.6882,22.6605,0.1,4.6,mwr,,20.0,0.27,1.16,us,usb000ixea,2013-10-12T21:32:31.000Z,"8 km NE of Amfíkleia, Greece",earthquake,,3.5,0.068,,reviewed,us_the,us
2013-08-07T09:56:36.900Z,38.7038,22.6468,2.2,4.3,mb,,,,1.06,us,usb000ixbu,2013-10-12T21:32:31.000Z,"8 km NNE of Amfíkleia, Greece",earthquake,,4.4,0.237,,reviewed,us_the,us
2013-08-07T09:06:52.200Z,38.6885,22.6952,0.1,5.3,mwr,,20.0,0.24,0.95,us,usb000ixb7,2022-07-25T19:48:49.224Z,"9 km NW of Eláteia, Greece",earthquake,,3.1,0.061,,reviewed,us_the,us
2013-08-07T09:02:45.600Z,38.698,22.684,1.0,4.5,mb,,,,1.49,us,usb000ixb4,2013-10-12T21:32:30.000Z,"10 km NE of Amfíkleia, Greece",earthquake,,4.1,0.128,,reviewed,us_the,us
