time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2013-09-16T03:56:13.100Z,17.183,-94.051,172.5,4.0,md,,,,1.23,us,usb000k6ba,2013-11-19T17:38:10.000Z,"16 km E of La Horqueta (Poblado Doce), Mexico",earthquake,,5.8,,,reviewed,us_unm,us_unm
2013-09-15T05:57:35.290Z,14.333,-91.799,66.2,4.3,mb,,,,1.31,us,usb000k6b6,2013-11-19T17:38:00.000Z,"12 km ENE of Champerico, Guatemala",earthquake,,6.6,0.533,,reviewed,us_unm,us
2013-09-13T23:09:57.790Z,13.731,-93.36,3.6,4.0,md,,,,1.63,us,usb000k6b2,2013-11-19T17:37:43.000Z,"149 km SW of Puerto Madero, Mexico",earthquake,,9.7,,,reviewed,us_unm,us_unm
2013-09-13T06:42:18.000Z,14.211,-92.033,21.1,4.0,md,,,,1.06,us,usb000k6ax,2013-11-19T17:37:38.000Z,"15 km SW of Champerico, Guatemala",earthquake,,4.6,,,reviewed,us_unm,us_unm
2013-09-12T04:45:48.400Z,15.447,-96.414,17.7,4.2,mb,,,,1.11,us,usc000jscs,2013-11-19T17:37:30.000Z,"25 km SSE of Puerto Ángel, Mexico",earthquake,,5.1,0.128,,reviewed,us_unm,us
2013-09-12T03:50:13.000Z,14.862,-93.503,20.0,4.1,md,,,,1.69,us,usb000k6ak,2013-11-19T17:37:28.000Z,"74 km SSW of La Esperanza (El Zapotal), Mexico",earthquake,,2.0,,,reviewed,us_unm,us_unm
2013-09-11T10:05:54.290Z,14.156,-91.987,21.2,4.0,md,,,,0.87,us,usb000k6aa,2013-11-19T17:37:22.000Z,"17 km SSW of Champerico, Guatemala",earthquake,,8.4,,,reviewed,us_unm,us_unm
2013-09-11T09:07:34.400Z,18.148,-95.468,125.5,4.3,mb,,,,1.08,us,usb000k6a8,2013-11-19T17:37:22.000Z,"14 km NNE of Isla, Mexico",earthquake,,7.1,0.237,,reviewed,us_unm,us
2013-09-11T05:54:58.500Z,15.985,-98.179,16.0,4.0,md,,,,1.58,us,usb000k6a6,2013-11-19T17:37:21.000Z,"28 km S of Corralero, Mexico",earthquake,,8.3,,,reviewed,us_unm,us_unm
2013-09-10T20:51:13.500Z,14.239,-92.129,28.4,4.0,md,,,,0.91,us,usb000k69w,2013-11-19T17:37:18.000Z,"24 km WSW of Champerico, Guatemala",earthquake,,8.2,,,reviewed,us_unm,us_unm
2013-09-10T19:53:53.090Z,14.116,-91.998,44.5,4.1,md,,,,0.7,us,usb000k69u,2013-11-19T17:37:17.000Z,"21 km SSW of Champerico, Guatemala",earthquake,,9.6,,,reviewed,us_unm,us_unm
2013-09-10T18:47:46.290Z,14.434,-92.309,42.2,4.0,md,,,,0.99,us,usb000k69t,2013-11-19T17:37:17.000Z,"14 km SW of Brisas Barra de Suchiate, Mexico",earthquake,,8.3,,,reviewed,us_unm,us_unm
2013-09-10T12:44:34.090Z,14.448,-92.274,60.8,4.1,mb,,,,1.47,us,usb000jn42,2013-11-19T17:37:15.000Z,"11 km SW of Ocós, Guatemala",earthquake,,6.3,0.086,,reviewed,us_unm,us
2013-09-10T00:50:55.400Z,14.097,-92.029,24.2,4.0,md,,,,0.72,us,usb000k69m,2013-11-19T17:37:11.000Z,"25 km SSW of Champerico, Guatemala",earthquake,,8.0,,,reviewed,us_unm,us_unm
2013-09-09T23:34:54.000Z,17.011,-93.87,171.9,4.0,md,,,,1.08,us,usb000k69l,2013-11-15T03:20:30.000Z,"25 km NNW of Francisco I. Madero, Mexico",earthquake,,5.8,,,reviewed,us_unm,us_unm
2013-09-09T05:07:53.790Z,16.47,-94.189,103.3,3.9,mb,,,,1.18,us,usb000k698,2013-11-15T03:20:29.000Z,"8 km ENE of General Pascual Fentes, Mexico",earthquake,,7.8,0.512,,reviewed,us_unm,us
2013-09-09T04:43:37.090Z,16.302,-98.331,20.0,4.6,mb,,,,1.06,us,usb000jlwq,2013-11-15T03:20:29.000Z,"5 km ESE of Santo Domingo Armenta, Mexico",earthquake,,1.9,0.04,,reviewed,us_unm,us
2013-09-09T03:43:59.500Z,16.638,-101.226,19.6,4.1,md,,,,1.35,us,usb000k697,2013-11-15T03:20:29.000Z,"78 km SSW of San Luis de La Loma, Mexico",earthquake,,9.3,,,reviewed,us_unm,us_unm
2013-09-08T21:09:27.290Z,14.321,-92.279,41.1,4.0,md,,,,0.87,us,usb000k695,2013-11-15T03:20:29.000Z,"22 km SSW of Ocós, Guatemala",earthquake,,9.3,,,reviewed,us_unm,us_unm
2013-09-08T02:58:35.500Z,13.601,-92.412,50.0,4.0,md,,,,1.47,us,usb000k68x,2013-11-15T03:20:28.000Z,"93 km SW of Champerico, Guatemala",earthquake,,2.0,,,reviewed,us_unm,us_unm
2013-09-07T11:23:20.500Z,14.174,-91.9,44.4,4.1,mb,,,,1.62,us,usb000jkuw,2013-11-15T03:20:27.000Z,"13 km S of Champerico, Guatemala",earthquake,,2.8,0.096,,reviewed,us_unm,us
2013-09-07T05:30:07.000Z,14.198,-92.101,43.6,4.1,mb,,,,1.73,us,usb000jkrk,2013-11-15T03:20:27.000Z,"22 km WSW of Champerico, Guatemala",earthquake,,6.9,0.117,,reviewed,us_unm,us
2013-09-07T00:20:39.090Z,14.136,-91.997,51.8,5.4,mb,,,,1.7,us,usb000jkn0,2022-07-25T21:43:50.312Z,"19 km SSW of Champerico, Guatemala",earthquake,,3.9,0.033,,reviewed,us_unm,us
2013-09-05T14:01:17.100Z,16.715,-94.351,124.3,4.3,mb,,,,1.03,us,usb000k682,2013-11-15T03:20:25.000Z,"25 km N of Santo Domingo Zanatepec, Mexico",earthquake,,4.1,0.237,,reviewed,us_unm,us
2013-09-04T09:21:22.500Z,13.672,-92.791,16.1,4.0,md,,,,1.96,us,usb000k67y,2013-11-15T03:20:24.000Z,"112 km SW of Ocós, Guatemala",earthquake,,8.9,,,reviewed,us_unm,us_unm
2013-09-03T16:14:03.200Z,20.209,-96.724,16.6,4.3,mb,,,,1.36,us,usb000jfvp,2013-11-15T03:20:22.000Z,"5 km E of Nautla, Mexico",earthquake,,4.6,0.062,,reviewed,us_unm,us
2013-09-02T00:19:09.100Z,17.525,-94.334,180.7,4.2,mb,,,,1.29,us,usb000jewk,2013-11-06T01:33:40.000Z,"20 km ENE of Niños Héroes, Mexico",earthquake,,6.4,0.065,,reviewed,us_unm,us
2013-08-31T23:30:35.590Z,14.422,-92.789,20.0,4.2,mb,,,,1.12,us,usc000jqu5,2013-11-06T01:33:37.000Z,"51 km SW of Puerto Madero, Mexico",earthquake,,5.4,0.087,,reviewed,us_unm,us
2013-08-31T16:30:47.790Z,16.926,-95.056,116.2,4.0,mb,,,,1.75,us,usc000jree,2013-11-06T01:33:36.000Z,"3 km E of El Chocolate, Mexico",earthquake,,5.1,0.367,,reviewed,us_unm,us
2013-08-30T09:58:47.290Z,16.425,-98.17,13.0,4.0,md,,,,1.18,us,usc000jre7,2013-11-06T01:33:33.000Z,"7 km WNW of Mancuernas, Mexico",earthquake,,8.8,,,reviewed,us_unm,us_unm
2013-08-30T03:40:57.700Z,16.781,-99.664,12.9,4.0,md,,,,1.18,us,usc000jre1,2013-11-06T01:33:33.000Z,"1 km NNE of La Estación, Mexico",earthquake,,9.2,,,reviewed,us_unm,us_unm
2013-08-30T02:47:34.700Z,16.709,-99.582,7.6,4.0,md,,,,1.16,us,usc000jrdy,2013-11-06T01:33:33.000Z,"3 km ESE of Lomas de Chapultepec, Mexico",earthquake,,5.9,,,reviewed,us_unm,us_unm
2013-08-29T21:32:49.090Z,15.098,-93.059,84.5,4.5,mb,,,,1.06,us,usc000jrdm,2013-11-06T01:33:33.000Z,"39 km WSW of El Arenal, Mexico",earthquake,,5.4,0.243,,reviewed,us_unm,us
2013-08-27T20:28:34.000Z,15.654,-96.406,38.7,4.3,mb,,,,2.21,us,usc000jrc6,2013-11-06T01:33:31.000Z,"9 km E of Puerto Ángel, Mexico",earthquake,,5.8,0.238,,reviewed,us_unm,us
2013-08-27T14:51:46.790Z,17.281,-94.552,134.1,4.0,md,,,,0.75,us,usc000jrc3,2013-11-06T01:33:31.000Z,"0 km N of Poblado Cinco, Mexico",earthquake,,5.7,,,reviewed,us_unm,us_unm
2013-08-27T10:21:27.100Z,15.657,-93.851,76.1,4.1,md,,,,0.81,us,usc000jrc2,2013-11-06T01:33:31.000Z,"near the coast of Chiapas, Mexico",earthquake,,9.1,,,reviewed,us_unm,us_unm
2013-08-27T08:17:50.400Z,14.482,-93.063,20.0,3.8,mb,,,,1.36,us,usb000jc76,2013-11-06T01:33:31.000Z,"74 km WSW of Puerto Madero, Mexico",earthquake,,7.7,0.228,,reviewed,us_unm,us
2013-08-27T05:38:06.500Z,16.406,-99.793,10.0,4.1,md,,,,1.2,us,usb000jgp9,2013-11-06T01:33:31.000Z,"35 km SSW of San Andrés Playa Encantada (El Podrido), Mexico",earthquake,,2.0,,,reviewed,us_unm,us_unm
2013-08-26T23:35:53.590Z,17.243,-91.343,24.4,4.1,md,,,,1.54,us,usc000jrbx,2013-10-25T20:10:16.000Z,"22 km NE of Ubilio García, Mexico",earthquake,,7.9,,,reviewed,us_unm,us_unm
2013-08-26T23:19:36.000Z,18.224,-100.776,53.4,4.3,mb,,,,1.95,us,usb000jc2k,2013-10-25T20:10:15.000Z,"10 km E of Patambó, Mexico",earthquake,,5.7,0.056,,reviewed,us_unm,us
2013-08-26T22:20:25.000Z,16.819,-99.624,24.6,4.0,md,,,,1.0,us,usc000jrbw,2013-10-25T20:10:15.000Z,"3 km SE of Aguas Calientes, Mexico",earthquake,,8.5,,,reviewed,us_unm,us_unm
2013-08-26T12:54:01.500Z,16.749,-99.609,20.7,4.4,mb,,,,0.93,us,usb000jbvf,2022-07-25T21:11:24.974Z,"3 km N of Lomas de Chapultepec, Mexico",earthquake,,5.3,0.047,,reviewed,us_unm,us
2013-08-26T04:01:42.500Z,17.434,-94.898,136.9,4.1,md,,,,0.89,us,usc000jrbr,2013-10-25T20:10:11.000Z,"10 km ENE of Suchilapan del Río, Mexico",earthquake,,8.8,,,reviewed,us_unm,us_unm
2013-08-26T02:24:59.590Z,16.749,-101.867,2.0,4.1,md,,,,1.52,us,usc000jrbn,2013-10-25T20:10:11.000Z,"104 km SSW of Ixtapa, Mexico",earthquake,,2.0,,,reviewed,us_unm,us_unm
2013-08-24T07:12:19.390Z,15.012,-94.846,10.0,4.3,mb,,,,2.09,us,usb000jb6a,2013-10-25T20:09:54.000Z,"130 km SSE of El Carrizal, Mexico",earthquake,,1.9,0.052,,reviewed,us_unm,us
2013-08-23T07:49:10.190Z,16.554,-95.346,10.0,4.0,mb,,,,1.99,us,usb000jaej,2013-10-25T20:09:46.000Z,"14 km ENE of Jalapa, Mexico",earthquake,,5.5,0.106,,reviewed,us_unm,us
2013-08-23T05:18:43.500Z,16.743,-99.686,11.0,4.0,md,,,,1.51,us,usc000jrb0,2013-10-25T20:09:45.000Z,"3 km SW of La Estación, Mexico",earthquake,,9.5,,,reviewed,us_unm,us_unm
