time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2013-09-15T05:57:22.680Z,-41.7725,174.1572,20.82,4.0,ml,,,,0.78,us,usc000jurt,2013-11-19T17:38:00.000Z,"33 km SSE of Blenheim, New Zealand",earthquake,,2.6,,,reviewed,us_wel,us_wel
2013-09-13T11:30:17.230Z,-41.5686,174.3989,15.664,4.2,ml,,,,0.55,us,usb000jw0l,2013-11-19T17:37:40.000Z,"37 km E of Blenheim, New Zealand",earthquake,,4.3,,,reviewed,us_wel,us_wel
2013-09-12T03:08:40.170Z,-41.8325,173.8711,18.711,4.3,mb,,,,0.68,us,usc000jsa9,2013-11-19T17:37:27.000Z,"35 km S of Blenheim, New Zealand",earthquake,,6.1,0.375,,reviewed,us_wel,us
2013-09-05T07:37:16.290Z,-44.479,169.49,8.6,4.3,ml,,,,1.46,us,usb000ji9k,2013-11-15T03:20:24.000Z,"36 km NE of Wanaka, New Zealand",earthquake,,6.5,,,reviewed,us_wel,us_wel
2013-09-04T12:04:10.530Z,-41.5003,174.4235,16.074,4.8,mb,,,,1.27,us,usb000jh1j,2022-07-25T21:39:39.695Z,"35 km SW of Brooklyn, New Zealand",earthquake,,2.0,0.139,,reviewed,us_wel,us
2013-09-04T07:52:46.950Z,-35.5238,-179.6419,5.117,4.1,mb,,,,2.08,us,usc000jqxj,2013-11-15T03:20:23.000Z,east of the North Island of New Zealand,earthquake,,5.7,0.302,,reviewed,us_wel,us
2013-09-01T15:37:05.000Z,-41.85,174.13,5.0,3.9,mwr,,,,0.8,us,usb000jeqb,2013-11-06T01:33:39.000Z,"39 km SSE of Blenheim, New Zealand",earthquake,,5.1,0.089,,reviewed,us_wel,us
2013-08-30T20:01:53.150Z,-43.6023,172.1765,9.981,4.0,mwr,,,,1.09,us,usb000jdzc,2013-11-06T01:33:34.000Z,"11 km W of Burnham, New Zealand",earthquake,,5.7,0.08,,reviewed,us_wel,us
2013-08-23T09:43:17.240Z,-42.246,172.836,57.148,4.5,mb,,,,1.37,us,usb000jag7,2013-10-25T20:09:48.000Z,"95 km S of Wakefield, New Zealand",earthquake,,6.8,0.204,,reviewed,us_wel,us
2013-08-22T10:38:33.260Z,-44.7679,167.642,5.117,4.0,mwr,,,,1.14,us,usb000j981,2013-10-25T20:09:38.000Z,"72 km N of Te Anau, New Zealand",earthquake,,5.3,0.062,,reviewed,us_wel,us
2013-08-19T22:58:12.240Z,-41.7346,174.2224,8.691,3.8,mb,,,,1.03,us,usb000j6xl,2013-10-19T02:41:51.000Z,"33 km SE of Blenheim, New Zealand",earthquake,,5.3,0.508,,reviewed,us_wel,us
2013-08-18T04:46:05.730Z,-47.348,166.114,5.9,4.6,mb,,,,1.4,us,usc000juqa,2013-10-19T02:41:49.000Z,"182 km SW of Riverton, New Zealand",earthquake,,4.8,0.193,,reviewed,us_wel,us
2013-08-18T02:17:16.470Z,-41.762,174.148,7.9,4.2,ml,,,,0.75,us,usc000juq1,2013-10-19T02:41:49.000Z,"31 km SSE of Blenheim, New Zealand",earthquake,,6.3,,,reviewed,us_wel,us_wel
2013-08-17T19:44:27.730Z,-41.761,174.087,14.434,4.1,mwr,,,,0.56,us,usb000j5p0,2013-10-19T02:41:51.000Z,"29 km SSE of Blenheim, New Zealand",earthquake,,4.0,0.057,,reviewed,us_wel,us
2013-08-17T12:39:29.250Z,-41.7228,174.1121,14.492,4.2,mb,,,,0.89,us,usb000j5ix,2013-10-19T02:41:48.000Z,"26 km SSE of Blenheim, New Zealand",earthquake,,2.1,0.303,,reviewed,us_wel,us
2013-08-17T08:58:39.680Z,-41.7699,174.0486,19.589,5.2,mwr,,,,1.1,us,usb000j5ht,2022-05-03T16:25:52.336Z,"29 km SSE of Blenheim, New Zealand",earthquake,,2.8,0.046,,reviewed,us_wel,us
2013-08-17T08:41:30.030Z,-41.7378,174.1331,14.785,4.0,mb,,,,0.95,us,usb000j5hq,2013-10-19T02:41:48.000Z,"29 km NNW of Blenheim, New Zealand",earthquake,,3.7,0.299,,reviewed,us_wel,us
2013-08-17T08:13:36.250Z,-41.7887,173.9986,15.898,4.0,mb,,,,1.19,us,usb000j5hl,2013-10-19T02:41:48.000Z,"30 km S of Blenheim, New Zealand",earthquake,,1.3,0.517,,reviewed,us_wel,us
2013-08-17T05:19:15.020Z,-41.7139,174.2912,21.523,4.4,mb,,,,0.9,us,usb000j5g8,2013-10-19T02:41:48.000Z,"35 km SE of Blenheim, New Zealand",earthquake,,5.4,0.309,,reviewed,us_wel,us
2013-08-17T04:13:20.910Z,-41.779,173.992,19.7,4.8,mb,,,,1.24,us,usb000j5fe,2013-10-19T02:41:48.000Z,"29 km S of Blenheim, New Zealand",earthquake,,3.7,0.226,,reviewed,us_wel,us
2013-08-17T02:45:47.760Z,-41.74,173.924,6.8,4.0,mwr,,,,0.64,us,usb000j5fb,2013-10-19T02:41:47.000Z,"24 km S of Blenheim, New Zealand",earthquake,,7.5,0.053,,reviewed,us_wel,us
2013-08-17T02:01:05.030Z,-41.739,174.139,11.7,4.1,ml,,,,0.58,us,usc000jup3,2013-10-19T02:41:47.000Z,"29 km SSE of Blenheim, New Zealand",earthquake,,7.8,,,reviewed,us_wel,us_wel
2013-08-17T00:25:12.820Z,-41.743,174.1392,11.856,4.1,ml,,,,0.84,us,usb000jaaq,2013-10-19T02:41:47.000Z,"29 km SSE of Blenheim, New Zealand",earthquake,,5.4,,,reviewed,us_wel,us_wel
