time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1982-05-24T12:13:26.160Z,38.7458333,-112.047,0.84,3.78,ml,26.0,57.0,0.2545,0.34,uu,uu50004540,2020-09-18T23:10:58.482Z,"4 km NNE of Annabella, Utah",earthquake,0.7,3.97,,2.0,reviewed,uu,uu
1984-01-14T22:24:00.840Z,44.779,-111.0045,10.25,3.9,md,9.0,296.0,0.8869,0.19,uu,uu50012255,2018-08-28T03:00:56.700Z,"14 km E of Hebgen Lake Estates, Montana",earthquake,4.1,2.87,,3.0,reviewed,uu,uu
1983-12-11T07:40:45.390Z,42.3611667,-111.5636667,4.61,3.5,md,18.0,99.0,0.5347,0.32,uu,uu50011690,2018-08-28T03:00:08.370Z,"20 km NW of Paris, Idaho",earthquake,1.02,1.21,,14.0,reviewed,uu,uu
1983-12-09T08:58:40.750Z,38.5585,-112.575,7.12,3.73,ml,11.0,95.0,0.3154,0.16,uu,uu50011660,2018-08-28T03:00:05.010Z,"29 km SSW of Kanosh, Utah",earthquake,0.74,1.26,,2.0,reviewed,uu,uu
1983-10-08T11:57:53.620Z,40.7338333,-111.9825,12.07,3.85,md,30.0,66.0,0.1404,0.3,uu,uu50011125,2020-09-21T18:38:14.818Z,"4 km NNE of West Valley City, Utah",earthquake,0.5,0.67,,10.0,reviewed,uu,uu
1983-09-24T16:57:45.860Z,40.7631667,-108.7995,6.02,3.95,md,19.0,188.0,1.903,0.48,uu,uu50010950,2018-08-28T02:58:42.770Z,"53 km ESE of Dutch John, Utah",earthquake,2.77,30.72,,7.0,reviewed,uu,uu
1984-08-16T14:19:21.540Z,39.3921667,-111.911,7.96,3.7,ml,12.0,93.0,0.2943,0.48,uu,uu50015340,2018-08-28T03:03:24.800Z,"18 km SSW of Levan, Utah",earthquake,1.73,3.39,,2.0,reviewed,uu,uu
1986-02-21T23:20:12.470Z,41.743,-112.8138333,6.93,3.56,ml,19.0,224.0,0.04676,0.22,uu,uu50028485,2018-08-28T03:24:14.160Z,"26 km SSW of Snowville, Utah",earthquake,1.21,0.8,,2.0,reviewed,uu,uu
1985-12-07T00:01:04.550Z,41.8065,-108.8418333,-0.63,3.5,md,15.0,262.0,1.109,0.28,uu,uu50027630,2018-08-28T03:22:30.260Z,"11 km ENE of Superior, Wyoming",earthquake,4.29,6.69,,3.0,reviewed,uu,uu
1985-11-09T11:38:17.330Z,44.6643333,-111.0353333,10.88,4.26,md,16.0,60.0,0.07489,0.17,uu,uu50026765,2018-08-28T03:20:46.640Z,"5 km E of West Yellowstone, Montana",earthquake,0.45,0.75,,6.0,reviewed,uu,uu
1985-10-15T00:15:00.950Z,41.8136667,-108.8685,-2.82,3.51,md,18.0,247.0,1.093,0.37,uu,uu50024915,2018-08-28T03:16:54.050Z,"10 km ENE of Superior, Wyoming",earthquake,4.93,16.35,,3.0,reviewed,uu,uu
1985-08-13T20:57:01.750Z,41.7918333,-108.8265,-0.09,3.59,md,18.0,237.0,1.127,0.33,uu,uu50023110,2021-05-13T21:55:57.374Z,"12 km E of Superior, Wyoming",earthquake,5.22,12.39,,3.0,reviewed,uu,uu
1987-03-05T03:02:52.130Z,40.4696667,-110.7315,15.15,3.5,ml,18.0,259.0,0.4042,0.23,uu,uu50031800,2018-08-28T03:30:44.600Z,"12 km N of Tabiona, Utah",earthquake,2.64,0.95,,2.0,reviewed,uu,uu
1987-02-25T12:30:33.370Z,41.8253333,-112.3275,4.63,3.87,md,26.0,74.0,0.1039,0.28,uu,uu50031660,2018-08-28T03:30:26.960Z,"10 km ENE of Howell, Utah",earthquake,0.88,1.04,,7.0,reviewed,uu,uu
1986-11-07T01:31:53.530Z,37.4253333,-110.2995,11.14,3.85,md,9.0,189.0,0.6386,0.16,uu,uu50030535,2018-08-28T03:28:15.140Z,"36 km E of Halls Crossing, Utah",earthquake,1.11,1.19,,5.0,reviewed,uu,uu
1986-10-29T22:13:14.460Z,41.8203333,-112.3193333,3.32,3.57,ml,19.0,94.0,0.109,0.13,uu,uu50030440,2018-08-28T03:28:03.070Z,"10 km ENE of Howell, Utah",earthquake,0.38,0.96,,2.0,reviewed,uu,uu
1986-06-05T08:05:41.760Z,41.2695,-111.6686667,8.94,3.5,ml,20.0,155.0,0.1735,0.19,uu,uu50029320,2018-08-28T03:25:55.370Z,"8 km E of Huntsville, Utah",earthquake,0.8,0.64,,2.0,reviewed,uu,uu
1986-03-25T02:53:01.460Z,39.2151667,-111.9988333,5.47,3.75,ml,15.0,88.0,0.2108,0.14,uu,uu50028755,2018-08-28T03:24:44.870Z,"9 km ESE of Scipio, Utah",earthquake,0.44,0.88,,2.0,reviewed,uu,uu
1986-03-24T22:40:23.560Z,39.2305,-111.9953333,1.94,4.3,ml,17.0,85.0,0.2011,0.24,uu,uu50028735,2018-08-28T03:24:42.200Z,"9 km E of Scipio, Utah",earthquake,0.65,1.37,,2.0,reviewed,uu,uu
1987-12-16T17:43:07.320Z,39.3163333,-111.2043333,3.39,3.92,md,27.0,76.0,0.2595,0.24,uu,uu50035080,2018-08-28T03:36:47.910Z,"16 km NW of Orangeville, Utah",earthquake,0.66,0.92,,14.0,reviewed,uu,uu
1987-10-26T04:16:00.730Z,41.2041667,-113.1806667,10.21,4.57,ml,21.0,125.0,,0.2,uu,uu50034135,2018-08-28T03:34:53.340Z,"85 km E of Montello, Nevada",earthquake,0.78,0.47,,2.0,reviewed,uu,uu
1987-10-23T19:44:50.340Z,41.1863333,-113.173,9.44,4.07,ml,23.0,115.0,0.08063,0.23,uu,uu50034055,2018-08-28T03:34:42.400Z,"86 km E of Montello, Nevada",earthquake,0.69,0.47,,2.0,reviewed,uu,uu
1987-09-28T06:06:52.930Z,41.217,-113.1123333,9.53,3.9,ml,21.0,258.0,,0.25,uu,uu50033750,2018-08-28T03:34:04.320Z,"83 km W of Hooper, Utah",earthquake,3.56,0.94,,2.0,reviewed,uu,uu
1987-09-26T00:28:02.780Z,41.2075,-113.1021667,16.68,3.87,ml,22.0,209.0,0.552,0.17,uu,uu50033710,2018-08-28T03:33:58.440Z,"82 km W of Hooper, Utah",earthquake,1.99,0.87,,2.0,reviewed,uu,uu
1987-09-25T05:18:14.600Z,41.1651667,-113.1086667,8.41,4.21,ml,14.0,174.0,0.9949,0.25,uu,uu50033615,2018-08-28T03:33:45.320Z,"82 km W of Hooper, Utah",earthquake,1.2,4.73,,2.0,reviewed,uu,uu
1987-09-25T04:27:57.800Z,41.2218333,-113.1605,8.99,4.71,ml,19.0,236.0,0.5963,0.25,uu,uu50033595,2018-08-28T03:33:42.610Z,"86 km E of Montello, Nevada",earthquake,2.93,0.89,,2.0,reviewed,uu,uu
1987-09-25T04:09:54.570Z,41.2095,-113.1301667,8.19,3.99,ml,21.0,252.0,0.5704,0.19,uu,uu50033590,2018-08-28T03:33:41.860Z,"84 km W of Hooper, Utah",earthquake,2.52,0.72,,2.0,reviewed,uu,uu
1987-09-17T08:31:26.630Z,41.1865,-113.141,13.67,3.67,ml,24.0,253.0,0.5647,0.22,uu,uu50033570,2018-08-28T03:33:39.160Z,"85 km W of Hooper, Utah",earthquake,2.52,0.92,,2.0,reviewed,uu,uu
1987-04-01T16:40:41.100Z,41.823,-112.3268333,4.8,3.51,ml,21.0,74.0,0.1063,0.15,uu,uu50032220,2018-08-28T03:31:28.820Z,"10 km ENE of Howell, Utah",earthquake,0.32,0.98,,2.0,reviewed,uu,uu
1989-02-27T15:13:07.750Z,38.8326667,-111.614,22.26,4.12,ml,13.0,53.0,0.02028,0.19,uu,uu50041305,2018-08-28T03:48:49.800Z,"25 km ESE of Salina, Utah",earthquake,0.59,0.8,,2.0,reviewed,uu,uu
1989-01-30T04:06:23.000Z,38.8306667,-111.62,18.96,5.15,md,32.0,91.0,0.3517,0.34,uu,uu50040800,2022-08-09T07:16:16.952Z,"25 km SE of Salina, Utah",earthquake,0.9,0.69,,22.0,reviewed,uu,uu
1988-12-29T18:18:57.020Z,36.8728333,-112.9633333,7.97,3.62,md,10.0,216.0,0.8054,0.29,uu,uu50040555,2018-08-28T03:47:16.350Z,"9 km S of Centennial Park, Arizona",earthquake,1.63,1.2,,4.0,reviewed,uu,uu
1988-11-19T20:00:53.660Z,41.993,-111.523,4.99,4.23,ml,11.0,227.0,0.2293,0.13,uu,uu50039310,2018-08-28T03:44:42.220Z,"11 km WNW of Garden City, Utah",earthquake,1.49,1.8,,2.0,reviewed,uu,uu
1988-11-19T19:46:16.350Z,42.0138333,-111.464,0.13,3.75,md,30.0,96.0,0.1801,0.2,uu,uu50039305,2018-08-28T03:44:41.470Z,"9 km NW of Garden City, Utah",earthquake,0.63,1.21,,18.0,reviewed,uu,uu
1988-11-19T19:42:37.360Z,41.9978333,-111.4743333,3.1,4.33,md,21.0,164.0,0.1834,0.16,uu,uu50039300,2018-08-28T03:44:40.750Z,"8 km NW of Garden City, Utah",earthquake,0.57,1.98,,17.0,reviewed,uu,uu
1988-08-18T12:44:53.730Z,39.1413333,-110.8836667,9.0,4.34,ml,20.0,195.0,0.5391,0.39,uu,uu50037625,2018-08-28T03:41:19.670Z,"14 km SE of Castle Dale, Utah",earthquake,1.57,1.59,,2.0,reviewed,uu,uu
1988-08-15T14:50:23.640Z,39.124,-110.8561667,8.78,3.61,md,21.0,108.0,0.1901,0.23,uu,uu50037560,2018-08-28T03:41:11.640Z,"17 km SE of Castle Dale, Utah",earthquake,0.67,0.71,,3.0,reviewed,uu,uu
1988-08-14T20:03:04.210Z,39.145,-110.883,9.1,5.17,ml,27.0,195.0,0.5384,0.41,uu,uu50037505,2022-04-28T20:38:11.838Z,"13 km ESE of Castle Dale, Utah",earthquake,1.82,1.18,,2.0,reviewed,uu,uu
1988-08-14T19:07:59.110Z,39.15,-110.8671667,7.21,3.69,ml,18.0,117.0,0.1939,0.38,uu,uu50037480,2018-08-28T03:41:02.890Z,"14 km ESE of Castle Dale, Utah",earthquake,1.04,1.71,,2.0,reviewed,uu,uu
1988-07-10T20:45:59.340Z,41.228,-111.6473333,8.71,3.5,ml,11.0,151.0,0.4614,0.32,uu,uu50037220,2018-08-28T03:40:34.030Z,"10 km ESE of Huntsville, Utah",earthquake,1.26,2.1,,2.0,reviewed,uu,uu
1988-05-22T19:22:45.620Z,36.929,-112.992,7.27,3.73,md,11.0,135.0,0.7475,0.4,uu,uu50036875,2018-08-28T03:39:58.400Z,"2 km SSW of Centennial Park, Arizona",earthquake,1.31,2.15,,4.0,reviewed,uu,uu
1990-01-24T09:03:31.070Z,41.7653333,-112.6175,6.47,3.5,ml,20.0,92.0,0.1187,0.1,uu,uu50046760,2018-08-28T03:59:57.720Z,"14 km WSW of Howell, Utah",earthquake,0.31,0.52,,2.0,reviewed,uu,uu
1989-09-21T15:38:47.760Z,36.7813333,-112.4236667,-2.42,3.66,md,14.0,263.0,1.03,0.83,uu,uu50044800,2018-08-28T03:55:51.400Z,"20 km SSE of Fredonia, Arizona",earthquake,5.88,2.81,,4.0,reviewed,uu,uu
1989-07-23T10:39:43.940Z,38.7305,-112.1945,13.13,3.56,md,20.0,55.0,0.2183,0.27,uu,uu50043890,2018-08-28T03:53:58.380Z,"6 km NW of Elsinore, Utah",earthquake,0.56,0.97,,7.0,reviewed,uu,uu
1989-07-05T22:51:56.530Z,41.7068333,-112.3805,6.15,4.5,ml,11.0,96.0,0.02994,0.22,uu,uu50043365,2018-08-28T03:52:49.890Z,"7 km WNW of Thatcher, Utah",earthquake,0.89,0.8,,2.0,reviewed,uu,uu
