time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1983-11-14T11:19:00.400Z,46.6553333,-120.5998333,7.198,3.8,md,49.0,102.0,,0.19,uw,uw10167533,2016-07-24T23:13:54.880Z,"1 km ESE of Gleed, Washington",earthquake,0.54,0.54,0.05,8.0,reviewed,uw,uw
1983-10-31T21:47:58.810Z,47.3368333,-123.2425,42.7,4.3,md,36.0,38.0,,0.28,uw,uw10173558,2016-07-24T23:13:19.390Z,"6 km W of Skokomish, Washington",earthquake,0.934,1.32,0.03,7.0,reviewed,uw,uw
1983-08-28T12:47:47.970Z,47.9298333,-122.8386667,51.064,3.9,md,28.0,43.0,,0.1,uw,uw10162878,2016-07-24T23:10:04.690Z,"11 km W of Port Ludlow, Washington",earthquake,0.326,0.66,0.03,14.0,reviewed,uw,uw
1983-08-17T10:54:28.210Z,48.1181667,-124.503,3.386,3.7,md,20.0,191.0,,0.5,uw,uw10160338,2016-07-24T23:09:37.130Z,"20 km NNW of Forks, Washington",earthquake,4.013,32.87,0.1,11.0,reviewed,uw,uw
1983-03-22T12:47:02.370Z,45.992,-118.403,7.197,3.8,md,18.0,191.0,,0.18,uw,uw10155158,2016-07-24T22:59:16.930Z,"6 km S of College Place, Washington",earthquake,1.582,0.98,0.04,14.0,reviewed,uw,uw
1985-02-28T17:02:04.400Z,47.4926667,-122.586,46.683,3.7,md,45.0,34.0,,0.3,uw,uw10188308,2016-07-24T19:20:28.820Z,"3 km E of Bethel, Washington",earthquake,0.807,1.34,0.05,16.0,reviewed,uw,uw
1985-02-10T20:29:31.720Z,45.7045,-119.6345,18.066,3.9,md,22.0,210.0,,0.14,uw,uw10186478,2016-07-24T19:20:08.230Z,"15 km SSE of Boardman, Oregon",earthquake,0.927,0.55,0.1,26.0,reviewed,uw,uw
1984-06-04T04:46:01.680Z,46.2143333,-123.0061667,51.768,3.7,md,31.0,81.0,,0.19,uw,uw10175103,2016-07-24T23:26:21.120Z,"5 km N of West Longview, Washington",earthquake,0.999,1.65,0.07,10.0,reviewed,uw,uw
1984-06-02T12:57:20.990Z,47.4145,-122.7021667,20.852,3.6,md,38.0,26.0,,0.22,uw,uw10174818,2016-07-24T23:26:17.480Z,"5 km W of Burley, Washington",earthquake,0.581,1.3,0.04,9.0,reviewed,uw,uw
1984-04-11T03:07:42.050Z,47.535,-120.1855,7.278,4.3,md,31.0,41.0,,0.27,uw,uw10173508,2016-07-24T23:24:54.860Z,"13 km ENE of Sunnyslope, Washington",earthquake,0.714,1.05,0.04,19.0,reviewed,uw,uw
1986-02-10T18:05:07.950Z,48.3973333,-121.9408333,-0.694,3.9,md,39.0,75.0,,0.29,uw,uw10202028,2016-07-24T19:46:30.650Z,"9 km NE of Lake Cavanaugh, Washington",earthquake,0.071,0.18,0.08,28.0,reviewed,uw,uw
1985-12-25T23:40:16.050Z,49.1573333,-126.6103333,47.426,3.5,md,14.0,325.0,1.923,0.22,uw,uw10200623,2016-07-24T19:44:38.250Z,"51 km W of Tofino, Canada",earthquake,4.509,4.45,0.1,7.0,reviewed,uw,uw
1985-03-18T17:15:55.260Z,47.3388333,-122.6198333,52.949,3.5,md,40.0,43.0,,0.28,uw,uw10188513,2016-07-24T19:20:59.540Z,"2 km ENE of Rosedale, Washington",earthquake,0.813,1.34,0.04,22.0,reviewed,uw,uw
1986-07-08T05:16:32.480Z,48.2653333,-122.5221667,61.271,3.5,md,33.0,34.0,,0.2,uw,uw10210013,2016-07-24T19:53:36.590Z,"9 km ESE of Oak Harbor, Washington",earthquake,0.057,0.11,0.06,21.0,reviewed,uw,uw
1986-03-28T04:12:46.700Z,48.2598333,-121.7336667,1.775,3.6,md,32.0,63.0,,0.25,uw,uw10205263,2016-07-24T19:48:13.910Z,"2 km S of Swede Heaven, Washington",earthquake,0.618,1.14,0.09,17.0,reviewed,uw,uw
1988-03-11T10:01:26.040Z,47.1906667,-122.3221667,64.184,3.9,md,41.0,35.0,,0.16,uw,uw10228173,2016-07-24T20:31:18.730Z,"2 km WNW of Puyallup, Washington",earthquake,0.508,0.91,0.03,34.0,reviewed,uw,uw
1987-12-02T09:02:24.270Z,46.6791667,-120.6731667,17.071,4.3,md,57.0,35.0,,0.37,uw,uw10226598,2016-07-24T20:26:43.290Z,"3 km ENE of Cowiche, Washington",earthquake,0.936,0.97,0.04,17.0,reviewed,uw,uw
1987-12-02T07:12:57.460Z,46.6748333,-120.6838333,17.471,4.1,md,46.0,40.0,,0.26,uw,uw10226498,2016-07-24T20:26:41.060Z,"2 km ENE of Cowiche, Washington",earthquake,0.64,0.66,0.04,13.0,reviewed,uw,uw
1987-06-19T05:47:41.540Z,46.7931667,-124.3783333,36.915,3.7,md,39.0,223.0,,0.18,uw,uw10221093,2016-07-24T20:15:04.890Z,"21 km W of Grayland, Washington",earthquake,1.08,0.6,0.329,56.0,reviewed,uw,uw
