time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1999-12-29T09:29:30.400Z,46.1,6.9,2.0,3.8,ml,,,,,us,usp0009ke8,2014-11-07T01:09:12.214Z,"8 km SSE of Champéry, Switzerland",earthquake,,,,,reviewed,zur,ldg
2002-01-18T11:14:54.200Z,46.6,10.4,11.0,3.6,ml,131.0,,,,us,usp000awq2,2014-11-07T01:14:42.532Z,"6 km SW of Tubre, Italy",earthquake,,,,,reviewed,zur,str
2004-02-18T14:31:58.300Z,46.6,7.0,11.0,3.8,ml,119.0,25.1,,,us,usp000cmg4,2014-11-07T01:21:22.257Z,"2 km SW of Vuadens, Switzerland",earthquake,,,,,reviewed,zur,ldg
2004-02-18T14:26:01.900Z,46.6,7.0,12.0,3.5,ml,108.0,26.0,,,us,usp000cmg2,2014-11-07T01:21:22.242Z,"2 km SW of Vuadens, Switzerland",earthquake,,,,,reviewed,zur,ldg
2003-10-01T07:31:05.400Z,47.2,9.2,13.0,3.5,ml,95.0,24.6,,,us,usp000c97w,2014-11-07T01:20:04.812Z,"5 km SSE of Krummenau, Switzerland",earthquake,,,,,reviewed,zur,zamg
2003-08-22T09:30:09.200Z,46.3,7.3,4.0,4.0,ml,141.0,24.0,,,us,usp000c5m0,2014-11-07T01:19:34.336Z,"6 km NNW of Savièse, Switzerland",earthquake,,,,,reviewed,zur,ldg
2003-08-22T09:21:31.100Z,46.3,7.3,4.0,4.2,ml,162.0,24.0,,,us,usp000c5kx,2014-11-07T01:19:34.316Z,"6 km NNW of Savièse, Switzerland",earthquake,,,,,reviewed,zur,grf
2003-08-01T03:20:23.400Z,46.7,9.8,7.0,4.0,ml,162.0,46.7,,,us,usp000c3tz,2014-11-07T01:19:22.357Z,"11 km SSW of Davos, Switzerland",earthquake,,,,,reviewed,zur,ldg
2003-07-18T11:01:35.600Z,46.7,9.8,6.0,4.1,ml,12.0,285.4,,,us,usp000c2tj,2014-11-07T01:19:15.005Z,"11 km SSW of Davos, Switzerland",earthquake,,,,,reviewed,zur,zamg
2003-07-17T02:27:16.800Z,46.7,9.9,11.0,3.8,ml,162.0,20.7,,,us,usp000c2pr,2014-11-07T01:19:13.848Z,"11 km NNW of Zuoz, Switzerland",earthquake,,,,,reviewed,zur,ldg
