time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1983-03-03T10:33:31.510Z,29.688,137.926,501.7,4.4,mb,,,,0.6,us,usp0001tem,2014-11-07T00:32:46.611Z,"Izu Islands, Japan region",earthquake,,8.4,,6.0,reviewed,us,us
1983-03-01T09:02:17.410Z,31.093,141.622,33.0,5.4,ms,,,,0.9,us,usp0001td9,2014-11-07T00:32:45.531Z,"Izu Islands, Japan region",earthquake,,,,1.0,reviewed,us,us
1983-02-08T21:52:03.480Z,29.736,138.982,439.9,4.1,mb,,,,0.3,us,usp0001sx9,2014-11-07T00:32:39.695Z,"Izu Islands, Japan region",earthquake,,3.4,,8.0,reviewed,us,us
1983-01-24T16:35:03.250Z,29.391,141.968,31.8,5.1,mb,,,,1.1,us,usp0001sjk,2014-11-07T00:32:33.587Z,"Izu Islands, Japan region",earthquake,,10.8,,13.0,reviewed,us,us
1983-01-17T09:00:39.920Z,31.363,139.804,150.7,4.6,mb,,,,1.2,us,usp0001s9w,2014-11-07T00:32:30.049Z,"Izu Islands, Japan region",earthquake,,15.9,,4.0,reviewed,us,us
1982-11-09T16:12:27.660Z,30.827,137.839,484.9,4.6,mb,,,,0.9,us,usp0001qt1,2014-11-07T00:32:10.130Z,"Izu Islands, Japan region",earthquake,,4.4,,7.0,reviewed,us,us
1982-11-01T08:47:55.180Z,31.393,141.761,33.0,4.4,mb,,,,0.7,us,usp0001qnj,2014-11-07T00:32:07.652Z,"Izu Islands, Japan region",earthquake,,,,4.0,reviewed,us,us
1982-10-07T21:57:03.640Z,32.19,142.327,33.0,4.8,mb,,,,0.9,us,usp0001q38,2014-11-07T00:32:00.171Z,"Izu Islands, Japan region",earthquake,,,,13.0,reviewed,us,us
1982-09-18T05:46:58.270Z,31.209,140.576,66.2,4.6,mb,,,,0.5,us,usp0001pp7,2014-11-07T00:31:54.087Z,"Izu Islands, Japan region",earthquake,,8.3,,1.0,reviewed,us,us
1982-09-16T02:20:37.290Z,30.165,139.06,367.7,5.1,mb,,,,0.8,us,usp0001pmw,2014-11-07T00:31:53.691Z,"Izu Islands, Japan region",earthquake,,2.1,,60.0,reviewed,us,us
1982-09-14T22:50:08.270Z,29.724,142.017,33.0,4.3,mb,,,,0.6,us,usp0001pm6,2014-11-07T00:31:53.573Z,"Izu Islands, Japan region",earthquake,,,,6.0,reviewed,us,us
1982-09-14T18:32:23.840Z,32.274,141.395,33.0,4.7,mb,,,,0.7,us,usp0001pm1,2014-11-07T00:31:53.555Z,"Izu Islands, Japan region",earthquake,,,,10.0,reviewed,us,us
1982-09-14T14:06:50.560Z,29.331,142.201,33.0,4.5,mb,,,,1.1,us,usp0001pkw,2014-11-07T00:31:53.534Z,"Izu Islands, Japan region",earthquake,,,,4.0,reviewed,us,us
1982-09-10T01:08:10.190Z,29.173,140.746,150.5,4.8,mb,,,,0.3,us,usp0001pgg,2014-11-07T00:31:52.685Z,"Izu Islands, Japan region",earthquake,,3.4,,12.0,reviewed,us,us
